https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,n処理終了,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,郵便番号,施設-住所1,施設-住所2,施設-住所3,施設-住所4,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業施設名称、屋号又は商号,郵便番号（営業施設）,都道府県（営業施設）,市区町村（営業施設）,町域（営業施設）,番地等（営業施設）,マンション名等（営業施設）,電話番号（営業施設）,営業の種類,氏名（法人の場合は法人名）（申請・届出者）,電話番号（申請・届出者）,初回許可年月日,許可年月日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
ザ・ビッグエクスプレス北野店,8301114,福岡県,久留米市,北野町高良,1050,,0942-23-1250,① 飲食店営業,イオン九州株式会社,092-441-0611,2021/12/16,2021/12/16,03衛第1000823号,,398,ザ・ビッグエクスプレス北野店,0942,0942-23-1250,,,,福岡県　久留米市　北野町高良　1050,福岡県久留米市北野町高良１０５０,,201374,40,40203,北野町高良,,2021/12/16,2021/12/16,,,イオン九州株式会社,,092-441-0611,,,,,,,,03衛第1000823号,,飲食店営業,,,,398_福岡県_久留米市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ザビッグエクスプレス北野店0942-23-125020137440203,5912d01c-fede-45bd-b8a5-0185a50e0677,イオン九州株式会社,aa9b1c74-024f-40fd-98ec-e9581ae79ac7,b06eb036-2398-41d4-b6a6-7096bc6c3a3c,2021/12/16,ザ・ビッグエクスプレス北野店,ザビッグエクスプレス北野店,イオン九州株式会社
イオン九州(株)マックスバリュ田主丸店,8391234,福岡県,久留米市,田主丸町豊城,1895,,0943-74-1530,① 飲食店営業,イオン九州株式会社,092-441-0611,2021/12/10,2021/12/10,03衛第1000806号,,398,イオン九州(株)マックスバリュ田主丸店,0943,0943-74-1530,,,,福岡県　久留米市　田主丸町豊城　1895,福岡県久留米市田主丸町豊城１８９５,,201418,40,40203,田主丸町豊城,,2021/12/10,2021/12/10,,,イオン九州株式会社,,092-441-0611,,,,,,,,03衛第1000806号,,飲食店営業,,,,398_福岡県_久留米市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,イオン九州株式会社マックスバリュ田主丸店0943-74-153020141840203,2784d183-2964-44e8-a791-4849a03d56e4,イオン九州株式会社,aa9b1c74-024f-40fd-98ec-e9581ae79ac7,09c07b19-face-4bcd-89f8-1833972f0c4e,2021/12/10,イオン九州株式会社マックスバリュ田主丸店,イオン九州株式会社マックスバリュ田主丸店,イオン九州株式会社
イオン九州(株)マックスバリュ田主丸店,8391234,福岡県,久留米市,田主丸町豊城,1895,,0943-74-1530,㉕ そうざい製造業,イオン九州株式会社,092-441-0611,2021/12/10,2021/12/10,03衛第1000807号,,398,イオン九州(株)マックスバリュ田主丸店,0943,0943-74-1530,,,,福岡県　久留米市　田主丸町豊城　1895,福岡県久留米市田主丸町豊城１８９５,,201418,40,40203,田主丸町豊城,,2021/12/10,2021/12/10,,,イオン九州株式会社,,092-441-0611,,,,,,,,03衛第1000807号,,そうざい製造業,,,,398_福岡県_久留米市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,,,イオン九州株式会社マックスバリュ田主丸店0943-74-153020141840203,2784d183-2964-44e8-a791-4849a03d56e4,イオン九州株式会社,aa9b1c74-024f-40fd-98ec-e9581ae79ac7,efd767a0-28ab-4ef3-9c7b-34ec4c63aacf,2021/12/10,イオン九州株式会社マックスバリュ田主丸店,イオン九州株式会社マックスバリュ田主丸店,イオン九州株式会社
楽多,8300031,福岡県,久留米市,六ツ門町,3番64,,,③ 食肉販売業,株式会社カインドキャメル,0942-36-3271,2021/12/28,2021/12/28,03衛第1000838号,,398,楽多,0942,,,,,福岡県　久留米市　六ツ門町　3番64,福岡県久留米市六ツ門町３番６４,,201292,40,40203,六ツ門町,,2021/12/28,2021/12/28,,,株式会社カインドキャメル,,0942-36-3271,,,,,,,,03衛第1000838号,,食肉販売業,,,,398_福岡県_久留米市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,I,58,583,,楽多20129240203,9417ca4c-6a34-4c52-91e0-592c91304885,株式会社カインドキャメル,4b1246f1-785e-41d9-8080-1af19f63d71a,02d12017-3822-4221-bef4-4a840f8bdd16,2021/12/28,楽多,楽多,株式会社カインドキャメル
有限会社ビスヌ,8390864,福岡県,久留米市,百年公園,1-1,,0942-37-0369,⑪ 菓子製造業,有限会社ビスヌ,0942-37-5727,2021/12/3,2021/12/3,03衛第1000799号,,398,有限会社ビスヌ,0942,0942-37-0369,,,,福岡県　久留米市　百年公園　1-1,福岡県久留米市百年公園１－１,,201364,40,40203,百年公園,,2021/12/03,2021/12/03,,,有限会社ビスヌ,,0942-37-5727,,,,,,,,03衛第1000799号,,菓子製造業,,,,398_福岡県_久留米市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,,,有限会社ビスヌ0942-37-036920136440203,9a875f29-2827-4a24-baf4-347e530b9301,有限会社ビスヌ,949a63ec-1bcd-4887-99fd-eace23a4d49d,2f4ae92b-fe72-44b3-9917-49212207b227,2021/12/03,有限会社ビスヌ,有限会社ビスヌ,有限会社ビスヌ
有限会社ビスヌ,8390864,福岡県,久留米市,百年公園,1-1,,0942-37-0369,㉗ 冷凍食品製造業,有限会社ビスヌ,0942-37-5727,2021/12/3,2021/12/3,03衛第1000800号,,398,有限会社ビスヌ,0942,0942-37-0369,,,,福岡県　久留米市　百年公園　1-1,福岡県久留米市百年公園１－１,,201364,40,40203,百年公園,,2021/12/03,2021/12/03,,,有限会社ビスヌ,,0942-37-5727,,,,,,,,03衛第1000800号,,冷凍食品製造業,,,,398_福岡県_久留米市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,,,有限会社ビスヌ0942-37-036920136440203,9a875f29-2827-4a24-baf4-347e530b9301,有限会社ビスヌ,949a63ec-1bcd-4887-99fd-eace23a4d49d,c5875bdf-4ede-422a-afa1-28d725f6c326,2021/12/03,有限会社ビスヌ,有限会社ビスヌ,有限会社ビスヌ
焼とり陣,8300032,福岡県,久留米市,東町,27-15,,,① 飲食店営業,能見瞬,,2021/12/22,2021/12/22,03衛第1000833号,,398,焼とり陣,0942,,,,,福岡県　久留米市　東町　27-15,福岡県久留米市東町２７－１５,,201278,40,40203,東町,,2021/12/22,2021/12/22,,,,能見瞬,,,,,,,,,03衛第1000833号,,飲食店営業,,,,398_福岡県_久留米市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,焼とり陣20127840203,9e450987-2ac2-4159-b1d3-62ede3a69436,,personal,22782e3d-5cfa-41ed-9eb0-f2cf73058ca5,2021/12/22,焼とり陣,焼とり陣,
おしとり久留米,8300022,福岡県,久留米市,城南町,10-24,,0942-36-2077,① 飲食店営業,株式会社　梅の花ｐｌｕｓ,0942-38-3440,2021/12/15,2021/12/15,03衛第1000767号,,398,おしとり久留米,0942,0942-36-2077,,,,福岡県　久留米市　城南町　10-24,福岡県久留米市城南町１０－２４,,201242,40,40203,城南町,,2021/12/15,2021/12/15,,,株式会社　梅の花ｐｌｕｓ,,0942-38-3440,,,,,,,,03衛第1000767号,,飲食店営業,,,,398_福岡県_久留米市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,おしとり久留米0942-36-207720124240203,feecd9fb-68e1-4210-bd3d-8314ec70a259,株式会社梅の花ｐｌｕｓ,28569df2-a0fe-489f-a051-92553d880f27,5aee9f0e-0351-4838-aac5-1c2f3c8b2f8d,2021/12/15,おしとり久留米,おしとり久留米,株式会社梅の花ｐｌｕｓ
TANDOORI NIPPON 久留米,8390851,福岡県,久留米市,御井町,1974-2,大久保ビル1F,0942-27-8300,㉕ そうざい製造業,合同会社なごみにっぽん,0973-22-5559,2021/12/22,2021/12/22,03衛第1000832号,,398,TANDOORI NIPPON 久留米,0942,0942-27-8300,,,,福岡県　久留米市　御井町　1974-2,福岡県久留米市御井町１９７４－２,大久保ビル1F,201286,40,40203,御井町,,2021/12/22,2021/12/22,,,合同会社なごみにっぽん,,0973-22-5559,,,,,,,,03衛第1000832号,,そうざい製造業,,,,398_福岡県_久留米市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,,,ＴＡＮＤＯＯＲＩＮＩＰＰＯＮ久留米0942-27-830020128640203,f79881c2-66fe-42de-a992-5fe425c17c85,合同会社なごみにっぽん,def1ab00-2111-49ba-b8c4-059bce9aeae8,1ea194af-a13e-4743-b0b8-9c2645b9427b,2021/12/22,ＴＡＮＤＯＯＲＩ　ＮＩＰＰＯＮ　久留米,ＴＡＮＤＯＯＲＩＮＩＰＰＯＮ久留米,合同会社なごみにっぽん
きむいち久留米南,8300051,福岡県,久留米市,南,1-4-10,南ロウタスビル1C,0942-27-8315,㉛ 食品の小分け業,アットエース株式会社,,2021/12/10,2021/12/10,03衛第1000813号,,398,きむいち久留米南,0942,0942-27-8315,,,,福岡県　久留米市　南　1-4-10,福岡県久留米市南１－４－１０,南ロウタスビル1C,201358,40,40203,南１,,2021/12/10,2021/12/10,,,アットエース株式会社,,,,,,,,,,03衛第1000813号,,食品の小分け業,,,,398_福岡県_久留米市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,I,58,522,5229,きむいち久留米南0942-27-831520135840203,36f66eb7-6d7b-4c5b-8d87-d612e94af604,アットエース株式会社,53b321f6-d546-4022-90af-7c2e6401dff3,b83955dd-a812-4bcb-b59c-79b62ebd66a3,2021/12/10,きむいち久留米南,きむいち久留米南,アットエース株式会社
