https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,n処理終了,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-住所2,施設-マンション名,施設-電話番号1,業種,申請者1,,申請者2,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
店舗名,施設の住所,,,,施設の電話番号※,業種,営業者氏名,代表職,代表者氏名,営業者の電話番号※,初回の許可年月日,最新の許可年月日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
２代目むさし丸　豊橋三ノ輪店,豊橋市三ノ輪町字本興寺９番地１５-１,愛知県,豊橋市三ノ輪町字本興寺９番地１５－１,,69-3232,飲食店営業(一般食堂・レストラン等),武蔵株式会社,代表取締役,河合　昭人,46-2634,2019/2/27,2019/2/27,豊橋市指令30豊保生第101－364号,,246,２代目むさし丸　豊橋三ノ輪店,0532,0532-69-3232,,,,愛知県　豊橋市三ノ輪町字本興寺９番地１５－１,愛知県豊橋市三ノ輪町字本興寺９番地１５－１,,117927,23,23201,三ノ輪町,,2019/02/27,2019/02/27,,,武蔵株式会社,河合　昭人,0532-46-2634,,,,,,,,豊橋市指令30豊保生第101－364号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,２代目むさし丸豊橋三ノ輪店0532-69-323211792723201,da0a4c93-67fa-48ed-8575-9a0fd99ead73,武蔵株式会社,ad7f00e6-7c05-4962-bb5f-77b88679c10a,42143179-02a6-4d96-861d-7a041c0d8842,2019/02/27,２代目むさし丸　豊橋三ノ輪店,２代目むさし丸豊橋三ノ輪店,武蔵株式会社
２代目むさし丸　豊橋三ノ輪店,豊橋市三ノ輪町字本興寺９番地１５-１,愛知県,豊橋市三ノ輪町字本興寺９番地１５－１,,69-3232,食肉販売業(一般),武蔵株式会社,代表取締役,河合　昭人,46-2634,2020/5/26,2020/5/26,豊橋市指令2豊保生第121－20号,,246,２代目むさし丸　豊橋三ノ輪店,0532,0532-69-3232,,,,愛知県　豊橋市三ノ輪町字本興寺９番地１５－１,愛知県豊橋市三ノ輪町字本興寺９番地１５－１,,117927,23,23201,三ノ輪町,,2020/05/26,2020/05/26,,,武蔵株式会社,河合　昭人,0532-46-2634,,,,,,,,豊橋市指令2豊保生第121－20号,,食肉販売業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,I,58,583,,２代目むさし丸豊橋三ノ輪店0532-69-323211792723201,da0a4c93-67fa-48ed-8575-9a0fd99ead73,武蔵株式会社,ad7f00e6-7c05-4962-bb5f-77b88679c10a,61da8244-7b5d-4ee6-909b-5eaf3e88ad7a,2020/05/26,２代目むさし丸　豊橋三ノ輪店,２代目むさし丸豊橋三ノ輪店,武蔵株式会社
ＡＤＶＡＮ,豊橋市松葉町一丁目８８番地  大幸ビル３階,愛知県,豊橋市松葉町１丁目８８番地, 大幸ビル３階,,飲食店営業(その他),山﨑　楓弥,,,,2021/12/17,2021/12/17,豊橋市指令3豊保生第111－380号,,246,ＡＤＶＡＮ,0532,,,,,愛知県　豊橋市松葉町１丁目８８番地,愛知県豊橋市松葉町１丁目８８番地, 大幸ビル３階,117909,23,23201,松葉町１,,2021/12/17,2021/12/17,,,,山﨑　楓弥 ,,,,,,,,,豊橋市指令3豊保生第111－380号,,飲食店営業,その他,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,ＡＤＶＡＮ11790923201,84af4b08-8830-439e-ba14-47dfffdf3ada,,personal,ac657a70-bb93-4595-941e-ab6c62e3c2e0,2021/12/17,ＡＤＶＡＮ,ＡＤＶＡＮ,
Ｂ．Ｉ．Ｎ,豊橋市草間町字平東１３０番地  東和プラザ１－４,愛知県,豊橋市草間町字平東１３０番地 ,東和プラザ１－４,26-2778,飲食店営業(一般食堂・レストラン等),白井　剛平,,,,2021/12/23,2021/12/23,豊橋市指令3豊保生第111－361号,,246,Ｂ．Ｉ．Ｎ,0532,0532-26-2778,,,,愛知県　豊橋市草間町字平東１３０番地 ,愛知県豊橋市草間町字平東１３０番地,東和プラザ１－４,117729,23,23201,草間町,,2021/12/23,2021/12/23,,,,白井　剛平 ,,,,,,,,,豊橋市指令3豊保生第111－361号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,ＢＩＮ0532-26-277811772923201,35d3c908-7282-4fad-a425-a83b3f12ce9e,,personal,61a26673-57ab-4b74-81fc-80b3f6df1f31,2021/12/23,Ｂ．Ｉ．Ｎ,ＢＩＮ,
ｂｌａｎｃ　ｔｉｇｒｅ,豊橋市住吉町１０６番地３,愛知県,豊橋市住吉町１０６番地３,,,菓子製造業(一般),株式会社　Ｂ．Ｔグループ,代表取締役,鈴木　裕也,0532-75-0130,2021/5/28,2021/5/28,豊橋市指令3豊保生第713－10号,,246,ｂｌａｎｃ　ｔｉｇｒｅ,0532,,,,,愛知県　豊橋市住吉町１０６番地３,愛知県豊橋市住吉町１０６番地３,,117774,23,23201,住吉町,,2021/05/28,2021/05/28,,,株式会社　Ｂ．Ｔグループ,鈴木　裕也,0532-75-0130,,,,,,,,豊橋市指令3豊保生第713－10号,,菓子製造業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,E,9,,,ｂｌａｎｃｔｉｇｒｅ11777423201,74148986-c390-4fe2-867a-c30899eded8c,株式会社Ｂ．Ｔグループ,e05045ed-8af6-4ab5-a53d-5b71c7144efe,7d87e253-4909-4dd8-b7a0-59440d8e8564,2021/05/28,ｂｌａｎｃ　ｔｉｇｒｅ,ｂｌａｎｃｔｉｇｒｅ,株式会社Ｂ．Ｔグループ
ＢＲＩＤＧＥ　ＢＵＩＬＤ　ＣＯＦＦＥＥ,豊橋市新栄町字南小向８５番地１,愛知県,豊橋市新栄町字南小向８５番地１,,26-3808,飲食店営業(一般食堂・レストラン等),株式会社　丸金商会,代表取締役,竹内　裕二,32-5221,2021/6/7,2021/6/7,豊橋市指令3豊保生第111－1号,,246,ＢＲＩＤＧＥ　ＢＵＩＬＤ　ＣＯＦＦＥＥ,0532,0532-26-3808,,,,愛知県　豊橋市新栄町字南小向８５番地１,愛知県豊橋市新栄町字南小向８５番地１,,117766,23,23201,新栄町,,2021/06/07,2021/06/07,,,株式会社　丸金商会,竹内　裕二,0532-32-5221,,,,,,,,豊橋市指令3豊保生第111－1号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,ＢＲＩＤＧＥＢＵＩＬＤＣＯＦＦＥＥ0532-26-380811776623201,00246_5b8bfd9a-5017-4c4c-825c-82badfb8c75b,株式会社丸金商会,a803a0e5-08d1-4f37-9c16-4891fe8c397e,b7db33fd-4cc4-4e91-a734-804d850d29c3,2021/06/07,ＢＲＩＤＧＥ　ＢＵＩＬＤ　ＣＯＦＦＥＥ,ＢＲＩＤＧＥＢＵＩＬＤＣＯＦＦＥＥ,株式会社丸金商会
ＢＲＩＤＧＥ　ＢＵＩＬＤ　ＣＯＦＦＥＥ,豊橋市新栄町字南小向８５番地１,愛知県,豊橋市新栄町字南小向８５番地１,,26-3808,菓子製造業(一般),株式会社　丸金商会,代表取締役,竹内　裕二,32-5221,2021/6/7,2021/6/7,豊橋市指令3豊保生第121－1号,,246,ＢＲＩＤＧＥ　ＢＵＩＬＤ　ＣＯＦＦＥＥ,0532,0532-26-3808,,,,愛知県　豊橋市新栄町字南小向８５番地１,愛知県豊橋市新栄町字南小向８５番地１,,117766,23,23201,新栄町,,2021/06/07,2021/06/07,,,株式会社　丸金商会,竹内　裕二,0532-32-5221,,,,,,,,豊橋市指令3豊保生第121－1号,,菓子製造業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,E,9,,,ＢＲＩＤＧＥＢＵＩＬＤＣＯＦＦＥＥ0532-26-380811776623201,00246_5b8bfd9a-5017-4c4c-825c-82badfb8c75b,株式会社丸金商会,a803a0e5-08d1-4f37-9c16-4891fe8c397e,aac4503b-1fee-4c58-bb89-51564cb57b76,2021/06/07,ＢＲＩＤＧＥ　ＢＵＩＬＤ　ＣＯＦＦＥＥ,ＢＲＩＤＧＥＢＵＩＬＤＣＯＦＦＥＥ,株式会社丸金商会
Ⓒ,豊橋市南島町二丁目９番地１  大一青果　豊橋市場内,愛知県,豊橋市南島町２丁目９番地１,大一青果 豊橋市場内,,飲食店営業(一般食堂・レストラン等),髙橋　耕太郎,,,,2021/5/31,2021/5/31,豊橋市指令3豊保生第711－48号,,246,Ⓒ,0532,,,,,愛知県　豊橋市南島町２丁目９番地１,愛知県豊橋市南島町２丁目９番地１,大一青果 豊橋市場内,117925,23,23201,南島町２,,2021/05/31,2021/05/31,,,,髙橋　耕太郎 ,,,,,,,,,豊橋市指令3豊保生第711－48号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,Ⓒ11792523201,9c60c77b-0386-47c0-bf4c-6fb7fe885c58,,personal,35095897-4954-4bc0-9530-2e73bcbe1531,2021/05/31,Ⓒ,Ⓒ,
ｃｌuｂ　iｎｓoｍｎia,豊橋市松葉町一丁目４４番地  サクラレジャービル地下１階,愛知県,豊橋市松葉町１丁目４４番地, サクラレジャービル地下１階,56-5655,飲食店営業(その他),ＳＡＬＡＺＡＲ　ＪＥＲＯＭＥ　ＧＡＬＡＮＧ,,,,2021/5/31,2021/5/31,豊橋市指令3豊保生第711－53号,,246,ｃｌuｂ　iｎｓoｍｎia,0532,0532-56-5655,,,,愛知県　豊橋市松葉町１丁目４４番地,愛知県豊橋市松葉町１丁目４４番地, サクラレジャービル地下１階,117909,23,23201,松葉町１,,2021/05/31,2021/05/31,,,,ＳＡＬＡＺＡＲ　ＪＥＲＯＭＥ　ＧＡＬＡＮＧ ,,,,,,,,,豊橋市指令3豊保生第711－53号,,飲食店営業,その他,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,ｃｌｕｂｉｎｓｏｍｎｉａ0532-56-565511790923201,00246_517d55d8-b17e-4abc-9325-2bec49b8ae57,,personal,f7f9d901-5775-4ce3-8160-2f0606c178df,2021/05/31,ｃｌｕｂ　ｉｎｓｏｍｎｉａ,ｃｌｕｂｉｎｓｏｍｎｉａ,
ｄｅｌｉ,豊橋市石巻小野田町字出口５４番地５,愛知県,豊橋市石巻小野田町字出口５４番地５,,,菓子製造業(一般),岩瀬　由佳,,,,2021/6/22,2021/6/22,豊橋市指令3豊保生第121－5号,,246,ｄｅｌｉ,0532,,,,,愛知県　豊橋市石巻小野田町字出口５４番地５,愛知県豊橋市石巻小野田町字出口５４番地５,,117664,23,23201,石巻小野田町,,2021/06/22,2021/06/22,,,,岩瀬　由佳 ,,,,,,,,,豊橋市指令3豊保生第121－5号,,菓子製造業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,E,9,,,ｄｅｌｉ11766423201,2a5a93c7-3ee0-4f44-abcc-bb35348871c2,,personal,6355a048-7212-44b1-90ab-ab6c1fccaff4,2021/06/22,ｄｅｌｉ,ｄｅｌｉ,
