https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
確認番号,施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,申請者1,開業年月日,,申請者2,,申請-住所1,申請-マンション名,申請-電話番号1,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許可番号,営業所名称(屋号),,営業所所在地,,,営業所電話番号,開設者(申請者)氏名,"初回許可
年月日","申請者
役職名","申請者
代表者名",,申請者住所,,申請者電話番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
第503650010171号,グランピングKAWASAKI懐かしの森,福岡県,田川郡川崎町安眞木１３１,田川郡川崎町安眞木１３１,,0947-73-3030  ,永野　浩司,R03.12.01,,,,,,,,403,グランピングKAWASAKI懐かしの森,0947,0947-73-3030,,,,福岡県　田川郡川崎町安眞木１３１,福岡県田川郡川崎町安真木１３１,,204454,40,40605,安真木,,2021/12/01,,,,,永野　浩司 ,,,,,,,,,第503650010171号,,,,,,403_福岡県_田川保健福祉事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規,,,,,グランピングＫＡＷＡＳＡＫＩ懐かしの森0947-73-303020445440605,764d6018-cb62-485d-a58c-a755ac27fdba,,personal,71d9dda2-0625-4061-b2d1-2106ee022142,2021/11/01,グランピングＫＡＷＡＳＡＫＩ懐かしの森,グランピングＫＡＷＡＳＡＫＩ懐かしの森,
第503650010172号,塚本菓子店,福岡県,田川郡福智町金田１１３４－４,田川郡福智町金田１１３４－４,,0947-22-0210  ,塚本　涼子,R03.12.02,,,,,,,,403,塚本菓子店,0947,0947-22-0210,,,,福岡県　田川郡福智町金田１１３４－４,福岡県田川郡福智町金田１１３４－４,,204479,40,40610,金田,,2021/12/02,,,,,塚本　涼子 ,,,,,,,,,第503650010172号,,,,,,403_福岡県_田川保健福祉事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規,,,,,塚本菓子店0947-22-021020447940610,a4e2c2b3-b626-4098-9d5c-a7f9fa8db8a9,,personal,50afc9e2-81bf-466e-bfdd-f660bef2bf62,2021/11/01,塚本菓子店,塚本菓子店,
第503650010129号,Dry　Curry　LAMP,福岡県,田川市伊田４４８６－１,田川市伊田４４８６－１,,,宮崎　大輔,R03.12.02,,,,,,,,403,Dry　Curry　LAMP,0947,,,,,福岡県　田川市伊田４４８６－１,福岡県田川市伊田４４８６－１,,201575,40,40206,伊田,,2021/12/02,,,,,宮崎　大輔 ,,,,,,,,,第503650010129号,,,,,,403_福岡県_田川保健福祉事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規,,,,,ＤｒｙＣｕｒｒｙＬＡＭＰ20157540206,e61aa699-0a53-4083-955f-8d90c6eb7bf3,,personal,79cb08cb-92f9-4275-a263-2665c359d05f,2021/11/01,Ｄｒｙ　Ｃｕｒｒｙ　ＬＡＭＰ,ＤｒｙＣｕｒｒｙＬＡＭＰ,
第503650010173号,糸田すっぽん養殖場,福岡県,田川郡糸田町１８８０－５,田川郡糸田町１８８０－５,,              ,松下　敬司,R03.12.08,,,,,,,,403,糸田すっぽん養殖場,0947,,,,,福岡県　田川郡糸田町１８８０－５,福岡県田川郡糸田町１８８０－５,,204449,40,40604,,,2021/12/08,,,,,松下　敬司 ,,,,,,,,,第503650010173号,,,,,,403_福岡県_田川保健福祉事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規,,,,,糸田すっぽん養殖場20444940604,481e414d-9551-4cce-83bc-48c143492a52,,personal,749543ab-b6cf-420e-98c9-fd20325dee16,2021/11/01,糸田すっぽん養殖場,糸田すっぽん養殖場,
第503650010176号,カラオケ　ブゥ,福岡県,田川市白鳥町２１８２－８シンエツビル１F,田川市白鳥町２１８２－８,シンエツビル１F,0947-23-0811  ,橋本　ひとみ,R03.12.09,,,,,,,,403,カラオケ　ブゥ,0947,0947-23-0811,,,,福岡県　田川市白鳥町２１８２－８,福岡県田川市白鳥町２１８２－８,シンエツビル１F,201586,40,40206,白鳥町,,2021/12/09,,,,,橋本　ひとみ ,,,,,,,,,第503650010176号,,,,,,403_福岡県_田川保健福祉事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規,,,,,カラオケブゥ0947-23-081120158640206,8e61b8e3-053f-464c-91ff-24e21b93879d,,personal,602bf474-27f4-486a-8f64-149773b8dc4b,2021/11/01,カラオケ　ブゥ,カラオケブゥ,
第503650010175号,からあげシロクマ（A）,福岡県,田川市伊田３４４７－１,田川市伊田３４４７－１,,              ,長畑　勝治,R03.12.10,,,,,,,,403,からあげシロクマ（A）,0947,,,,,福岡県　田川市伊田３４４７－１,福岡県田川市伊田３４４７－１,,201575,40,40206,伊田,,2021/12/10,,,,,長畑　勝治 ,,,,,,,,,第503650010175号,,,,,,403_福岡県_田川保健福祉事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規,,,,,からあげシロクマＡ20157540206,67e2d969-fb00-4b27-a3a2-4af110b8aff7,,personal,727bce04-6149-4b37-9f5e-e3740ce4f2cf,2021/11/01,からあげシロクマ（Ａ）,からあげシロクマＡ,
第503650010174号,ひびき,福岡県,田川市本町６－６,田川市本町６－６,,              ,木村　麻弥,R03.12.16,,,,,,,,403,ひびき,0947,,,,,福岡県　田川市本町６－６,福岡県田川市本町６－６,,201598,40,40206,本町,,2021/12/16,,,,,木村　麻弥 ,,,,,,,,,第503650010174号,,,,,,403_福岡県_田川保健福祉事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規,,,,,ひびき20159840206,efb52e18-be7c-4a9f-93ff-c2c2f95605e9,,personal,d69c597d-29af-43f3-8c9c-040b62f7df33,2021/11/01,ひびき,ひびき,
第503650010177号,もも,福岡県,田川郡川崎町川崎１０９０－１,田川郡川崎町川崎１０９０－１,,              ,岡部　幸代,R03.12.16,,,,,,,,403,もも,0947,,,,,福岡県　田川郡川崎町川崎１０９０－１,福岡県田川郡川崎町川崎１０９０－１,,204456,40,40605,川崎,,2021/12/16,,,,,岡部　幸代 ,,,,,,,,,第503650010177号,,,,,,403_福岡県_田川保健福祉事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規,,,,,もも20445640605,56af3e05-9ab4-48da-8f01-4ad85a30dbbe,,personal,8ae4741c-6695-4c5d-889d-e2925188beff,2021/11/01,もも,もも,
第503650010178号,株式会社川崎アグリ川崎町農産物加工所,福岡県,田川郡川崎町安眞木５３１５－１,田川郡川崎町安眞木５３１５－１,,0947-85-9811  ,株式会社川崎アグリ,R03.12.16,代表取締役,西山　賢俊,代表取締役　西山　賢俊,田川郡川崎町田原７８９－２,,0947-23-2556  ,,403,株式会社川崎アグリ川崎町農産物加工所,0947,0947-85-9811,,,,福岡県　田川郡川崎町安眞木５３１５－１,福岡県田川郡川崎町安真木５３１５－１,,204454,40,40605,安真木,,2021/12/16,,,,株式会社川崎アグリ,代表取締役　西山　賢俊,0947-23-2556  ,田川郡川崎町田原７８９－２,福岡県田川郡川崎町田原７８９－２,,204457,福岡県,田川郡川崎町,田原,第503650010178号,,,,,,403_福岡県_田川保健福祉事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規,,,,,株式会社川崎アグリ川崎町農産物加工所0947-85-981120445440605,7177a544-5175-4135-ba54-554fc005958b,株式会社川崎アグリ204457,b0da9f22-a828-495a-b68f-415cb45cd487,e3ee6d5b-0645-442b-b55b-895019c392d0,2021/11/01,株式会社川崎アグリ川崎町農産物加工所,株式会社川崎アグリ川崎町農産物加工所,株式会社川崎アグリ
第503650010179号,みもざ,福岡県,田川郡大任町今任原３５００－８,田川郡大任町今任原３５００－８,,0947-23-0402  ,合同会社KOKORO,R03.12.22,代表社員,吉住　悠,代表社員　吉住　悠,田川市西本町４－２,,0947-23-0402  ,,403,みもざ,0947,0947-23-0402,,,,福岡県　田川郡大任町今任原３５００－８,福岡県田川郡大任町今任原３５００－８,,204451,40,40608,今任原,,2021/12/22,,,,合同会社KOKORO,代表社員　吉住　悠,0947-23-0402  ,田川市西本町４－２,福岡県田川市西本町４－２,,201593,福岡県,田川市,西本町,第503650010179号,,,,,,403_福岡県_田川保健福祉事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規,,,,,みもざ0947-23-040220445140608,d64b9235-61a6-4033-a8d4-40353da6e4c4,合同会社ＫＯＫＯＲＯ201593,79bf8d86-bb9f-4164-8f9c-61c7e65912dd,42b3c4da-760d-4b56-a03c-6246c42bc36b,2021/11/01,みもざ,みもざ,合同会社ＫＯＫＯＲＯ
