https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,確認番号,,申請-住所0,申請-住所1,申請-マンション名,申請者1,,申請者2,,,申請-電話番号1,郵便番号,施設-住所0,施設-住所1,施設-住所2,施設-マンション名,施設名,施設-電話番号1,業種,業態,その他,その他,開業年月日,許可年月日,許可期間開始日,許可期間終了日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
状態,台帳番号,許可番号,申請者郵便番号,申請者住所,,,申請者法人名称,申請者役職,申請者氏名,,申請者カナ,申請者電話番号,営業所郵便番号,営業所所在地,,,,営業所名称,営業所電話番号,業種,詳細業種,品目,形態,初施行日,許可年月日,許可期間_開始,許可期間_終了,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
営業,25125,保生第617,241-0836,神奈川県横浜市旭区万騎が原３３,神奈川県横浜市旭区万騎が原３３,,株式会社岡田屋,代表取締役,岡田 隆,代表取締役　岡田 隆,オカダヤ,045-366-3641,239-0831,横須賀市久里浜５－１３－１ イオン久里浜店２Ｆ,神奈川県,横須賀市久里浜５－１３－１ ,イオン久里浜店２Ｆ,ザ・どんイオン久里浜店 ,,飲食店営業,飲食店（客席を設ける営業）,,一般,11/2/21 0:00,11/2/21 0:00,11/2/21 0:00,11/30/28 0:00,,144,ザ・どんイオン久里浜店 ,046,,,,,神奈川県　横須賀市久里浜５－１３－１ ,神奈川県横須賀市久里浜５－１３－１,イオン久里浜店２Ｆ,81062,14,14201,久里浜５,,2021/11/02,2021/11/02,2021/11/02,2028/11/30,株式会社岡田屋,代表取締役　岡田 隆,045-366-3641,神奈川県横浜市旭区万騎が原３３,神奈川県横浜市旭区万騎が原３３,,79450,神奈川県,横浜市旭区,万騎が原,保生第617,,飲食店営業, 飲食店（客席を設ける営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ザどんイオン久里浜店8106214201,a62bf6ce-fe1d-4148-ac8f-760b40c32322,株式会社岡田屋79450,b8b60a86-d4aa-4c3c-84aa-94219e29ce79,d8f86393-bd61-40c7-9c9c-f3a741523038,2021/11/02,ザ・どんイオン久里浜店　,ザどんイオン久里浜店,株式会社岡田屋
営業,25144,保生第669,238-0011,神奈川県横須賀市米が浜通２－７,神奈川県横須賀市米が浜通２－７,,株式会社ホテル横須賀,代表取締役,長尾 和典,代表取締役　長尾 和典,ホテルヨコスカ,046-825-1111,238-0004,横須賀市小川町２－１３,神奈川県,横須賀市小川町２－１３,,フライングクラウド ,828-1111,飲食店営業,旅館の経営を兼ねる飲食店営業,,一般,11/15/21 0:00,11/15/21 0:00,11/15/21 0:00,11/30/27 0:00,,144,フライングクラウド ,046,046-828-1111,,,,神奈川県　横須賀市小川町２－１３,神奈川県横須賀市小川町２－１３,,81023,14,14201,小川町,,2021/11/15,2021/11/15,2021/11/15,2027/11/30,株式会社ホテル横須賀,代表取締役　長尾 和典,046-825-1111,神奈川県横須賀市米が浜通２－７,神奈川県横須賀市米が浜通２－７,,81257,神奈川県,横須賀市,米が浜通２,保生第669,,飲食店営業, 旅館の経営を兼ねる飲食店営業,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,フライングクラウド046-828-11118102314201,9e7b69f2-c269-4c09-9713-acdfc1816acc,株式会社ホテル横須賀81257,aa9adcb4-2e1f-4cdf-a390-abc25d598da0,bd990703-4254-4bfb-a46e-d9a6bb710b75,2021/11/15,フライングクラウド　,フライングクラウド,株式会社ホテル横須賀
営業,25147,保生第691,238-0035,神奈川県横須賀市池上７－１０－３－１０１,神奈川県横須賀市池上７－１０－３,１０１,ＪａｐａｎＢａｓｅＣａｒｓ合同会社,代表社員,モハメド・モヒディン・モハメッドユスリー,代表社員　モハメド・モヒディン・モハメッドユスリー,ジャパンベースカーズ,080-3097-7722,238-0035,横須賀市池上７－１０－３ イケガミハイツ１０１号室,神奈川県,横須賀市池上７－１０－３,イケガミハイツ１０１号室,Ｎｕｗａｒａ ,,飲食店営業,飲食店（客席を設ける営業）,,一般,11/17/21 0:00,11/17/21 0:00,11/17/21 0:00,11/30/27 0:00,,144,Ｎｕｗａｒａ ,046,,,,,神奈川県　横須賀市池上７－１０－３,神奈川県横須賀市池上７－１０－３,イケガミハイツ１０１号室,80971,14,14201,池上７,,2021/11/17,2021/11/17,2021/11/17,2027/11/30,ＪａｐａｎＢａｓｅＣａｒｓ合同会社,代表社員　モハメド・モヒディン・モハメッドユスリー,080-3097-7722,神奈川県横須賀市池上７－１０－３,神奈川県横須賀市池上７－１０－３,１０１,80971,神奈川県,横須賀市,池上７,保生第691,,飲食店営業, 飲食店（客席を設ける営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,Ｎｕｗａｒａ8097114201,3aec4e04-02b8-4400-873d-2f71a9ac6e32,ＪａｐａｎＢａｓｅＣａｒｓ合同会社80971,226c9707-5edb-4ffe-b0dd-dcd87f34db4a,fde6af7f-a775-4a0a-91a4-16edb67d97ed,2021/11/17,Ｎｕｗａｒａ　,Ｎｕｗａｒａ,ＪａｐａｎＢａｓｅＣａｒｓ合同会社
営業,25132,保生第636,233-0002,神奈川県横浜市港南区上大岡西２－８－１５ ２階,神奈川県横浜市港南区上大岡西２－８－１５,２階,株式会社ＳＰＪ,代表取締役,鈴木 雅之,代表取締役　鈴木 雅之,エスピージェイ,045-845-5548,238-0007,横須賀市若松町１－１５ 若松ビル２階,神奈川県,横須賀市若松町１－１５,若松ビル２階,横須賀中央ガールズ ,,飲食店営業,飲食店（客席を設ける営業）,,一般,11/8/21 0:00,11/8/21 0:00,11/8/21 0:00,11/30/27 0:00,,144,横須賀中央ガールズ ,046,,,,,神奈川県　横須賀市若松町１－１５,神奈川県横須賀市若松町１－１５,若松ビル２階,81258,14,14201,若松町１,,2021/11/08,2021/11/08,2021/11/08,2027/11/30,株式会社ＳＰＪ,代表取締役　鈴木 雅之,045-845-5548,神奈川県横浜市港南区上大岡西２－８－１５,神奈川県横浜市港南区上大岡西２－８－１５,２階,79327,神奈川県,横浜市港南区,上大岡西２,保生第636,,飲食店営業, 飲食店（客席を設ける営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,横須賀中央ガルズ8125814201,5f346f3e-a638-4299-9eb5-63e4682944f6,株式会社ＳＰＪ79327,6ab557dd-45e2-43a8-aa9e-65781cc86605,2f7e68bb-e8fb-4056-a2b2-97a9c74f258f,2021/11/08,横須賀中央ガールズ　,横須賀中央ガルズ,株式会社ＳＰＪ
営業,25135,保生第650,238-0051,,,,,,庄子 正純,庄子 正純,ショウジマサズミ,,238-0007,横須賀市若松町１－２ ヒトモトビル１Ｆ,神奈川県,横須賀市若松町１－２,ヒトモトビル１Ｆ,麺処まさる ,874-9883,飲食店営業,飲食店（客席を設ける営業）,,一般,11/10/21 0:00,11/10/21 0:00,11/10/21 0:00,11/30/28 0:00,,144,麺処まさる ,046,046-874-9883,,,,神奈川県　横須賀市若松町１－２,神奈川県横須賀市若松町１－２,ヒトモトビル１Ｆ,81258,14,14201,若松町１,,2021/11/10,2021/11/10,2021/11/10,2028/11/30,,庄子 正純,,,,,,,,,保生第650,,飲食店営業, 飲食店（客席を設ける営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,麺処まさる046-874-98838125814201,239115ca-05aa-4cbf-972d-2ef82bea2cb0,,personal,3c5dee44-fec0-4c27-a3fb-c5e646eb02b2,2021/11/10,麺処まさる　,麺処まさる,
営業,25158,保生第703,238-0023,,,,,,齋藤 健一,齋藤 健一,サイトウケンイチ,,238-0017,横須賀市上町３－３４ 高田ビル１０３,神奈川県,横須賀市上町３－３４,高田ビル１０３,湘南Ａｒｔｓ　ふぉんじゅ ,887-0024,飲食店営業,飲食店（客席を設ける営業）,,一般,11/19/21 0:00,11/19/21 0:00,11/19/21 0:00,11/30/27 0:00,,144,湘南Ａｒｔｓ　ふぉんじゅ ,046,046-887-0024,,,,神奈川県　横須賀市上町３－３４,神奈川県横須賀市上町３－３４,高田ビル１０３,81003,14,14201,上町３,,2021/11/19,2021/11/19,2021/11/19,2027/11/30,,齋藤 健一,,,,,,,,,保生第703,,飲食店営業, 飲食店（客席を設ける営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,湘南Ａｒｔｓふぉんじゅ046-887-00248100314201,e72a1b62-93d4-48a2-9a89-3f8c278802af,,personal,7b9e3f6d-7353-4888-82c1-b399e0487078,2021/11/19,湘南Ａｒｔｓ　ふぉんじゅ　,湘南Ａｒｔｓふぉんじゅ,
営業,25159,保生第704,238-0041,神奈川県横須賀市本町１－９ １Ｆ,神奈川県横須賀市本町１－９,１Ｆ,株式会社アイリスハウス,代表取締役,奥野 弥生,代表取締役　奥野 弥生,アイリスハウス,046-876-8567,239-0842,横須賀市長沢１－３８－４,神奈川県,横須賀市長沢１－３８－４,,Ｃａｆｅ　ＯＨＡＮＡ ,874-5350,飲食店営業,飲食店（客席を設ける営業）,,一般,11/22/21 0:00,11/22/21 0:00,11/22/21 0:00,11/30/27 0:00,,144,Ｃａｆｅ　ＯＨＡＮＡ ,046,046-874-5350,,,,神奈川県　横須賀市長沢１－３８－４,神奈川県横須賀市長沢１－３８－４,,81152,14,14201,長沢１,,2021/11/22,2021/11/22,2021/11/22,2027/11/30,株式会社アイリスハウス,代表取締役　奥野 弥生,046-876-8567,神奈川県横須賀市本町１－９,神奈川県横須賀市本町１－９,１Ｆ,81220,神奈川県,横須賀市,本町１,保生第704,,飲食店営業, 飲食店（客席を設ける営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ＣａｆｅＯＨＡＮＡ046-874-53508115214201,9366a0f3-c97e-405c-bdc2-40fb465357cd,株式会社アイリスハウス81220,7b5d1596-5c7f-4733-9ae5-1d78888df08a,b21e2730-8bee-46e5-b20b-47a9e0dacb8e,2021/11/22,Ｃａｆｅ　ＯＨＡＮＡ　,ＣａｆｅＯＨＡＮＡ,株式会社アイリスハウス
営業,25160,保生第720,239-0841,,,,,,ＧＯＯＤＭＡＮ　ＬＥＯＮ　ＴＩＭＯＴＨＹ,ＧＯＯＤＭＡＮ　ＬＥＯＮ　ＴＩＭＯＴＨＹ,グッドマンリヨンティモシィ,,238-0008,横須賀市大滝町１－２７ 大滝名店ビル２階,神奈川県,横須賀市大滝町１－２７,大滝名店ビル２階,Ｆｅｌｉｃｅ ,827-7879,飲食店営業,飲食店（客席を設ける営業）,,一般,11/26/21 0:00,11/26/21 0:00,11/26/21 0:00,11/30/28 0:00,,144,Ｆｅｌｉｃｅ ,046,046-827-7879,,,,神奈川県　横須賀市大滝町１－２７,神奈川県横須賀市大滝町１－２７,大滝名店ビル２階,81010,14,14201,大滝町１,,2021/11/26,2021/11/26,2021/11/26,2028/11/30,,ＧＯＯＤＭＡＮ　ＬＥＯＮ　ＴＩＭＯＴＨＹ,,,,,,,,,保生第720,,飲食店営業, 飲食店（客席を設ける営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,Ｆｅｌｉｃｅ046-827-78798101014201,3a9dfa1a-2a09-4286-8b6d-5d2137108bde,,personal,9edc7740-1dcd-43c9-a35a-e5205e532a71,2021/11/26,Ｆｅｌｉｃｅ　,Ｆｅｌｉｃｅ,
営業,25161,保生第722,238-0022,神奈川県横須賀市公郷町１－５２－８,神奈川県横須賀市公郷町１－５２－８,,株式会社Ｍ・Ｙコミュニケーションズ,代表取締役,松山 雅仁,代表取締役　松山 雅仁,エムワイコミュニケーションズ,046-851-1079,238-0014,横須賀市三春町３－３６,神奈川県,横須賀市三春町３－３６,,ファミリーマートＭ・Ｙ堀ノ内駅前 ,820-2320,飲食店営業,飲食店（客席を設けない営業）,,一般,11/29/21 0:00,11/29/21 0:00,11/29/21 0:00,11/30/27 0:00,,144,ファミリーマートＭ・Ｙ堀ノ内駅前 ,046,046-820-2320,,,,神奈川県　横須賀市三春町３－３６,神奈川県横須賀市三春町３－３６,,81235,14,14201,三春町３,,2021/11/29,2021/11/29,2021/11/29,2027/11/30,株式会社Ｍ・Ｙコミュニケーションズ,代表取締役　松山 雅仁,046-851-1079,神奈川県横須賀市公郷町１－５２－８,神奈川県横須賀市公郷町１－５２－８,,81048,神奈川県,横須賀市,公郷町１,保生第722,,飲食店営業, 飲食店（客席を設けない営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ファミリマトＭＹ堀ノ内駅前046-820-23208123514201,9bef50d2-a5e5-4f71-adaa-a6a4edb7806b,株式会社Ｍ・Ｙコミュニケーションズ81048,7ec2201f-37ae-4a3e-8c45-ecadd3ee8725,19c0f0cb-fe21-4b61-a77f-b0e767190ab9,2021/11/29,ファミリーマートＭ・Ｙ堀ノ内駅前　,ファミリマトＭＹ堀ノ内駅前,株式会社Ｍ・Ｙコミュニケーションズ
