https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,n処理終了,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所2,施設-マンション名,施設-電話番号1,業種,業態,申請者1,,申請者2,,申請-住所1,申請-マンション名,申請-電話番号1,確認番号,許可年月日,許可期間終了日,申請区分,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業所名称,,営業所所在地,営業所方書,営業所電話番号,業種,業態,名称,代表者肩書,代表者氏名,,営業者住所,営業者方書,営業者電話番号,許可番号,許可決定日,許可期限,申請区分,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
フーテンコーヒー,神奈川県,茅ヶ崎市内及び寒川町一円,,,飲食店営業,自動車による営業(タンク容量80リットル),有限会社海老原技研,代表取締役,海老原　正人,代表取締役　海老原　正人,千葉県館山市伊戸１２６６番地,,,01-101-00173,2021.12.2,2026.12.31,新規,,146,フーテンコーヒー,,,,,,神奈川県　茅ヶ崎市内及び寒川町一円,神奈川県茅が崎市内及び寒川町一円,,,14,,,,,2021/12/02,,2026/12/31,有限会社海老原技研,代表取締役　海老原　正人,,千葉県館山市伊戸１２６６番地,千葉県館山市伊戸１２６６番地,,68187,千葉県,館山市,伊戸,01-101-00173,新規,飲食店営業, 自動車による営業(タンク容量80リットル),,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,フテンコヒ,4326a58d-62bc-4e65-aa9b-fc5ff86449b0,有限会社海老原技研68187,1e03320e-c15d-43c5-a1d1-3d772e51eeb0,ffd49c1f-37cf-4406-b3fd-a627abedf0b9,2021/12/02,フーテンコーヒー,フテンコヒ,有限会社海老原技研
ＰＵＢ　ＲＡＩＮＢＯＷ,神奈川県,茅ヶ崎市共恵一丁目２番５号,森谷ビル地下１階,0467-86-0356,飲食店営業,飲食店,菊地　潔,,,,,,,01-101-00175,2021.12.3,2027.12.31,新規,,146,ＰＵＢ　ＲＡＩＮＢＯＷ,0467,0467-86-0356,,,,神奈川県　茅ヶ崎市共恵一丁目２番５号,神奈川県茅が崎市共恵１丁目２番５号,森谷ビル地下１階,82007,14,14207,共恵１,,,2021/12/03,,2027/12/31,,菊地　潔 ,,,,,,,,,01-101-00175,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,ＰＵＢＲＡＩＮＢＯＷ0467-86-035682007,f42076c5-f009-41bd-890a-d68a6221acfb,,personal,a6f8b18f-fd71-47cc-ab99-939f91bcbd17,2021/12/03,ＰＵＢ　ＲＡＩＮＢＯＷ,ＰＵＢＲＡＩＮＢＯＷ,
パブ＆クラブ　プラチナ,神奈川県,茅ヶ崎市共恵一丁目２番５号,森谷ビル地下１階,0467-82-9992,飲食店営業,飲食店,菊地　潔,,,,,,,01-101-00178,2021.12.3,2027.12.31,新規,,146,パブ＆クラブ　プラチナ,0467,0467-82-9992,,,,神奈川県　茅ヶ崎市共恵一丁目２番５号,神奈川県茅が崎市共恵１丁目２番５号,森谷ビル地下１階,82007,14,14207,共恵１,,,2021/12/03,,2027/12/31,,菊地　潔 ,,,,,,,,,01-101-00178,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,パブクラブプラチナ0467-82-999282007,66168c71-3d00-4d77-b699-0a59fcdf6971,,personal,4f6bb4c8-2bd5-4092-bc72-9efe24cd25f0,2021/12/03,パブ＆クラブ　プラチナ,パブクラブプラチナ,
ｐｕｒｅ,神奈川県,茅ヶ崎市共恵一丁目２番５号,森谷ビル地下１階,0467-82-5399,飲食店営業,飲食店,菊地　潔,,,,,,,01-101-00176,2021.12.3,2027.12.31,新規,,146,ｐｕｒｅ,0467,0467-82-5399,,,,神奈川県　茅ヶ崎市共恵一丁目２番５号,神奈川県茅が崎市共恵１丁目２番５号,森谷ビル地下１階,82007,14,14207,共恵１,,,2021/12/03,,2027/12/31,,菊地　潔 ,,,,,,,,,01-101-00176,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,ｐｕｒｅ0467-82-539982007,cc2d6db8-b1f2-428e-9aba-5e58b94aa5f2,,personal,c8c404af-c4cf-45c4-8af6-ada30de6dc45,2021/12/03,ｐｕｒｅ,ｐｕｒｅ,
ｍａｉｓ　ｂｏｎ,神奈川県,茅ヶ崎市共恵１丁目４番１４号,Ｔ＆Ｓ　ＣＨＩＧＡＳＡＫＩ　１０２,0467-38-5763,飲食店営業,飲食店,三浦　史子,,,,,,,01-101-00180,2021.12.3,2027.12.31,新規,,146,ｍａｉｓ　ｂｏｎ,0467,0467-38-5763,,,,神奈川県　茅ヶ崎市共恵１丁目４番１４号,神奈川県茅が崎市共恵１丁目４番１４号,Ｔ＆Ｓ　ＣＨＩＧＡＳＡＫＩ　１０２,82007,14,14207,共恵１,,,2021/12/03,,2027/12/31,,三浦　史子 ,,,,,,,,,01-101-00180,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,ｍａｉｓｂｏｎ0467-38-576382007,bb0e11d4-4477-4680-a79c-34f00fe61ec9,,personal,4741d06d-4ff6-49c4-b3e5-3a6a0a26805d,2021/12/03,ｍａｉｓ　ｂｏｎ,ｍａｉｓｂｏｎ,
（スナック）大名竹,神奈川県,茅ヶ崎市香川５丁目２番３２号,,86-5651,飲食店営業,飲食店,渡邉　静雄,,,,,,,01-101-00174,2021.12.3,2027.12.31,新規,,146,（スナック）大名竹,0467,0467-86-5651,,,,神奈川県　茅ヶ崎市香川５丁目２番３２号,神奈川県茅が崎市香川５丁目２番３２号,,81978,14,14207,香川５,,,2021/12/03,,2027/12/31,,渡邉　静雄 ,,,,,,,,,01-101-00174,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,スナック大名竹0467-86-565181978,325f2386-1e15-4c07-aab1-4f4d1b23df5f,,personal,4b7cc243-c4c4-449d-bb01-f5f9286d2105,2021/12/03,（スナック）大名竹,スナック大名竹,
セブン－イレブン　茅ヶ崎緑が浜店,神奈川県,茅ヶ崎市緑が浜７番３５号,,0467-82-0065,飲食店営業,飲食店,渥美　幸弘,,,,,,,01-101-00177,2021.12.3,2027.12.31,新規,,146,セブン－イレブン　茅ヶ崎緑が浜店,0467,0467-82-0065,,,,神奈川県　茅ヶ崎市緑が浜７番３５号,神奈川県茅が崎市緑が浜７番３５号,,82064,14,14207,緑が浜,,,2021/12/03,,2027/12/31,,渥美　幸弘 ,,,,,,,,,01-101-00177,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,セブンイレブン茅ヶ崎緑が浜店0467-82-006582064,66517baf-380f-4ee8-b710-fb18c0b3b409,,personal,30d8d0c4-f7c2-4fcc-8732-0a2e99ad6d3d,2021/12/03,セブンイレブン　茅ヶ崎緑が浜店,セブンイレブン茅ヶ崎緑が浜店,
カウンターバー　クレセント,神奈川県,茅ヶ崎市幸町２４番１１号,,0467-86-9353,飲食店営業,飲食店,大我　節子,,,,,,,01-101-00181,2021.12.7,2027.12.31,新規,,146,カウンターバー　クレセント,0467,0467-86-9353,,,,神奈川県　茅ヶ崎市幸町２４番１１号,神奈川県茅が崎市幸町２４番１１号,,81986,14,14207,幸町,,,2021/12/07,,2027/12/31,,大我　節子 ,,,,,,,,,01-101-00181,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,カウンタバクレセント0467-86-935381986,08dc0f16-ba2a-4c96-a020-a2cf02609def,,personal,b6bbf462-842f-4d75-8591-cb58f0635637,2021/12/07,カウンターバー　クレセント,カウンタバクレセント,
ｂｏｗｌ　ｍａｒｋｅｔ　ｊｕｉｃｅ＆ｄｅｌｉ,神奈川県,茅ヶ崎市東海岸北２丁目１番５７号,,0467-84-0318,飲食店営業,飲食店,株式会社　ｂｏｗｌ　ｃｏｍｐａｎｙ,代表取締役,安田　かおり,代表取締役　安田　かおり,神奈川県茅ヶ崎市東海岸南一丁目１６番１１号,ライツ茅ケ崎３０４,0467-73-7434,01-101-00179,2021.12.7,2027.12.31,新規,,146,ｂｏｗｌ　ｍａｒｋｅｔ　ｊｕｉｃｅ＆ｄｅｌｉ,0467,0467-84-0318,,,,神奈川県　茅ヶ崎市東海岸北２丁目１番５７号,神奈川県茅が崎市東海岸北２丁目１番５７号,,82032,14,14207,東海岸北２,,,2021/12/07,,2027/12/31,株式会社　ｂｏｗｌ　ｃｏｍｐａｎｙ,代表取締役　安田　かおり,0467-73-7434,神奈川県茅ヶ崎市東海岸南一丁目１６番１１号,神奈川県茅が崎市東海岸南１丁目１６番１１号,ライツ茅ケ崎３０４,82036,神奈川県,茅が崎市,東海岸南１,01-101-00179,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,ｂｏｗｌｍａｒｋｅｔｊｕｉｃｅｄｅｌｉ0467-84-031882032,c0c3bba0-3e99-4e98-85de-86ed925c83b4,株式会社ｂｏｗｌ　ｃｏｍｐａｎｙ82036,ce71b9e5-104b-4e56-8448-eb0ceaf79354,b5ab431a-f916-4ca4-96ab-1d326ba1a969,2021/12/07,ｂｏｗｌ　ｍａｒｋｅｔ　ｊｕｉｃｅ＆ｄｅｌｉ,ｂｏｗｌｍａｒｋｅｔｊｕｉｃｅｄｅｌｉ,株式会社ｂｏｗｌ　ｃｏｍｐａｎｙ
Ｎｅｉｇｈｂｏｒｓ　Ｃｏｆｆｅｅ,神奈川県,茅ヶ崎市浜須賀１番５２‐１２号,,,飲食店営業,飲食店,合同会社Ｎｅｉｇｈｂｏｒｓ,代表社員,筑摩　菜穂,代表社員　筑摩　菜穂,神奈川県茅ヶ崎市浜須賀１番５２‐１２号,,,01-101-00182,2021.12.7,2027.12.31,新規,,146,Ｎｅｉｇｈｂｏｒｓ　Ｃｏｆｆｅｅ,0467,,,,,神奈川県　茅ヶ崎市浜須賀１番５２‐１２号,神奈川県茅が崎市浜須賀１番５２－１２号,,82024,14,14207,浜須賀,,,2021/12/07,,2027/12/31,合同会社Ｎｅｉｇｈｂｏｒｓ,代表社員　筑摩　菜穂,,神奈川県茅ヶ崎市浜須賀１番５２‐１２号,神奈川県茅が崎市浜須賀１番５２－１２号,,82024,神奈川県,茅が崎市,浜須賀,01-101-00182,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,ＮｅｉｇｈｂｏｒｓＣｏｆｆｅｅ82024,9de5cab7-7223-46fb-a864-156b7d39de04,合同会社Ｎｅｉｇｈｂｏｒｓ82024,93a410c3-e9c8-4b3a-9bb1-2a9bd951b3c7,7c74e464-cafd-4c35-b1bd-bc58bc5c4a4a,2021/12/07,Ｎｅｉｇｈｂｏｒｓ　Ｃｏｆｆｅｅ,ＮｅｉｇｈｂｏｒｓＣｏｆｆｅｅ,合同会社Ｎｅｉｇｈｂｏｒｓ
キャニオンジャパン移動販売車,神奈川県,茅ヶ崎市内及び寒川町一円,,,飲食店営業,自動車による営業(タンク容量80リットル),キャニオンジャパン合同会社,代表社員,可児　保彦,代表社員　可児　保彦,神奈川県茅ヶ崎市南湖４丁目１９番１５‐１号,,,01-101-00183,2021.12.7,2026.12.31,新規,,146,キャニオンジャパン移動販売車,,,,,,神奈川県　茅ヶ崎市内及び寒川町一円,神奈川県茅が崎市内及び寒川町一円,,,14,,,,,2021/12/07,,2026/12/31,キャニオンジャパン合同会社,代表社員　可児　保彦,,神奈川県茅ヶ崎市南湖４丁目１９番１５‐１号,神奈川県茅が崎市南湖４丁目１９番１５－１号,,82018,神奈川県,茅が崎市,南湖４,01-101-00183,新規,飲食店営業, 自動車による営業(タンク容量80リットル),,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,キャニオンジャパン移動販売車,e2a410ed-d59d-4b62-baaa-a340041fc14e,キャニオンジャパン合同会社82018,f4c28b68-17a6-4ecd-9919-11b5179228d7,8c6f387e-daba-4d82-a8a3-55586c9b3a0f,2021/12/07,キャニオンジャパン移動販売車,キャニオンジャパン移動販売車,キャニオンジャパン合同会社
カフェ　グランマ,神奈川県,茅ヶ崎市鶴が台１０番２,１０１号,0467-51-2100,飲食店営業,"飲食店,仕出し屋,弁当屋",社会福祉法人翔の会,理事長,河内　智恵子,理事長　河内　智恵子,神奈川県茅ヶ崎市芹沢７８６番地,,0467-54-5424,01-101-00185,2021.12.10,2027.12.31,新規,,146,カフェ　グランマ,0467,0467-51-2100,,,,神奈川県　茅ヶ崎市鶴が台１０番２,神奈川県茅が崎市鶴が台１０番２,１０１号,82004,14,14207,鶴が台,,,2021/12/10,,2027/12/31,社会福祉法人翔の会,理事長　河内　智恵子,0467-54-5424,神奈川県茅ヶ崎市芹沢７８６番地,神奈川県茅が崎市芹沢７８６番地,,81997,神奈川県,茅が崎市,芹沢,01-101-00185,新規,飲食店営業," 飲食店,仕出し屋,弁当屋",,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,カフェグランマ0467-51-210082004,c1a5e573-8981-4598-870b-715dba72d2ef,社会福祉法人翔の会81997,c467d64b-89e9-4fcc-91fb-bab3ead18063,63d80ec2-0a2e-40d3-913d-e082d95527ed,2021/12/10,カフェ　グランマ,カフェグランマ,社会福祉法人翔の会
レストラン　なんどき牧場,神奈川県,茅ヶ崎市内及び寒川町一円,,,飲食店営業,自動車による営業(タンク容量80リットル),株式会社なんどき,代表取締役,横山　貢,代表取締役　横山　貢,神奈川県茅ヶ崎市今宿１０２４番地,,,01-101-00184,2021.12.10,2026.12.31,新規,,146,レストラン　なんどき牧場,,,,,,神奈川県　茅ヶ崎市内及び寒川町一円,神奈川県茅が崎市内及び寒川町一円,,,14,,,,,2021/12/10,,2026/12/31,株式会社なんどき,代表取締役　横山　貢,,神奈川県茅ヶ崎市今宿１０２４番地,神奈川県茅が崎市今宿１０２４番地,,81969,神奈川県,茅が崎市,今宿,01-101-00184,新規,飲食店営業, 自動車による営業(タンク容量80リットル),,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,レストランなんどき牧場,bdd381ba-4e55-4057-8922-15623bacf4e0,株式会社なんどき81969,c05d87de-dd9b-4e20-a5f3-4d7dda3e9657,60ec5518-5139-49b6-9633-444bea25930f,2021/12/10,レストラン　なんどき牧場,レストランなんどき牧場,株式会社なんどき
