https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,申請者1,申請-電話番号1,施設-住所1,施設-住所2,施設-マンション名,施設-電話番号1,,,施設名,業種,その他,確認番号,許可年月日,開業年月日,申請区分,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,申請者名,申請者＿電話番号,,施設所在地,,施設＿電話番号,施設＿名称（屋号・商号）,,施設＿名称（屋号・商号）　,業種,,施設番号,"許可年月日
（営業届出日）",初回許可年月日（営業届出日）,新規か更新か,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
2,菊地　義行,,神奈川県,小田原市本町２－１１－１,,,器,,器　,飲食店営業,,第2021-001-0434号,R03.12.08,R03.12.08,新規,,149,器　,0465,,,,,神奈川県　小田原市本町２－１１－１,神奈川県小田原市本町２－１１－１,,81941,14,14206,本町２,,2021/12/08,2021/12/08,,,,菊地　義行,,,,,,,,,第2021-001-0434号,新規,飲食店営業,,,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),M,76,,,器8194114206,38e7af32-b60f-4800-811a-8280c6df2d74,,personal,05b4609b-687e-4110-89b3-61c6bbdd9bf3,2021/12/08,器　,器,
9,シダックスコントラクトフードサービス株式会社,03-5784-8881  ,神奈川県,小田原市酒匂７－６－１,,0465-48-3151  ,株式会社　クボタケミックス,,株式会社　クボタケミックス　,飲食店営業,,第2021-001-0401号,R03.11.22,R03.11.22,新規,,149,株式会社　クボタケミックス　,0465,0465-48-3151,,,,神奈川県　小田原市酒匂７－６－１,神奈川県小田原市酒匂７－６－１,,81887,14,14206,酒匂７,,2021/11/22,2021/11/22,,,シダックスコントラクトフードサービス株式会社,,03-5784-8881  ,,,,,,,,第2021-001-0401号,新規,飲食店営業,,,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),M,76,,,株式会社クボタケミックス0465-48-31518188714206,9ec8d545-369d-4f6d-970d-afb02d14b62a,シダックスコントラクトフードサービス株式会社,77a683f6-e868-4c90-ab19-79a04cd8bce3,917ddf43-4f4a-47cd-bfcb-23c919ace2ef,2021/11/22,株式会社クボタケミックス　,株式会社クボタケミックス,シダックスコントラクトフードサービス株式会社
10,有限会社　浅野水産,0465-47-7042  ,神奈川県,小田原市酒匂１０５４,,0465-47-7042  ,有限会社　浅野水産,,有限会社　浅野水産　,魚介類販売業,,第2021-014-0018号,R03.11.29,R03.11.29,新規,,149,有限会社　浅野水産　,0465,0465-47-7042,,,,神奈川県　小田原市酒匂１０５４,神奈川県小田原市酒匂１０５４,,81881,14,14206,酒匂１,,2021/11/29,2021/11/29,,,有限会社　浅野水産,,0465-47-7042  ,,,,,,,,第2021-014-0018号,新規,魚介類販売業,,,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),I,58,,,有限会社浅野水産0465-47-70428188114206,2e5ceeca-a085-4045-9be3-3ac91dd51de5,有限会社浅野水産,3ec0414e-4fd9-4c3e-a9b5-2ba89419fd66,b641a6f5-1fd4-4aea-a5a2-bd6fba816134,2021/11/29,有限会社浅野水産　,有限会社浅野水産,有限会社浅野水産
12,北村　真江,,神奈川県,小田原市栄町２－７－１０,B１,0465-46-7087  ,ラウンジ　ナナ,,ラウンジ　ナナ　,飲食店営業,,第2021-001-0430号,R03.11.30,R03.11.30,新規,,149,ラウンジ　ナナ　,0465,0465-46-7087,,,,神奈川県　小田原市栄町２－７－１０,神奈川県小田原市栄町２－７－１０,B１,81877,14,14206,栄町２,,2021/11/30,2021/11/30,,,,北村　真江,,,,,,,,,第2021-001-0430号,新規,飲食店営業,,,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),M,76,,,ラウンジナナ0465-46-70878187714206,a0485cf3-0c49-4d1d-99e4-de1a45f31c29,,personal,d8c1d9b2-5060-4986-ab3c-efbfe239abcf,2021/11/30,ラウンジ　ナナ　,ラウンジナナ,
20,ＤＩＹＯ合同会社,,神奈川県,小田原市堀之内２０２,,0465-36-7028  ,ＮＥＷ　ＫＡＴＨＭＡＮＤＵ,ＫＩＴＣＨＥＮ,ＮＥＷ　ＫＡＴＨＭＡＮＤＵ　ＫＩＴＣＨＥＮ,飲食店営業,,第2021-001-0425号,R03.11.24,R03.11.24,新規,,149,ＮＥＷ　ＫＡＴＨＭＡＮＤＵ　ＫＩＴＣＨＥＮ,0465,0465-36-7028,,,,神奈川県　小田原市堀之内２０２,神奈川県小田原市堀ノ内２０２,,81939,14,14206,堀ノ内,,2021/11/24,2021/11/24,,,ＤＩＹＯ合同会社,,,,,,,,,,第2021-001-0425号,新規,飲食店営業,,,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),M,76,,,ＮＥＷＫＡＴＨＭＡＮＤＵＫＩＴＣＨＥＮ0465-36-70288193914206,8a1ae744-972d-4f0c-bc66-0371614074bc,ＤＩＹＯ合同会社,79ae33ce-cbcc-46d6-acaf-bdb2748421ad,10a67b3d-923a-4f80-a933-d68722c4c25c,2021/11/24,ＮＥＷ　ＫＡＴＨＭＡＮＤＵ　ＫＩＴＣＨＥＮ,ＮＥＷＫＡＴＨＭＡＮＤＵＫＩＴＣＨＥＮ,ＤＩＹＯ合同会社
37,株式会社　ワイエムフーズ,0465-46-0122  ,神奈川県,小田原市南鴨宮３－２３－１９,アビタ南鴨宮１Ｆ,0465-20-3167  ,かるびラーメン小田原,鴨宮工場,かるびラーメン小田原　鴨宮工場,そうざい製造業,,第2021-032-0013号,R03.11.18,R03.11.18,新規,,149,かるびラーメン小田原　鴨宮工場,0465,0465-20-3167,,,,神奈川県　小田原市南鴨宮３－２３－１９,神奈川県小田原市南鴨宮３－２３－１９,アビタ南鴨宮１Ｆ,81962,14,14206,南鴨宮３,,2021/11/18,2021/11/18,,,株式会社　ワイエムフーズ,,0465-46-0122  ,,,,,,,,第2021-032-0013号,新規,そうざい製造業,,,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),E,9,,,かるびラメン小田原鴨宮工場0465-20-31678196214206,cc6a3637-e002-4eb1-9109-e714b278efc4,株式会社ワイエムフーズ,a9e4ecc5-f7cf-426e-b6ca-4163601c101c,313cf401-ce43-41ef-be8d-5fc9d53b6449,2021/11/18,かるびラーメン小田原　鴨宮工場,かるびラメン小田原鴨宮工場,株式会社ワイエムフーズ
39,有限会社　牧智商店,0460-84-9762  ,神奈川県,足柄下郡箱根町仙石原９２８－１,,0460-84-9762  ,有限会社　牧智商店,,有限会社　牧智商店　,魚介類販売業,,第2021-014-0016号,R03.11.17,R03.11.17,新規,,149,有限会社　牧智商店　,0460,0460-84-9762,,,,神奈川県　足柄下郡箱根町仙石原９２８－１,神奈川県足柄下郡箱根町仙石原９２８－１,,83092,14,14382,仙石原,,2021/11/17,2021/11/17,,,有限会社　牧智商店,,0460-84-9762  ,,,,,,,,第2021-014-0016号,新規,魚介類販売業,,,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),I,58,,,有限会社牧智商店0460-84-97628309214382,761cf267-d8a9-4bb4-9a57-114517fa9bb4,有限会社牧智商店,ddd5936a-ed83-4ce1-bb46-0862ae2bca08,7fc5ef69-132f-4f58-80d3-309d60388a30,2021/11/17,有限会社牧智商店　,有限会社牧智商店,有限会社牧智商店
40,株式会社　馬渕商事,03-3278-0010  ,神奈川県,足柄下郡箱根町仙石原１２４２,,0460-84-5656  ,箱根湖畔開発株式会社,箱根湖畔ゴルフコース,箱根湖畔開発株式会社　箱根湖畔ゴルフコース,飲食店営業,,第2021-001-0414号,R03.12.07,R03.12.07,新規,,149,箱根湖畔開発株式会社　箱根湖畔ゴルフコース,0460,0460-84-5656,,,,神奈川県　足柄下郡箱根町仙石原１２４２,神奈川県足柄下郡箱根町仙石原１２４２,,83092,14,14382,仙石原,,2021/12/07,2021/12/07,,,株式会社　馬渕商事,,03-3278-0010  ,,,,,,,,第2021-001-0414号,新規,飲食店営業,,,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),M,76,,,箱根湖畔開発株式会社箱根湖畔ゴルフコス0460-84-56568309214382,6d5c3861-4409-4a18-a6f9-eb681f59ec98,株式会社馬渕商事,72579b5c-31f8-4271-88ff-e02233dfb4e3,a4b0927c-f8d7-4610-9cea-72405e64d288,2021/12/07,箱根湖畔開発株式会社箱根湖畔ゴルフコース,箱根湖畔開発株式会社箱根湖畔ゴルフコス,株式会社馬渕商事
41,有限会社　宮坂,0465-34-5611  ,神奈川県,足柄下郡箱根町仙石原１１－１,,0460-84-3866  ,セブン－イレブン　箱根仙石原店,,セブン－イレブン　箱根仙石原店　,飲食店営業,,第2021-001-0408号,R03.11.22,R03.11.22,新規,,149,セブン－イレブン　箱根仙石原店　,0460,0460-84-3866,,,,神奈川県　足柄下郡箱根町仙石原１１－１,神奈川県足柄下郡箱根町仙石原１１－１,,83092,14,14382,仙石原,,2021/11/22,2021/11/22,,,有限会社　宮坂,,0465-34-5611  ,,,,,,,,第2021-001-0408号,新規,飲食店営業,,,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),M,76,,,セブンイレブン箱根仙石原店0460-84-38668309214382,da9ccb9f-1b9f-45dc-bec5-da4bcec86997,有限会社宮坂,f9835306-8bbf-459f-a5de-480a0fb20845,98780fe1-5840-4e0e-b138-c65334902e21,2021/11/22,セブンイレブン　箱根仙石原店　,セブンイレブン箱根仙石原店,有限会社宮坂
