https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,施設-住所1,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,営業所名,営業所所在地,営業所方書,営業所TEL,業種,申請者名,申請者電話番号①,初回許可年月日,許可年月日,許可決定日,申請区分,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
1,湘和会堂　片瀬鵠沼,神奈川県藤沢市片瀬373番地2,,0466-26-7581,1飲食店営業,平安レイサービス株式会社,0463-34-2771,令和3年11月1日,令和3年11月1日,令和3年11月1日,新規,2021-901-0251,,145,湘和会堂　片瀬鵠沼,0466,0466-26-7581,,,,神奈川県藤沢市片瀬373番地2,神奈川県藤沢市片瀬３７３番地２,,81639,14,14205,片瀬３,,2021/11/01,2021/11/01,,,平安レイサービス株式会社,,0463-34-2771,,,,,,,,2021-901-0251,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,湘和会堂片瀬鵠沼0466-26-75818163914205,6269d2f6-10c1-4208-8f91-55279915c0ff,平安レイサービス株式会社,06c829e4-63d5-42f5-b127-e5684cd934ee,b5388e58-6900-46c9-86e0-179ab04f1096,2021/11/01,湘和会堂　片瀬鵠沼,湘和会堂片瀬鵠沼,平安レイサービス株式会社
2,有限会社小塚食品,神奈川県藤沢市善行一丁目21番地5,,0466-81-7955,22豆腐製造業,有限会社小塚食品,0466-81-7955,令和3年11月1日,令和3年11月1日,令和3年11月1日,新規,2021-922-0001,,145,有限会社小塚食品,0466,0466-81-7955,,,,神奈川県藤沢市善行一丁目21番地5,神奈川県藤沢市善行１丁目２１番地５,,81698,14,14205,善行１,,2021/11/01,2021/11/01,,,有限会社小塚食品,,0466-81-7955,,,,,,,,2021-922-0001,新規,豆腐製造業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,E,9,,,有限会社小塚食品0466-81-79558169814205,74d9e362-a7c0-4111-899c-c41ee655da7b,有限会社小塚食品,164d24b0-40e0-44ff-8b76-ca1e94b8183a,fe0fd7f3-9534-486b-8b00-fd2f568d017a,2021/11/01,有限会社小塚食品,有限会社小塚食品,有限会社小塚食品
3,やきとりセンター　辻堂駅前店,神奈川県藤沢市辻堂神台一丁目2番12号,Luz湘南辻堂　6F,0466-31-0894,1飲食店営業,株式会社レインズインターナショナル,045-274-5970,令和3年11月4日,令和3年11月4日,令和3年11月4日,新規,2021-901-0254,,145,やきとりセンター　辻堂駅前店,0466,0466-31-0894,,,,神奈川県藤沢市辻堂神台一丁目2番12号,神奈川県藤沢市辻堂神台１丁目２番１２号,Luz湘南辻堂　6F,81719,14,14205,辻堂神台１,,2021/11/04,2021/11/04,,,株式会社レインズインターナショナル,,045-274-5970,,,,,,,,2021-901-0254,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,やきとりセンタ辻堂駅前店0466-31-08948171914205,1b03bc5c-46d2-44f3-8c40-07c1eb08f9d5,株式会社レインズインターナショナル,ad07a8e1-a75a-4a23-8e65-e46d3328cf44,7a86d45c-6359-4abe-85ee-2f8015f8f186,2021/11/04,やきとりセンター　辻堂駅前店,やきとりセンタ辻堂駅前店,株式会社レインズインターナショナル
4,ヨークフーズ　藤沢六会店,神奈川県藤沢市亀井野一丁目3番地9,,0466-81-2133,1飲食店営業,株式会社ヨーク,03-5520-9556,令和3年11月5日,令和3年11月5日,令和3年11月5日,新規,2021-901-0257,,145,ヨークフーズ　藤沢六会店,0466,0466-81-2133,,,,神奈川県藤沢市亀井野一丁目3番地9,神奈川県藤沢市亀井野１丁目３番地９,,81652,14,14205,亀井野１,,2021/11/05,2021/11/05,,,株式会社ヨーク,,03-5520-9556,,,,,,,,2021-901-0257,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,ヨクフズ藤沢六会店0466-81-21338165214205,9c88dca7-ceab-4635-afc7-42ab053ba919,株式会社ヨーク,a936f83b-0669-4d59-b924-84a0a8ed7f9a,a4a6f786-4e50-4525-88f2-8637be40f6db,2021/11/05,ヨークフーズ　藤沢六会店,ヨクフズ藤沢六会店,株式会社ヨーク
5,ヨークフーズ　藤沢六会店,神奈川県藤沢市亀井野一丁目3番地9,,0466-81-2133,1飲食店営業,株式会社ヨーク,03-5520-9556,令和3年11月5日,令和3年11月5日,令和3年11月5日,新規,2021-901-0258,,145,ヨークフーズ　藤沢六会店,0466,0466-81-2133,,,,神奈川県藤沢市亀井野一丁目3番地9,神奈川県藤沢市亀井野１丁目３番地９,,81652,14,14205,亀井野１,,2021/11/05,2021/11/05,,,株式会社ヨーク,,03-5520-9556,,,,,,,,2021-901-0258,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,ヨクフズ藤沢六会店0466-81-21338165214205,9c88dca7-ceab-4635-afc7-42ab053ba919,株式会社ヨーク,a936f83b-0669-4d59-b924-84a0a8ed7f9a,39c7db7d-3e85-4f76-bf91-cffd4e22fe09,2021/11/05,ヨークフーズ　藤沢六会店,ヨクフズ藤沢六会店,株式会社ヨーク
6,ヨークフーズ　藤沢六会店,神奈川県藤沢市亀井野一丁目3番地9,,0466-81-2133,11 菓子製造業,株式会社ヨーク,03-5520-9556,令和3年11月5日,令和3年11月5日,令和3年11月5日,新規,2021-911-0018,,145,ヨークフーズ　藤沢六会店,0466,0466-81-2133,,,,神奈川県藤沢市亀井野一丁目3番地9,神奈川県藤沢市亀井野１丁目３番地９,,81652,14,14205,亀井野１,,2021/11/05,2021/11/05,,,株式会社ヨーク,,03-5520-9556,,,,,,,,2021-911-0018,新規,菓子製造業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,E,9,,,ヨクフズ藤沢六会店0466-81-21338165214205,9c88dca7-ceab-4635-afc7-42ab053ba919,株式会社ヨーク,a936f83b-0669-4d59-b924-84a0a8ed7f9a,196c14cb-3be8-4771-80fa-cd455384c6ad,2021/11/05,ヨークフーズ　藤沢六会店,ヨクフズ藤沢六会店,株式会社ヨーク
7,すき家　藤沢菖蒲沢店,神奈川県藤沢市菖蒲沢730番地1,,,1飲食店営業,株式会社すき家,03-5783-8850,令和3年11月5日,令和3年11月5日,令和3年11月5日,新規,2021-901-0259,,145,すき家　藤沢菖蒲沢店,0466,,,,,神奈川県藤沢市菖蒲沢730番地1,神奈川県藤沢市菖蒲沢７３０番地１,,81692,14,14205,菖蒲沢,,2021/11/05,2021/11/05,,,株式会社すき家,,03-5783-8850,,,,,,,,2021-901-0259,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,すき家藤沢菖蒲沢店8169214205,57523679-4ee0-4793-a319-b32485475cf3,株式会社すき家,c7b6fbed-bd7a-49bc-809e-36eca60a1976,07303ade-8624-42b7-9fa8-115cae3abdda,2021/11/05,すき家　藤沢菖蒲沢店,すき家藤沢菖蒲沢店,株式会社すき家
8,炉ばた情緒かっこ　藤沢南口店,神奈川県藤沢市鵠沼石上一丁目2番2号,ASCAビル　2F,0466-52-2022,1飲食店営業,株式会社オーイズミフーズ,046-297-2511,令和3年11月8日,令和3年11月8日,令和3年11月8日,新規,2021-901-0262,,145,炉ばた情緒かっこ　藤沢南口店,0466,0466-52-2022,,,,神奈川県藤沢市鵠沼石上一丁目2番2号,神奈川県藤沢市鵠沼石上１丁目２番２号,ASCAビル　2F,81789,14,14205,鵠沼石上１,,2021/11/08,2021/11/08,,,株式会社オーイズミフーズ,,046-297-2511,,,,,,,,2021-901-0262,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,炉ばた情緒かっこ藤沢南口店0466-52-20228178914205,9d5c3e14-9cb6-4869-ab45-5cf91404583d,株式会社オーイズミフーズ,4065ac5b-b2ce-4bea-84a0-5f42f021cde8,ffcd9e74-08bf-47c3-8c82-0d85b8ecab52,2021/11/08,炉ばた情緒かっこ　藤沢南口店,炉ばた情緒かっこ藤沢南口店,株式会社オーイズミフーズ
9,タコとハイボール藤沢店,神奈川県藤沢市南藤沢2番1~2号,藤沢プライム　1F,,1飲食店営業,株式会社フラバーダイニング,0263-87-0688,令和3年11月8日,令和3年11月8日,令和3年11月8日,新規,2021-901-0264,,145,タコとハイボール藤沢店,0466,,,,,神奈川県藤沢市南藤沢2番1~2号,神奈川県藤沢市南藤沢２番１~２号,藤沢プライム　1F,81786,14,14205,南藤沢,,2021/11/08,2021/11/08,,,株式会社フラバーダイニング,,0263-87-0688,,,,,,,,2021-901-0264,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,タコとハイボル藤沢店8178614205,78ecfcc2-2d94-4e80-bc85-a8908d52b261,株式会社フラバーダイニング,3f939ad2-7a35-4ac5-99af-bd3a91df5518,25693343-60db-4fc7-bd72-d401d086fd8c,2021/11/08,タコとハイボール藤沢店,タコとハイボル藤沢店,株式会社フラバーダイニング
