https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-マンション名,申請者1,業種,施設-電話番号1,申請-電話番号1,確認番号,許可年月日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設の名称,施設所在地,,,営業者氏名,営業の種類,施設電話番号,営業者電話番号,許可番号,許可年月日,初回許可日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
ＭｅｉｊｉＳｅｉｋａファルマ（株）,中央区京橋２丁目４番１６号,中央区京橋２丁目４番１６号,,シーエヌシー株式会社,その他,,5769-6218,3中保生食届第2081号,2021/12/14,2021/12/14,,181,ＭｅｉｊｉＳｅｉｋａファルマ（株）,03,,,,,中央区京橋２丁目４番１６号,東京都中央区京橋２丁目４番１６号,,72951,13,13102,京橋２,,2021/12/14,2021/12/14,,,シーエヌシー株式会社,,03-5769-6218,,,,,,,,3中保生食届第2081号,,その他,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),T,,,,ＭｅｉｊｉＳｅｉｋａファルマ株式会社7295113102,e598fb60-b066-4178-84c0-97a60a4562cd,シーエヌシー株式会社,649bd843-037d-4a58-867d-eaa445f47ff5,3e14967d-910e-469d-b7bb-03601ad4bafb,2021/12/14,ＭｅｉｊｉＳｅｉｋａファルマ株式会社,ＭｅｉｊｉＳｅｉｋａファルマ株式会社,シーエヌシー株式会社
株式会社グローバルユニット,中央区京橋２丁目６番６号  ４階Ａ号,中央区京橋２丁目６番６号,４階Ａ号,株式会社グローバルユニット,コーヒー製造・加工業（飲料の製造を除く。）,4520-8300,4520-8300,3中保生食届第2092号,2021/12/17,2021/12/17,,181,株式会社グローバルユニット,03,03-4520-8300,,,,中央区京橋２丁目６番６号,東京都中央区京橋２丁目６番６号,４階Ａ号,72951,13,13102,京橋２,,2021/12/17,2021/12/17,,,株式会社グローバルユニット,,03-4520-8300,,,,,,,,3中保生食届第2092号,,コーヒー製造・加工業,（飲料の製造を除く。）,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,10,103,1032,株式会社グロバルユニット03-4520-83007295113102,45cbc31b-fa3c-466b-a302-9284349cd88c,株式会社グローバルユニット,47b1f8c5-5610-4fc2-b314-268da19a0f0e,95ead7ae-de86-4213-a3b7-7809f0d1fb88,2021/12/17,株式会社グローバルユニット,株式会社グロバルユニット,株式会社グローバルユニット
みずほ銀行京橋支店,中央区京橋２丁目７番１９号  京橋イーストビル３階,中央区京橋２丁目７番１９号, 京橋イーストビル３階,東京ヤクルト販売株式会社,その他の食料・飲料販売業,3563-0131,3834-8960,3中保生食届第2083号,2021/12/15,2021/12/15,,181,みずほ銀行京橋支店,03,03-3563-0131,,,,中央区京橋２丁目７番１９号,東京都中央区京橋２丁目７番１９号, 京橋イーストビル３階,72951,13,13102,京橋２,,2021/12/15,2021/12/15,,,東京ヤクルト販売株式会社,,03-3834-8960,,,,,,,,3中保生食届第2083号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,みずほ銀行京橋支店03-3563-01317295113102,5cb41aba-dc62-4ecc-b2b2-09a30e4e01fa,東京ヤクルト販売株式会社,31cc88d2-1347-4f8c-b452-23114b15dc0d,96b21b40-78ad-46f6-bbb1-5f11b1a939ff,2021/12/15,みずほ銀行京橋支店,みずほ銀行京橋支店,東京ヤクルト販売株式会社
株式会社グローバルユニット,中央区京橋３丁目１０番１号  ＮＥＷＳ京橋７階,中央区京橋３丁目１０番１号, ＮＥＷＳ京橋７階,株式会社グローバルユニット,コーヒー製造・加工業（飲料の製造を除く。）,4520-8300,4520-8300,3中保生食届第2091号,2021/12/17,2021/12/17,,181,株式会社グローバルユニット,03,03-4520-8300,,,,中央区京橋３丁目１０番１号,東京都中央区京橋３丁目１０番１号, ＮＥＷＳ京橋７階,72952,13,13102,京橋３,,2021/12/17,2021/12/17,,,株式会社グローバルユニット,,03-4520-8300,,,,,,,,3中保生食届第2091号,,コーヒー製造・加工業,（飲料の製造を除く。）,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,10,103,1032,株式会社グロバルユニット03-4520-83007295213102,25e5708c-72ea-457b-8a87-b80f2c3770ab,株式会社グローバルユニット,47b1f8c5-5610-4fc2-b314-268da19a0f0e,439cede2-256b-4627-b91a-e6b8b0acb9d1,2021/12/17,株式会社グローバルユニット,株式会社グロバルユニット,株式会社グローバルユニット
ＨＩＧＡＳＨＩＹＡ　ＧＩＮＺＡ,中央区銀座１丁目７番７号  ＰＯＬＡ銀座ビル２階,中央区銀座１丁目７番７号, ＰＯＬＡ銀座ビル２階,株式会社ＨＩＧＡＳＨＩＹＡ,その他の食料・飲料販売業,3538-3230,5725-7101,3中保生食届第2040号,2021/12/3,2021/12/3,,181,ＨＩＧＡＳＨＩＹＡ　ＧＩＮＺＡ,03,03-3538-3230,,,,中央区銀座１丁目７番７号,東京都中央区銀座１丁目７番７号, ＰＯＬＡ銀座ビル２階,72953,13,13102,銀座１,,2021/12/03,2021/12/03,,,株式会社ＨＩＧＡＳＨＩＹＡ,,03-5725-7101,,,,,,,,3中保生食届第2040号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,ＨＩＧＡＳＨＩＹＡＧＩＮＺＡ03-3538-32307295313102,7315f8fc-570f-4ddd-a810-746af2fa085c,株式会社ＨＩＧＡＳＨＩＹＡ,e4df27f3-3a9a-4d42-8d6f-7f689f3b00d9,1428068c-2329-448b-826a-b605d7a6151d,2021/12/03,ＨＩＧＡＳＨＩＹＡ　ＧＩＮＺＡ,ＨＩＧＡＳＨＩＹＡＧＩＮＺＡ,株式会社ＨＩＧＡＳＨＩＹＡ
カフェ・ベローチェ銀座一丁目店,中央区銀座１丁目１９番１４号  ホーメスト木箱銀座ビル１階,中央区銀座１丁目１９番１４号, ホーメスト木箱銀座ビル１階,Ｃ－Ｕｎｉｔｅｄ株式会社,その他の食料・飲料販売業,3562-0220,6432-0084,3中保生食届第2076号,2021/12/20,2021/12/20,,181,カフェ・ベローチェ銀座一丁目店,03,03-3562-0220,,,,中央区銀座１丁目１９番１４号,東京都中央区銀座１丁目１９番１４号, ホーメスト木箱銀座ビル１階,72953,13,13102,銀座１,,2021/12/20,2021/12/20,,,Ｃ－Ｕｎｉｔｅｄ株式会社,,03-6432-0084,,,,,,,,3中保生食届第2076号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,カフェベロチェ銀座一丁目店03-3562-02207295313102,694e4913-3609-4fe9-9cea-194b7eef21f0,Ｃ－Ｕｎｉｔｅｄ株式会社,5dd1b877-7bab-45cf-87e0-c3ed3bea7841,10cde6f0-6ba4-4bdb-9335-1ae3520098e3,2021/12/20,カフェ・ベローチェ銀座一丁目店,カフェベロチェ銀座一丁目店,Ｃ－Ｕｎｉｔｅｄ株式会社
銀座メゾン　アンリ・シャルパンティエ,中央区銀座２丁目８番２０号  ヨネイビルＢ１Ｆ、１Ｆ,中央区銀座２丁目８番２０号, ヨネイビルＢ１Ｆ、１Ｆ,株式会社シュゼット・ホールディングス,その他の食料・飲料販売業,,0798-23-1280,3中保生食届第2002号,2021/12/1,2021/12/1,,181,銀座メゾン　アンリ・シャルパンティエ,03,,,,,中央区銀座２丁目８番２０号,東京都中央区銀座２丁目８番２０号, ヨネイビルＢ１Ｆ、１Ｆ,72954,13,13102,銀座２,,2021/12/01,2021/12/01,,,株式会社シュゼット・ホールディングス,,0798-23-1280,,,,,,,,3中保生食届第2002号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,銀座メゾンアンリシャルパンティエ7295413102,b9801d51-89db-47e1-9533-d95a85de4ef1,株式会社シュゼット・ホールディングス,7b1a7acf-377a-4aef-b96e-14cdd9da6b43,bfe9f989-61c4-4b0f-b67f-87556785df8e,2021/12/01,銀座メゾン　アンリ・シャルパンティエ,銀座メゾンアンリシャルパンティエ,株式会社シュゼット・ホールディングス
丸の内ＴＯＥＩ①,中央区銀座３丁目２番１７号  東映会館１階,中央区銀座３丁目２番１７号, 東映会館１階,東映株式会社,その他の食料・飲料販売業,3535-4741,3535-4641,3中保生食届第2032号,2021/11/30,2021/11/30,,181,丸の内ＴＯＥＩ①,03,03-3535-4741,,,,中央区銀座３丁目２番１７号,東京都中央区銀座３丁目２番１７号, 東映会館１階,72955,13,13102,銀座３,,2021/11/30,2021/11/30,,,東映株式会社,,03-3535-4641,,,,,,,,3中保生食届第2032号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,丸の内ＴＯＥＩ①03-3535-47417295513102,19c802f5-a3e1-4992-824d-dfee082a280c,東映株式会社,fcaac51a-6973-46cc-aa0b-c11a31148271,564eb675-6317-4b33-a72c-9be5af8db8a3,2021/11/30,丸の内ＴＯＥＩ①,丸の内ＴＯＥＩ①,東映株式会社
無印良品銀座,中央区銀座３丁目３番５号  読売並木通りビル１階,中央区銀座３丁目３番５号, 読売並木通りビル１階,株式会社良品計画,その他の食料・飲料販売業,3538-1311,3989-4403,3中保生食届第1909号,2021/11/29,2021/11/29,,181,無印良品銀座,03,03-3538-1311,,,,中央区銀座３丁目３番５号,東京都中央区銀座３丁目３番５号, 読売並木通りビル１階,72955,13,13102,銀座３,,2021/11/29,2021/11/29,,,株式会社良品計画,,03-3989-4403,,,,,,,,3中保生食届第1909号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,無印良品銀座03-3538-13117295513102,9ad876fc-927d-43e3-91d3-aff0ca71da97,株式会社良品計画,c0107478-26fd-4277-8932-f08bd1fc7711,27d2ab27-dd4d-4289-a99f-dadb0945c308,2021/11/29,無印良品銀座,無印良品銀座,株式会社良品計画
ＨｅａｒｔＢｒｅａｄ　ＡＮＴＩＱＵＥ　銀座店,中央区銀座３丁目４番１７号  銀座オプティカ１階２階,中央区銀座３丁目４番１７号, 銀座オプティカ１階２階,株式会社オールハーツ・カンパニー,その他の食料・飲料販売業,6228-6806,052-218-4800,3中保生食届第2029号,2021/12/2,2021/12/2,,181,ＨｅａｒｔＢｒｅａｄ　ＡＮＴＩＱＵＥ　銀座店,03,03-6228-6806,,,,中央区銀座３丁目４番１７号,東京都中央区銀座３丁目４番１７号, 銀座オプティカ１階２階,72955,13,13102,銀座３,,2021/12/02,2021/12/02,,,株式会社オールハーツ・カンパニー,,052-218-4800,,,,,,,,3中保生食届第2029号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,ＨｅａｒｔＢｒｅａｄＡＮＴＩＱＵＥ銀座店03-6228-68067295513102,db73a11c-2db0-4df2-9b0d-3ffe86cb61b2,株式会社オールハーツ・カンパニー,f78e4a9a-8311-4088-a40a-632d3a614401,e9f82b7d-6859-4618-be9c-31428452619c,2021/12/02,ＨｅａｒｔＢｒｅａｄ　ＡＮＴＩＱＵＥ　銀座店,ＨｅａｒｔＢｒｅａｄＡＮＴＩＱＵＥ銀座店,株式会社オールハーツ・カンパニー
