https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所2,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号,,営業所所在地,営業所方書,営業所ＴＥＬ１,業種印刷名称,営業者名,営業者ＴＥＬ１情報公開用,初回許可日,許可決定日,申請区分,許可番号印刷用,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
ＢＡＲ　ＬＯＵＮＧＥ　ＴＨＡＮＫ,港区,赤坂二丁目１３番２１号,関根ビル３階,03-5797-7585,飲食店営業,中村　江利子,,2021年12月13日,2021年12月13日,新規,3港み生食営第2819号,,182,ＢＡＲ　ＬＯＵＮＧＥ　ＴＨＡＮＫ,03,03-5797-7585,,,,港区　赤坂二丁目１３番２１号,東京都港区赤坂２丁目１３番２１号,関根ビル３階,73047,13,13103,赤坂２,,2021/12/13,2021/12/13,,,,中村　江利子,,,,,,,,,3港み生食営第2819号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ＢＡＲＬＯＵＮＧＥＴＨＡＮＫ03-5797-75857304713103,bc185c9e-1925-454e-b3a4-06539b8b85a0,,personal,d8ddb69a-f57f-473d-b789-d1332f6470f6,2021/12/13,ＢＡＲ　ＬＯＵＮＧＥ　ＴＨＡＮＫ,ＢＡＲＬＯＵＮＧＥＴＨＡＮＫ,
赤坂二丁目　空手食堂,港区,赤坂二丁目２０番６号,川瀬ビル１階,03-6277-7306,飲食店営業,尾方　優子,,2021年12月23日,2021年12月23日,新規,3港み生食営第2917号,,182,赤坂二丁目　空手食堂,03,03-6277-7306,,,,港区　赤坂二丁目２０番６号,東京都港区赤坂２丁目２０番６号,川瀬ビル１階,73047,13,13103,赤坂２,,2021/12/23,2021/12/23,,,,尾方　優子,,,,,,,,,3港み生食営第2917号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,赤坂二丁目空手食堂03-6277-73067304713103,5f742675-b57f-4fd1-845f-60ba05b29700,,personal,4485145e-8ee6-4692-a7e9-8858eae18a4a,2021/12/23,赤坂二丁目　空手食堂,赤坂二丁目空手食堂,
Ｌｉｍóｎ　Ｓａｌｕｄ,港区,赤坂三丁目９番１６号,ハイブリッヂ赤坂地下１階,03-6426-5820,飲食店営業,鈴木　恭介,,2021年11月30日,2021年11月30日,新規,3港み生食営第2689号,,182,Ｌｉｍóｎ　Ｓａｌｕｄ,03,03-6426-5820,,,,港区　赤坂三丁目９番１６号,東京都港区赤坂３丁目９番１６号,ハイブリッヂ赤坂地下１階,73048,13,13103,赤坂３,,2021/11/30,2021/11/30,,,,鈴木　恭介,,,,,,,,,3港み生食営第2689号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ＬｉｍoｎＳａｌｕｄ03-6426-58207304813103,c91a67f0-358e-4dc5-907e-5a8feccf1a88,,personal,00ee884d-74d8-40cf-abeb-73a05d6e3843,2021/11/30,Ｌｉｍóｎ　Ｓａｌｕｄ,ＬｉｍoｎＳａｌｕｄ,
赤坂あんど,港区,赤坂三丁目１１番１号,難波ビル１階２階,03-3584-6068,飲食店営業,佐藤　英志,,2021年12月14日,2021年12月14日,新規,3港み生食営第2760号,,182,赤坂あんど,03,03-3584-6068,,,,港区　赤坂三丁目１１番１号,東京都港区赤坂３丁目１１番１号,難波ビル１階２階,73048,13,13103,赤坂３,,2021/12/14,2021/12/14,,,,佐藤　英志,,,,,,,,,3港み生食営第2760号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,赤坂あんど03-3584-60687304813103,82215389-6b96-4546-9959-8b24edb15fc4,,personal,7b69428f-54bc-405f-9068-cba4a79ce471,2021/12/14,赤坂あんど,赤坂あんど,
Ａｓｉａｎ　Ｄｏｌｌ,港区,赤坂三丁目１１番７号,ソシアル赤坂ビル　地下２階Ａ号室,,飲食店営業,米澤　慧,,2021年12月3日,2021年12月3日,新規,3港み生食営第2722号,,182,Ａｓｉａｎ　Ｄｏｌｌ,03,,,,,港区　赤坂三丁目１１番７号,東京都港区赤坂３丁目１１番７号,ソシアル赤坂ビル　地下２階Ａ号室,73048,13,13103,赤坂３,,2021/12/03,2021/12/03,,,,米澤　慧,,,,,,,,,3港み生食営第2722号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ＡｓｉａｎＤｏｌｌ7304813103,bcf6cf18-6eaf-4288-853c-ebd7c8ac7fc2,,personal,59d2068f-66d7-4ea9-910f-868f1912ed7c,2021/12/03,Ａｓｉａｎ　Ｄｏｌｌ,ＡｓｉａｎＤｏｌｌ,
ジャスミン,港区,赤坂三丁目１１番１３号,コンチネンタル赤坂Ⅲ３階３０３号室,,飲食店営業,渡邊　仁,,2021年12月23日,2021年12月23日,新規,3港み生食営第2926号,,182,ジャスミン,03,,,,,港区　赤坂三丁目１１番１３号,東京都港区赤坂３丁目１１番１３号,コンチネンタル赤坂Ⅲ３階３０３号室,73048,13,13103,赤坂３,,2021/12/23,2021/12/23,,,,渡邊　仁,,,,,,,,,3港み生食営第2926号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ジャスミン7304813103,a525e092-ddc9-4458-a8bb-0ba759b0721f,,personal,fa52595e-11b9-43ad-9f0b-80c9ce123a28,2021/12/23,ジャスミン,ジャスミン,
ＢＥＬＬＥ,港区,赤坂三丁目１９番８号,赤坂ウエストビル４０２,03-5570-5030,飲食店営業,中川　大輔,,2021年12月27日,2021年12月27日,新規,3港み生食営第2888号,,182,ＢＥＬＬＥ,03,03-5570-5030,,,,港区　赤坂三丁目１９番８号,東京都港区赤坂３丁目１９番８号,赤坂ウエストビル４０２,73048,13,13103,赤坂３,,2021/12/27,2021/12/27,,,,中川　大輔,,,,,,,,,3港み生食営第2888号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ＢＥＬＬＥ03-5570-50307304813103,3bccb336-6bcf-4670-b50d-121145d41d9e,,personal,711bf02a-3eaa-4411-8036-5ff54622488e,2021/12/27,ＢＥＬＬＥ,ＢＥＬＬＥ,
ダイニング　麺　夢や,港区,赤坂三丁目２１番１４号,ＴＳ共和六番館１階,,飲食店営業,林田　浩之,,2021年12月13日,2021年12月13日,新規,3港み生食営第2755号,,182,ダイニング　麺　夢や,03,,,,,港区　赤坂三丁目２１番１４号,東京都港区赤坂３丁目２１番１４号,ＴＳ共和六番館１階,73048,13,13103,赤坂３,,2021/12/13,2021/12/13,,,,林田　浩之,,,,,,,,,3港み生食営第2755号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ダイニング麺夢や7304813103,893f0ce5-bee8-4597-bd8e-d4645dda06e3,,personal,fda26832-3886-4d48-8e6a-dd7c422d9f38,2021/12/13,ダイニング　麺　夢や,ダイニング麺夢や,
東方閣,港区,赤坂四丁目２番５号,赤坂藪田ビル５階５０１室,03-6435-5333,飲食店営業,山田　彬,,2021年12月13日,2021年12月13日,新規,3港み生食営第2789号,,182,東方閣,03,03-6435-5333,,,,港区　赤坂四丁目２番５号,東京都港区赤坂４丁目２番５号,赤坂藪田ビル５階５０１室,73049,13,13103,赤坂４,,2021/12/13,2021/12/13,,,,山田　彬,,,,,,,,,3港み生食営第2789号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,東方閣03-6435-53337304913103,34142d68-790b-4267-91cd-581f48415e04,,personal,f2e27380-40d2-4aa1-9659-35ff711d4e6e,2021/12/13,東方閣,東方閣,
和食日和　おさけと　赤坂,港区,赤坂五丁目４番１０号,赤坂ゆうビル地下１階,,飲食店営業,山口　直樹,,2021年12月17日,2021年12月17日,新規,3港み生食営第2798号,,182,和食日和　おさけと　赤坂,03,,,,,港区　赤坂五丁目４番１０号,東京都港区赤坂５丁目４番１０号,赤坂ゆうビル地下１階,73050,13,13103,赤坂５,,2021/12/17,2021/12/17,,,,山口　直樹,,,,,,,,,3港み生食営第2798号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,和食日和おさけと赤坂7305013103,259be707-810c-4438-9f38-56e3b1fa3f13,,personal,51ec2429-0ccf-493c-a68b-77fcf1620ed7,2021/12/17,和食日和　おさけと　赤坂,和食日和おさけと赤坂,
