https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,郵便番号,施設-住所1,施設-住所2,施設-住所3,施設-住所4,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,許可期間開始日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,屋号,施設郵便番号,,"施設所在地
（市区町村）","施設所在地
（町域）","施設所在地
（番地等）","施設所在地
（マンション名等）",施設電話番号,業種,営業者氏名（個人又は法人名）,"営業者電話番号
（法人のみ）",初回許可年月日,許可年月日,許可開始日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
1,イオン九州（株）マックスバリュエクスプレス野芥店,8140171,福岡県,福岡市早良区,野芥,4丁目45-61,,092-862-2215,③ 食肉販売業,イオン九州株式会社,092-472-3590,"火曜日, 11月 16, 2021","火曜日, 11月 16, 2021","土曜日, 1月 01, 2022",福早保衛第2021055004号,,394,イオン九州（株）マックスバリュエクスプレス野芥店,092,092-862-2215,,,,福岡県　福岡市早良区　野芥　4丁目45-61,福岡県福岡市早良区野芥４丁目４５－６１,,200890,40,40137,野芥４,,2021/11/16,2021/11/16,2022/01/01,,イオン九州株式会社,,092-472-3590,,,,,,,,福早保衛第2021055004号,,食肉販売業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),I,58,583,,イオン九州株式会社マックスバリュエクスプレス野芥店092-862-221520089040137,2aa6cd69-36c1-402d-850e-1b7d6b9c47c0,イオン九州株式会社,40477ab0-31c5-46ba-b158-1f89c3da9677,b567e460-4c1d-4642-88b6-784b241315e0,2021/11/16,イオン九州株式会社マックスバリュエクスプレス野芥店,イオン九州株式会社マックスバリュエクスプレス野芥店,イオン九州株式会社
2,しゃぶ葉　原店,8140022,福岡県,福岡市早良区,原,２丁目１４－１２,,092-852-1061,① 飲食店営業,株式会社すかいらーくレストランツ,042-237-5218,"火曜日, 11月 30, 2021","火曜日, 11月 30, 2021","土曜日, 1月 01, 2022",福早保衛第2021015108号,,394,しゃぶ葉　原店,092,092-852-1061,,,,福岡県　福岡市早良区　原　２丁目１４－１２,福岡県福岡市早良区原２丁目１４－１２,,200897,40,40137,原２,,2021/11/30,2021/11/30,2022/01/01,,株式会社すかいらーくレストランツ,,042-237-5218,,,,,,,,福早保衛第2021015108号,,飲食店営業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,しゃぶ葉原店092-852-106120089740137,e74903c1-2b7a-4a71-b4fe-770b5bebab3c,株式会社すかいらーくレストランツ,0ebd7f2e-3466-41c1-bf5a-81c66b825c23,65de8263-5b24-4150-bca9-cb435c259b6d,2021/11/30,しゃぶ葉　原店,しゃぶ葉原店,株式会社すかいらーくレストランツ
3,次郎丸の里,8140165,福岡県,福岡市早良区,次郎丸,4-7-8,,092-407-8378,① 飲食店営業,ハーベスト株式会社,045-336-1100,"火曜日, 11月 16, 2021","火曜日, 11月 16, 2021","火曜日, 11月 16, 2021",福早保衛第2021010086号,,394,次郎丸の里,092,092-407-8378,,,,福岡県　福岡市早良区　次郎丸　4-7-8,福岡県福岡市早良区次郎丸４－７－８,,200864,40,40137,次郎丸４,,2021/11/16,2021/11/16,2021/11/16,,ハーベスト株式会社,,045-336-1100,,,,,,,,福早保衛第2021010086号,,飲食店営業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,次郎丸の里092-407-837820086440137,6e888f29-33fa-4861-a2c7-b5a0eaff12f0,ハーベスト株式会社,b80e5521-86a3-4df2-b11c-c4d62f3305a5,fd3fe92b-a6a9-40c1-a5ec-a01b262dd1be,2021/11/16,次郎丸の里,次郎丸の里,ハーベスト株式会社
4,マクドナルド　202原店,8140161,福岡県,福岡市早良区,飯倉3-21-31,,,092-851-5484,① 飲食店営業,有限会社ニューステージ,092-555-6250,"火曜日, 11月 30, 2021","火曜日, 11月 30, 2021","土曜日, 1月 01, 2022",福早保衛第2021015107号,,394,マクドナルド　202原店,092,092-851-5484,,,,福岡県　福岡市早良区　飯倉3-21-31　,福岡県福岡市早良区飯倉３－２１－３１,,200808,40,40137,飯倉３,,2021/11/30,2021/11/30,2022/01/01,,有限会社ニューステージ,,092-555-6250,,,,,,,,福早保衛第2021015107号,,飲食店営業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,マクドナルド２０２原店092-851-548420080840137,b9570e08-80e4-42d3-b341-c69b4f19dd98,有限会社ニューステージ,4aff4619-7b83-4f06-b8af-1aecf547c966,8ac2332c-82ad-48c0-8fd2-207a90be61dc,2021/11/30,マクドナルド　２０２原店,マクドナルド２０２原店,有限会社ニューステージ
5,ラブリオッシュ　イル　フォルナイオ,8140006,福岡県,福岡市早良区,百道二丁目,3番15号,百道パレス2階,092-821-6034,① 飲食店営業,株式会社パークウエスト,092-751-4628,"月曜日, 11月 15, 2021","月曜日, 11月 15, 2021","土曜日, 1月 01, 2022",福早保衛第2021015091号,,394,ラブリオッシュ　イル　フォルナイオ,092,092-821-6034,,,,福岡県　福岡市早良区　百道二丁目　3番15号,福岡県福岡市早良区百道２丁目３番１５号,百道パレス2階,200936,40,40137,百道２,,2021/11/15,2021/11/15,2022/01/01,,株式会社パークウエスト,,092-751-4628,,,,,,,,福早保衛第2021015091号,,飲食店営業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,ラブリオッシュイルフォルナイオ092-821-603420093640137,3231d13f-3c09-4522-81d4-5c28c412d34e,株式会社パークウエスト,e9478733-bb2c-4969-84d2-a601e954a22d,fae69004-0db2-42eb-90c8-51288a9d7a67,2021/11/15,ラブリオッシュ　イル　フォルナイオ,ラブリオッシュイルフォルナイオ,株式会社パークウエスト
6,合同会社西友　サニー星の原店,8140162,福岡県,福岡市早良区,星の原団地,,33-1,092-861-5200,④ 魚介類販売業,合同会社西友,03-3598-7000,"火曜日, 11月 09, 2021","火曜日, 11月 09, 2021","土曜日, 1月 01, 2022",福早保衛第2021075005号,,394,合同会社西友　サニー星の原店,092,092-861-5200,,,,福岡県　福岡市早良区　星の原団地　,福岡県福岡市早良区星ノ原団地,33-1,200921,40,40137,星の原団地,,2021/11/09,2021/11/09,2022/01/01,,合同会社西友,,03-3598-7000,,,,,,,,福早保衛第2021075005号,,魚介類販売業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),I,58,,,合同会社西友サニ星の原店092-861-520020092140137,16e09632-4799-41c5-979a-e7a647a24ba5,合同会社西友,03fad6f7-d4f7-4d71-8f58-1602d2d1ce6c,70d0f5ca-39ed-4699-bf43-334755d176c7,2021/11/09,合同会社西友　サニー星の原店,合同会社西友サニ星の原店,合同会社西友
7,合同会社西友　サニー高取店,8140011,福岡県,福岡市早良区,高取一丁目,１番２８号,,092-843-6178,④ 魚介類販売業,合同会社西友,03-3598-7000,"火曜日, 11月 09, 2021","火曜日, 11月 09, 2021","土曜日, 1月 01, 2022",福早保衛第2021075004号,,394,合同会社西友　サニー高取店,092,092-843-6178,,,,福岡県　福岡市早良区　高取一丁目　１番２８号,福岡県福岡市早良区高取１丁目１番２８号,,200869,40,40137,高取１,,2021/11/09,2021/11/09,2022/01/01,,合同会社西友,,03-3598-7000,,,,,,,,福早保衛第2021075004号,,魚介類販売業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),I,58,,,合同会社西友サニ高取店092-843-617820086940137,8c715a04-bbd4-4b15-bf10-f8ac94b7ab79,合同会社西友,03fad6f7-d4f7-4d71-8f58-1602d2d1ce6c,69fb4736-d010-49b4-92f6-492d9d3feffc,2021/11/09,合同会社西友　サニー高取店,合同会社西友サニ高取店,合同会社西友
8,有限会社　ますだ産業,8140015,福岡県,福岡市早良区,室見,４丁目２－２７,ハイ・マート門田,,③ 食肉販売業,有限会社　ますだ産業,097-983-2227,"月曜日, 11月 01, 2021","月曜日, 11月 01, 2021","月曜日, 11月 01, 2021",福早保衛第2021050004号,,394,有限会社　ますだ産業,092,,,,,福岡県　福岡市早良区　室見　４丁目２－２７,福岡県福岡市早良区室見４丁目２－２７,ハイ・マート門田,200933,40,40137,室見４,,2021/11/01,2021/11/01,2021/11/01,,有限会社　ますだ産業,,097-983-2227,,,,,,,,福早保衛第2021050004号,,食肉販売業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),I,58,583,,有限会社ますだ産業20093340137,2cd9d33a-42ec-4956-a4c2-f14703c4d755,有限会社ますだ産業,8fae9631-3e87-46c2-8369-de15d14cc2f2,f0a860a1-4147-4fc3-9b8d-72110ae35794,2021/11/01,有限会社ますだ産業,有限会社ますだ産業,有限会社ますだ産業
9,麻雀Maids,8140002,福岡県,福岡市早良区,西新,3-2-4,アーク西新4階,,① 飲食店営業,株式会社メイズ,,"月曜日, 11月 01, 2021","月曜日, 11月 01, 2021","月曜日, 11月 01, 2021",福早保衛第2021010075号,,394,麻雀Maids,092,,,,,福岡県　福岡市早良区　西新　3-2-4,福岡県福岡市早良区西新３－２－４,アーク西新4階,200881,40,40137,西新３,,2021/11/01,2021/11/01,2021/11/01,,株式会社メイズ,,,,,,,,,,福早保衛第2021010075号,,飲食店営業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,麻雀Ｍａｉｄｓ20088140137,9d9adeef-472f-43ff-b361-f9b1c225409c,株式会社メイズ,55362e63-ac48-4909-a030-099cee823dad,3ce641e6-1123-41c9-9fb9-afb43ede0374,2021/11/01,麻雀Ｍａｉｄｓ,麻雀Ｍａｉｄｓ,株式会社メイズ
