https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-マンション名,申請者1,業種,申請区分,施設-電話番号1,開業年月日,許可年月日,確認番号,申請-電話番号1,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設の名称,施設所在地,施設所在地ビル名,営業者氏名,営業の種類,申請区分,施設電話番号,初回許可日,許可年月日（有効期間始期）,許可番号,営業者電話番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
スターバックスコーヒー王子駅前店,東京都北区王子一丁目９番５号,王子京徳ビル一階,スターバックスコーヒージャパン株式会社,飲食店営業,新規,03-3911-7891,2021/12/28,2021/12/28,3北健生食き第717号,03-5412-7031,,196,スターバックスコーヒー王子駅前店,03,03-3911-7891,,,,東京都北区王子一丁目９番５号,東京都北区王子１丁目９番５号,王子京徳ビル一階,74884,13,13117,王子１,,2021/12/28,2021/12/28,,,スターバックスコーヒージャパン株式会社,,03-5412-7031,,,,,,,,3北健生食き第717号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,スタバックスコヒ王子駅前店03-3911-78917488413117,651658a8-90fb-4b45-b68b-a20511e0ff01,スターバックスコーヒージャパン株式会社,4965bc37-3a35-4c64-a649-94a7cb1fe462,d2e28af8-4baa-43ee-83f0-03ed6e38f676,2021/12/28,スターバックスコーヒー王子駅前店,スタバックスコヒ王子駅前店,スターバックスコーヒージャパン株式会社
一福,東京都北区王子一丁目１５番４号,,竹内ひさ子,飲食店営業,新規,03-3911-9217,2021/12/21,2021/12/21,3北健生食き第738号,,,196,一福,03,03-3911-9217,,,,東京都北区王子一丁目１５番４号,東京都北区王子１丁目１５番４号,,74884,13,13117,王子１,,2021/12/21,2021/12/21,,,,竹内ひさ子,,,,,,,,,3北健生食き第738号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,一福03-3911-92177488413117,af4c4448-e8df-4c03-958e-c6c33150da27,,personal,21bba57e-abf1-40f6-80ae-fded1f08198b,2021/12/21,一福,一福,
Hotel Dulce,東京都北区王子一丁目２１番３３号,,有限会社ＲＭＣネクスト,飲食店営業,新規,03-3912-6121,2021/12/9,2021/12/9,3北健生食き第673号,03-3353-1441,,196,Hotel Dulce,03,03-3912-6121,,,,東京都北区王子一丁目２１番３３号,東京都北区王子１丁目２１番３３号,,74884,13,13117,王子１,,2021/12/09,2021/12/09,,,有限会社ＲＭＣネクスト,,03-3353-1441,,,,,,,,3北健生食き第673号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ＨｏｔｅｌＤｕｌｃｅ03-3912-61217488413117,769a9275-b5c7-4cb9-a84c-eb739caab3ac,有限会社ＲＭＣネクスト,02cacce5-e19b-4114-9d78-3dfcb963e8a4,c9d5e85d-c33e-4bd4-9ece-b27227b87305,2021/12/09,Ｈｏｔｅｌ　Ｄｕｌｃｅ,ＨｏｔｅｌＤｕｌｃｅ,有限会社ＲＭＣネクスト
フィールドサービスキッチン　王子店,東京都北区王子五丁目２１番３号,,株式会社フィールドサービス,飲食店営業,新規,03-6420-0067,2021/12/14,2021/12/14,3北健生食き第698号,03-6420-0068,,196,フィールドサービスキッチン　王子店,03,03-6420-0067,,,,東京都北区王子五丁目２１番３号,東京都北区王子５丁目２１番３号,,74888,13,13117,王子５,,2021/12/14,2021/12/14,,,株式会社フィールドサービス,,03-6420-0068,,,,,,,,3北健生食き第698号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,フィルドサビスキッチン王子店03-6420-00677488813117,18ea0da4-2c31-473f-952a-fd79eb3c53a0,株式会社フィールドサービス,b71724df-4829-4193-bf51-c40b41211cf2,c6a2b2e1-d287-49cf-8ebf-8b4000e9df3e,2021/12/14,フィールドサービスキッチン　王子店,フィルドサビスキッチン王子店,株式会社フィールドサービス
サミットストア王子店,東京都北区王子六丁目９番１０号,,サミット株式会社,飲食店営業,新規,03-5390-0061,2021/11/19,2021/11/19,3北健生食き第620号,03-5971-5032,,196,サミットストア王子店,03,03-5390-0061,,,,東京都北区王子六丁目９番１０号,東京都北区王子６丁目９番１０号,,74889,13,13117,王子６,,2021/11/19,2021/11/19,,,サミット株式会社,,03-5971-5032,,,,,,,,3北健生食き第620号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,サミットストア王子店03-5390-00617488913117,bcf3745b-37a7-484c-9b98-ef6e06a14e96,サミット株式会社,35b45152-04b3-4215-bbd5-be34e528993a,cd2a4dd1-84d5-471b-8787-44472c13a821,2021/11/19,サミットストア王子店,サミットストア王子店,サミット株式会社
サミットストア王子店,東京都北区王子六丁目９番１０号,,サミット株式会社,飲食店営業,新規,03-5390-0061,2021/11/19,2021/11/19,3北健生食き第622号,03-5971-5032,,196,サミットストア王子店,03,03-5390-0061,,,,東京都北区王子六丁目９番１０号,東京都北区王子６丁目９番１０号,,74889,13,13117,王子６,,2021/11/19,2021/11/19,,,サミット株式会社,,03-5971-5032,,,,,,,,3北健生食き第622号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,サミットストア王子店03-5390-00617488913117,bcf3745b-37a7-484c-9b98-ef6e06a14e96,サミット株式会社,35b45152-04b3-4215-bbd5-be34e528993a,1918f56c-f8c6-4bc7-be09-1ec3364d6e44,2021/11/19,サミットストア王子店,サミットストア王子店,サミット株式会社
サミットストア王子店,東京都北区王子六丁目９番１０号,,サミット株式会社,飲食店営業,新規,03-5390-0061,2021/11/19,2021/11/19,3北健生食き第621号,03-5971-5032,,196,サミットストア王子店,03,03-5390-0061,,,,東京都北区王子六丁目９番１０号,東京都北区王子６丁目９番１０号,,74889,13,13117,王子６,,2021/11/19,2021/11/19,,,サミット株式会社,,03-5971-5032,,,,,,,,3北健生食き第621号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,サミットストア王子店03-5390-00617488913117,bcf3745b-37a7-484c-9b98-ef6e06a14e96,サミット株式会社,35b45152-04b3-4215-bbd5-be34e528993a,e08c184b-da70-4d7d-8588-b09439ea2da6,2021/11/19,サミットストア王子店,サミットストア王子店,サミット株式会社
サイゼリヤ　サミット王子店,東京都北区王子六丁目９番１０号,サミットストア王子店　２Ｆ,株式会社サイゼリヤ,飲食店営業,新規,,2021/12/15,2021/12/15,3北健生食き第715号,048-991-9611,,196,サイゼリヤ　サミット王子店,03,,,,,東京都北区王子六丁目９番１０号,東京都北区王子６丁目９番１０号,サミットストア王子店　２Ｆ,74889,13,13117,王子６,,2021/12/15,2021/12/15,,,株式会社サイゼリヤ,,048-991-9611,,,,,,,,3北健生食き第715号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,サイゼリヤサミット王子店7488913117,3688b6ab-f238-428f-b0e6-84d70e9c2a02,株式会社サイゼリヤ,8ea4ae46-5082-47b1-8055-b1b087cb84c5,a9fe5ad7-69ba-4832-bcac-c8d79793e232,2021/12/15,サイゼリヤ　サミット王子店,サイゼリヤサミット王子店,株式会社サイゼリヤ
中華料理天津,東京都北区上十条一丁目９番２１号,,土居洋三,飲食店営業,新規,03-5993-6868,2021/11/19,2021/11/19,3北健生食き第656号,,,196,中華料理天津,03,03-5993-6868,,,,東京都北区上十条一丁目９番２１号,東京都北区上十条１丁目９番２１号,,74893,13,13117,上十条１,,2021/11/19,2021/11/19,,,,土居洋三,,,,,,,,,3北健生食き第656号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,中華料理天津03-5993-68687489313117,70e794b1-1e10-4324-a2b3-2aa54c9e29fe,,personal,6889d8c1-ddbf-477f-a6b4-caaf0ec00673,2021/11/19,中華料理天津,中華料理天津,
まあまあさん,東京都北区上十条一丁目１９番９号,２階,田坂　雅子,飲食店営業,新規,,2021/12/23,2021/12/23,3北健生食き第699号,,,196,まあまあさん,03,,,,,東京都北区上十条一丁目１９番９号,東京都北区上十条１丁目１９番９号,２階,74893,13,13117,上十条１,,2021/12/23,2021/12/23,,,,田坂　雅子,,,,,,,,,3北健生食き第699号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,まあまあさん7489313117,c3a05671-5688-4dc6-aebc-ea3c1ca8644d,,personal,f165316b-c88e-4c3c-92ca-8eb01cb2cc2b,2021/12/23,まあまあさん,まあまあさん,
