https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,申請者1,業種,申請者2,施設-電話番号1,確認番号,開業年月日,許可年月日,許可期間終了日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設の名称,,施設所在地,,,営業者氏名,営業の種類,代表者氏名,施設電話番号,許可番号,初回許可日,許可年月日,許可満了日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
すき家　江古田駅前店,東京都,練馬区旭丘一丁目７１番７号  土井ビル１階,練馬区旭丘１丁目７１番７号, 土井ビル１階,株式会社すき家,その他の食料・飲料販売業,浅沼幹典,,3練健生練食第12295号,2021/12/1,2021/12/1,,,199,すき家　江古田駅前店,03,,,,,東京都　練馬区旭丘１丁目７１番７号,東京都練馬区旭丘１丁目７１番７号, 土井ビル１階,75161,13,13120,旭丘１,,2021/12/01,2021/12/01,,,株式会社すき家,浅沼幹典,,,,,,,,,3練健生練食第12295号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,すき家江古田駅前店7516113120,949a35ed-8635-47ea-9cae-4c938bc440fb,株式会社すき家,f68ec1d4-976c-4a8b-8d22-f33076eedfbf,f2169da4-9c38-4fb4-a25b-40894f50933d,2021/12/01,すき家　江古田駅前店,すき家江古田駅前店,株式会社すき家
和興楼,東京都,練馬区旭丘一丁目７３番９号  三共ビル２Ｆ,練馬区旭丘１丁目７３番９号, 三共ビル２Ｆ,和興株式会社,飲食店営業,馬紅莉,03-5982-0095,3練健生練食第12268号,2021/12/13,2021/12/13,2027/12/31,,199,和興楼,03,03-5982-0095,,,,東京都　練馬区旭丘１丁目７３番９号,東京都練馬区旭丘１丁目７３番９号, 三共ビル２Ｆ,75161,13,13120,旭丘１,,2021/12/13,2021/12/13,,2027/12/31,和興株式会社,馬紅莉,,,,,,,,,3練健生練食第12268号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,和興楼03-5982-00957516113120,7ab29fba-94a2-4c6c-a2ff-3877914d0d62,和興株式会社,fa101424-e538-4805-812f-41e227d687d5,69a21d17-6823-4d1c-bff1-6a896c372f96,2021/12/13,和興楼,和興楼,和興株式会社
ココカラファイン江古田店,東京都,練馬区旭丘一丁目７４番１号,練馬区旭丘１丁目７４番１号,,株式会社ココカラファインヘルスケア,その他の食料・飲料販売業,塚本厚志,03-5906-3231,3練健生練食第12294号,2021/12/2,2021/12/2,,,199,ココカラファイン江古田店,03,03-5906-3231,,,,東京都　練馬区旭丘１丁目７４番１号,東京都練馬区旭丘１丁目７４番１号,,75161,13,13120,旭丘１,,2021/12/02,2021/12/02,,,株式会社ココカラファインヘルスケア,塚本厚志,,,,,,,,,3練健生練食第12294号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,ココカラファイン江古田店03-5906-32317516113120,e95bdcef-09b7-469a-a054-cd1895219409,株式会社ココカラファインヘルスケア,0a642f90-e4b4-4acc-b595-e5a95b382437,6bbb066f-25f8-48a1-ba3f-335ba1820de9,2021/12/02,ココカラファイン江古田店,ココカラファイン江古田店,株式会社ココカラファインヘルスケア
ココカラファイン江古田駅南口店,東京都,練馬区旭丘一丁目７４番３号,練馬区旭丘１丁目７４番３号,,株式会社ココカラファインヘルスケア,その他の食料・飲料販売業,塚本厚志,03-6675-3663,3練健生練食第12308号,2021/12/3,2021/12/3,,,199,ココカラファイン江古田駅南口店,03,03-6675-3663,,,,東京都　練馬区旭丘１丁目７４番３号,東京都練馬区旭丘１丁目７４番３号,,75161,13,13120,旭丘１,,2021/12/03,2021/12/03,,,株式会社ココカラファインヘルスケア,塚本厚志,,,,,,,,,3練健生練食第12308号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,ココカラファイン江古田駅南口店03-6675-36637516113120,dd4fb3ca-ed28-4c0f-8a91-84aa2c596c80,株式会社ココカラファインヘルスケア,0a642f90-e4b4-4acc-b595-e5a95b382437,741e6d59-d774-4138-8820-6d921d72ee2f,2021/12/03,ココカラファイン江古田駅南口店,ココカラファイン江古田駅南口店,株式会社ココカラファインヘルスケア
八百屋つばくろ,東京都,練馬区旭丘一丁目７５番１１号,練馬区旭丘１丁目７５番１１号,,若山修,野菜果物販売業,,,3練健生練食第12296号,2021/12/1,2021/12/1,,,199,八百屋つばくろ,03,,,,,東京都　練馬区旭丘１丁目７５番１１号,東京都練馬区旭丘１丁目７５番１１号,,75161,13,13120,旭丘１,,2021/12/01,2021/12/01,,,,若山修 ,,,,,,,,,3練健生練食第12296号,,野菜果物販売業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,I,58,582,,八百屋つばくろ7516113120,70bac3f0-e548-444e-82fc-ef8e7e1e2897,,personal,608986c3-6e66-445a-9fd0-e85e1c9ee3bb,2021/12/01,八百屋つばくろ,八百屋つばくろ,
トモニー江古田駅店,東京都,練馬区旭丘一丁目７８番７号,練馬区旭丘１丁目７８番７号,,西武鉄道株式会社,飲食店営業,喜多村樹美男,5988-7361,3練健生練食第12285号,2021/12/2,2021/12/2,2027/12/31,,199,トモニー江古田駅店,03,03-5988-7361,,,,東京都　練馬区旭丘１丁目７８番７号,東京都練馬区旭丘１丁目７８番７号,,75161,13,13120,旭丘１,,2021/12/02,2021/12/02,,2027/12/31,西武鉄道株式会社,喜多村樹美男,,,,,,,,,3練健生練食第12285号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,トモニ江古田駅店03-5988-73617516113120,20cb038f-d86c-48f5-a92e-726a27487a92,西武鉄道株式会社,2c0cf794-24bf-4014-9f0f-2577b270e5db,3b5c8151-dfb2-4e96-aba3-f8c924d989b3,2021/12/02,トモニー江古田駅店,トモニ江古田駅店,西武鉄道株式会社
うの屋,東京都,練馬区小竹町一丁目５２番１号  ＹＫ新井ビル１階,練馬区小竹町１丁目５２番１号, ＹＫ新井ビル１階,小関直行,飲食店営業,,,3練健生練食第11921号,2021/12/1,2021/12/1,2027/11/30,,199,うの屋,03,,,,,東京都　練馬区小竹町１丁目５２番１号,東京都練馬区小竹町１丁目５２番１号, ＹＫ新井ビル１階,75197,13,13120,小竹町１,,2021/12/01,2021/12/01,,2027/11/30,,小関直行 ,,,,,,,,,3練健生練食第11921号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,うの屋7519713120,3e6dff9b-bbd6-48a1-8ed4-7b0baa5b1253,,personal,877e9ef7-282d-4125-ba46-fb1c4155db9a,2021/12/01,うの屋,うの屋,
カラオケステージ響,東京都,練馬区小竹町二丁目１９番３号  地下１階,練馬区小竹町２丁目１９番３号, 地下１階,株式会社桜安,飲食店営業,千島弥栄子,,3練健生練食第12212号,2021/12/2,2021/12/2,2027/12/31,,199,カラオケステージ響,03,,,,,東京都　練馬区小竹町２丁目１９番３号,東京都練馬区小竹町２丁目１９番３号, 地下１階,75198,13,13120,小竹町２,,2021/12/02,2021/12/02,,2027/12/31,株式会社桜安,千島弥栄子,,,,,,,,,3練健生練食第12212号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,カラオケステジ響7519813120,af0098d3-f07d-449e-b1e9-cecd97333960,株式会社桜安,273645a9-5baf-42c7-9899-7885e1d3ff99,063aea94-49e8-470d-92b6-bd62fa921158,2021/12/02,カラオケステージ響,カラオケステジ響,株式会社桜安
ＤＧＫ,東京都,練馬区栄町４番８号  柳ビル２階２０２,練馬区栄町４番８号, 柳ビル２階２０２,梶原大輔,飲食店営業,,03-6914-9924,3練健生練食第12207号,2021/12/9,2021/12/9,2027/12/31,,199,ＤＧＫ,03,03-6914-9924,,,,東京都　練馬区栄町４番８号,東京都練馬区栄町４番８号, 柳ビル２階２０２,75199,13,13120,栄町,,2021/12/09,2021/12/09,,2027/12/31,,梶原大輔 ,,,,,,,,,3練健生練食第12207号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,ＤＧＫ03-6914-99247519913120,010f6f63-eba6-4f44-91bd-f4e603063a8b,,personal,e8bd62a8-2cdc-4e04-8764-510415c416ec,2021/12/09,ＤＧＫ,ＤＧＫ,
まるてる食堂,東京都,練馬区栄町３１番６号  ベルウッドビル１０１,練馬区栄町３１番６号, ベルウッドビル１０１,合同会社ブルイエ,魚介類販売業,浦野康輝,6386-2418,3練健生練食第12314号,2021/12/9,2021/12/9,2027/12/31,,199,まるてる食堂,03,03-6386-2418,,,,東京都　練馬区栄町３１番６号,東京都練馬区栄町３１番６号, ベルウッドビル１０１,75199,13,13120,栄町,,2021/12/09,2021/12/09,,2027/12/31,合同会社ブルイエ,浦野康輝,,,,,,,,,3練健生練食第12314号,,魚介類販売業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,I,58,,,まるてる食堂03-6386-24187519913120,a33f6a35-3d2e-4302-9918-97e2fdd211b6,合同会社ブルイエ,2886bd5d-35fe-49c1-a18c-3b359ee77e91,afcdf678-9af2-4837-9571-494b81af22e4,2021/12/09,まるてる食堂,まるてる食堂,合同会社ブルイエ
