https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
業種,施設名,施設-電話番号1,許可年月日,施設-住所0,施設-住所1,施設-マンション名,申請者1,申請-電話番号1,申請者2,申請-住所0,申請-住所1,申請-マンション名,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
業種名称,屋号名称,営業所電話番号,許可年月日,営業所所在地,,,営業者氏名,本社電話番号,代表者氏名,法人所在地,,,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
飲食店営業,Ｓｔｒｅｅｔ   ＢＥＥ,,令和3年12月6日,東京都葛飾区亀有五丁目２８番１２号エヴァーグリーン参番館２階,東京都葛飾区亀有５丁目２８番１２号,エヴァーグリーン参番館２階,山本章太,,,,,,,201,Ｓｔｒｅｅｔ   ＢＥＥ,03,,,,,東京都葛飾区亀有５丁目２８番１２号,東京都葛飾区亀有５丁目２８番１２号,エヴァーグリーン参番館２階,75672,13,13122,亀有５,,,2021/12/06,,,,山本章太 ,,,,,,,,,,,飲食店営業,,,,201_東京都_葛飾区保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ＳｔｒｅｅｔＢＥＥ7567213122,7fa9c1fc-da5f-4b9b-8d59-bb6ee43c459f,,personal,e07de79c-5c56-4141-bec5-c3896ffcca9b,2021/12/06,Ｓｔｒｅｅｔ　ＢＥＥ,ＳｔｒｅｅｔＢＥＥ,
飲食店営業,昭和ＢＡＲ   グランブルー,,令和3年12月7日,東京都葛飾区新小岩一丁目３５番３号鳥益ビル店舗１階２号室,東京都葛飾区新小岩１丁目３５番３号,鳥益ビル店舗１階２号室,深井久美,,,,,,,201,昭和ＢＡＲ   グランブルー,03,,,,,東京都葛飾区新小岩１丁目３５番３号,東京都葛飾区新小岩１丁目３５番３号,鳥益ビル店舗１階２号室,75688,13,13122,新小岩１,,,2021/12/07,,,,深井久美 ,,,,,,,,,,,飲食店営業,,,,201_東京都_葛飾区保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,昭和ＢＡＲグランブル7568813122,5ae2fc08-3b96-4f7c-9292-b0cb468f9ea3,,personal,c5021f1d-16e6-4d1d-b4f2-48c5b1d4bb2d,2021/12/07,昭和ＢＡＲ　グランブルー,昭和ＢＡＲグランブル,
飲食店営業,※※※※※,,令和3年12月1日,東京都葛飾区,東京都葛飾区,,,,,,,,,201,※※※※※,03,,,,,東京都葛飾区,東京都葛飾区,,75636,13,13122,,,,2021/12/01,,,,,,,,,,,,,,,飲食店営業,,,,201_東京都_葛飾区保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,※※※※※7563613122,1f4e212d-fe9c-4af5-9364-884a04e897d6,,personal,d7d4869b-d376-460e-b15f-44d57bf35091,2021/12/01,※※※※※,※※※※※,
飲食店営業,吉野食品,,令和3年12月10日,東京都葛飾区東金町三丁目１９番６号本山ビル１Ｆ,東京都葛飾区東金町３丁目１９番６号,本山ビル１Ｆ,株式会社ＲＥＣＴＯ,,吉野晋平,東京都葛飾区水元五丁目４番１３号ガーデンハイムＫ・Ｉ２０２,東京都葛飾区水元５丁目４番１３号,ガーデンハイムＫ・Ｉ２０２,,201,吉野食品,03,,,,,東京都葛飾区東金町３丁目１９番６号,東京都葛飾区東金町３丁目１９番６号,本山ビル１Ｆ,75727,13,13122,東金町３,,,2021/12/10,,,株式会社ＲＥＣＴＯ,吉野晋平,,東京都葛飾区水元５丁目４番１３号,東京都葛飾区水元５丁目４番１３号,ガーデンハイムＫ・Ｉ２０２,75780,東京都,葛飾区,水元５,,,飲食店営業,,,,201_東京都_葛飾区保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,吉野食品7572713122,c57e0d22-0d4b-4d27-a19b-794d333f01ea,株式会社ＲＥＣＴＯ75780,14fec9a2-77be-4f77-9f38-b4270eb94c80,f37dd3aa-744f-4303-b0e4-7f99bc820769,2021/12/10,吉野食品,吉野食品,株式会社ＲＥＣＴＯ
飲食店営業,まんがランド亀有店,03-3838-5800,令和3年11月5日,東京都葛飾区亀有三丁目２９番１号リリオ弐番館１１３号室,東京都葛飾区亀有３丁目２９番１号,リリオ弐番館１１３号室,株式会社フォーチュン,03-5809-8600,山下潤一郎,東京都江東区門前仲町二丁目３番４号,東京都江東区門前仲町２丁目３番４号,,一致の場合削除日本料理　須田/まんがランド亀有店,201,まんがランド亀有店,03,03-3838-5800,,,,東京都葛飾区亀有３丁目２９番１号,東京都葛飾区亀有３丁目２９番１号,リリオ弐番館１１３号室,75670,13,13122,亀有３,,,2021/11/05,,,株式会社フォーチュン,山下潤一郎,03-5809-8600,東京都江東区門前仲町２丁目３番４号,東京都江東区門前仲町２丁目３番４号,,73744,東京都,江東区,門前仲町２,,,飲食店営業,,,,201_東京都_葛飾区保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,まんがランド亀有店03-3838-58007567013122,ebfcb653-7676-4bd4-a36f-e5796b35c1d0,株式会社フォーチュン73744,f4191e02-6c1d-4636-8ea4-4767a0259345,74d92782-223c-46fb-957f-dcbfabd9bfa4,2021/11/05,まんがランド亀有店,まんがランド亀有店,株式会社フォーチュン
飲食店営業,洋食や   三代目   たいめいけん,03-6662-6811,令和3年12月1日,東京都葛飾区亀有三丁目４９番３号アリオモール１階   １３４区画,東京都葛飾区亀有３丁目４９番３号,アリオモール１階 １３４区画,タカラ食品工業株式会社,03-3752-1186,佐々木康成,東京都大田区仲池上１丁目２１番１１号,東京都大田区仲池上１丁目２１番１１号,,一致の場合削除イトーヨーカ堂亀有店/洋食や　三代目　たいめいけん,201,洋食や   三代目   たいめいけん,03,03-6662-6811,,,,東京都葛飾区亀有３丁目４９番３号,東京都葛飾区亀有３丁目４９番３号,アリオモール１階 １３４区画,75670,13,13122,亀有３,,,2021/12/01,,,タカラ食品工業株式会社,佐々木康成,03-3752-1186,東京都大田区仲池上１丁目２１番１１号,東京都大田区仲池上１丁目２１番１１号,,74080,東京都,大田区,仲池上１,,,飲食店営業,,,,201_東京都_葛飾区保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,洋食や三代目たいめいけん03-6662-68117567013122,e8a8aff8-504c-4427-8eb9-41ec3f3c7e19,タカラ食品工業株式会社74080,dde6a534-d51c-4c68-8b10-938fe82407f6,eda8976d-a13c-4b8d-8f31-bb363aa92e3a,2021/12/01,洋食や　三代目　たいめいけん,洋食や三代目たいめいけん,タカラ食品工業株式会社
飲食店営業,東部地域病院   アモールトーワ   レストラン庭園,03-5682-1008,令和3年12月13日,東京都葛飾区亀有五丁目１４番１号,東京都葛飾区亀有５丁目１４番１号,,株式会社アモールトーワ,03-3620-7008,細谷武司,東京都足立区東和２丁目９番１１号,東京都足立区東和２丁目９番１１号,,,201,東部地域病院   アモールトーワ   レストラン庭園,03,03-5682-1008,,,,東京都葛飾区亀有５丁目１４番１号,東京都葛飾区亀有５丁目１４番１号,,75672,13,13122,亀有５,,,2021/12/13,,,株式会社アモールトーワ,細谷武司,03-3620-7008,東京都足立区東和２丁目９番１１号,東京都足立区東和２丁目９番１１号,,75496,東京都,足立区,東和２,,,飲食店営業,,,,201_東京都_葛飾区保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,東部地域病院アモルトワレストラン庭園03-5682-10087567213122,8b9098ad-2ca5-44b7-8b0a-427ff69db844,株式会社アモールトーワ75496,12161ec4-a305-42ae-9c49-ad08fd9369c6,15730b91-261d-4b51-83e8-bea1140d47c9,2021/12/13,東部地域病院　アモールトーワ　レストラン庭園,東部地域病院アモルトワレストラン庭園,株式会社アモールトーワ
飲食店営業,※※※※※,,令和3年11月19日,東京都葛飾区,東京都葛飾区,,,,,,,,,201,※※※※※,03,,,,,東京都葛飾区,東京都葛飾区,,75636,13,13122,,,,2021/11/19,,,,,,,,,,,,,,,飲食店営業,,,,201_東京都_葛飾区保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,※※※※※7563613122,1f4e212d-fe9c-4af5-9364-884a04e897d6,,personal,9310a698-cf93-4ad9-a82d-22e86cefba1a,2021/11/19,※※※※※,※※※※※,
飲食店営業,Ｔｉｇｒｅ,,令和3年12月28日,東京都葛飾区柴又七丁目６番１号,東京都葛飾区柴又７丁目６番１号,,加藤健,,,,,,,201,Ｔｉｇｒｅ,03,,,,,東京都葛飾区柴又７丁目６番１号,東京都葛飾区柴又７丁目６番１号,,75683,13,13122,柴又７,,,2021/12/28,,,,加藤健 ,,,,,,,,,,,飲食店営業,,,,201_東京都_葛飾区保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,Ｔｉｇｒｅ7568313122,40ec2da5-aebc-478e-a0db-3ef5cb912ff3,,personal,7b8f9d70-0fcc-4d85-bc28-1d9dc37c2359,2021/12/28,Ｔｉｇｒｅ,Ｔｉｇｒｅ,
飲食店営業,讃岐うどん   花もと,03-3627-6799,令和3年11月16日,東京都葛飾区東水元三丁目１２番１３号,東京都葛飾区東水元３丁目１２番１３号,,有限会社花元商事,03-3608-5905,竹石守員,東京都葛飾区東水元三丁目１７番１７号,東京都葛飾区東水元３丁目１７番１７号,,,201,讃岐うどん   花もと,03,03-3627-6799,,,,東京都葛飾区東水元３丁目１２番１３号,東京都葛飾区東水元３丁目１２番１３号,,75750,13,13122,東水元３,,,2021/11/16,,,有限会社花元商事,竹石守員,03-3608-5905,東京都葛飾区東水元３丁目１７番１７号,東京都葛飾区東水元３丁目１７番１７号,,75750,東京都,葛飾区,東水元３,,,飲食店営業,,,,201_東京都_葛飾区保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,讃岐うどん花もと03-3627-67997575013122,13475949-0623-497c-bacd-c7644fc4c399,有限会社花元商事75750,ab4cd559-30dd-4fcf-90e2-e046a73ad52e,f003886f-c5f5-49ab-94b4-4cfedbdb3df2,2021/11/16,讃岐うどん　花もと,讃岐うどん花もと,有限会社花元商事
