https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,郵便番号,施設-住所1,施設-住所2,施設-住所3,施設-住所4,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,許可期間開始日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,屋号,施設郵便番号,,"施設所在地
（市区町村）","施設所在地
（町域）","施設所在地
（番地等）","施設所在地
（マンション名等）",施設電話番号,業種,営業者氏名（個人又は法人名）,"営業者電話番号
（法人のみ）",初回許可年月日,許可年月日,許可開始日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
1,菓子工房　ＤＷＡＲＦ,8111302,福岡県,福岡市南区,井尻,三丁目１４番１２号,アバンセ井尻１０２号,092-572-3838,⑪ 菓子製造業,野田龍栄,,2021.12.27,2021.12.27,2021.12.27,福南保衛第2021210015号,,393,菓子工房　ＤＷＡＲＦ,092,092-572-3838,,,,福岡県　福岡市南区　井尻　三丁目１４番１２号,福岡県福岡市南区井尻３丁目１４番１２号,アバンセ井尻１０２号,200370,40,40134,井尻３,,2021/12/27,2021/12/27,2021/12/27,,,野田龍栄,,,,,,,,,福南保衛第2021210015号,,菓子製造業,,,,393_福岡県_南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),E,9,,,菓子工房ＤＷＡＲＦ092-572-383820037040134,46988b00-89ab-4123-95e3-2ffb6c8e840a,,personal,0935a9c6-0eb9-4554-b575-c9e131eb23e6,2021/12/27,菓子工房　ＤＷＡＲＦ,菓子工房ＤＷＡＲＦ,
2,ウォンシャチキン＆キンパ福岡市南区老司店,8111346,福岡県,福岡市南区,老司,二丁目７番３号,コンテナ店舗２,,① 飲食店営業,大野雅史,,2021.12.2,2021.12.2,2021.12.2,福南保衛第2021010096号,,393,ウォンシャチキン＆キンパ福岡市南区老司店,092,,,,,福岡県　福岡市南区　老司　二丁目７番３号,福岡県福岡市南区老司２丁目７番３号,コンテナ店舗２,200495,40,40134,老司２,,2021/12/02,2021/12/02,2021/12/02,,,大野雅史,,,,,,,,,福南保衛第2021010096号,,飲食店営業,,,,393_福岡県_南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,ウォンシャチキンキンパ福岡市南区老司店20049540134,5fef3e6b-3a98-4a87-864f-e7356b277a34,,personal,457fad39-d367-407d-aa04-2352471de127,2021/12/02,ウォンシャチキン＆キンパ福岡市南区老司店,ウォンシャチキンキンパ福岡市南区老司店,
3,ミドリ　ストア,8150033,福岡県,福岡市南区,大橋,二丁目１１番１２号,江川ビル１Ｆ,092-776-8180,㉕ そうざい製造業,竹島大樹,,2021.12.9,2021.12.9,2021.12.9,福南保衛第2021490015号,,393,ミドリ　ストア,092,092-776-8180,,,,福岡県　福岡市南区　大橋　二丁目１１番１２号,福岡県福岡市南区大橋２丁目１１番１２号,江川ビル１Ｆ,200515,40,40134,大橋２,,2021/12/09,2021/12/09,2021/12/09,,,竹島大樹,,,,,,,,,福南保衛第2021490015号,,そうざい製造業,,,,393_福岡県_南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),E,9,,,ミドリストア092-776-818020051540134,da0c4824-dfdf-4eee-ab07-f6744609811c,,personal,1c3c04ed-152a-400d-9a98-0ae5869c3fc2,2021/12/09,ミドリ　ストア,ミドリストア,
4,麺　きしや,8111353,福岡県,福岡市南区,柏原,一丁目２番７,１０１号,,① 飲食店営業,岸原誠,,2021.12.14,2021.12.14,2021.12.14,福南保衛第2021010102号,,393,麺　きしや,092,,,,,福岡県　福岡市南区　柏原　一丁目２番７,福岡県福岡市南区柏原１丁目２番７,１０１号,200388,40,40134,柏原１,,2021/12/14,2021/12/14,2021/12/14,,,岸原誠,,,,,,,,,福南保衛第2021010102号,,飲食店営業,,,,393_福岡県_南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,麺きしや20038840134,92b58ac6-7857-4577-b321-21eb0d8e0d48,,personal,f70e7016-824b-465d-9576-ef4c67a9ae5f,2021/12/14,麺　きしや,麺きしや,
5,小料理　桜,8111362,福岡県,福岡市南区,長住,五丁目９番３０号,,092-512-8033,① 飲食店営業,出口正美,,2021.12.6,2021.12.6,2021.12.6,福南保衛第2021010106号,,393,小料理　桜,092,092-512-8033,,,,福岡県　福岡市南区　長住　五丁目９番３０号,福岡県福岡市南区長住５丁目９番３０号,,200437,40,40134,長住５,,2021/12/06,2021/12/06,2021/12/06,,,出口正美,,,,,,,,,福南保衛第2021010106号,,飲食店営業,,,,393_福岡県_南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,小料理桜092-512-803320043740134,ecfc2810-05fe-432c-8d13-740b45721988,,personal,cf91af66-d7a0-4d57-865f-0d26bdb20d45,2021/12/06,小料理　桜,小料理桜,
6,樹樹,8111362,福岡県,福岡市南区,長住,五丁目９番３０号,,092-511-6838,① 飲食店営業,叶悦子,,2021.12.6,2021.12.6,2021.12.6,福南保衛第2021010108号,,393,樹樹,092,092-511-6838,,,,福岡県　福岡市南区　長住　五丁目９番３０号,福岡県福岡市南区長住５丁目９番３０号,,200437,40,40134,長住５,,2021/12/06,2021/12/06,2021/12/06,,,叶悦子,,,,,,,,,福南保衛第2021010108号,,飲食店営業,,,,393_福岡県_南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,樹樹092-511-683820043740134,33066567-bbf3-4080-abc6-a9dbcff4c3c2,,personal,9f9386ee-ee20-4ee6-bbf1-057b95275824,2021/12/06,樹樹,樹樹,
7,酒処　和,8111362,福岡県,福岡市南区,長住,五丁目９番３０号,,092-211-0753,① 飲食店営業,長濱知美,,2021.12.6,2021.12.6,2021.12.6,福南保衛第2021010109号,,393,酒処　和,092,092-211-0753,,,,福岡県　福岡市南区　長住　五丁目９番３０号,福岡県福岡市南区長住５丁目９番３０号,,200437,40,40134,長住５,,2021/12/06,2021/12/06,2021/12/06,,,長濱知美,,,,,,,,,福南保衛第2021010109号,,飲食店営業,,,,393_福岡県_南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,酒処和092-211-075320043740134,b9405872-cb27-4c88-bc59-f8aab4674a52,,personal,bb202b49-b71c-430a-b9b9-9f57ce3f431d,2021/12/06,酒処　和,酒処和,
8,惣菜イタリアン　しんじろう,8150083,福岡県,福岡市南区,高宮,三丁目８番３号,,,① 飲食店営業,村上真二郎,,2021.12.23,2021.12.23,2021.12.23,福南保衛第2021010110号,,393,惣菜イタリアン　しんじろう,092,,,,,福岡県　福岡市南区　高宮　三丁目８番３号,福岡県福岡市南区高宮３丁目８番３号,,200420,40,40134,高宮３,,2021/12/23,2021/12/23,2021/12/23,,,村上真二郎,,,,,,,,,福南保衛第2021010110号,,飲食店営業,,,,393_福岡県_南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,惣菜イタリアンしんじろう20042040134,083087c6-d4c5-4b5b-9281-5c624b5935df,,personal,2dfe3406-d282-4a5b-85d0-9e658933408d,2021/12/23,惣菜イタリアン　しんじろう,惣菜イタリアンしんじろう,
9,パティスリー　コイデ,8150075,福岡県,福岡市南区,長丘,五丁目２５番１０号,,092-511-3987,① 飲食店営業,小出淳一,,2021.12.1,2021.12.1,2022.1.1,福南保衛第2021015086号,,393,パティスリー　コイデ,092,092-511-3987,,,,福岡県　福岡市南区　長丘　五丁目２５番１０号,福岡県福岡市南区長丘５丁目２５番１０号,,200432,40,40134,長丘５,,2021/12/01,2021/12/01,2022/01/01,,,小出淳一,,,,,,,,,福南保衛第2021015086号,,飲食店営業,,,,393_福岡県_南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,パティスリコイデ092-511-398720043240134,e39f57b8-077a-4079-826b-2ab729ac3fdf,,personal,13312c4c-8269-43dc-9442-68c2712cc54b,2021/12/01,パティスリー　コイデ,パティスリコイデ,
