https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,郵便番号,施設-住所1,施設-住所2,施設-住所3,施設-住所4,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,許可期間開始日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,屋号,施設郵便番号,,"施設所在地
（市区町村）","施設所在地
（町域）","施設所在地
（番地等）","施設所在地
（マンション名等）",施設電話番号,業種,営業者氏名（個人又は法人名）,"営業者電話番号
（法人のみ）",初回許可年月日,許可年月日,許可開始日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
1,（株）マルキョウ柏原店,8111353,福岡県,福岡市南区,柏原,六丁目１９番１号,,092-566-3448,① 飲食店営業,株式会社マルキョウ,092-501-5221,2021.11.18,2021.11.18,2022.1.1,福南保衛第2021015074号,,393,（株）マルキョウ柏原店,092,092-566-3448,,,,福岡県　福岡市南区　柏原　六丁目１９番１号,福岡県福岡市南区柏原６丁目１９番１号,,200393,40,40134,柏原６,,2021/11/18,2021/11/18,2022/01/01,,株式会社マルキョウ,,092-501-5221,,,,,,,,福南保衛第2021015074号,,飲食店営業,,,,393_福岡県_南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,株式会社マルキョウ柏原店092-566-344820039340134,ff92e81f-0f63-48d8-96ad-47c6ff8eb257,株式会社マルキョウ,648d0522-3bc9-409e-b553-ef565c6195b4,e7a05e60-83e3-4763-be0d-84ff239864c7,2021/11/18,株式会社マルキョウ柏原店,株式会社マルキョウ柏原店,株式会社マルキョウ
2,（株）マルキョウ柏原店,8111353,福岡県,福岡市南区,柏原,六丁目１９番１号,,092-566-3448,③ 食肉販売業,株式会社マルキョウ,092-501-5221,2021.11.18,2021.11.18,2022.1.1,福南保衛第2021055005号,,393,（株）マルキョウ柏原店,092,092-566-3448,,,,福岡県　福岡市南区　柏原　六丁目１９番１号,福岡県福岡市南区柏原６丁目１９番１号,,200393,40,40134,柏原６,,2021/11/18,2021/11/18,2022/01/01,,株式会社マルキョウ,,092-501-5221,,,,,,,,福南保衛第2021055005号,,食肉販売業,,,,393_福岡県_南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,I,58,583,,株式会社マルキョウ柏原店092-566-344820039340134,ff92e81f-0f63-48d8-96ad-47c6ff8eb257,株式会社マルキョウ,648d0522-3bc9-409e-b553-ef565c6195b4,82483639-3285-4b76-9601-4523ac340ea6,2021/11/18,株式会社マルキョウ柏原店,株式会社マルキョウ柏原店,株式会社マルキョウ
3,ピザクックやよい坂店,8111352,福岡県,福岡市南区,鶴田,4-20-10,,092-565-1900,① 飲食店営業,株式会社イワタダイナース,092-581-0230,2021.11.26,2021.11.26,2022.1.1,福南保衛第2021015080号,,393,ピザクックやよい坂店,092,092-565-1900,,,,福岡県　福岡市南区　鶴田　4-20-10,福岡県福岡市南区鶴田４－２０－１０,,200535,40,40134,鶴田４,,2021/11/26,2021/11/26,2022/01/01,,株式会社イワタダイナース,,092-581-0230,,,,,,,,福南保衛第2021015080号,,飲食店営業,,,,393_福岡県_南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ピザクックやよい坂店092-565-190020053540134,6daac8e4-66d5-4848-be1e-ce1ccf716fc3,株式会社イワタダイナース,f7a5744c-58db-486e-8652-ffd683dde67b,51e2f5be-c4cc-439e-9056-9e362c7388a5,2021/11/26,ピザクックやよい坂店,ピザクックやよい坂店,株式会社イワタダイナース
4,博多じょうもんさん花畑市場内　肉のヒサダヤ,8111353,福岡県,福岡市南区,柏原,一丁目１番４２号,,,③ 食肉販売業,株式会社ヒサダヤ,092-325-0480,2021.11.17,2021.11.17,2021.11.17,福南保衛第2021050006号,,393,博多じょうもんさん花畑市場内　肉のヒサダヤ,092,,,,,福岡県　福岡市南区　柏原　一丁目１番４２号,福岡県福岡市南区柏原１丁目１番４２号,,200388,40,40134,柏原１,,2021/11/17,2021/11/17,2021/11/17,,株式会社ヒサダヤ,,092-325-0480,,,,,,,,福南保衛第2021050006号,,食肉販売業,,,,393_福岡県_南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,I,58,583,,博多じょうもんさん花畑市場内肉のヒサダヤ20038840134,5c19b322-8ef2-4a6d-b372-65bd5ee483f7,株式会社ヒサダヤ,9c57726b-22bc-4ca1-8de3-41078964bd25,efd05e59-daaf-484f-963a-43cb89ce7e93,2021/11/17,博多じょうもんさん花畑市場内　肉のヒサダヤ,博多じょうもんさん花畑市場内肉のヒサダヤ,株式会社ヒサダヤ
5,有限会社前田プランニング ,8111323,福岡県,福岡市南区,弥永,一丁目３４番３号,,092-585-5575,㉕ そうざい製造業,有限会社前田プランニング,092-585-5575,2021.11.12,2021.11.12,2022.1.1,福南保衛第2021495005号,,393,有限会社前田プランニング ,092,092-585-5575,,,,福岡県　福岡市南区　弥永　一丁目３４番３号,福岡県福岡市南区弥永１丁目３４番３号,,200479,40,40134,弥永１,,2021/11/12,2021/11/12,2022/01/01,,有限会社前田プランニング,,092-585-5575,,,,,,,,福南保衛第2021495005号,,そうざい製造業,,,,393_福岡県_南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,E,9,,,有限会社前田プランニング092-585-557520047940134,6a7d3278-6713-42fd-994f-bc6bed8e8c3a,有限会社前田プランニング,81452dc8-3da9-44b0-ae63-734ccf65416b,1718460f-87cd-486a-8538-1fb0e8a60e65,2021/11/12,有限会社前田プランニング　,有限会社前田プランニング,有限会社前田プランニング
6,盲養護老人ホーム特別養護老人ホーム松月園,8111346,福岡県,福岡市南区,老司,五丁目１２番４号,,092-564-2959,① 飲食店営業,日清医療食品株式会社,03-3287-3611,2021.11.25,2021.11.25,2022.1.1,福南保衛第2021015077号,,393,盲養護老人ホーム特別養護老人ホーム松月園,092,092-564-2959,,,,福岡県　福岡市南区　老司　五丁目１２番４号,福岡県福岡市南区老司５丁目１２番４号,,200498,40,40134,老司５,,2021/11/25,2021/11/25,2022/01/01,,日清医療食品株式会社,,03-3287-3611,,,,,,,,福南保衛第2021015077号,,飲食店営業,,,,393_福岡県_南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,盲養護老人ホム特別養護老人ホム松月園092-564-295920049840134,2bf38a91-7575-4068-9124-6452e02e47ba,日清医療食品株式会社,caed14bb-a0f4-4953-b6b1-63211d3b8f27,6fae9ca7-4a1f-47c0-8e5c-d284bbe4464b,2021/11/25,盲養護老人ホーム特別養護老人ホーム松月園,盲養護老人ホム特別養護老人ホム松月園,日清医療食品株式会社
7,炭肴,8150033,福岡県,福岡市南区,大橋,三丁目５番３７号,,092-952-0915,① 飲食店営業,株式会社新参,092-952-0915,2021.11.5,2021.11.5,2021.11.5,福南保衛第2021010097号,,393,炭肴,092,092-952-0915,,,,福岡県　福岡市南区　大橋　三丁目５番３７号,福岡県福岡市南区大橋３丁目５番３７号,,200516,40,40134,大橋３,,2021/11/05,2021/11/05,2021/11/05,,株式会社新参,,092-952-0915,,,,,,,,福南保衛第2021010097号,,飲食店営業,,,,393_福岡県_南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,炭肴092-952-091520051640134,8f4f55dc-228f-4a9b-a6ae-b5213eb5c380,株式会社新参,0d178104-55dd-407a-8a56-e841220cc83f,7b2ee562-8eeb-4b84-ab92-732d7d490f9f,2021/11/05,炭肴,炭肴,株式会社新参
8,炭肴,8150033,福岡県,福岡市南区,大橋,三丁目５番３７号,,092-952-0915,㉕ そうざい製造業,株式会社新参,092-952-0915,2021.11.5,2021.11.5,2021.11.5,福南保衛第2021490011号,,393,炭肴,092,092-952-0915,,,,福岡県　福岡市南区　大橋　三丁目５番３７号,福岡県福岡市南区大橋３丁目５番３７号,,200516,40,40134,大橋３,,2021/11/05,2021/11/05,2021/11/05,,株式会社新参,,092-952-0915,,,,,,,,福南保衛第2021490011号,,そうざい製造業,,,,393_福岡県_南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,E,9,,,炭肴092-952-091520051640134,8f4f55dc-228f-4a9b-a6ae-b5213eb5c380,株式会社新参,0d178104-55dd-407a-8a56-e841220cc83f,2b9d8697-1ebb-4477-a8a1-8953b4e5fb3b,2021/11/05,炭肴,炭肴,株式会社新参
9,スタミナ肉専門店　ハツラツ　大橋駅前店,8150033,福岡県,福岡市南区,大橋,一丁目１番１３号,ひがしビル１Ｆ,,① 飲食店営業,株式会社Be bloom,092-406-8678,2021.11.1,2021.11.1,2021.11.1,福南保衛第2021010095号,,393,スタミナ肉専門店　ハツラツ　大橋駅前店,092,,,,,福岡県　福岡市南区　大橋　一丁目１番１３号,福岡県福岡市南区大橋１丁目１番１３号,ひがしビル１Ｆ,200514,40,40134,大橋１,,2021/11/01,2021/11/01,2021/11/01,,株式会社Be bloom,,092-406-8678,,,,,,,,福南保衛第2021010095号,,飲食店営業,,,,393_福岡県_南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,スタミナ肉専門店ハツラツ大橋駅前店20051440134,8e07b504-7437-48da-8f50-37a0293d4ca0,株式会社Ｂｅ　ｂｌｏｏｍ,b49b7983-610d-4fd9-a4af-feacced78ab6,e4e3ecc6-4b21-4591-a2fb-90d9762887f8,2021/11/01,スタミナ肉専門店　ハツラツ　大橋駅前店,スタミナ肉専門店ハツラツ大橋駅前店,株式会社Ｂｅ　ｂｌｏｏｍ
