https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,郵便番号,施設-住所1,施設-住所2,施設-住所3,施設-住所4,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,許可期間開始日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,屋号,施設郵便番号,,"施設所在地
（市区町村）","施設所在地
（町域）","施設所在地
（番地等）","施設所在地
（マンション名等）",施設電話番号,業種,営業者氏名（個人又は法人名）,"営業者電話番号
（法人のみ）",初回許可年月日,許可年月日,許可開始日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
1,ハローデイ　ボンラパス百道店,8140001,福岡県,福岡市早良区,百道浜,1-2-1,,092-847-8500,⑪ 菓子製造業,株式会社ハローデイ,093-963-4780,"金曜日, 12月 10, 2021","金曜日, 12月 10, 2021","金曜日, 12月 10, 2021",福早保衛第2021210018号,,394,ハローデイ　ボンラパス百道店,092,092-847-8500,,,,福岡県　福岡市早良区　百道浜　1-2-1,福岡県福岡市早良区百道浜１－２－１,,200950,40,40137,百道浜１,,2021/12/10,2021/12/10,2021/12/10,,株式会社ハローデイ,,093-963-4780,,,,,,,,福早保衛第2021210018号,,菓子製造業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,E,9,,,ハロデイボンラパス百道店092-847-850020095040137,06353f7c-05b0-4ea2-a31d-4a68124b24c9,株式会社ハローデイ,3b102f62-8170-4701-b9c9-3a5934247013,8e815ce4-4168-48f7-93e3-b4bb623d81f6,2021/12/10,ハローデイ　ボンラパス百道店,ハロデイボンラパス百道店,株式会社ハローデイ
2,からざステーション日清医療食品事業所,8140171,福岡県,福岡市早良区,野芥五丁目,６番３８号,,092-865-1517,① 飲食店営業,日清医療食品株式会社,03-3287-3611,"金曜日, 12月 17, 2021","金曜日, 12月 17, 2021","土曜日, 1月 01, 2022",福早保衛第2021015116号,,394,からざステーション日清医療食品事業所,092,092-865-1517,,,,福岡県　福岡市早良区　野芥五丁目　６番３８号,福岡県福岡市早良区野芥５丁目６番３８号,,200891,40,40137,野芥５,,2021/12/17,2021/12/17,2022/01/01,,日清医療食品株式会社,,03-3287-3611,,,,,,,,福早保衛第2021015116号,,飲食店営業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,からざステション日清医療食品事業所092-865-151720089140137,20a41d16-b901-40e8-a85d-a2c64259fc70,日清医療食品株式会社,caed14bb-a0f4-4953-b6b1-63211d3b8f27,8a44aecf-4612-4f4c-abbe-da7123fdff7e,2021/12/17,からざステーション日清医療食品事業所,からざステション日清医療食品事業所,日清医療食品株式会社
3,プチ　パレット,8140002,福岡県,福岡市早良区,西新5丁目,4番19号,,092-822-0400,⑪ 菓子製造業,有限会社エス・エフ・マーケット,092-823-1248,"月曜日, 12月 06, 2021","月曜日, 12月 06, 2021","月曜日, 12月 06, 2021",福早保衛第2021210011号,,394,プチ　パレット,092,092-822-0400,,,,福岡県　福岡市早良区　西新5丁目　4番19号,福岡県福岡市早良区西新５丁目４番１９号,,200883,40,40137,西新５,,2021/12/06,2021/12/06,2021/12/06,,有限会社エス・エフ・マーケット,,092-823-1248,,,,,,,,福早保衛第2021210011号,,菓子製造業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,E,9,,,プチパレット092-822-040020088340137,761d46d6-cc6e-4ba3-a81e-8cdb24d9ee8a,有限会社エス・エフ・マーケット,d6e8e00f-9bd9-45fe-90df-8cbe777642d4,b862f047-8693-490e-a1c1-793d0aeed0b9,2021/12/06,プチ　パレット,プチパレット,有限会社エス・エフ・マーケット
4,KATURI,8140022,福岡県,福岡市早良区,原５丁目３－４５,,,,① 飲食店営業,合同会社Ａｌｄｅｓｉｇｎ,092-203-6409,"金曜日, 12月 03, 2021","金曜日, 12月 03, 2021","金曜日, 12月 03, 2021",福早保衛第2021010088号,,394,KATURI,092,,,,,福岡県　福岡市早良区　原５丁目３－４５　,福岡県福岡市早良区原５丁目３－４５,,200900,40,40137,原５,,2021/12/03,2021/12/03,2021/12/03,,合同会社Ａｌｄｅｓｉｇｎ,,092-203-6409,,,,,,,,福早保衛第2021010088号,,飲食店営業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ＫＡＴＵＲＩ20090040137,22898f64-2657-41df-8f05-ab446396160b,合同会社Ａｌｄｅｓｉｇｎ,e640fa9f-9031-4c4c-b619-dacf846177a9,64861198-914f-43d3-aee9-a2e0d23bcb34,2021/12/03,ＫＡＴＵＲＩ,ＫＡＴＵＲＩ,合同会社Ａｌｄｅｓｉｇｎ
5,有限会社鐘千,8140022,福岡県,福岡市早良区,原6丁目,11-1,,092-822-6676,④ 魚介類販売業,有限会社鐘千,092-822-6676,"水曜日, 12月 01, 2021","水曜日, 12月 01, 2021","土曜日, 1月 01, 2022",福早保衛第2021075006号,,394,有限会社鐘千,092,092-822-6676,,,,福岡県　福岡市早良区　原6丁目　11-1,福岡県福岡市早良区原６丁目１１－１,,200901,40,40137,原６,,2021/12/01,2021/12/01,2022/01/01,,有限会社鐘千,,092-822-6676,,,,,,,,福早保衛第2021075006号,,魚介類販売業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,I,58,,,有限会社鐘千092-822-667620090140137,2fd07c01-549c-4397-9843-16866590c26b,有限会社鐘千,1844ece2-dea0-4392-9867-e6857202ea27,d624167c-a9ff-477c-a065-eaf11f2cb014,2021/12/01,有限会社鐘千,有限会社鐘千,有限会社鐘千
6,黒田屋　原店,8140022,福岡県,福岡市早良区,原五丁目,１４番１号,,092-843-0215,① 飲食店営業,株式会社黒田屋,092-565-0247,"火曜日, 12月 07, 2021","火曜日, 12月 07, 2021","土曜日, 1月 01, 2022",福早保衛第2021015113号,,394,黒田屋　原店,092,092-843-0215,,,,福岡県　福岡市早良区　原五丁目　１４番１号,福岡県福岡市早良区原５丁目１４番１号,,200900,40,40137,原５,,2021/12/07,2021/12/07,2022/01/01,,株式会社黒田屋,,092-565-0247,,,,,,,,福早保衛第2021015113号,,飲食店営業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,黒田屋原店092-843-021520090040137,2c0b8677-8d68-4eee-933e-d2529ecd16d6,株式会社黒田屋,7b2ccaa5-a709-4327-95e7-aed226e5a210,d70826f7-a68e-4b65-9347-22e836c30bf8,2021/12/07,黒田屋　原店,黒田屋原店,株式会社黒田屋
7,山本苑,8140003,福岡県,福岡市早良区,城西三丁目,２１番２７号,,092-822-7817,① 飲食店営業,株式会社やまもと商店,092-522-3458,"木曜日, 12月 09, 2021","木曜日, 12月 09, 2021","土曜日, 1月 01, 2022",福早保衛第2021015114号,,394,山本苑,092,092-822-7817,,,,福岡県　福岡市早良区　城西三丁目　２１番２７号,福岡県福岡市早良区城西３丁目２１番２７号,,200860,40,40137,城西３,,2021/12/09,2021/12/09,2022/01/01,,株式会社やまもと商店,,092-522-3458,,,,,,,,福早保衛第2021015114号,,飲食店営業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,山本苑092-822-781720086040137,d51b9402-803d-4782-a732-4b42c674c7d0,株式会社やまもと商店,20e65b0a-0adc-4d60-b6fb-985496e0396f,cff5c624-3792-49ae-8086-da9e644b773f,2021/12/09,山本苑,山本苑,株式会社やまもと商店
8,HACHID8RI,8140002,福岡県,福岡市早良区,西新,5丁目１−１１,Big Luck 8 - 2F,,① 飲食店営業,篠崎絵梨奈,,"月曜日, 12月 06, 2021","月曜日, 12月 06, 2021","土曜日, 1月 01, 2022",福早保衛第2021015111号,,394,HACHID8RI,092,,,,,福岡県　福岡市早良区　西新　5丁目１−１１,福岡県福岡市早良区西新５丁目１−１１,Big Luck 8 - 2F,200883,40,40137,西新５,,2021/12/06,2021/12/06,2022/01/01,,,篠崎絵梨奈,,,,,,,,,福早保衛第2021015111号,,飲食店営業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ＨＡＣＨＩＤ８ＲＩ20088340137,6b2d08c4-8a4f-4b1e-b48f-4bf9a9be565a,,personal,a169e013-619f-46eb-ac34-6753f7dcbc34,2021/12/06,ＨＡＣＨＩＤ８ＲＩ,ＨＡＣＨＩＤ８ＲＩ,
9,井手餃子,8140161,福岡県,福岡市早良区,飯倉七丁目,３番１号,,,㉕ そうざい製造業,井手真梨子,,"火曜日, 12月 07, 2021","火曜日, 12月 07, 2021","火曜日, 12月 07, 2021",福早保衛第2021490016号,,394,井手餃子,092,,,,,福岡県　福岡市早良区　飯倉七丁目　３番１号,福岡県福岡市早良区飯倉７丁目３番１号,,200812,40,40137,飯倉７,,2021/12/07,2021/12/07,2021/12/07,,,井手真梨子,,,,,,,,,福早保衛第2021490016号,,そうざい製造業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,E,9,,,井手餃子20081240137,ae4f4b3c-8cbf-44ef-a3e2-0a417eb1a57d,,personal,cb2a4be6-f321-49c5-80fc-09a06fb15bda,2021/12/07,井手餃子,井手餃子,
