https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
業種,確認番号,許可年月日,許可期間開始日,許可期間終了日,施設名,施設-住所1,施設-住所2,施設-電話番号1,申請者1,申請者2,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許可業種,許可番号,許可年月日,許可期間_開始,許可期間_終了,屋号名称,,営業所住所,所在地電話番号,申請者氏名,代表者氏名,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
飲食店営業（仮設）,503-12016,2021/10/22,2021/10/22,2026/10/31,株式会社プレミア門司港ホテルマネジメント,福岡県,北九州市内一円,,株式会社プレミア門司港ホテルマネジメント,齋藤　孝司,,,株式会社プレミア門司港ホテルマネジメント,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/10/22,2021/10/22,2026/10/31,株式会社プレミア門司港ホテルマネジメント,齋藤　孝司,,,,,,,,,503-12016,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年09月-2021年10月_末日,M,76,,,株式会社プレミア門司港ホテルマネジメント,95a82dcc-e3ae-4c8f-a0b3-4daf7d9c7be2,株式会社プレミア門司港ホテルマネジメント,c6febe27-d0fe-4230-b93c-cc96b17b4156,9b125404-3a92-467e-9fbd-3b654d2a9909,2021/10/22,株式会社プレミア門司港ホテルマネジメント,株式会社プレミア門司港ホテルマネジメント,株式会社プレミア門司港ホテルマネジメント
飲食店営業（仮設）,503-22287,2021/9/15,2021/9/15,2026/9/30,Sweets`n'cafe ＆U=And you～アンジュ～,福岡県,北九州市内一円,,横井　里江,,,,Sweets`n'cafe ＆U=And you～アンジュ～,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/09/15,2021/09/15,2026/09/30,,横井　里江 ,,,,,,,,,503-22287,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年09月-2021年10月_末日,M,76,,,Ｓｗｅｅｔｓ｀ｎｃａｆｅＵＡｎｄｙｏｕアンジュ,69549a72-cc0a-4fd3-aadb-901281925df1,,personal,3fc4f802-f682-4336-a5d4-a8de59ed37fb,2021/09/15,Ｓｗｅｅｔｓ｀ｎ＇ｃａｆｅ　＆Ｕ＝Ａｎｄ　ｙｏｕ～アンジュ～,Ｓｗｅｅｔｓ｀ｎｃａｆｅＵＡｎｄｙｏｕアンジュ,
飲食店営業（仮設）,503-22288,2021/9/28,2021/10/1,2026/9/30,門司港ちゃんらー倶楽部,福岡県,北九州市内一円,,植木　慈之,,,,門司港ちゃんらー倶楽部,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/09/28,2021/10/01,2026/09/30,,植木　慈之 ,,,,,,,,,503-22288,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年09月-2021年10月_末日,M,76,,,門司港ちゃんら倶楽部,e9968647-651d-4663-b833-dc425d94a412,,personal,cb864ec3-bf1a-4e94-bf66-cce734975110,2021/09/28,門司港ちゃんらー倶楽部,門司港ちゃんら倶楽部,
飲食店営業（仮設）,503-22289,2021/9/27,2021/10/1,2026/9/30,ますらお,福岡県,北九州市内一円,,﨑田　丈夫,,,,ますらお,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/09/27,2021/10/01,2026/09/30,,﨑田　丈夫 ,,,,,,,,,503-22289,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年09月-2021年10月_末日,M,76,,,ますらお,415666c1-159f-41fe-a34d-a158331070cc,,personal,8d65f32f-b863-4c7f-85bc-2a2ce9b0a2d0,2021/09/27,ますらお,ますらお,
飲食店営業（仮設）,503-22297,2021/10/1,2021/11/1,2026/10/31,お福,福岡県,北九州市内一円,,株式会社お福,新井　桂植,,,お福,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/10/01,2021/11/01,2026/10/31,株式会社お福,新井　桂植,,,,,,,,,503-22297,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年09月-2021年10月_末日,M,76,,,お福,f718a116-82be-4081-98d0-1cdc37f000c2,株式会社お福,b3f5d256-454d-447b-a834-4a92956d72f2,326c3841-948f-469f-bedd-7c229cef76f6,2021/10/01,お福,お福,株式会社お福
飲食店営業（仮設）,503-22301,2021/10/6,2021/11/1,2026/10/31,ＢＵＴＡＢＡＲきれんじ家,福岡県,北九州市内一円,,末永　聡史,,,,ＢＵＴＡＢＡＲきれんじ家,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/10/06,2021/11/01,2026/10/31,,末永　聡史 ,,,,,,,,,503-22301,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年09月-2021年10月_末日,M,76,,,ＢＵＴＡＢＡＲきれんじ家,101dc2c5-682f-4f57-b22c-dd04f9b4b990,,personal,3d47fceb-2287-493f-86eb-b501aeae2dc9,2021/10/06,ＢＵＴＡＢＡＲきれんじ家,ＢＵＴＡＢＡＲきれんじ家,
飲食店営業（仮設）,503-22304,2021/10/18,2021/11/1,2026/10/31,ＳＦＴ,福岡県,北九州市内一円,,ソーシャルファーム髙山株式会社,髙山　多美子,,,ＳＦＴ,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/10/18,2021/11/01,2026/10/31,ソーシャルファーム髙山株式会社,髙山　多美子,,,,,,,,,503-22304,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年09月-2021年10月_末日,M,76,,,ＳＦＴ,a04660c8-a6bf-4ed4-83b5-a902ef29b37c,ソーシャルファーム髙山株式会社,d012a89d-bcc9-498b-b9da-d2c46cab6876,c8cbf916-0d39-4a0d-b372-46aeaf8586c9,2021/10/18,ＳＦＴ,ＳＦＴ,ソーシャルファーム髙山株式会社
飲食店営業（仮設）,503-22314,2021/10/13,2021/10/13,2026/10/31,翠晃園,福岡県,北九州市内一円,,﨑田　久磨刀,,,,翠晃園,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/10/13,2021/10/13,2026/10/31,,﨑田　久磨刀 ,,,,,,,,,503-22314,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年09月-2021年10月_末日,M,76,,,翠晃園,4a23eee4-ac84-4b6f-beda-966603799feb,,personal,aee1d26a-3879-411f-a810-bb3096343620,2021/10/13,翠晃園,翠晃園,
飲食店営業（仮設）,503-22315,2021/10/15,2021/11/1,2026/10/31,バニーズ,福岡県,北九州市内一円,,堀尾　尚希,,,,バニーズ,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/10/15,2021/11/01,2026/10/31,,堀尾　尚希 ,,,,,,,,,503-22315,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年09月-2021年10月_末日,M,76,,,バニズ,9ea8517b-31da-424f-9619-b0d1daf81530,,personal,2df57fc6-ce7b-4117-b2b8-ff75d3fc5d72,2021/10/15,バニーズ,バニズ,
飲食店営業（仮設）,503-22319,2021/10/18,2021/11/1,2026/10/31,いこい作業所,福岡県,北九州市内一円,513-6644,ＮＰＯ法人福祉事業大輪の花,中西　和也,,,いこい作業所,,093-513-6644,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/10/18,2021/11/01,2026/10/31,ＮＰＯ法人福祉事業大輪の花,中西　和也,,,,,,,,,503-22319,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年09月-2021年10月_末日,M,76,,,いこい作業所093-513-6644,38d0414b-8adb-447e-81ac-8e673cb47cb3,ＮＰＯ法人福祉事業大輪の花,7eec7465-3325-448b-9e24-9a7f4876aeba,919add4c-0740-4f48-a65e-d517a1d0b629,2021/10/18,いこい作業所,いこい作業所,ＮＰＯ法人福祉事業大輪の花
