https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,郵便番号,施設-住所1,施設-住所2,施設-電話番号1,業種,業態,開業年月日,許可年月日,申請者1,申請-電話番号1,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業所（屋号）名,営業所郵便番号,,営業所所在地,営業所電話番号,業種,業態,初回許可日,許可年月日,申請者名,申請者電話番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
うみ,811-0118,福岡県,糟屋郡新宮町大字相島１３１０番地,,飲食店営業,一般食堂,R04.01.04,R04.01.04,峰　清二,,,400,うみ,092,,,,,福岡県　糟屋郡新宮町大字相島１３１０番地,福岡県糟屋郡新宮町相島１３１０番地,,204026,40,40345,相島,,2022/01/04,2022/01/04,,,,峰　清二,,,,,,,,,,,飲食店営業, 一般食堂,,,400_福岡県_粕屋保健福祉事務所_食品衛生()_2022年01月_末日,M,76,,,うみ20402640345,c866b910-9a1a-4253-8756-44c4c59fc988,,personal,78a25fdd-96e8-4142-bf2c-a76578207afb,2022/01/04,うみ,うみ,
ごまさば専門店竜宮の鯖,811-2123,福岡県,糟屋郡宇美町光正寺１丁目５番４１号,,飲食店営業,一般食堂,R04.01.05,R04.01.05,合同会社ＳＡＢＡＳＡＢＡ－ＹＡ,,,400,ごまさば専門店竜宮の鯖,092,,,,,福岡県　糟屋郡宇美町光正寺１丁目５番４１号,福岡県糟屋郡宇美町光正寺１丁目５番４１号,,203863,40,40341,光正寺１,,2022/01/05,2022/01/05,,,合同会社ＳＡＢＡＳＡＢＡ－ＹＡ,,,,,,,,,,,,飲食店営業, 一般食堂,,,400_福岡県_粕屋保健福祉事務所_食品衛生()_2022年01月_末日,M,76,,,ごまさば専門店竜宮の鯖20386340341,c840d14f-c02b-4b2f-b092-eabb4ec9f022,合同会社ＳＡＢＡＳＡＢＡ－ＹＡ,b5ca9b03-3d06-472c-8d0d-dfe89b7975e6,561ebf5b-0da4-40cc-b618-e293d4dfa7ca,2022/01/05,ごまさば専門店竜宮の鯖,ごまさば専門店竜宮の鯖,合同会社ＳＡＢＡＳＡＢＡ－ＹＡ
株式会社アキラ・トータルプランニング古賀工場,811-3105,福岡県,古賀市鹿部３３５－６６,092-710-8228  ,水産製品製造業,水産製品,R04.01.05,R04.01.05,株式会社アキラ・トータルプランニング,092-732-6668  ,,400,株式会社アキラ・トータルプランニング古賀工場,092,092-710-8228,,,,福岡県　古賀市鹿部３３５－６６,福岡県古賀市鹿部３３５－６６,,203024,40,40223,鹿部,,2022/01/05,2022/01/05,,,株式会社アキラ・トータルプランニング,,092-732-6668  ,,,,,,,,,,水産製品製造業, 水産製品,,,400_福岡県_粕屋保健福祉事務所_食品衛生()_2022年01月_末日,E,9,92,,株式会社アキラトタルプランニング古賀工場092-710-822820302440223,aca07eea-b499-4e08-9698-48fb06d70d23,株式会社アキラ・トータルプランニング,7ef7fa88-8a37-496a-b406-9a3e0c565768,0317ae71-7898-4eee-b5bb-57ad53fa31a2,2022/01/05,株式会社アキラ・トータルプランニング古賀工場,株式会社アキラトタルプランニング古賀工場,株式会社アキラ・トータルプランニング
株式会社ピエトロ古賀第一工場,811-3105,福岡県,古賀市鹿部３３５－４３,092-943-7750  ,密封包装食品製造業,密封包装,R04.01.13,R04.01.13,株式会社ピエトロ,092-716-0300  ,,400,株式会社ピエトロ古賀第一工場,092,092-943-7750,,,,福岡県　古賀市鹿部３３５－４３,福岡県古賀市鹿部３３５－４３,,203024,40,40223,鹿部,,2022/01/13,2022/01/13,,,株式会社ピエトロ,,092-716-0300  ,,,,,,,,,,密封包装食品製造業, 密封包装,,,400_福岡県_粕屋保健福祉事務所_食品衛生()_2022年01月_末日,E,9,,,株式会社ピエトロ古賀第一工場092-943-775020302440223,f45a34b2-391e-428b-868c-ac8f1d5e253c,株式会社ピエトロ,794ae74a-2375-419e-8315-8c898366cf9f,3c434697-58e2-4cdc-82f8-b60d5b16f0c7,2022/01/13,株式会社ピエトロ古賀第一工場,株式会社ピエトロ古賀第一工場,株式会社ピエトロ
株式会社ピエトロ古賀第二工場,811-3105,福岡県,古賀市鹿部３３５－４０,092-943-7756  ,密封包装食品製造業,密封包装,R04.01.13,R04.01.13,株式会社ピエトロ,092-716-0300  ,,400,株式会社ピエトロ古賀第二工場,092,092-943-7756,,,,福岡県　古賀市鹿部３３５－４０,福岡県古賀市鹿部３３５－４０,,203024,40,40223,鹿部,,2022/01/13,2022/01/13,,,株式会社ピエトロ,,092-716-0300  ,,,,,,,,,,密封包装食品製造業, 密封包装,,,400_福岡県_粕屋保健福祉事務所_食品衛生()_2022年01月_末日,E,9,,,株式会社ピエトロ古賀第二工場092-943-775620302440223,ed8b91ad-453e-483c-b5fd-1e4a904675dd,株式会社ピエトロ,794ae74a-2375-419e-8315-8c898366cf9f,4f72df75-6da8-47ad-a530-5673576a74b2,2022/01/13,株式会社ピエトロ古賀第二工場,株式会社ピエトロ古賀第二工場,株式会社ピエトロ
からふく空港通り店,811-2233,福岡県,糟屋郡志免町別府北１－１２－８,092-611-8808  ,飲食店営業,そうざい,R04.01.19,R04.01.19,有限会社デリカ川崎,0948-22-6565  ,,400,からふく空港通り店,092,092-611-8808,,,,福岡県　糟屋郡志免町別府北１－１２－８,福岡県糟屋郡志免町別府北１－１２－８,,204020,40,40343,別府北１,,2022/01/19,2022/01/19,,,有限会社デリカ川崎,,0948-22-6565  ,,,,,,,,,,飲食店営業, そうざい,,,400_福岡県_粕屋保健福祉事務所_食品衛生()_2022年01月_末日,M,76,,,からふく空港通り店092-611-880820402040343,f6f13e52-c3e3-4208-aea2-71c457c72261,有限会社デリカ川崎,8d3105d4-863e-461b-b50f-5aefb4c25f1f,ed92d0c6-26ff-4d37-883d-279a1bd6dca2,2022/01/19,からふく空港通り店,からふく空港通り店,有限会社デリカ川崎
スタジオＢＥＢＯＰ,811-0123,福岡県,糟屋郡新宮町上府北２丁目９番６０号,092-963-0895  ,飲食店営業,めん類,R04.01.24,R04.01.24,有限会社ビ・バップ,092-963-0895  ,,400,スタジオＢＥＢＯＰ,092,092-963-0895,,,,福岡県　糟屋郡新宮町上府北２丁目９番６０号,福岡県糟屋郡新宮町上府北２丁目９番６０号,,204079,40,40345,上府北２,,2022/01/24,2022/01/24,,,有限会社ビ・バップ,,092-963-0895  ,,,,,,,,,,飲食店営業, めん類,,,400_福岡県_粕屋保健福祉事務所_食品衛生()_2022年01月_末日,M,76,,,スタジオＢＥＢＯＰ092-963-089520407940345,0deb62bd-f811-4bbe-b528-1868500a69cb,有限会社ビ・バップ,cacda73c-3261-41a3-a5d0-48ee682a17fe,1acb7e2d-d3a2-4aa7-99c4-82b97a8f6f70,2022/01/24,スタジオＢＥＢＯＰ,スタジオＢＥＢＯＰ,有限会社ビ・バップ
優煙,811-3125,福岡県,古賀市谷山８４１－４,,飲食店営業,居酒屋,R04.01.24,R04.01.24,坪井　省太郎,,,400,優煙,092,,,,,福岡県　古賀市谷山８４１－４,福岡県古賀市谷山８４１－４,,203027,40,40223,谷山,,2022/01/24,2022/01/24,,,,坪井　省太郎,,,,,,,,,,,飲食店営業, 居酒屋,,,400_福岡県_粕屋保健福祉事務所_食品衛生()_2022年01月_末日,M,76,,,優煙20302740223,08f5ff6e-19ee-4ec7-bc0d-2245a8e4da28,,personal,7f1bf546-e47c-4594-948e-16c63b60507f,2022/01/24,優煙,優煙,
内食レストラン福岡志免町店,811-2205,福岡県,糟屋郡志免町別府４丁目１８番８号,092-937-0052  ,飲食店営業,給食,R04.01.25,R04.01.25,株式会社日本シルバー食品,06-6910-7117  ,,400,内食レストラン福岡志免町店,092,092-937-0052,,,,福岡県　糟屋郡志免町別府４丁目１８番８号,福岡県糟屋郡志免町別府４丁目１８番８号,,204019,40,40343,別府４,,2022/01/25,2022/01/25,,,株式会社日本シルバー食品,,06-6910-7117  ,,,,,,,,,,飲食店営業, 給食,,,400_福岡県_粕屋保健福祉事務所_食品衛生()_2022年01月_末日,M,76,,,内食レストラン福岡志免町店092-937-005220401940343,12db76e6-645c-4d64-aff5-fc70e228edf2,株式会社日本シルバー食品,280f922c-b9d3-4412-89a6-8976ad3c3620,7822de0f-f485-4eda-b235-71596671840b,2022/01/25,内食レストラン福岡志免町店,内食レストラン福岡志免町店,株式会社日本シルバー食品
鯨家いすず庵,811-2503,福岡県,糟屋郡久山町大字猪野字五反田５４８番１,              ,飲食店営業,めん類,R04.01.27,R04.01.27,會田　健一郎,,,400,鯨家いすず庵,092,,,,,福岡県　糟屋郡久山町大字猪野字五反田５４８番１,福岡県糟屋郡久山町猪野字五反田５４８番１,,204094,40,40348,猪野,,2022/01/27,2022/01/27,,,,會田　健一郎,,,,,,,,,,,飲食店営業, めん類,,,400_福岡県_粕屋保健福祉事務所_食品衛生()_2022年01月_末日,M,76,,,鯨家いすず庵20409440348,5762fdeb-a485-4519-969c-e32b6d40a047,,personal,3b554535-9593-4fb6-bdf5-a77e1bc04d65,2022/01/27,鯨家いすず庵,鯨家いすず庵,
