https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,郵便番号,施設-住所1,施設-住所2,施設-マンション名,施設-電話番号1,申請者1,開業年月日,許可年月日,許可期間終了日,,業種,業態,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設＿名称（屋号・商号）１,施設＿郵便番号,,所在地１,所在地２,施設＿電話番号１（所在地）,申請者＿申請者名,初回許可年月日,許可年月日,営業の期間＿終了日,廃止年月日,業種,業態,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
花だより,824-0045,福岡県,行橋市大谷１６８０番地１２,,0930-58-9040  ,松井　勝亮,R04.01.04,R04.01.04,R09.06.30,        ,飲食店営業,軽食喫茶,,406,花だより,0930,0930-58-9040,,,,福岡県　行橋市大谷１６８０番地１２,福岡県行橋市大谷１６８０番地１２,,201861,40,40213,大谷,,2022/01/04,2022/01/04,,2027/06/30,,松井　勝亮,,,,,,,,,,,飲食店営業, 軽食喫茶,,,406_福岡県_京築保健福祉環境事務所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,花だより0930-58-904020186140213,9fdffba2-4ac4-40f1-a6ec-c484b4556b0c,,personal,aae9e862-6a2b-4cb4-8d16-0b72a4c884b1,2022/01/04,花だより,花だより,
大鶴酒店,824-0005,福岡県,行橋市中央３丁目３－２２,,0930-22-0274  ,大鶴　修二郎,R04.01.13,R04.01.13,R10.03.31,        ,飲食店営業,酒房,,406,大鶴酒店,0930,0930-22-0274,,,,福岡県　行橋市中央３丁目３－２２,福岡県行橋市中央３丁目３－２２,,201916,40,40213,中央３,,2022/01/13,2022/01/13,,2028/03/31,,大鶴　修二郎,,,,,,,,,,,飲食店営業, 酒房,,,406_福岡県_京築保健福祉環境事務所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,大鶴酒店0930-22-027420191640213,69c48242-dfad-4b79-bcdb-18440e70b538,,personal,3a358ea5-4992-477e-af5c-576a352bb860,2022/01/13,大鶴酒店,大鶴酒店,
ローソン行橋西宮市五丁目店,824-0031,福岡県,行橋市西宮市５－３－２５,,0930-25-5777  ,株式会社スリーエス,R04.01.14,R04.01.14,R11.03.31,        ,飲食店営業,コンビニ,,406,ローソン行橋西宮市五丁目店,0930,0930-25-5777,,,,福岡県　行橋市西宮市５－３－２５,福岡県行橋市西宮市５－３－２５,,201924,40,40213,西宮市５,,2022/01/14,2022/01/14,,2029/03/31,株式会社スリーエス,,,,,,,,,,,,飲食店営業, コンビニ,,,406_福岡県_京築保健福祉環境事務所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,ロソン行橋西宮市五丁目店0930-25-577720192440213,fdd73033-8e2a-49a5-89de-3402aaa9aeff,株式会社スリーエス,d615bc12-017b-4881-9252-08be98cd6674,740c7cd4-bf4a-4e09-8514-c7ab0cf1c4af,2022/01/14,ローソン行橋西宮市五丁目店,ロソン行橋西宮市五丁目店,株式会社スリーエス
ホットドッグ,800-0365,福岡県,京都郡苅田町苅田１１１８－６９,,              ,株式会社LUCENT CREW,R04.01.14,R04.01.14,R10.11.30,        ,飲食店営業,一般食堂,,406,ホットドッグ,093,,,,,福岡県　京都郡苅田町苅田１１１８－６９,福岡県京都郡苅田町苅田１１１８－６９,,204492,40,40621,苅田,,2022/01/14,2022/01/14,,2028/11/30,株式会社LUCENT CREW,,,,,,,,,,,,飲食店営業, 一般食堂,,,406_福岡県_京築保健福祉環境事務所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,ホットドッグ20449240621,678f5c91-d66e-408d-b8f3-61f69da9982b,株式会社ＬＵＣＥＮＴ　ＣＲＥＷ,91c77f31-96ba-48bf-9c44-585d4708f049,01dd818b-d408-450b-9918-c6ae7c9f43f4,2022/01/14,ホットドッグ,ホットドッグ,株式会社ＬＵＣＥＮＴ　ＣＲＥＷ
おにぎりお弁当屋,800-0365,福岡県,京都郡苅田町苅田１１１８－６９,,              ,株式会社AMZEST,R04.01.14,R04.01.14,R10.11.30,        ,飲食店営業,一般食堂,,406,おにぎりお弁当屋,093,,,,,福岡県　京都郡苅田町苅田１１１８－６９,福岡県京都郡苅田町苅田１１１８－６９,,204492,40,40621,苅田,,2022/01/14,2022/01/14,,2028/11/30,株式会社AMZEST,,,,,,,,,,,,飲食店営業, 一般食堂,,,406_福岡県_京築保健福祉環境事務所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,おにぎりお弁当屋20449240621,ac5dcf2f-ad2f-4a9b-9044-b844ab84cdc0,株式会社ＡＭＺＥＳＴ,340242a9-c2fd-48de-ab01-1af07a5f3f24,ba381a48-c426-4784-97aa-e168eafc4c26,2022/01/14,おにぎりお弁当屋,おにぎりお弁当屋,株式会社ＡＭＺＥＳＴ
bond,824-0005,福岡県,行橋市中央２丁目６－１８,,              ,鈴本　勝信,R04.01.18,R04.01.18,R10.03.31,        ,飲食店営業,スナック,,406,bond,0930,,,,,福岡県　行橋市中央２丁目６－１８,福岡県行橋市中央２丁目６－１８,,201915,40,40213,中央２,,2022/01/18,2022/01/18,,2028/03/31,,鈴本　勝信,,,,,,,,,,,飲食店営業, スナック,,,406_福岡県_京築保健福祉環境事務所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,ｂｏｎｄ20191540213,1e05c7f8-68dd-4c1c-9bc1-225c0f4afcec,,personal,e3f2ec69-b333-4727-aa87-68761deb3c2b,2022/01/18,ｂｏｎｄ,ｂｏｎｄ,
セブンイレブン西泉４丁目店,824-0038,福岡県,行橋市西泉４丁目９１６－７,,0930-23-4581  ,株式会社Lily,R04.01.20,R04.01.20,R11.06.30,        ,飲食店営業,そうざい,,406,セブンイレブン西泉４丁目店,0930,0930-23-4581,,,,福岡県　行橋市西泉４丁目９１６－７,福岡県行橋市西泉４丁目９１６－７,,201961,40,40213,西泉４,,2022/01/20,2022/01/20,,2029/06/30,株式会社Lily,,,,,,,,,,,,飲食店営業, そうざい,,,406_福岡県_京築保健福祉環境事務所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,セブンイレブン西泉４丁目店0930-23-458120196140213,68b905fd-7ca8-47b9-b9a2-1307aa075e4c,株式会社Ｌｉｌｙ,7d52ce6e-8604-458c-b991-b804027fdb45,12fffc8d-dba9-44c2-bfc7-0e299437495c,2022/01/20,セブンイレブン西泉４丁目店,セブンイレブン西泉４丁目店,株式会社Ｌｉｌｙ
らんらん,829-0301,福岡県,築上郡築上町椎田６９１－７,,              ,中江　由貴奈,R04.01.20,R04.01.20,R10.09.30,        ,飲食店営業,一般食堂,,406,らんらん,0930,,,,,福岡県　築上郡築上町椎田６９１－７,福岡県築上郡築上町椎田６９１－７,,204652,40,40647,椎田,,2022/01/20,2022/01/20,,2028/09/30,,中江　由貴奈,,,,,,,,,,,飲食店営業, 一般食堂,,,406_福岡県_京築保健福祉環境事務所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,らんらん20465240647,acfed1df-876e-403f-9074-72d647b2988f,,personal,26705454-2b03-49a4-85d1-74bbf4bbc6f5,2022/01/20,らんらん,らんらん,
,824-0005,福岡県,行橋市中央３丁目６－２６,龍ビル３０２,              ,冨原　歩,R04.01.21,R04.01.21,R10.03.31,        ,飲食店営業,スナック,,406,,0930,,,,,福岡県　行橋市中央３丁目６－２６,福岡県行橋市中央３丁目６－２６,龍ビル３０２,201916,40,40213,中央３,,2022/01/21,2022/01/21,,2028/03/31,,冨原　歩,,,,,,,,,,,飲食店営業, スナック,,,406_福岡県_京築保健福祉環境事務所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,20191640213,0a65aa16-1b93-439f-8781-3906725cfdf1,,personal,8bccd318-d37b-4e8e-9fe1-6d4c08e803c5,2022/01/21,,,
節丸手永,824-0115,福岡県,京都郡みやこ町光冨８６７,,              ,㔟島　由雄,R04.01.25,R04.01.25,R09.06.30,        ,飲食店営業,軽食喫茶,,406,節丸手永,0930,,,,,福岡県　京都郡みやこ町光冨８６７,福岡県京都郡みやこ町光冨８６７,,204598,40,40625,光冨,,2022/01/25,2022/01/25,,2027/06/30,,㔟島　由雄,,,,,,,,,,,飲食店営業, 軽食喫茶,,,406_福岡県_京築保健福祉環境事務所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,節丸手永20459840625,02449f73-701a-44b5-b94c-732c9c7ebaeb,,personal,ba2244b9-998e-4ab5-bb3f-9f516cf30a5c,2022/01/25,節丸手永,節丸手永,
