https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,n処理終了,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請者1,申請者2,申請-住所0,申請-住所1,申請-マンション名,施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,業種,業態,確認番号,開業年月日,許可年月日,許可期間開始日,許可期間終了日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氏名（法人の場合は法人名）（申請・届出者）,法人の代表者の氏名（申請・届出者）,申請者住所,,,営業施設名称、屋号又は商号,,営業所所在地,,,電話番号（営業施設）,営業の種類,業態,許可番号,初回許可年月日,許可年月日,許可開始日,許可満了日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
株式会社ジョイフル北九州,林　信太郎,大分市三川新町１丁目１番４５号,大分市三川新町１丁目１番４５号,,ジョイフル三ケ森店,福岡県,北九州市八幡西区下上津役一丁目３－５,北九州市八幡西区下上津役１丁目３－５,,093-613-5823,① 飲食店営業,,2021-60408,2021/11/12,2021/11/12,2021/12/1,2027/11/30,,390,ジョイフル三ケ森店,093,093-613-5823,,,,福岡県　北九州市八幡西区下上津役１丁目３－５,福岡県北九州市八幡西区下上津役１丁目３－５,,199650,40,40109,下上津役１,,2021/11/12,2021/11/12,2021/12/01,2027/11/30,株式会社ジョイフル北九州,林　信太郎,,大分市三川新町１丁目１番４５号,大分県大分市三川新町１丁目１番４５号,,210588,大分県,大分市,三川新町１,2021-60408,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,ジョイフル三ケ森店093-613-582319965040109,0eadeb33-7dfb-4b06-8437-89fa370d29f8,株式会社ジョイフル北九州210588,60cc8f45-fd6a-4d5d-8c69-b0730914d27a,79a2f71d-8b42-401c-a0c3-c485a8c4af0c,2021/11/12,ジョイフル三ケ森店,ジョイフル三ケ森店,株式会社ジョイフル北九州
株式会社マルキョウ,斉田敏夫,大野城市山田５丁目３番１号,大野城市山田５丁目３番１号,,株式会社マルキョウ穴生店,福岡県,北九州市八幡西区穴生三丁目１－３３,北九州市八幡西区穴生３丁目１－３３,,,④ 魚介類販売業,,2021-60445,2021/11/25,2021/11/25,2021/11/25,2027/11/30,,390,株式会社マルキョウ穴生店,093,,,,,福岡県　北九州市八幡西区穴生３丁目１－３３,福岡県北九州市八幡西区穴生３丁目１－３３,,199376,40,40109,穴生３,,2021/11/25,2021/11/25,2021/11/25,2027/11/30,株式会社マルキョウ,斉田敏夫,,大野城市山田５丁目３番１号,福岡県大野城市山田５丁目３番１号,,202650,福岡県,大野城市,山田５,2021-60445,,魚介類販売業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,I,58,,,株式会社マルキョウ穴生店19937640109,1dd7bf0d-6682-4535-b178-5933f88cb3dc,株式会社マルキョウ202650,807c9975-6fab-4a54-8eff-798135a4360c,bf4892a4-05d9-44bb-8300-cc2b0b015ee1,2021/11/25,株式会社マルキョウ穴生店,株式会社マルキョウ穴生店,株式会社マルキョウ
株式会社アペックス西日本,森吉平,大阪市西区南堀江４丁目２５－２４,大阪市西区南堀江４丁目２５－２４,,JR門司駅,福岡県,北九州市門司区中町２－１JR門司駅,北九州市門司区中町２－１,JR門司駅,,② 調理機能を有する自動販売機（要許可）,,2021-20872,2021/11/30,2021/11/30,2021/12/1,2027/11/30,,390,JR門司駅,093,,,,,福岡県　北九州市門司区中町２－１,福岡県北九州市門司区中町２－１,JR門司駅,198318,40,40101,中町,,2021/11/30,2021/11/30,2021/12/01,2027/11/30,株式会社アペックス西日本,森吉平,,大阪市西区南堀江４丁目２５－２４,大阪府大阪市西区南堀江４丁目２５－２４,,154423,大阪府,大阪市西区,南堀江４,2021-20872,,調理機能を有する自動販売機,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,I,61,612,,ＪＲ門司駅19831840101,3d4e4e50-1e56-4c5b-963f-b133e6616577,株式会社アペックス西日本154423,126d98d0-fb09-470e-af22-603d5b23de4e,afefc1dc-c35c-4088-95f7-f9aa1801a316,2021/11/30,ＪＲ門司駅,ＪＲ門司駅,株式会社アペックス西日本
株式会社アペックス西日本,森吉平,大阪市西区南堀江４丁目２５－２４,大阪市西区南堀江４丁目２５－２４,,大和情報サービス株式会社アクロスプラザいとうづ,福岡県,北九州市小倉北区上到津三丁目３－３アクロスプラザいとうづ,北九州市小倉北区上到津３丁目３－３,アクロスプラザいとうづ,,② 調理機能を有する自動販売機（要許可）,,2021-20873,2021/11/30,2021/11/30,2021/12/1,2027/11/30,,390,大和情報サービス株式会社アクロスプラザいとうづ,093,,,,,福岡県　北九州市小倉北区上到津３丁目３－３,福岡県北九州市小倉北区上到津３丁目３－３,アクロスプラザいとうづ,198708,40,40106,上到津３,,2021/11/30,2021/11/30,2021/12/01,2027/11/30,株式会社アペックス西日本,森吉平,,大阪市西区南堀江４丁目２５－２４,大阪府大阪市西区南堀江４丁目２５－２４,,154423,大阪府,大阪市西区,南堀江４,2021-20873,,調理機能を有する自動販売機,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,I,61,612,,大和情報サビス株式会社アクロスプラザいとうづ19870840106,bf4c9b40-547c-42ee-9605-ca954de336b3,株式会社アペックス西日本154423,126d98d0-fb09-470e-af22-603d5b23de4e,5274e247-6702-4192-a063-a3252e61a004,2021/11/30,大和情報サービス株式会社アクロスプラザいとうづ,大和情報サビス株式会社アクロスプラザいとうづ,株式会社アペックス西日本
グランマルシェ株式会社,清水浩夫,大阪市浪速区木津川２－２－３７,大阪市浪速区木津川２－２－３７,,業務スーパー千代店,福岡県,北九州市八幡西区千代三丁目１－２　ショッピングパーク千代内,北九州市八幡西区千代３丁目１－２,ショッピングパーク千代内,093-482-7537,① 飲食店営業,スーパーマーケット,2021-60373,2021/11/9,2021/11/9,2021/11/9,2028/11/30,,390,業務スーパー千代店,093,093-482-7537,,,,福岡県　北九州市八幡西区千代３丁目１－２,福岡県北九州市八幡西区千代３丁目１－２,ショッピングパーク千代内,199717,40,40109,千代３,,2021/11/09,2021/11/09,2021/11/09,2028/11/30,グランマルシェ株式会社,清水浩夫,,大阪市浪速区木津川２－２－３７,大阪府大阪市浪速区木津川２－２－３７,,154608,大阪府,大阪市浪速区,木津川２,2021-60373,,飲食店営業, スーパーマーケット,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,業務スパ千代店093-482-753719971740109,515c4803-8062-43b7-b05a-6e3d5dccddbd,グランマルシェ株式会社154608,205a0d1e-98ca-4b79-9e06-34dda3f10ef1,861373f1-3e0c-4019-b62b-8911c5337390,2021/11/09,業務スーパー千代店,業務スパ千代店,グランマルシェ株式会社
グランマルシェ株式会社,清水浩夫,大阪市浪速区木津川２－２－３７,大阪市浪速区木津川２－２－３７,,業務スーパー千代店,福岡県,北九州市八幡西区千代三丁目１－２　ショッピングパーク千代内,北九州市八幡西区千代３丁目１－２,ショッピングパーク千代内,093-482-7537,④ 魚介類販売業,スーパーマーケット,2021-60374,2021/11/9,2021/11/9,2021/11/9,2028/11/30,,390,業務スーパー千代店,093,093-482-7537,,,,福岡県　北九州市八幡西区千代３丁目１－２,福岡県北九州市八幡西区千代３丁目１－２,ショッピングパーク千代内,199717,40,40109,千代３,,2021/11/09,2021/11/09,2021/11/09,2028/11/30,グランマルシェ株式会社,清水浩夫,,大阪市浪速区木津川２－２－３７,大阪府大阪市浪速区木津川２－２－３７,,154608,大阪府,大阪市浪速区,木津川２,2021-60374,,魚介類販売業, スーパーマーケット,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,I,58,,,業務スパ千代店093-482-753719971740109,515c4803-8062-43b7-b05a-6e3d5dccddbd,グランマルシェ株式会社154608,205a0d1e-98ca-4b79-9e06-34dda3f10ef1,8c0d5ee8-b441-4fcc-9343-7efacad806d9,2021/11/09,業務スーパー千代店,業務スパ千代店,グランマルシェ株式会社
株式会社資さん,佐藤崇史,北九州市小倉南区上葛原２丁目１８番５０号,北九州市小倉南区上葛原２丁目１８番５０号,,資さんうどん西小倉店,福岡県,北九州市小倉北区竪町2-3-3,北九州市小倉北区竪町２－３－３,,093-581-6411,① 飲食店営業,うどん・そば店,2021-20772,2021/11/8,2021/11/8,2021/12/1,2028/11/30,,390,資さんうどん西小倉店,093,093-581-6411,,,,福岡県　北九州市小倉北区竪町２－３－３,福岡県北九州市小倉北区竪町２－３－３,,198812,40,40106,竪町２,,2021/11/08,2021/11/08,2021/12/01,2028/11/30,株式会社資さん,佐藤崇史,,北九州市小倉南区上葛原２丁目１８番５０号,福岡県北九州市小倉南区上葛原２丁目１８番５０号,,199032,福岡県,北九州市小倉南区,上葛原２,2021-20772,,飲食店営業, うどん・そば店,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,資さんうどん西小倉店093-581-641119881240106,0299100d-3051-43d1-a0f9-2fd46a789857,株式会社資さん199032,6fbf532d-876e-4bbd-b1fd-5da6e7001670,574ffaf1-7356-44b9-b72f-440d5055df48,2021/11/08,資さんうどん西小倉店,資さんうどん西小倉店,株式会社資さん
イオン九州株式会社,柴田祐司,福岡市博多区博多駅南二丁目９‐１１,福岡市博多区博多駅南２丁目９－１１,,マックスバリュ三萩野店,福岡県,北九州市小倉北区昭和町１４‐２０,北九州市小倉北区昭和町１４－２０,,093-941-6621,① 飲食店営業,,2021-20888,2021/11/30,2021/11/30,2021/12/1,2027/11/30,,390,マックスバリュ三萩野店,093,093-941-6621,,,,福岡県　北九州市小倉北区昭和町１４－２０,福岡県北九州市小倉北区昭和町１４－２０,,198784,40,40106,昭和町,,2021/11/30,2021/11/30,2021/12/01,2027/11/30,イオン九州株式会社,柴田祐司,,福岡市博多区博多駅南２丁目９－１１,福岡県福岡市博多区博多駅南２丁目９－１１,,200151,福岡県,福岡市博多区,博多駅南２,2021-20888,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,マックスバリュ三萩野店093-941-662119878440106,843ce8ad-4b03-4494-918a-42813f4d54d4,イオン九州株式会社200151,fe50b583-fe8a-4d6e-b679-04c768638c3a,79bcae81-c85b-41de-af51-85fa1ef61a4f,2021/11/30,マックスバリュ三萩野店,マックスバリュ三萩野店,イオン九州株式会社
イオン九州株式会社,柴田祐司,福岡市博多区博多駅南二丁目９‐１１,福岡市博多区博多駅南２丁目９－１１,,マックスバリュ三萩野店,福岡県,北九州市小倉北区昭和町１４‐２０,北九州市小倉北区昭和町１４－２０,,093-941-6621,③ 食肉販売業,,2021-20889,2021/11/30,2021/11/30,2021/12/1,2027/11/30,,390,マックスバリュ三萩野店,093,093-941-6621,,,,福岡県　北九州市小倉北区昭和町１４－２０,福岡県北九州市小倉北区昭和町１４－２０,,198784,40,40106,昭和町,,2021/11/30,2021/11/30,2021/12/01,2027/11/30,イオン九州株式会社,柴田祐司,,福岡市博多区博多駅南２丁目９－１１,福岡県福岡市博多区博多駅南２丁目９－１１,,200151,福岡県,福岡市博多区,博多駅南２,2021-20889,,食肉販売業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,I,58,583,,マックスバリュ三萩野店093-941-662119878440106,843ce8ad-4b03-4494-918a-42813f4d54d4,イオン九州株式会社200151,fe50b583-fe8a-4d6e-b679-04c768638c3a,a0e791cb-41d8-42e0-824c-60743fec7ab5,2021/11/30,マックスバリュ三萩野店,マックスバリュ三萩野店,イオン九州株式会社
有限会社 a.crescent,山本信幸,北九州市若松区北浜１丁目２番２４号,北九州市若松区北浜１丁目２番２４号,,シカクヤ折尾店,福岡県,北九州市八幡西区折尾1丁目13-10オリケンJ's-18　1F,北九州市八幡西区折尾１丁目１３－１０,オリケンJ's－１８　１F,093-616-8115,⑪ 菓子製造業,,2021-60404,2021/11/12,2021/11/12,2021/11/12,2027/11/30,,390,シカクヤ折尾店,093,093-616-8115,,,,福岡県　北九州市八幡西区折尾１丁目１３－１０,福岡県北九州市八幡西区折尾１丁目１３－１０,オリケンJ's－１８　１F,199401,40,40109,折尾１,,2021/11/12,2021/11/12,2021/11/12,2027/11/30,有限会社 a.crescent,山本信幸,,北九州市若松区北浜１丁目２番２４号,福岡県北九州市若松区北浜１丁目２番２４号,,198418,福岡県,北九州市若松区,北浜１,2021-60404,,菓子製造業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,E,9,,,シカクヤ折尾店093-616-811519940140109,0c99dcb8-badd-4010-bf2c-de6e6b0eb8fd,有限会社ａ．ｃｒｅｓｃｅｎｔ198418,e9bf68e9-2f6a-4f64-b098-b3974cda6957,3119eee1-033c-4e33-9d2b-c5156e5c8df0,2021/11/12,シカクヤ折尾店,シカクヤ折尾店,有限会社ａ．ｃｒｅｓｃｅｎｔ
有限会社 a.crescent,山本信幸,北九州市若松区北浜１丁目２番２４号,北九州市若松区北浜１丁目２番２４号,,有限会社 a.crescent　若松工場,福岡県,北九州市若松区北浜一丁目２－２４,北九州市若松区北浜１丁目２－２４,,093-761-2796,⑪ 菓子製造業,,2021-40097,2021/11/16,2021/11/16,2021/12/1,2027/11/30,,390,有限会社 a.crescent　若松工場,093,093-761-2796,,,,福岡県　北九州市若松区北浜１丁目２－２４,福岡県北九州市若松区北浜１丁目２－２４,,198418,40,40103,北浜１,,2021/11/16,2021/11/16,2021/12/01,2027/11/30,有限会社 a.crescent,山本信幸,,北九州市若松区北浜１丁目２番２４号,福岡県北九州市若松区北浜１丁目２番２４号,,198418,福岡県,北九州市若松区,北浜１,2021-40097,,菓子製造業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,E,9,,,有限会社ａｃｒｅｓｃｅｎｔ若松工場093-761-279619841840103,7eb866aa-e3e0-440c-b6b5-c742271a1f31,有限会社ａ．ｃｒｅｓｃｅｎｔ198418,e9bf68e9-2f6a-4f64-b098-b3974cda6957,37d7430e-519c-4403-8caa-abec0f0775d7,2021/11/16,有限会社ａ．ｃｒｅｓｃｅｎｔ　若松工場,有限会社ａｃｒｅｓｃｅｎｔ若松工場,有限会社ａ．ｃｒｅｓｃｅｎｔ
有限会社リトルシャトー,城戸美由紀,北九州市小倉北区赤坂三丁目７番１９号,北九州市小倉北区赤坂３丁目７番１９号,,ローソン門司東馬寄店,福岡県,北九州市門司区東馬寄２－１８,北九州市門司区東馬寄２－１８,,,① 飲食店営業,コンビニエンスストア,2021-10101,2021/11/19,2021/11/19,2022/1/1,2028/12/31,,390,ローソン門司東馬寄店,093,,,,,福岡県　北九州市門司区東馬寄２－１８,福岡県北九州市門司区東馬寄２－１８,,198343,40,40101,東馬寄,,2021/11/19,2021/11/19,2022/01/01,2028/12/31,有限会社リトルシャトー,城戸美由紀,,北九州市小倉北区赤坂３丁目７番１９号,福岡県北九州市小倉北区赤坂３丁目７番１９号,,198649,福岡県,北九州市小倉北区,赤坂３,2021-10101,,飲食店営業, コンビニエンスストア,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,ロソン門司東馬寄店19834340101,8ac58ed7-5b62-4812-858c-53670f86b1be,有限会社リトルシャトー198649,3987bc33-7393-464a-a66a-29ef8d88ae4c,39d426b2-e0c5-4fe8-bbc8-65d9d40bfcaa,2021/11/19,ローソン門司東馬寄店,ロソン門司東馬寄店,有限会社リトルシャトー
株式会社あずさ,角銅和法,福岡市東区高美台一丁目３９－７,福岡市東区高美台１丁目３９－７,,ファミリーマート小倉中津口店,福岡県,北九州市小倉北区中津口2-1-11,北九州市小倉北区中津口２－１－１１,,093-512-0336,① 飲食店営業,,2021-20893,2021/11/30,2021/11/30,2021/12/1,2027/11/30,,390,ファミリーマート小倉中津口店,093,093-512-0336,,,,福岡県　北九州市小倉北区中津口２－１－１１,福岡県北九州市小倉北区中津口２－１－１１,,198828,40,40106,中津口２,,2021/11/30,2021/11/30,2021/12/01,2027/11/30,株式会社あずさ,角銅和法,,福岡市東区高美台１丁目３９－７,福岡県福岡市東区高美台１丁目３９－７,,199826,福岡県,福岡市東区,高美台１,2021-20893,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,ファミリマト小倉中津口店093-512-033619882840106,a97c8e0c-80b4-4b54-a8fe-b433392cce64,株式会社あずさ199826,d9be0094-21d0-4586-9985-9b8268be41f0,52e4477b-0d05-441d-8134-48f3c3a4b168,2021/11/30,ファミリーマート小倉中津口店,ファミリマト小倉中津口店,株式会社あずさ
