https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請者1,申請者2,申請-住所1,施設名,施設-住所1,施設-住所2,施設-電話番号1,業種,確認番号,許可年月日,許可期間開始日,許可期間終了日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請者氏名,代表者氏名,申請者住所,屋号名称,,印刷用住所,所在地電話番号,業種帳票,許可番号,許可年月日,許可期間_開始,許可期間_終了,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
合同会社ポルト,早瀬　勇太,北九州市門司区東門司一丁目１０‐６,ＳＩＣＩＬＩＡ,福岡県,北九州市内一円,,飲食店営業（仮設）,503-22329,2021/11/6,2021/11/6,2026/11/30,,,ＳＩＣＩＬＩＡ,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/11/06,2021/11/06,2026/11/30,合同会社ポルト,早瀬　勇太,,北九州市門司区東門司一丁目１０‐６,福岡県北九州市門司区東門司１丁目１０－６,,198345,福岡県,北九州市門司区,東門司１,503-22329,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設）,M,76,,,ＳＩＣＩＬＩＡ,2763bb6d-ea3d-4d26-a5d4-5aa40d524b1a,合同会社ポルト198345,e0635e22-1085-405f-83e3-abdbcfd7e960,2f700d86-a861-4a07-bb34-7a7b216a495d,2021/11/06,ＳＩＣＩＬＩＡ,ＳＩＣＩＬＩＡ,合同会社ポルト
株式会社ジェイ・コール,溝上　和紀,福岡市早良区重留五丁目３‐５,博多溝家,福岡県,北九州市内一円,,飲食店営業（仮設）,503-22345,2021/11/1,2021/11/1,2026/10/31,,,博多溝家,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/11/01,2021/11/01,2026/10/31,株式会社ジェイ・コール,溝上　和紀,,福岡市早良区重留五丁目３‐５,福岡県福岡市早良区重留５丁目３－５,,200851,福岡県,福岡市早良区,重留５,503-22345,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設）,M,76,,,博多溝家,1723bbb4-eece-45ca-9cd5-e59062f5dce9,株式会社ジェイ・コール200851,8876b89b-ddca-48a9-b721-08eaba8094ea,0f11cd58-565d-49bf-9065-737c3929abc1,2021/11/01,博多溝家,博多溝家,株式会社ジェイ・コール
株式会社ジェイ・コール,溝上　和紀,福岡市早良区重留五丁目３‐５,博多溝家,福岡県,北九州市内一円,,飲食店営業（仮設）,503-22346,2021/11/1,2021/11/1,2026/10/31,,,博多溝家,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/11/01,2021/11/01,2026/10/31,株式会社ジェイ・コール,溝上　和紀,,福岡市早良区重留五丁目３‐５,福岡県福岡市早良区重留５丁目３－５,,200851,福岡県,福岡市早良区,重留５,503-22346,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設）,M,76,,,博多溝家,1723bbb4-eece-45ca-9cd5-e59062f5dce9,株式会社ジェイ・コール200851,8876b89b-ddca-48a9-b721-08eaba8094ea,f081a878-88f1-4e53-9e32-964a768b357a,2021/11/01,博多溝家,博多溝家,株式会社ジェイ・コール
株式会社ジェイ・コール,溝上　和紀,福岡市早良区重留五丁目３－５,博多溝家,福岡県,北九州市内一円,,飲食店営業（仮設）,503-22347,2021/11/1,2021/11/1,2026/10/31,,,博多溝家,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/11/01,2021/11/01,2026/10/31,株式会社ジェイ・コール,溝上　和紀,,福岡市早良区重留五丁目３－５,福岡県福岡市早良区重留５丁目３－５,,200851,福岡県,福岡市早良区,重留５,503-22347,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設）,M,76,,,博多溝家,1723bbb4-eece-45ca-9cd5-e59062f5dce9,株式会社ジェイ・コール200851,8876b89b-ddca-48a9-b721-08eaba8094ea,79d53644-8b67-4a41-b544-21afe2dba3c0,2021/11/01,博多溝家,博多溝家,株式会社ジェイ・コール
三浦　博美,,,馳走まるひろ,福岡県,北九州市内一円,,飲食店営業（仮設）,503-22357,2021/11/11,2021/11/11,2026/11/30,,,馳走まるひろ,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/11/11,2021/11/11,2026/11/30,,三浦　博美 ,,,,,,,,,503-22357,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設）,M,76,,,馳走まるひろ,f8037feb-429e-4457-81e2-2d9be9964e9a,,personal,4cc155ac-4ec1-4483-9aae-1f6ae7ade0c6,2021/11/11,馳走まるひろ,馳走まるひろ,
株式会社ＧＫ・ファーム,権藤　健一郎,福岡県久留米市御井町１６８７－１,Ｍａｒｃｈｅ　Ｇｒａｎｄ　くるめ,福岡県,北九州市内一円,,飲食店営業（仮設）,503-22366,2021/11/22,2021/11/22,2026/11/30,,,Ｍａｒｃｈｅ　Ｇｒａｎｄ　くるめ,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/11/22,2021/11/22,2026/11/30,株式会社ＧＫ・ファーム,権藤　健一郎,,福岡県久留米市御井町１６８７－１,福岡県久留米市御井町１６８７－１,,201286,福岡県,久留米市,御井町,503-22366,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設）,M,76,,,ＭａｒｃｈｅＧｒａｎｄくるめ,66320009-23c3-4005-8f97-504b10560339,株式会社ＧＫ・ファーム201286,f32a4939-bbf7-4d02-a685-bd544e12693d,4802d6db-5831-48e1-b8fe-a32443c4b86d,2021/11/22,Ｍａｒｃｈｅ　Ｇｒａｎｄ　くるめ,ＭａｒｃｈｅＧｒａｎｄくるめ,株式会社ＧＫ・ファーム
久保　敏行,,,唐揚げ大吉東中津店,福岡県,北九州市内一円,,飲食店営業（仮設）,503-22371,2021/11/22,2021/12/1,2026/11/30,,,唐揚げ大吉東中津店,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/11/22,2021/12/01,2026/11/30,,久保　敏行 ,,,,,,,,,503-22371,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設）,M,76,,,唐揚げ大吉東中津店,6a7b574d-bc85-40c5-90af-e624129acde6,,personal,3dd9db71-ec07-4fd4-b3ce-801d6587012b,2021/11/22,唐揚げ大吉東中津店,唐揚げ大吉東中津店,
古賀　尊,,,八太郎,福岡県,北九州市内一円,,飲食店営業（仮設）,503-22372,2021/11/26,2021/12/1,2026/11/30,,,八太郎,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/11/26,2021/12/01,2026/11/30,,古賀　尊 ,,,,,,,,,503-22372,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設）,M,76,,,八太郎,c7ca8d55-a6a3-46c2-b256-9f2ab12f6b81,,personal,58e51590-e621-4b18-89ca-88484c93d773,2021/11/26,八太郎,八太郎,
株式会社ヒカリｎｏアトリエ,楠　正俊,北九州市戸畑区天籟寺一丁目４－１３,株式会社ヒカリｎｏアトリエ,福岡県,北九州市内一円,,飲食店営業（仮設）,503-22375,2021/11/29,2021/11/29,2026/11/30,,,株式会社ヒカリｎｏアトリエ,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/11/29,2021/11/29,2026/11/30,株式会社ヒカリｎｏアトリエ,楠　正俊,,北九州市戸畑区天籟寺一丁目４－１３,福岡県北九州市戸畑区天籟寺１丁目４－１３,,198603,福岡県,北九州市戸畑区,天籟寺１,503-22375,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設）,M,76,,,株式会社ヒカリｎｏアトリエ,f968e90f-0af6-481a-b2ed-0290171270d1,株式会社ヒカリｎｏアトリエ198603,85f6146c-305e-4303-9d94-7cfd082f88fc,fe10229e-007c-4ac9-8a3d-19fd4ab3cd12,2021/11/29,株式会社ヒカリｎｏアトリエ,株式会社ヒカリｎｏアトリエ,株式会社ヒカリｎｏアトリエ
宮村　正,,,宮村商店,福岡県,北九州市内一円,,飲食店営業（仮設）,503-62195,2021/11/9,2021/12/1,2026/11/30,,,宮村商店,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/11/09,2021/12/01,2026/11/30,,宮村　正 ,,,,,,,,,503-62195,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設）,M,76,,,宮村商店,5a83ac7e-f482-4008-8746-04c9450b3eae,,personal,43f42b30-ffb5-49a4-85ac-cebb660b013d,2021/11/09,宮村商店,宮村商店,
