https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,施設名,施設名2,,業種,業態,施設-住所1,施設-マンション名,緯度,経度,施設-電話番号1,申請者2,申請者1,法人番号,,申請者2,確認番号,開業年月日,許可年月日,許可期間開始日,許可期間終了日,,,,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都道府県コード又は市区町村コード,No,都道府県名,市区町村名,営業所名称１,営業所名称２,営業所名称＿ｶﾅ,営業の種類,業態,営業所所在地,営業所肩書,緯度,経度,営業所電話番号,申請者個人名,法人名,法人番号,法人代表者役職,法人代表者氏名,許可番号,初回許可年月日,許可年月日,許可開始日,許可満了日,廃業年月日,申請区分,許可条件,備考,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
382019,1,愛媛県,松山市,（株）はま寿司 松山保免,,,飲食店営業,一般食堂・レストラン等の飲食店営業,松山市保免上１丁目１６－２４,,,,089-947-5161,,株式会社はま寿司,,代表取締役,遠藤 哲朗,第00000005号,R3.4.1,R3.4.1,,R8.3.31,,,,,,377,（株）はま寿司 松山保免,089,089-947-5161,,,,松山市保免上１丁目１６－２４,愛媛県松山市保免上１丁目１６－２４,,194201,38,38201,保免上１,,2021/04/01,2021/04/01,,2026/03/31,株式会社はま寿司,遠藤 哲朗,,,,,,,,,第00000005号,,飲食店営業, 一般食堂・レストラン等の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年04月_末日,M,76,,,株式会社はま寿司松山保免089-947-516119420138201,6d11eaf0-c5c6-44cd-a3a2-a0566814d559,株式会社はま寿司,811c4121-252e-4cc4-864c-aa132cd8cc8a,8581077c-d989-44aa-a267-83a2576f9bc0,2021/04/01,株式会社はま寿司　松山保免,株式会社はま寿司松山保免,株式会社はま寿司
382019,2,愛媛県,松山市,ｅ－ｓｐｉｃｅ 愛媛が薫る,ＢＥＥＦ ＣＵＲＲＹ製造・直売所,ｅ－ｓｐｉｃｅ 愛媛が薫る ＢＥＥＦ ＣＵＲＲＹ製造・直売所,飲食店営業,一般食堂・レストラン等の飲食店営業,松山市西一万町８－１６,,,,,佐藤 光司,,,,,第00000015号,R3.4.5,R3.4.5,,R8.6.30,,,,,,377,ｅ－ｓｐｉｃｅ 愛媛が薫る ＢＥＥＦ ＣＵＲＲＹ製造・直売所,089,,,,,松山市西一万町８－１６,愛媛県松山市西一万町８－１６,,193997,38,38201,西一万町,,2021/04/05,2021/04/05,,2026/06/30,,佐藤 光司  ,,,,,,,,,第00000015号,,飲食店営業, 一般食堂・レストラン等の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年04月_末日,M,76,,,ｅｓｐｉｃｅ愛媛が薫るＢＥＥＦＣＵＲＲＹ製造直売所19399738201,66220ef8-9cf5-4ebf-9525-ed85a7564ed3,,personal,74b5d811-8d1e-448d-910a-49938e995ccf,2021/04/05,ｅ－ｓｐｉｃｅ　愛媛が薫る　ＢＥＥＦ　ＣＵＲＲＹ製造・直売所,ｅｓｐｉｃｅ愛媛が薫るＢＥＥＦＣＵＲＲＹ製造直売所,
382019,3,愛媛県,松山市,江戸切りそばゆで太郎松山北吉田店,,,飲食店営業,一般食堂・レストラン等の飲食店営業,松山市北吉田町１９５－１,,,,089-989-8681,,株式会社ユウショク,,代表取締役,田中 実,第00000052号,R3.4.20,R3.4.20,,R8.6.30,,,,,,377,江戸切りそばゆで太郎松山北吉田店,089,089-989-8681,,,,松山市北吉田町１９５－１,愛媛県松山市北吉田町１９５－１,,193828,38,38201,北吉田町,,2021/04/20,2021/04/20,,2026/06/30,株式会社ユウショク,田中 実,,,,,,,,,第00000052号,,飲食店営業, 一般食堂・レストラン等の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年04月_末日,M,76,,,江戸切りそばゆで太郎松山北吉田店089-989-868119382838201,58413297-21ff-4330-af5b-f9c4c1dd1274,株式会社ユウショク,1154b088-f4b0-47a3-9d7d-ca5d0c154474,b2404113-7a6e-463b-b2eb-7a86c5af19d9,2021/04/20,江戸切りそばゆで太郎松山北吉田店,江戸切りそばゆで太郎松山北吉田店,株式会社ユウショク
382019,4,愛媛県,松山市,ラーメン く～た はなみずき店,,,飲食店営業,一般食堂・レストラン等の飲食店営業,松山市古川北３－３７９,,,,969-0520,,株式会社すず商,,代表取締役,鈴木 亨,第00000063号,R3.4.21,R3.4.21,,R8.6.30,,,,,,377,ラーメン く～た はなみずき店,089,089-969-0520,,,,松山市古川北３－３７９,愛媛県松山市古川北３－３７９,,194240,38,38201,古川北３,,2021/04/21,2021/04/21,,2026/06/30,株式会社すず商,鈴木 亨,,,,,,,,,第00000063号,,飲食店営業, 一般食堂・レストラン等の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年04月_末日,M,76,,,ラメンくたはなみずき店089-969-052019424038201,9ce87867-1651-4980-bd2b-ad68d6fc584b,株式会社すず商,57ec4277-c2b7-4f82-9818-1ea3390acd2c,e97c4d42-401f-4f20-a7d6-3ab50dacde16,2021/04/21,ラーメン　く～た　はなみずき店,ラメンくたはなみずき店,株式会社すず商
382019,5,愛媛県,松山市,にっしー,,,飲食店営業,一般食堂・レストラン等の飲食店営業,松山市道後一万９－２３,シェ・ブー道後１Ｆ,,,,,株式会社野グループ,,代表取締役,野 竜二,第00000064号,R3.4.21,R3.4.21,,R8.6.30,,,,,,377,にっしー,089,,,,,松山市道後一万９－２３,愛媛県松山市道後一万９－２３,シェ・ブー道後１Ｆ,193970,38,38201,道後一万,,2021/04/21,2021/04/21,,2026/06/30,株式会社野グループ,野 竜二,,,,,,,,,第00000064号,,飲食店営業, 一般食堂・レストラン等の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年04月_末日,M,76,,,にっし19397038201,3d9fcd3c-c125-45ef-9041-6564d704843d,株式会社野グループ,b55f2b96-598f-44a1-b065-ce608fd8751b,de286ee2-b778-45dc-8f5a-6a0ec33d293e,2021/04/21,にっしー,にっし,株式会社野グループ
382019,6,愛媛県,松山市,ミカサスカサ,,,飲食店営業,一般食堂・レストラン等の飲食店営業,松山市三番町１丁目１３－７,,,,916-3022,,合同会社Ｕｒｕｓｅｓｉ,,代表社員,小路 亮,第00000068号,R3.4.22,R3.4.22,,R8.6.30,,,,,,377,ミカサスカサ,089,089-916-3022,,,,松山市三番町１丁目１３－７,愛媛県松山市三番町１丁目１３－７,,193877,38,38201,三番町１,,2021/04/22,2021/04/22,,2026/06/30,合同会社Ｕｒｕｓｅｓｉ,小路 亮,,,,,,,,,第00000068号,,飲食店営業, 一般食堂・レストラン等の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年04月_末日,M,76,,,ミカサスカサ089-916-302219387738201,2af7ec9c-088a-43a4-8730-a9fb93a903bc,合同会社Ｕｒｕｓｅｓｉ,92602b94-5147-4ee5-b11a-820d392144f2,673bc633-ff59-4a27-b880-d229c4a76a39,2021/04/22,ミカサスカサ,ミカサスカサ,合同会社Ｕｒｕｓｅｓｉ
382019,7,愛媛県,松山市,喫茶かのこ,,,飲食店営業,一般食堂・レストラン等の飲食店営業,松山市古川南３丁目１７－２７,,,,905-1582,重松 和子,,,,,第00000078号,R3.4.26,R3.4.26,,R8.6.30,,,,,,377,喫茶かのこ,089,089-905-1582,,,,松山市古川南３丁目１７－２７,愛媛県松山市古川南３丁目１７－２７,,194237,38,38201,古川南３,,2021/04/26,2021/04/26,,2026/06/30,,重松 和子  ,,,,,,,,,第00000078号,,飲食店営業, 一般食堂・レストラン等の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年04月_末日,M,76,,,喫茶かのこ089-905-158219423738201,7600f8aa-484d-4f18-a214-ffd197f1c061,,personal,85f75422-c185-4f8e-b8b1-376048d9030f,2021/04/26,喫茶かのこ,喫茶かのこ,
382019,8,愛媛県,松山市,お好み～ Ｋｉｒａｒｉ,,,飲食店営業,一般食堂・レストラン等の飲食店営業,松山市西長戸町２７１－９,,,,989-1755,森 万里子,,,,,第00000080号,R3.4.26,R3.4.26,,R8.6.30,,,,,,377,お好み～ Ｋｉｒａｒｉ,089,089-989-1755,,,,松山市西長戸町２７１－９,愛媛県松山市西長戸町２７１－９,,193999,38,38201,西長戸町,,2021/04/26,2021/04/26,,2026/06/30,,森 万里子  ,,,,,,,,,第00000080号,,飲食店営業, 一般食堂・レストラン等の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年04月_末日,M,76,,,お好みＫｉｒａｒｉ089-989-175519399938201,14af3a51-b93c-4679-98a2-a4244fca1df1,,personal,67975b60-7241-4f2c-a4c2-7c8b1ea68c19,2021/04/26,お好み～　Ｋｉｒａｒｉ,お好みＫｉｒａｒｉ,
382019,9,愛媛県,松山市,ホルモン花天,,,飲食店営業,一般食堂・レストラン等の飲食店営業,松山市祇園町５－２２,Ｄ－ＲＡＴＩＯ １０３号,,,089-908-8900,,株式会社花鳥風月,,代表取締役,渡部 陽二,第00000083号,R3.4.27,R3.4.27,,R8.6.30,,,,,,377,ホルモン花天,089,089-908-8900,,,,松山市祇園町５－２２,愛媛県松山市祇園町５－２２,Ｄ－ＲＡＴＩＯ １０３号,193842,38,38201,祇園町,,2021/04/27,2021/04/27,,2026/06/30,株式会社花鳥風月,渡部 陽二,,,,,,,,,第00000083号,,飲食店営業, 一般食堂・レストラン等の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年04月_末日,M,76,,,ホルモン花天089-908-890019384238201,91652ca8-1c76-4fbc-a5bd-561c477064be,株式会社花鳥風月,0c9782db-8f56-4213-83e4-244f90bd92ef,f8cae8a4-b5a0-4a56-a0e4-67e15e894db4,2021/04/27,ホルモン花天,ホルモン花天,株式会社花鳥風月
