https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,施設名,施設名2,,業種,業態,施設-住所1,施設-マンション名,緯度,経度,施設-電話番号1,申請者2,申請者1,法人番号,,申請者2,確認番号,開業年月日,許可年月日,許可期間開始日,許可期間終了日,,,,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都道府県コード又は市区町村コード,No,都道府県名,市区町村名,営業所名称１,営業所名称２,営業所名称＿ｶﾅ,営業の種類,業態,営業所所在地,営業所肩書,緯度,経度,営業所電話番号,申請者個人名,法人名,法人番号,法人代表者役職,法人代表者氏名,許可番号,初回許可年月日,許可年月日,許可開始日,許可満了日,廃業年月日,申請区分,許可条件,備考,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
382019,1,愛媛県,松山市,インド・ネパールレストラン＆バー,マルニ,インド・ネパールレストラン＆バー　マルニ,飲食店営業,一般食堂・レストラン等の飲食店営業,松山市山越２丁目１－２８,ドゥエル山越２号室,,,089-954-3499,,株式会社ＡＡＰＡＲ,,代表取締役,ナイナバスティ・プラバラ,第00000115号,R3.5.6,R3.5.6,,R8.6.30,,,,,,377,インド・ネパールレストラン＆バー　マルニ,089,089-954-3499,,,,松山市山越２丁目１－２８,愛媛県松山市山越２丁目１－２８,ドゥエル山越２号室,194137,38,38201,山越２,,2021/05/06,2021/05/06,,2026/06/30,株式会社ＡＡＰＡＲ,ナイナバスティ・プラバラ,,,,,,,,,第00000115号,,飲食店営業, 一般食堂・レストラン等の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,インドネパルレストランバ089-954-349919413738201,715c6e93-898d-4dd3-ab95-3b629f8fc41a,株式会社ＡＡＰＡＲ,b89fd014-fa29-4d8e-87c2-1000d217168e,bad81709-cf34-4a82-903e-ed122e0b6f7f,2021/05/06,インド・ネパールレストラン＆バー,インドネパルレストランバ,株式会社ＡＡＰＡＲ
382019,2,愛媛県,松山市,こみんか藤乃里,,,飲食店営業,一般食堂・レストラン等の飲食店営業,松山市平井町１４１２,,,,,眞田 乃里子,,,,,第00000121号,R3.5.10,R3.5.10,,R8.6.30,,,,,,377,こみんか藤乃里,089,,,,,松山市平井町１４１２,愛媛県松山市平井町１４１２,,194034,38,38201,平井町,,2021/05/10,2021/05/10,,2026/06/30,,眞田 乃里子  ,,,,,,,,,第00000121号,,飲食店営業, 一般食堂・レストラン等の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,こみんか藤乃里19403438201,4ff14553-f83b-4fbe-9df9-1580ae147d03,,personal,ae502d6b-0825-4111-a0f6-f484256c3905,2021/05/10,こみんか藤乃里,こみんか藤乃里,
382019,3,愛媛県,松山市,大衆焼肉 藤屋,,,飲食店営業,一般食堂・レストラン等の飲食店営業,松山市一番町１丁目４－６,,,,089-993-6468,,株式会社藤総,,代表取締役,伊藤 久茂,第00000136号,R3.5.13,R3.5.13,,R8.6.30,,,,,,377,大衆焼肉 藤屋,089,089-993-6468,,,,松山市一番町１丁目４－６,愛媛県松山市一番町１丁目４－６,,193744,38,38201,一番町１,,2021/05/13,2021/05/13,,2026/06/30,株式会社藤総,伊藤 久茂,,,,,,,,,第00000136号,,飲食店営業, 一般食堂・レストラン等の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,大衆焼肉藤屋089-993-646819374438201,b79d0528-5b33-4f54-a243-f41dc0e8fd85,株式会社藤総,bedcf9fb-919e-483d-8338-cf234d079578,ae31eea0-ada4-4def-8089-ea1a28d56ef4,2021/05/13,大衆焼肉　藤屋,大衆焼肉藤屋,株式会社藤総
382019,4,愛媛県,松山市,株式会社Ｊ．Ｓ ｆａｃｔｏｒｙ,,,飲食店営業,一般食堂・レストラン等の飲食店営業,松山市二番町３丁目２－１８,ドゥ・イマージュ３１ ２階,,,909-9438,,株式会社Ｊ．Ｓ ｆａｃｔｏｒｙ,,代表取締役,今井 潤,第00000137号,R3.5.14,R3.5.14,,R8.6.30,,,,,,377,株式会社Ｊ．Ｓ ｆａｃｔｏｒｙ,089,089-909-9438,,,,松山市二番町３丁目２－１８,愛媛県松山市二番町３丁目２－１８,ドゥ・イマージュ３１ ２階,194004,38,38201,二番町３,,2021/05/14,2021/05/14,,2026/06/30,株式会社Ｊ．Ｓ ｆａｃｔｏｒｙ,今井 潤,,,,,,,,,第00000137号,,飲食店営業, 一般食堂・レストラン等の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,株式会社ＪＳｆａｃｔｏｒｙ089-909-943819400438201,6d9802a2-4c79-4e52-a2f8-6fb8108f4111,株式会社Ｊ．Ｓ　ｆａｃｔｏｒｙ,68dee44a-b53b-49c5-b993-ebb16932621c,1926421c-e41b-49ff-a6ad-698cd5621815,2021/05/14,株式会社Ｊ．Ｓ　ｆａｃｔｏｒｙ,株式会社ＪＳｆａｃｔｏｒｙ,株式会社Ｊ．Ｓ　ｆａｃｔｏｒｙ
382019,5,愛媛県,松山市,道後いなり ゆのや,,,飲食店営業,一般食堂・レストラン等の飲食店営業,松山市道後湯之町３－１０,柳井館２階,,,089-968-1340,菅 留美,,,,,第00000145号,R3.5.17,R3.5.17,,R8.6.30,,,,,,377,道後いなり ゆのや,089,089-968-1340,,,,松山市道後湯之町３－１０,愛媛県松山市道後湯ノ町３－１０,柳井館２階,193983,38,38201,道後湯ノ町,,2021/05/17,2021/05/17,,2026/06/30,,菅 留美  ,,,,,,,,,第00000145号,,飲食店営業, 一般食堂・レストラン等の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,道後いなりゆのや089-968-134019398338201,32419baa-fc5c-485a-a4ea-5ff358406d62,,personal,b9dab8f8-eb57-4ba9-a075-036e651186f7,2021/05/17,道後いなり　ゆのや,道後いなりゆのや,
382019,6,愛媛県,松山市,えくぼ,,,飲食店営業,一般食堂・レストラン等の飲食店営業,松山市中村４丁目１３－２６,,,,,松本 育子,,,,,第00000146号,R3.5.17,R3.5.17,,R8.6.30,,,,,,377,えくぼ,089,,,,,松山市中村４丁目１３－２６,愛媛県松山市中村４丁目１３－２６,,193993,38,38201,中村４,,2021/05/17,2021/05/17,,2026/06/30,,松本 育子  ,,,,,,,,,第00000146号,,飲食店営業, 一般食堂・レストラン等の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,えくぼ19399338201,82d15e3a-d2e6-4fe2-b170-a70d90527dca,,personal,91ca4d64-7277-47b9-ae73-c3d617c191a3,2021/05/17,えくぼ,えくぼ,
382019,7,愛媛県,松山市,プネウマカレー松山店,,,飲食店営業,一般食堂・レストラン等の飲食店営業,松山市三番町３丁目５－７,本江ビル１階西,,,,,株式会社ＥＬＤＹ,,代表取締役,安野 英樹,第00000154号,R3.5.24,R3.5.24,,R8.6.30,,,,,,377,プネウマカレー松山店,089,,,,,松山市三番町３丁目５－７,愛媛県松山市三番町３丁目５－７,本江ビル１階西,193879,38,38201,三番町３,,2021/05/24,2021/05/24,,2026/06/30,株式会社ＥＬＤＹ,安野 英樹,,,,,,,,,第00000154号,,飲食店営業, 一般食堂・レストラン等の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,プネウマカレ松山店19387938201,51f25419-fc7e-46fd-b5da-a96f78a5f150,株式会社ＥＬＤＹ,ed7faf88-82be-458d-9db9-47d2fe22bd56,a5c83cf4-866d-4272-9f0c-a0aacb8f467f,2021/05/24,プネウマカレー松山店,プネウマカレ松山店,株式会社ＥＬＤＹ
382019,8,愛媛県,松山市,ｃａｆｅ＆ｂａｒ,Ｌｉｔｔｌｅ Ｋｉｔｃｈｅｎ,ｃａｆｅ＆ｂａｒ　Ｌｉｔｔｌｅ Ｋｉｔｃｈｅｎ,飲食店営業,一般食堂・レストラン等の飲食店営業,松山市二番町３丁目３－１,,,,,河井 雄二,,,,,第00000177号,R3.5.28,R3.5.28,,R8.6.30,,,,,,377,ｃａｆｅ＆ｂａｒ　Ｌｉｔｔｌｅ Ｋｉｔｃｈｅｎ,089,,,,,松山市二番町３丁目３－１,愛媛県松山市二番町３丁目３－１,,194004,38,38201,二番町３,,2021/05/28,2021/05/28,,2026/06/30,,河井 雄二  ,,,,,,,,,第00000177号,,飲食店営業, 一般食堂・レストラン等の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,ｃａｆｅｂａｒ19400438201,5173f1b1-aac2-495d-9d96-2736d9240a8a,,personal,20a4adc4-6501-4bc3-ae9b-1cdf0add6b0c,2021/05/28,ｃａｆｅ＆ｂａｒ,ｃａｆｅｂａｒ,
382019,9,愛媛県,松山市,＃そうる’ｄ ＯＵＴ,,,飲食店営業,一般食堂・レストラン等の飲食店営業,松山市清水町２丁目１５－１０,フレンドリー清水１Ｆ,,,,岡田 翔偉,,,,,第00000181号,R3.5.28,R3.5.28,,R8.6.30,,,,,,377,＃そうる’ｄ ＯＵＴ,089,,,,,松山市清水町２丁目１５－１０,愛媛県松山市清水町２丁目１５－１０,フレンドリー清水１Ｆ,193888,38,38201,清水町２,,2021/05/28,2021/05/28,,2026/06/30,,岡田 翔偉  ,,,,,,,,,第00000181号,,飲食店営業, 一般食堂・レストラン等の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,そうるｄＯＵＴ19388838201,d1d17eed-b092-40ee-8cce-edeadfbc6473,,personal,1088089d-e145-4f98-af2e-f040e25ecbf8,2021/05/28,＃そうる＇ｄ　ＯＵＴ,そうるｄＯＵＴ,
