https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,施設名,施設名2,,業種,業態,施設-住所0,施設-住所1,施設-マンション名,緯度,経度,施設-電話番号1,申請者2,申請者1,法人番号,申請者2,確認番号,開業年月日,許可年月日,許可期間開始日,許可期間終了日,,,,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都道府県コード又は市区町村コード,No,都道府県名,市区町村名,営業所名称１,営業所名称２,営業所名称＿ｶﾅ,営業の種類,業態,営業所所在地,営業所肩書,,緯度,経度,営業所電話番号,申請者個人名,法人名,法人番号,法人代表者氏名,許可番号,初回許可年月日,許可年月日,許可開始日,許可満了日,廃業年月日,申請区分,許可条件,備考,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
382019,1,愛媛県,松山市,有限会社ディーアイ・フードサービス,,ユウゲンガイシャディーアイフードサービス,飲食店営業,,松山市太山寺町1185-1,松山市太山寺町１１８５－１,,,,089-916-3242,,有限会社ディーアイ・フードサービス,,猪木大輔,第187号,2021/6/1,2021/6/1,,2026/6/30,,,,,,377,有限会社ディーアイ・フードサービス,089,089-916-3242,,,,松山市太山寺町１１８５－１,愛媛県松山市太山寺町１１８５－１,,193913,38,38201,太山寺町,,2021/06/01,2021/06/01,,2026/06/30,有限会社ディーアイ・フードサービス,猪木大輔,,,,,,,,,第187号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年06月_末日.csv,M,76,,,有限会社ディアイフドサビス089-916-324219391338201,921da9be-5c31-4495-ae18-b67058611b36,有限会社ディーアイ・フードサービス,cd02bae3-82eb-4443-a30e-c823bfb5310c,9780fde2-c9e0-4169-91e6-f8e856809164,2021/06/01,有限会社ディーアイ・フードサービス,有限会社ディアイフドサビス,有限会社ディーアイ・フードサービス
382019,2,愛媛県,松山市,ラフタイム 明かり,,ラフタイム アカリ,飲食店営業,,松山市古川北２丁目２２－２３,松山市古川北２丁目２２－２３,,,,089-958-6550,櫻井 博樹,,,,第188号,2021/6/1,2021/6/1,,2026/6/30,,,,,,377,ラフタイム 明かり,089,089-958-6550,,,,松山市古川北２丁目２２－２３,愛媛県松山市古川北２丁目２２－２３,,194239,38,38201,古川北２,,2021/06/01,2021/06/01,,2026/06/30,,櫻井 博樹  ,,,,,,,,,第188号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年06月_末日.csv,M,76,,,ラフタイム明かり089-958-655019423938201,0a6a8c77-cab3-4fa3-8400-c871bf1ea018,,personal,f55ad277-7436-48fd-b272-24e0f22df5c9,2021/06/01,ラフタイム　明かり,ラフタイム明かり,
382019,3,愛媛県,松山市,ピザロイヤルハット堀江店,,ピザロイヤルハットホリエテン,飲食店営業,,松山市平田町374,松山市平田町３７４,,,,089-979-6888,,株式会社大乘,,大野洋二郎,第190号,2021/6/1,2021/6/1,,2026/6/30,,,,,,377,ピザロイヤルハット堀江店,089,089-979-6888,,,,松山市平田町３７４,愛媛県松山市平田町３７４,,194035,38,38201,平田町,,2021/06/01,2021/06/01,,2026/06/30,株式会社大乘,大野洋二郎,,,,,,,,,第190号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年06月_末日.csv,M,76,,,ピザロイヤルハット堀江店089-979-688819403538201,9f031f60-7b17-4b11-8d52-aab42272cc04,株式会社大乘,94ef4ac5-43de-4fe5-b752-0eed2d4e65ae,533c8b16-08e5-4e51-95cd-159592e57e19,2021/06/01,ピザロイヤルハット堀江店,ピザロイヤルハット堀江店,株式会社大乘
382019,4,愛媛県,松山市,もつ焼牛だしおでん酒場と金,,モツヤキギュウダシオデンサカバトキン,飲食店営業,,松山市二番町2丁目6-2 1F,松山市二番町２丁目６－２,１F,,,089-998-7170,,株式会社デイドリーム,,亀岡佑祐,第192号,2021/6/2,2021/6/2,,2026/6/30,,,,,,377,もつ焼牛だしおでん酒場と金,089,089-998-7170,,,,松山市二番町２丁目６－２,愛媛県松山市二番町２丁目６－２,１F,194003,38,38201,二番町２,,2021/06/02,2021/06/02,,2026/06/30,株式会社デイドリーム,亀岡佑祐,,,,,,,,,第192号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年06月_末日.csv,M,76,,,もつ焼牛だしおでん酒場と金089-998-717019400338201,b98ecb1d-39ca-4657-8172-818306f49bbf,株式会社デイドリーム,d493884f-4277-4171-87e4-e49c039914bc,f635e7f5-7348-4290-ae9b-8fccc27a2a64,2021/06/02,もつ焼牛だしおでん酒場と金,もつ焼牛だしおでん酒場と金,株式会社デイドリーム
382019,5,愛媛県,松山市,TENON,,テノン,飲食店営業,,松山市二番町３丁目7-17コンプレックスビル2階,松山市二番町３丁目７－１７,コンプレックスビル２階,,,,鎌倉翔吾,,,,第193号,2021/6/2,2021/6/2,,2026/6/30,,,,,,377,TENON,089,,,,,松山市二番町３丁目７－１７,愛媛県松山市二番町３丁目７－１７,コンプレックスビル２階,194004,38,38201,二番町３,,2021/06/02,2021/06/02,,2026/06/30,,鎌倉翔吾  ,,,,,,,,,第193号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年06月_末日.csv,M,76,,,ＴＥＮＯＮ19400438201,ce15e22d-7f60-41a3-8819-0f41e8ed29b8,,personal,56d0e351-40f1-46d3-abec-c8c6915a672f,2021/06/02,ＴＥＮＯＮ,ＴＥＮＯＮ,
382019,6,愛媛県,松山市,旬膳ふる田,,シュンゼンフルタ,飲食店営業,,松山市立花3丁目7-15,松山市立花３丁目７－１５,,,,089-921-2627,,合同会社旬膳ふる田,,古田治男,第194号,2021/6/2,2021/6/2,,2026/6/30,,,,,,377,旬膳ふる田,089,089-921-2627,,,,松山市立花７丁目７－１５,愛媛県松山市立花３丁目７－１５,,193938,38,38201,立花３,,2021/06/02,2021/06/02,,2026/06/30,合同会社旬膳ふる田,古田治男,,,,,,,,,第194号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年06月_末日.csv,M,76,,,旬膳ふる田089-921-262719393838201,f2e57f72-1f86-4e14-a17f-0fbe67e49aa2,合同会社旬膳ふる田,afaf7657-7c65-44eb-8bc5-462a32ef35fa,721b02b3-b469-4e50-aae9-ea3a74904f8e,2021/06/02,旬膳ふる田,旬膳ふる田,合同会社旬膳ふる田
382019,7,愛媛県,松山市,サーティワンアイスクリーム イオン松山店,,サーティワンアイスクリーム イオンマツヤマテン,飲食店営業,,松山市天山1丁目13-5 1F,松山市天山１丁目１３－５,１F,,,089-934-1231,,四国医療サービス株式会社,,𠮷永英人,第195号,2021/6/2,2021/6/2,,2026/6/30,,,,,,377,サーティワンアイスクリーム イオン松山店,089,089-934-1231,,,,松山市天山１丁目１３－５,愛媛県松山市天山１丁目１３－５,１F,194247,38,38201,天山１,,2021/06/02,2021/06/02,,2026/06/30,四国医療サービス株式会社,𠮷永英人,,,,,,,,,第195号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年06月_末日.csv,M,76,,,サティワンアイスクリムイオン松山店089-934-123119424738201,da26f95a-08a7-4cd8-97e6-a60a6a74fd1d,四国医療サービス株式会社,13b93ffb-4404-467d-b759-f822df4bc8b4,5384557d-d296-412e-861b-df051b6540c1,2021/06/02,サーティワンアイスクリーム　イオン松山店,サティワンアイスクリムイオン松山店,四国医療サービス株式会社
382019,8,愛媛県,松山市,かどや道後椿坂店,,カドヤドウゴツバキザカテン,飲食店営業,,松山市道後湯之町20-24,松山市道後湯之町２０－２４,,,,,,株式会社かどや,,清家幹廣,第196号,2021/6/2,2021/6/2,,2026/6/30,,,,,,377,かどや道後椿坂店,089,,,,,松山市道後湯之町２０－２４,愛媛県松山市道後湯ノ町２０－２４,,193983,38,38201,道後湯ノ町,,2021/06/02,2021/06/02,,2026/06/30,株式会社かどや,清家幹廣,,,,,,,,,第196号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年06月_末日.csv,M,76,,,かどや道後椿坂店19398338201,dc5255f0-3bd7-4662-b9a0-211faa523c2e,株式会社かどや,c3646e39-1d43-4960-ae4e-9a19b7d4ee5a,fa031a74-a429-4231-9da0-c698f60db8a5,2021/06/02,かどや道後椿坂店,かどや道後椿坂店,株式会社かどや
382019,9,愛媛県,松山市,カラオケ喫茶 初音,,カラオケキッサ ハツネ,飲食店営業,,松山市大可賀２丁目７－２１,松山市大可賀２丁目７－２１,,,,089-953-2601,奥田いすみ,,,,第197号,2021/6/2,2021/6/2,,2026/6/30,,,,,,377,カラオケ喫茶 初音,089,089-953-2601,,,,松山市大可賀２丁目７－２１,愛媛県松山市大可賀２丁目７－２１,,193778,38,38201,大可賀２,,2021/06/02,2021/06/02,,2026/06/30,,奥田いすみ  ,,,,,,,,,第197号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年06月_末日.csv,M,76,,,カラオケ喫茶初音089-953-260119377838201,2098561f-beab-478a-91df-2ec9d5c35ed6,,personal,29e1277d-f7f0-4222-9950-eb7e80705e1a,2021/06/02,カラオケ喫茶　初音,カラオケ喫茶初音,
