https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,施設名,施設名2,,業種,施設-住所0,施設-住所1,施設-マンション名,緯度,経度,施設-電話番号1,申請者2,申請者1,法人番号,申請者2,確認番号,開業年月日,許可年月日,許可期間開始日,許可期間終了日,,,,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都道府県コード又は市区町村コード,No,都道府県名,市区町村名,営業所名称１,営業所名称２,営業所名称＿ｶﾅ,営業の種類,営業所所在地,,営業所方書,緯度,経度,営業所電話番号,申請者個人名,法人名,法人番号,法人代表者氏名,許可番号,初回許可年月日,許可年月日,許可開始日,許可満了日,廃業年月日,申請区分,許可条件,備考,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
382019,1,愛媛県,松山市,株式会社 日珈,,カブシキガイシャ ニッカ,飲食店営業,松山市六軒家町4番３号,松山市六軒家町４番３号,,,,089-925-4684,,株式会社 日珈,,土居ユリ子,第517号,2021/7/1,2021/7/1,,2026/6/30,,,,,,377,株式会社 日珈,089,089-925-4684,,,,松山市六軒家町４番３号,愛媛県松山市六軒家町４番３号,,194156,38,38201,六軒家町,,2021/07/01,2021/07/01,,2026/06/30,株式会社 日珈,土居ユリ子,,,,,,,,,第517号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,株式会社日珈089-925-468419415638201,ffdf4f08-9279-4357-ae07-c65720de04d8,株式会社日珈,c17cc8d0-00c0-4686-ae2a-848d9d274600,4d751dc9-4522-45cf-b3f4-f62b308c8122,2021/07/01,株式会社日珈,株式会社日珈,株式会社日珈
382019,2,愛媛県,松山市,香港 和泉店,,ホンコン イズミテン,飲食店営業,松山市和泉北１丁目４－２０シティ森１F,松山市和泉北１丁目４－２０,シティ森１F,,,089-948-0013,,株式会社香港 和泉店,,田邨勝一,第518号,2021/7/1,2021/7/1,,2026/6/30,,,,,,377,香港 和泉店,089,089-948-0013,,,,松山市和泉北１丁目４－２０,愛媛県松山市和泉北１丁目４－２０,シティ森１F,194184,38,38201,和泉北１,,2021/07/01,2021/07/01,,2026/06/30,株式会社香港 和泉店,田邨勝一,,,,,,,,,第518号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,香港和泉店089-948-001319418438201,cd5d9e63-d565-4ebc-87e1-cc5c492364cd,株式会社香港　和泉店,74498ee4-df42-49b5-9d2e-c3e024289b8f,07f58d02-05c3-42c8-bec1-12a45773bbb4,2021/07/01,香港　和泉店,香港和泉店,株式会社香港　和泉店
382019,3,愛媛県,松山市,ていれぎＢＢＱ,,テイレギバーベキュー,飲食店営業,松山市中野町甲８５３,松山市中野町甲８５３,,,,963-3535,,株式会社プログレッソ,,中矢孝則,第519号,2021/7/1,2021/7/1,,2026/6/30,,,,,,377,ていれぎＢＢＱ,089,089-963-3535,,,,松山市中野町甲８５３,愛媛県松山市中野町甲８５３,,193989,38,38201,中野町,,2021/07/01,2021/07/01,,2026/06/30,株式会社プログレッソ,中矢孝則,,,,,,,,,第519号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,ていれぎＢＢＱ089-963-353519398938201,b9749620-2947-4f30-9b80-e3c9b57703f7,株式会社プログレッソ,a0a65219-7697-439c-a0e9-0cc28154d66c,6f70c7c2-f17f-4e9d-bf09-acd6a93dd2b8,2021/07/01,ていれぎＢＢＱ,ていれぎＢＢＱ,株式会社プログレッソ
382019,4,愛媛県,松山市,Dream アリス,,ドリーム アリス,飲食店営業,松山市二番町１丁目６－４Star21 Part3 3階A,松山市二番町１丁目６－４,Star２１Part３ ３階A,,,,宮﨑裕治,,,,第520号,2021/7/1,2021/7/1,,2026/6/30,,,,,,377,Dream アリス,089,,,,,松山市二番町１丁目６－４,愛媛県松山市二番町１丁目６－４,Star２１Part３ ３階A,194002,38,38201,二番町１,,2021/07/01,2021/07/01,,2026/06/30,,宮﨑裕治  ,,,,,,,,,第520号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,Ｄｒｅａｍアリス19400238201,e82d8927-af72-4060-9b75-e151621c528f,,personal,e4902ded-6e5c-470d-b316-96a3bc00287f,2021/07/01,Ｄｒｅａｍ　アリス,Ｄｒｅａｍアリス,
382019,5,愛媛県,松山市,ｔｏｍｏｚｏｕ ｓｔａｄｉｕｍ,,トモゾウ スタジアム,飲食店営業,松山市二番町１丁目９－４ラフォーレ２０２ ５Ｆ,松山市二番町１丁目９－４,ラフォーレ２０２　５Ｆ,,,089-961-1441,,株式会社トモスタ,,藤田知美,第521号,2021/7/1,2021/7/1,,2026/6/30,,,,,,377,ｔｏｍｏｚｏｕ ｓｔａｄｉｕｍ,089,089-961-1441,,,,松山市二番町１丁目９－４,愛媛県松山市二番町１丁目９－４,ラフォーレ２０２　５Ｆ,194002,38,38201,二番町１,,2021/07/01,2021/07/01,,2026/06/30,株式会社トモスタ,藤田知美,,,,,,,,,第521号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,ｔｏｍｏｚｏｕｓｔａｄｉｕｍ089-961-144119400238201,c7713400-7b47-40db-9901-6452b2ee5f93,株式会社トモスタ,c28b5a4d-4d30-475e-b17a-065251ba6c68,3946d55a-2174-477c-b5d3-4333387182a0,2021/07/01,ｔｏｍｏｚｏｕ　ｓｔａｄｉｕｍ,ｔｏｍｏｚｏｕｓｔａｄｉｕｍ,株式会社トモスタ
382019,6,愛媛県,松山市,正夢 別邸,,マサユメ ベッテイ,飲食店営業,松山市二番町2丁目6－2二番町KKビル3階,松山市二番町２丁目６－２,二番町KKビル３階,,,089-989-4688,中川和則,,,,第522号,2021/7/2,2021/7/2,,2026/9/30,,,,,,377,正夢 別邸,089,089-989-4688,,,,松山市二番町２丁目６－２,愛媛県松山市二番町２丁目６－２,二番町KKビル３階,194003,38,38201,二番町２,,2021/07/02,2021/07/02,,2026/09/30,,中川和則  ,,,,,,,,,第522号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,正夢別邸089-989-468819400338201,57746a75-a524-42b1-8fbf-ffa830d611ae,,personal,e5f7fd09-23ff-4dd9-950f-174728e51d92,2021/07/02,正夢　別邸,正夢別邸,
382019,7,愛媛県,松山市,からあげやカリッジュ 富久店,,カラアゲヤカリッジュ トミヒサテン,飲食店営業,松山市富久町４２２,松山市富久町４２２,,,,,中田孝,,,,第523号,2021/7/2,2021/7/2,,2026/9/30,,,,,,377,からあげやカリッジュ 富久店,089,,,,,松山市富久町４２２,愛媛県松山市富久町４２２,,193967,38,38201,富久町,,2021/07/02,2021/07/02,,2026/09/30,,中田孝  ,,,,,,,,,第523号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,からあげやカリッジュ富久店19396738201,d98798ae-85fb-4336-9b0d-2151cfb36804,,personal,7d4efb3b-b214-4718-a8df-a5e3bdea2ca7,2021/07/02,からあげやカリッジュ　富久店,からあげやカリッジュ富久店,
382019,8,愛媛県,松山市,お弁当屋さん コウノトリ,,オベントウヤサン コウノトリ,飲食店営業,松山市生石町３８２松友第一ビル１０３号,松山市生石町３８２,松友第一ビル１０３号,,,,藤中摩耶,,,,第524号,2021/7/2,2021/7/2,,2026/9/30,,,,,,377,お弁当屋さん コウノトリ,089,,,,,松山市生石町３８２,愛媛県松山市生石町３８２,松友第一ビル１０３号,193735,38,38201,生石町,,2021/07/02,2021/07/02,,2026/09/30,,藤中摩耶  ,,,,,,,,,第524号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,お弁当屋さんコウノトリ19373538201,c6cd6e1b-87b4-4578-9ad0-300fe9cb1870,,personal,2caef22e-6ce5-4466-8b97-e3291d1b9252,2021/07/02,お弁当屋さん　コウノトリ,お弁当屋さんコウノトリ,
382019,9,愛媛県,松山市,タス,,タス,飲食店営業,松山市大街道3丁目2-34サウンドピア大街道１F,松山市大街道３丁目２－３４,サウンドピア大街道１F,,,,,株式会社 TASU,,奥田智宏,第527号,2021/7/5,2021/7/5,,2026/9/30,,,,,,377,タス,089,,,,,松山市大街道３丁目２－３４,愛媛県松山市大街道３丁目２－３４,サウンドピア大街道１F,193776,38,38201,大街道３,,2021/07/05,2021/07/05,,2026/09/30,株式会社 TASU,奥田智宏,,,,,,,,,第527号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,タス19377638201,a31b295d-01fa-40b3-a835-79f16aa1523a,株式会社ＴＡＳＵ,92203ac6-a9ba-45e1-844d-149b5c0e9905,7f57e82e-d60b-4cbe-af3c-ba3456cea7ad,2021/07/05,タス,タス,株式会社ＴＡＳＵ
