https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,施設名,施設名2,,業種,業態,施設-住所0,施設-住所1,施設-マンション名,緯度,経度,施設-電話番号1,申請者2,申請者1,法人番号,申請者2,確認番号,開業年月日,許可年月日,許可期間開始日,許可期間終了日,,,,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都道府県コード又は市区町村コード,No,都道府県名,市区町村名,営業所名称１,営業所名称２,営業所名称＿ｶﾅ,営業の種類,業態,営業所所在地,,営業所方書,緯度,経度,営業所電話番号,申請者個人名,法人名,法人番号,法人代表者氏名,許可番号,初回許可年月日,許可年月日,許可開始日,許可満了日,廃業年月日,申請区分,許可条件,備考,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
382019,1,愛媛県,松山市,満月,,マンゲツ,飲食店営業,,松山市束本２丁目１２－８エムエスビル１F,松山市束本２丁目１２－８,エムエスビル１F,,,089-906-9468,土居益夫,,,,第605号,2021/8/2,2021/8/2,,2026/9/30,,,,,,377,満月,089,089-906-9468,,,,松山市束本２丁目１２－８,愛媛県松山市束本２丁目１２－８,エムエスビル１F,193960,38,38201,束本２,,2021/08/02,2021/08/02,,2026/09/30,,土居益夫  ,,,,,,,,,第605号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年08月_末日,M,76,,,満月089-906-946819396038201,dba87ab0-b7e3-41b4-9154-60fa1fd3a8e7,,personal,371dfa51-6b4a-4c08-a315-c057bea28723,2021/08/02,満月,満月,
382019,2,愛媛県,松山市,ライフデリ 松山店,,ライフデリ マツヤマテン,飲食店営業,,松山市湊町5丁目4-10 2F,松山市湊町５丁目４－１０,２F,,,,,有限会社活よし,,村上勝也,第606号,2021/8/2,2021/8/2,,2026/9/30,,,,,,377,ライフデリ 松山店,089,,,,,松山市湊町５丁目４－１０,愛媛県松山市湊町５丁目４－１０,２F,194093,38,38201,湊町５,,2021/08/02,2021/08/02,,2026/09/30,有限会社活よし,村上勝也,,,,,,,,,第606号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年08月_末日,M,76,,,ライフデリ松山店19409338201,3466d113-c1d2-41fa-9831-7699465d9ce7,有限会社活よし,ca520831-91a7-4bad-ace2-cf5858986f1f,cdaeabed-b3a4-4889-92a3-013cd24eb74a,2021/08/02,ライフデリ　松山店,ライフデリ松山店,有限会社活よし
382019,3,愛媛県,松山市,小さなスナックあらいぐま,,チイサナスナックアライグマ,飲食店営業,,松山市二番町2丁目7-18コア二番町ビル3F,松山市二番町２丁目７－１８,コア二番町ビル３F,,,,相原美和,,,,第607号,2021/8/2,2021/8/2,,2026/9/30,,,,,,377,小さなスナックあらいぐま,089,,,,,松山市二番町２丁目７－１８,愛媛県松山市二番町２丁目７－１８,コア二番町ビル３F,194003,38,38201,二番町２,,2021/08/02,2021/08/02,,2026/09/30,,相原美和  ,,,,,,,,,第607号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年08月_末日,M,76,,,小さなスナックあらいぐま19400338201,7b55dc24-e51f-46bf-9a89-c935cdb8b86e,,personal,712dd625-a693-4f2a-a0b9-668d44d55475,2021/08/02,小さなスナックあらいぐま,小さなスナックあらいぐま,
382019,4,愛媛県,松山市,居酒屋 憩い,,イザカヤ イコイ,飲食店営業,,松山市此花町4-20,松山市此花町４－２０,,,,,長岡力也,,,,第608号,2021/8/2,2021/8/2,,2026/9/30,,,,,,377,居酒屋 憩い,089,,,,,松山市此花町４－２０,愛媛県松山市此花町４－２０,,193867,38,38201,此花町,,2021/08/02,2021/08/02,,2026/09/30,,長岡力也  ,,,,,,,,,第608号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年08月_末日,M,76,,,居酒屋憩い19386738201,e13ae0bc-1025-4660-9644-407576111fec,,personal,be9d2402-bd0d-4fca-9514-0a463992d492,2021/08/02,居酒屋　憩い,居酒屋憩い,
382019,5,愛媛県,松山市,ロッケンキッチン,,ロッケンキッチン,飲食店営業,,松山市六軒家町2-29大協車輌ビル１F,松山市六軒家町２－２９,大協車輌ビル１F,,,,,株式会社花鳥風月,,渡部陽二,第609号,2021/8/2,2021/8/2,,2026/9/30,,,,,,377,ロッケンキッチン,089,,,,,松山市六軒家町２－２９,愛媛県松山市六軒家町２－２９,大協車輌ビル１F,194156,38,38201,六軒家町,,2021/08/02,2021/08/02,,2026/09/30,株式会社花鳥風月,渡部陽二,,,,,,,,,第609号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年08月_末日,M,76,,,ロッケンキッチン19415638201,b12c89c4-d6fd-4dfa-b7ce-e6e96d2e38a1,株式会社花鳥風月,0c9782db-8f56-4213-83e4-244f90bd92ef,904c50a6-7686-4e98-a381-f84ef5ab573a,2021/08/02,ロッケンキッチン,ロッケンキッチン,株式会社花鳥風月
382019,6,愛媛県,松山市,じゅたろう２,,ジュタロウツー,飲食店営業,,松山市石手４丁目３－３アイビーコート石手 ２F,松山市石手４丁目３－３,アイビーコート石手２F,,,089-943-3082,成田乃里子,,,,第610号,2021/8/2,2021/8/2,,2026/9/30,,,,,,377,じゅたろう２,089,089-943-3082,,,,松山市石手４丁目３－３,愛媛県松山市石手４丁目３－３,アイビーコート石手２F,193739,38,38201,石手４,,2021/08/02,2021/08/02,,2026/09/30,,成田乃里子  ,,,,,,,,,第610号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年08月_末日,M,76,,,じゅたろう２089-943-308219373938201,c27ef267-8fe0-435f-a978-a7b13bdfb72b,,personal,df946d21-c62c-46e7-b46c-e91560764517,2021/08/02,じゅたろう２,じゅたろう２,
382019,7,愛媛県,松山市,コーヒーハウス 珈人,,コーヒーハウス カジン,飲食店営業,,松山市保免中２丁目４－１４,松山市保免中２丁目４－１４,,,,089-974-3970,木原豊美,,,,第664号,2021/8/3,2021/8/3,,2026/9/30,,,,,,377,コーヒーハウス 珈人,089,089-974-3970,,,,松山市保免中２丁目４－１４,愛媛県松山市保免中２丁目４－１４,,194204,38,38201,保免中２,,2021/08/03,2021/08/03,,2026/09/30,,木原豊美  ,,,,,,,,,第664号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年08月_末日,M,76,,,コヒハウス珈人089-974-397019420438201,bf8f53cc-47aa-4561-8224-48b61e1baa9e,,personal,1c89d1c4-5db3-4702-a60a-e1627e5d1403,2021/08/03,コーヒーハウス　珈人,コヒハウス珈人,
382019,8,愛媛県,松山市,蓮,,レン,飲食店営業,,松山市平和通1丁目2-14１F,松山市平和通１丁目２－１４,１F,,,089-934-5430,横山勝彦,,,,第665号,2021/8/3,2021/8/3,,2026/9/30,,,,,,377,蓮,089,089-934-5430,,,,松山市平和通１丁目２－１４,愛媛県松山市平和通１丁目２－１４,１F,194046,38,38201,平和通１,,2021/08/03,2021/08/03,,2026/09/30,,横山勝彦  ,,,,,,,,,第665号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年08月_末日,M,76,,,蓮089-934-543019404638201,9c48a6ba-c2b8-4e9b-9768-11f1f3c5f213,,personal,de460c6f-4999-47bd-bf7a-5417862a374e,2021/08/03,蓮,蓮,
382019,9,愛媛県,松山市,ハングオーバー,,ハングオーバー,飲食店営業,,松山市二番町１丁目６－４スター２１ ４FB,松山市二番町１丁目６－４,スター２１　４FB,,,,,株式会社ウィスタリア,,藤井美智子,第666号,2021/8/3,2021/8/3,,2026/9/30,,,,,,377,ハングオーバー,089,,,,,松山市二番町１丁目６－４,愛媛県松山市二番町１丁目６－４,スター２１　４FB,194002,38,38201,二番町１,,2021/08/03,2021/08/03,,2026/09/30,株式会社ウィスタリア,藤井美智子,,,,,,,,,第666号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年08月_末日,M,76,,,ハングオバ19400238201,0b8b9e79-93a0-4505-b15b-9ea0085087bb,株式会社ウィスタリア,d6d55cd3-b0f6-46d2-a8e1-579582473b66,202823fc-1ba5-4a14-b35c-ebe48d5a75a7,2021/08/03,ハングオーバー,ハングオバ,株式会社ウィスタリア
