https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,施設名,施設名2,,業種,業態,施設-住所0,施設-住所1,施設-マンション名,緯度,経度,施設-電話番号1,申請者2,申請者1,法人番号,申請者2,確認番号,開業年月日,許可年月日,許可期間開始日,許可期間終了日,,,,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都道府県コード又は市区町村コード,No,都道府県名,市区町村名,営業所名称１,営業所名称２,営業所名称＿ｶﾅ,営業の種類,業態,営業所所在地,,営業所方書,緯度,経度,営業所電話番号,申請者個人名,法人名,法人番号,法人代表者氏名,許可番号,初回許可年月日,許可年月日,許可開始日,許可満了日,廃業年月日,申請区分,許可条件,備考,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
382019,1,愛媛県,松山市,まるま商店,,マルマショウテン,飲食店営業,,松山市東野２丁目１０－１９,松山市東野２丁目１０－１９,,,,,渡部恭介,,,,第1003号,2021/10/1,2021/10/1,,2026/9/30,,,,,,377,まるま商店,089,,,,,松山市東野２丁目１０－１９,愛媛県松山市東野２丁目１０－１９,,194022,38,38201,東野２,,2021/10/01,2021/10/01,,2026/09/30,,渡部恭介  ,,,,,,,,,第1003号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年10月_末日,M,76,,,まるま商店19402238201,f7786962-1e95-4b63-9c82-fa031a01662a,,personal,ebc03ade-768a-4886-8f88-e2c983494492,2021/10/01,まるま商店,まるま商店,
382019,2,愛媛県,松山市,N9,,ナイン,飲食店営業,,松山市三番町一丁目16-6第五三洋ビル4F,松山市三番町１丁目１６－６,第五三洋ビル４F,,,089-921-8008,袋瀬悠也,,,,第1006号,2021/10/4,2021/10/4,,2026/12/31,,,,,,377,N9,089,089-921-8008,,,,松山市三番町１丁目１６－６,愛媛県松山市三番町１丁目１６－６,第五三洋ビル４F,193877,38,38201,三番町１,,2021/10/04,2021/10/04,,2026/12/31,,袋瀬悠也  ,,,,,,,,,第1006号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年10月_末日,M,76,,,Ｎ９089-921-800819387738201,15d5095a-f4bc-49e2-aa4a-87fd0418d49d,,personal,f68c6d02-7143-47e8-9367-2fac2533d58e,2021/10/04,Ｎ９,Ｎ９,
382019,3,愛媛県,松山市,喰べ呑み処 幸KOH,,タベノミドコロ コウ,飲食店営業,,松山市二番町１丁目３－１ 古唐人ビル夢館B１F,松山市二番町１丁目３－１,古唐人ビル夢館B１F,,,,板坂幸子,,,,第1007号,2021/10/4,2021/10/4,,2026/12/31,,,,,,377,喰べ呑み処 幸KOH,089,,,,,松山市二番町１丁目３－１,愛媛県松山市二番町１丁目３－１,古唐人ビル夢館B１F,194002,38,38201,二番町１,,2021/10/04,2021/10/04,,2026/12/31,,板坂幸子  ,,,,,,,,,第1007号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年10月_末日,M,76,,,喰べ呑み処幸ＫＯＨ19400238201,21655cb3-d0ea-4a57-ada0-b9e580fc7995,,personal,bda9369b-794a-4224-9901-0fbff0936cda,2021/10/04,喰べ呑み処　幸ＫＯＨ,喰べ呑み処幸ＫＯＨ,
382019,4,愛媛県,松山市,いよてつ髙島屋 社員食堂,,イヨテツタカシマヤ シャインショクドウ,飲食店営業,,松山市湊町５丁目１－１いよてつ髙島屋 南館 ５Ｆ,松山市湊町５丁目１－１,いよてつ髙島屋南館 ５Ｆ,,,089-948-2381,,株式会社 伊予鉄会館,,石山有一,第1008号,2021/10/4,2021/10/4,,2026/12/31,,,,,,377,いよてつ髙島屋 社員食堂,089,089-948-2381,,,,松山市湊町５丁目１－１,愛媛県松山市湊町５丁目１－１,いよてつ髙島屋南館 ５Ｆ,194093,38,38201,湊町５,,2021/10/04,2021/10/04,,2026/12/31,株式会社 伊予鉄会館,石山有一,,,,,,,,,第1008号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年10月_末日,M,76,,,いよてつ髙島屋社員食堂089-948-238119409338201,a61c02e5-bba8-455e-adc2-68b11989f5eb,株式会社伊予鉄会館,ba019f36-961d-478b-91b8-27aefbaaafba,e860a457-ea21-474b-be89-58bfd31214b1,2021/10/04,いよてつ髙島屋　社員食堂,いよてつ髙島屋社員食堂,株式会社伊予鉄会館
382019,5,愛媛県,松山市,たこ焼き屋 かっちゃん,,タコヤキや カッチャン,飲食店営業,,松山市和泉南６丁目４－２５,松山市和泉南６丁目４－２５,,,,089-904-4861,向井和也,,,,第1010号,2021/10/4,2021/10/4,,2026/12/31,,,,,,377,たこ焼き屋 かっちゃん,089,089-904-4861,,,,松山市和泉南６丁目４－２５,愛媛県松山市和泉南６丁目４－２５,,194277,38,38201,和泉南６,,2021/10/04,2021/10/04,,2026/12/31,,向井和也  ,,,,,,,,,第1010号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年10月_末日,M,76,,,たこ焼き屋かっちゃん089-904-486119427738201,948c4e45-5787-4b18-97f9-60f75a991e52,,personal,ca0ca2a4-790d-4bd3-bba2-e41b314f67e2,2021/10/04,たこ焼き屋　かっちゃん,たこ焼き屋かっちゃん,
382019,6,愛媛県,松山市,松山三越 ゴディバ,,マツヤマミツコシ ゴディバ,飲食店営業,,松山市一番町3丁目1-1 1階,松山市一番町３丁目１－１,１階,,,,,株式会社 松山三越,,浅田徹,第1011号,2021/10/4,2021/10/4,,2026/12/31,,,,,,377,松山三越 ゴディバ,089,,,,,松山市一番町３丁目１－１,愛媛県松山市一番町３丁目１－１,１階,193746,38,38201,一番町３,,2021/10/04,2021/10/04,,2026/12/31,株式会社 松山三越,浅田徹,,,,,,,,,第1011号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年10月_末日,M,76,,,松山三越ゴディバ19374638201,1dcd95e2-97f6-4f76-a666-cdd68f126155,株式会社松山三越,8853187a-40d3-4d2f-b51e-89903f907bed,f38535cd-f97e-47b5-a3d7-587acde736e9,2021/10/04,松山三越　ゴディバ,松山三越ゴディバ,株式会社松山三越
382019,7,愛媛県,松山市,オルシヴァル,,オルシヴァル,飲食店営業,,松山市南土居町５３８－１,松山市南土居町５３８－１,,,,089-970-9332,,株式会社Ｏｒｃｉｖａｌ,,髙橋直美,第1014号,2021/10/5,2021/10/5,,2026/12/31,,,,,,377,オルシヴァル,089,089-970-9332,,,,松山市南土居町５３８－１,愛媛県松山市南土居町５３８－１,,194109,38,38201,南土居町,,2021/10/05,2021/10/05,,2026/12/31,株式会社Ｏｒｃｉｖａｌ,髙橋直美,,,,,,,,,第1014号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年10月_末日,M,76,,,オルシヴァル089-970-933219410938201,31d62473-a6e2-4c0f-8cce-ee306d9381cd,株式会社Ｏｒｃｉｖａｌ,360aa139-8669-4748-a566-33c22c71e7ac,f820785b-7f97-4493-88c8-278b414ff016,2021/10/05,オルシヴァル,オルシヴァル,株式会社Ｏｒｃｉｖａｌ
382019,8,愛媛県,松山市,本格火鍋 重慶,,ホンカクヒナベ ジュウケイ,飲食店営業,,松山市二番町１丁目２－１１Ｆ・ＣＩＡＯⅡビル２０１号,松山市二番町１丁目２－１１,Ｆ・ＣＩＡＯⅡビル２０１号,,,,向田洋一郎,,,,第1015号,2021/10/5,2021/10/5,,2026/12/31,,,,,,377,本格火鍋 重慶,089,,,,,松山市二番町１丁目２－１１,愛媛県松山市二番町１丁目２－１１,Ｆ・ＣＩＡＯⅡビル２０１号,194002,38,38201,二番町１,,2021/10/05,2021/10/05,,2026/12/31,,向田洋一郎  ,,,,,,,,,第1015号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年10月_末日,M,76,,,本格火鍋重慶19400238201,22b6e72b-d677-47e4-a68e-d3ee3948667b,,personal,e207f09c-68be-4889-b6d8-a0813a7c145b,2021/10/05,本格火鍋　重慶,本格火鍋重慶,
382019,9,愛媛県,松山市,四季旬魚 まるふく,,シキセンギョ マルフク,飲食店営業,,松山市保健所管内,松山市保健所管内,,,,,田村政博,,,,第1016号,2021/10/5,2021/10/5,,2026/12/31,,,,,,377,四季旬魚 まるふく,089,,,,,松山市保健所管内,愛媛県松山市保健所管内,,193715,38,38201,,,2021/10/05,2021/10/05,,2026/12/31,,田村政博  ,,,,,,,,,第1016号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年10月_末日,M,76,,,四季旬魚まるふく19371538201,0da2b66d-b882-489e-919d-e301469258fe,,personal,ebdc07b4-6fbf-4dc2-b763-4307d623968f,2021/10/05,四季旬魚　まるふく,四季旬魚まるふく,
