https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,申請者1,確認番号,許可年月日,申請区分,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,業種,施設-電話番号1,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号または商号,営業者氏名,許可番号,許可年月日,申請種別,,施設所在地,,,業種,営業所電話番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
PUB SNACK PAPA,紺野　さつき,3板保生食ほ 第  815号,令和03年11月11日,新規,東京都,板橋区赤塚二丁目3番15号,板橋区赤塚２丁目３番１５号,,飲食店営業,3938-8482,,198,PUB SNACK PAPA,03,03-3938-8482,,,,東京都　板橋区赤塚２丁目３番１５号,東京都板橋区赤塚２丁目３番１５号,,75029,13,13119,赤塚２,,,2021/11/11,,,,紺野　さつき,,,,,,,,,3板保生食ほ 第  815号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ＰＵＢＳＮＡＣＫＰＡＰＡ03-3938-84827502913119,e9b17365-9c29-452a-96a8-535f9fb5eddf,,personal,5740c5dd-67e4-46a2-a240-288078ccdfaa,2021/11/11,ＰＵＢ　ＳＮＡＣＫ　ＰＡＰＡ,ＰＵＢＳＮＡＣＫＰＡＰＡ,
麺処　みかほ,樋田　直樹,3板保生食ほ 第  805号,令和03年11月08日,新規,東京都,板橋区小豆沢二丁目20番5号,板橋区小豆沢２丁目２０番５号,,飲食店営業,,,198,麺処　みかほ,03,,,,,東京都　板橋区小豆沢２丁目２０番５号,東京都板橋区小豆沢２丁目２０番５号,,75040,13,13119,小豆沢２,,,2021/11/08,,,,樋田　直樹,,,,,,,,,3板保生食ほ 第  805号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,麺処みかほ7504013119,26f87f7f-ea5f-4a46-9321-4a951d41aafe,,personal,8bc9b6ac-58aa-43ba-acca-84c31df622c6,2021/11/08,麺処　みかほ,麺処みかほ,
お好み焼富仙,関山　周,3板保生食ほ 第  734号,令和03年11月04日,新規,東京都,板橋区板橋三丁目10番12号,板橋区板橋３丁目１０番１２号,,飲食店営業,3964-1323,,198,お好み焼富仙,03,03-3964-1323,,,,東京都　板橋区板橋３丁目１０番１２号,東京都板橋区板橋３丁目１０番１２号,,75046,13,13119,板橋３,,,2021/11/04,,,,関山　周,,,,,,,,,3板保生食ほ 第  734号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,お好み焼富仙03-3964-13237504613119,217d0955-c742-41fc-9d68-26e5f0c64535,,personal,39c1cc4d-5788-4b06-91c1-bd4f0cdead5e,2021/11/04,お好み焼富仙,お好み焼富仙,
公園前,徳永　道,3板保生食ほ 第  742号,令和03年11月02日,新規,東京都,板橋区大原町7番4号,板橋区大原町７番４号,,飲食店営業,,,198,公園前,03,,,,,東京都　板橋区大原町７番４号,東京都板橋区大原町７番４号,,75049,13,13119,大原町,,,2021/11/02,,,,徳永　道,,,,,,,,,3板保生食ほ 第  742号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,公園前7504913119,cab480f2-a914-4fdc-b02c-67a9b8ff4b4a,,personal,23083393-d4fc-4609-812b-17c98c2a187d,2021/11/02,公園前,公園前,
居酒屋ゆき,ヨ　シュウ　チン,3板保生食ほ 第  775号,令和03年11月12日,新規,東京都,板橋区大山金井町54番15号　サンライズ大山マンション１０２－A号室,板橋区大山金井町５４番１５号 ,サンライズ大山マンション１０２－A号室,飲食店営業,,,198,居酒屋ゆき,03,,,,,東京都　板橋区大山金井町５４番１５号 ,東京都板橋区大山金井町５４番１５号,サンライズ大山マンション１０２－A号室,75054,13,13119,大山金井町,,,2021/11/12,,,,ヨ　シュウ　チン,,,,,,,,,3板保生食ほ 第  775号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,居酒屋ゆき7505413119,3a09699c-c8d8-48db-9f4e-5b04a0e5486e,,personal,b131dffa-b353-4b04-8527-31f84a4940ab,2021/11/12,居酒屋ゆき,居酒屋ゆき,
めしと酒　髙ひろ,日牟禮屋株式会社,3板保生食ほ 第  725号,令和03年11月01日,新規,東京都,板橋区大山東町58番2号,板橋区大山東町５８番２号,,飲食店営業,5944-1644,,198,めしと酒　髙ひろ,03,03-5944-1644,,,,東京都　板橋区大山東町５８番２号,東京都板橋区大山東町５８番２号,,75057,13,13119,大山東町,,,2021/11/01,,,日牟禮屋株式会社,,,,,,,,,,3板保生食ほ 第  725号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,めしと酒髙ひろ03-5944-16447505713119,e6ee124d-be62-455c-a3a3-6342ab2792c5,日牟禮屋株式会社,5e3e5071-4899-4942-8a7b-738cc1e1919d,dcbda4cd-e0bd-4e73-a59c-00b8162c7fc6,2021/11/01,めしと酒　髙ひろ,めしと酒髙ひろ,日牟禮屋株式会社
全家福,株式会社ゴールデンロード,3板保生食ほ 第  790号,令和03年11月04日,新規,東京都,板橋区上板橋二丁目1番12号,板橋区上板橋２丁目１番１２号,,飲食店営業,3936-3665,,198,全家福,03,03-3936-3665,,,,東京都　板橋区上板橋２丁目１番１２号,東京都板橋区上板橋２丁目１番１２号,,75061,13,13119,上板橋２,,,2021/11/04,,,株式会社ゴールデンロード,,,,,,,,,,3板保生食ほ 第  790号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,全家福03-3936-36657506113119,17e7e1ea-4601-43b6-9a4d-d3762b91b37c,株式会社ゴールデンロード,8b89ca23-1fb0-4479-bbe6-a9a620ac6e17,d2d9fc37-35c5-40a2-87b9-f36277fcf306,2021/11/04,全家福,全家福,株式会社ゴールデンロード
ホームステーションらいふ蓮根,株式会社コスモプラン,3板保生食ほ 第  795号,令和03年11月10日,新規,東京都,板橋区坂下三丁目30番17号,板橋区坂下３丁目３０番１７号,,飲食店営業,,,198,ホームステーションらいふ蓮根,03,,,,,東京都　板橋区坂下３丁目３０番１７号,東京都板橋区坂下３丁目３０番１７号,,75073,13,13119,坂下３,,,2021/11/10,,,株式会社コスモプラン,,,,,,,,,,3板保生食ほ 第  795号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ホムステションらいふ蓮根7507313119,6667a69f-adc7-4d4c-87f8-0bcfc93d8370,株式会社コスモプラン,3817b05f-741f-4ddb-a2fa-7cbcb55e4b0a,c9b8f1af-fd85-4d31-8181-2145ccf06833,2021/11/10,ホームステーションらいふ蓮根,ホムステションらいふ蓮根,株式会社コスモプラン
サミットストア志村店,サミット株式会社,3板保生食ほ 第  806号,令和03年11月10日,新規,東京都,板橋区志村三丁目26番4号,板橋区志村３丁目２６番４号,,飲食店営業,5916-3210,,198,サミットストア志村店,03,03-5916-3210,,,,東京都　板橋区志村３丁目２６番４号,東京都板橋区志村３丁目２６番４号,,75080,13,13119,志村３,,,2021/11/10,,,サミット株式会社,,,,,,,,,,3板保生食ほ 第  806号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,サミットストア志村店03-5916-32107508013119,b51560ff-8e78-4d08-9800-d24b3560e783,サミット株式会社,6b629076-ad14-44ec-bd5f-e1df641ca0d1,d1f28e82-c0d2-45bb-8be3-b98d18466d1f,2021/11/10,サミットストア志村店,サミットストア志村店,サミット株式会社
サミットストア志村店,サミット株式会社,3板保生食ほ 第  808号,令和03年11月10日,新規,東京都,板橋区志村三丁目26番4号,板橋区志村３丁目２６番４号,,飲食店営業,5916-3210,,198,サミットストア志村店,03,03-5916-3210,,,,東京都　板橋区志村３丁目２６番４号,東京都板橋区志村３丁目２６番４号,,75080,13,13119,志村３,,,2021/11/10,,,サミット株式会社,,,,,,,,,,3板保生食ほ 第  808号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,サミットストア志村店03-5916-32107508013119,b51560ff-8e78-4d08-9800-d24b3560e783,サミット株式会社,6b629076-ad14-44ec-bd5f-e1df641ca0d1,fbdaf7ed-ad50-4c8d-9c2d-20c4dda58a29,2021/11/10,サミットストア志村店,サミットストア志村店,サミット株式会社
