https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,n処理終了,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
確認番号,業種,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,申請者1,施設名,,申請区分,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許可番号,業種,,営業所所在地,,,営業者氏名,屋号または商号,変更事項,,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
2板保生食ほ-  405,飲食店営業,東京都,板橋区前野町五丁目27番7号,板橋区前野町５丁目２７番７号,,株式会社長谷工シニアウェルデザイン,センチュリーシティ常盤台,承継（合併）,変更,,板橋区保健所,センチュリーシティ常盤台,03,,,,,東京都　板橋区前野町５丁目２７番７号,東京都板橋区前野町５丁目２７番７号,,75143,東京都,板橋区,前野町５,,,,,,株式会社長谷工シニアウェルデザイン,,,,,,,,,,2板保生食ほ-  405,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,センチュリーシティ常盤台,センチュリシティ常盤台,株式会社長谷工シニアウェルデザイン
29板保生食ほ-  978,喫茶店営業（自動販売機）,東京都,板橋区小茂根四丁目11番11号,板橋区小茂根４丁目１１番１１号,,トーヨーベンディング株式会社,武蔵野病院,承継（分割）,変更,,板橋区保健所,武蔵野病院,03,,,,,東京都　板橋区小茂根４丁目１１番１１号,東京都板橋区小茂根４丁目１１番１１号,,75067,東京都,板橋区,小茂根４,,,,,,トーヨーベンディング株式会社,,,,,,,,,,29板保生食ほ-  978,変更,喫茶店営業,自動販売機,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,武蔵野病院,武蔵野病院,トーヨーベンディング株式会社
30板保生食ほ-   94,喫茶店営業（自動販売機）,東京都,板橋区栄町35番7号,板橋区栄町３５番７号,,トーヨーベンディング株式会社,東京都健康長寿医療センター２F,承継（分割）,変更,,板橋区保健所,東京都健康長寿医療センター２F,03,,,,,東京都　板橋区栄町３５番７号,東京都板橋区栄町３５番７号,,75070,東京都,板橋区,栄町,,,,,,トーヨーベンディング株式会社,,,,,,,,,,30板保生食ほ-   94,変更,喫茶店営業,自動販売機,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,東京都健康長寿医療センター２Ｆ,東京都健康長寿医療センタ２Ｆ,トーヨーベンディング株式会社
30板保生食ほ-  678,喫茶店営業（自動販売機）,東京都,板橋区新河岸二丁目3番5号,板橋区新河岸２丁目３番５号,,トーヨーベンディング株式会社,三和シャッター工業,承継（分割）,変更,,板橋区保健所,三和シャッター工業,03,,,,,東京都　板橋区新河岸２丁目３番５号,東京都板橋区新河岸２丁目３番５号,,75082,東京都,板橋区,新河岸２,,,,,,トーヨーベンディング株式会社,,,,,,,,,,30板保生食ほ-  678,変更,喫茶店営業,自動販売機,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,三和シャッター工業,三和シャッタ工業,トーヨーベンディング株式会社
30板保生食ほ-  966,喫茶店営業（自動販売機）,東京都,板橋区板橋二丁目60番13号,板橋区板橋２丁目６０番１３号,,トーヨーベンディング株式会社,板橋警察署,承継（分割）,変更,,板橋区保健所,板橋警察署,03,,,,,東京都　板橋区板橋２丁目６０番１３号,東京都板橋区板橋２丁目６０番１３号,,75045,東京都,板橋区,板橋２,,,,,,トーヨーベンディング株式会社,,,,,,,,,,30板保生食ほ-  966,変更,喫茶店営業,自動販売機,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,板橋警察署,板橋警察署,トーヨーベンディング株式会社
30板保生食ほ- 1221,喫茶店営業（自動販売機）,東京都,板橋区栄町33番1号,板橋区栄町３３番１号,,トーヨーベンディング株式会社,公益財団法人東京都保健医療公社　豊島病院,承継（分割）,変更,,板橋区保健所,公益財団法人東京都保健医療公社　豊島病院,03,,,,,東京都　板橋区栄町３３番１号,東京都板橋区栄町３３番１号,,75070,東京都,板橋区,栄町,,,,,,トーヨーベンディング株式会社,,,,,,,,,,30板保生食ほ- 1221,変更,喫茶店営業,自動販売機,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,公益財団法人東京都保健医療公社　豊島病院,公益財団法人東京都保健医療公社豊島病院,トーヨーベンディング株式会社
31板保生食ほ-  208,喫茶店営業（自動販売機）,東京都,板橋区成増二丁目17番24号,板橋区成増２丁目１７番２４号,,トーヨーベンディング株式会社,コンサートホール成増,承継（分割）,変更,,板橋区保健所,コンサートホール成増,03,,,,,東京都　板橋区成増２丁目１７番２４号,東京都板橋区成増２丁目１７番２４号,,75114,東京都,板橋区,成増２,,,,,,トーヨーベンディング株式会社,,,,,,,,,,31板保生食ほ-  208,変更,喫茶店営業,自動販売機,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,コンサートホール成増,コンサトホル成増,トーヨーベンディング株式会社
31板保生食ほ-  480,喫茶店営業（自動販売機）,東京都,板橋区志村三丁目30番1号　２号館,板橋区志村３丁目３０番１号,２号館,トーヨーベンディング株式会社,株式会社LSIメディエンス,承継（分割）,変更,,板橋区保健所,株式会社LSIメディエンス,03,,,,,東京都　板橋区志村３丁目３０番１号,東京都板橋区志村３丁目３０番１号,２号館,75080,東京都,板橋区,志村３,,,,,,トーヨーベンディング株式会社,,,,,,,,,,31板保生食ほ-  480,変更,喫茶店営業,自動販売機,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,株式会社ＬＳＩメディエンス,株式会社ＬＳＩメディエンス,トーヨーベンディング株式会社
31板保生食ほ-  794,喫茶店営業（自動販売機）,東京都,板橋区大谷口上町30番1号,板橋区大谷口上町３０番１号,,トーヨーベンディング株式会社,日本大学医学部附属板橋病院,承継（分割）,変更,,板橋区保健所,日本大学医学部附属板橋病院,03,,,,,東京都　板橋区大谷口上町３０番１号,東京都板橋区大谷口上町３０番１号,,75052,東京都,板橋区,大谷口上町,,,,,,トーヨーベンディング株式会社,,,,,,,,,,31板保生食ほ-  794,変更,喫茶店営業,自動販売機,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,日本大学医学部附属板橋病院,日本大学医学部附属板橋病院,トーヨーベンディング株式会社
29板保生食ほ- 1066,菓子製造業,東京都,板橋区上板橋一丁目1番11号,板橋区上板橋１丁目１番１１号,,山本　ゆめ実,夢見キッチン,住所（個人）,変更,,板橋区保健所,夢見キッチン,03,,,,,東京都　板橋区上板橋１丁目１番１１号,東京都板橋区上板橋１丁目１番１１号,,75060,東京都,板橋区,上板橋１,,,,,,,山本　ゆめ実,,,,,,,,,29板保生食ほ- 1066,変更,菓子製造業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,製造業,食料品製造業,,,,,,,,,夢見キッチン,夢見キッチン,
29板保生食ほ- 1066,菓子製造業,東京都,板橋区上板橋一丁目1番11号,板橋区上板橋１丁目１番１１号,,山本　ゆめ実,夢見キッチン,営業所名称、屋号または商号,変更,,板橋区保健所,夢見キッチン,03,,,,,東京都　板橋区上板橋１丁目１番１１号,東京都板橋区上板橋１丁目１番１１号,,75060,東京都,板橋区,上板橋１,,,,,,,山本　ゆめ実,,,,,,,,,29板保生食ほ- 1066,変更,菓子製造業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,製造業,食料品製造業,,,,,,,,,夢見キッチン,夢見キッチン,
3板保生食ほ-  544,飲食店営業,東京都,板橋区南常盤台一丁目28番2号　田中ビル２０１,板橋区南常盤台１丁目２８番２号, 田中ビル２０１,株式会社テルコ,ＣｏＣｏ,営業設備の大要,変更,,板橋区保健所,ＣｏＣｏ,03,,,,,東京都　板橋区南常盤台１丁目２８番２号,東京都板橋区南常盤台１丁目２８番２号, 田中ビル２０１,75148,東京都,板橋区,南常盤台１,,,,,,株式会社テルコ,,,,,,,,,,3板保生食ほ-  544,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＣｏＣｏ,ＣｏＣｏ,株式会社テルコ
