https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2313,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,施設名,,業種,業態,施設-住所1,施設-マンション名,,,施設-電話番号1,申請者1,,確認番号,,,,,,,,,申請年月日,申請者4,申請者2,申請者3,申請-住所1,申請-マンション名,申請-電話番号1,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,営業所名称,営業所名称_カナ,営業の種類,業態,営業所所在地,営業所方書,緯度,経度,営業所電話番号,法人名,法人番号,許可番号,初回許可年月日,許可年月日,許可開始日,許可満了日,廃業年月日,申請区分,許可条件,備考,届出日,個人営業者氏名,代表者肩書,代表者名,営業者住所,営業者方書,営業者電話番号,廃業番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
131130,2100302380,東京都,渋谷区,Ｍｉ　Ｃｈｏｒｉｐａｎ,,調味料製造・加工業,,東京都渋谷区上原2-4-8,,,,03-5790-9300,,,3渋保生食届第2380号,,,,,,,,,2022/1/28,中尾　真也,,,,,,,,192,Ｍｉ　Ｃｈｏｒｉｐａｎ,03,03-5790-9300,,,,東京都渋谷区上原2-4-8,東京都渋谷区上原２－４－８,,74473,13,13113,上原２,2022/01/28,,,,,,中尾　真也  ,,,,,,,,,3渋保生食届第2380号,,調味料製造・加工業,,,,192_東京都_渋谷区保健所_食品衛生(届出)_2021年12月まで全件_末日,E,9,94,,ＭｉＣｈｏｒｉｐａｎ03-5790-93007447313113,90d5fa2c-5cab-4b69-a152-213121770ecd,,personal,bf965147-9fd0-4a8b-9caa-16c692a8ec5e,2022/01/28,Ｍｉ　Ｃｈｏｒｉｐａｎ,ＭｉＣｈｏｒｉｐａｎ,
131130,2100302379,東京都,渋谷区,筑波コーポレーション　第２工場,,食肉販売業,包装済みの食肉のみの販売,東京都渋谷区笹塚1-5-6,,,,03-3469-6244,株式会社筑波コーポレーション,,3渋保生食届第2379号,,,,,,,,,2022/1/28,,代表取締役,生井　勝則,東京都渋谷区笹塚一丁目７番５号,,3469-6244,,,192,筑波コーポレーション　第２工場,03,03-3469-6244,,,,東京都渋谷区笹塚1-5-6,東京都渋谷区笹塚１－５－６,,74489,13,13113,笹塚１,2022/01/28,,,,,株式会社筑波コーポレーション, 代表取締役 生井　勝則,03-3469-6244,東京都渋谷区笹塚一丁目７番５号,東京都渋谷区笹塚１丁目７番５号,,74489,東京都,渋谷区,笹塚１,3渋保生食届第2379号,,食肉販売業, 包装済みの食肉のみの販売,,,192_東京都_渋谷区保健所_食品衛生(届出)_2021年12月まで全件_末日,I,58,583,,筑波コポレション第２工場03-3469-62447448913113,338a8e76-3fce-4540-9a3d-ea06752c92f7,株式会社筑波コーポレーション74489,5ac62d5e-78ab-4b3c-aa07-00d0d700608a,24b10e3a-a9e6-444f-957f-9faf4637dd9a,2022/01/28,筑波コーポレーション　第２工場,筑波コポレション第２工場,株式会社筑波コーポレーション
131130,2100302381,東京都,渋谷区,なまくり,,その他の食料・飲料販売業,,東京都渋谷区道玄坂2-29-1,ＳＨＩＢＵＹＡ１０９　地下２階,,,,株式会社リクーム,,3渋保生食届第2381号,,,,,,,,,2022/1/28,,,井上　拓海,東京都練馬区富士見台一丁目１８番１１号,アジュール富士見台１０２,090-6079-7217,,,192,なまくり,03,,,,,東京都渋谷区道玄坂2-29-1,東京都渋谷区道玄坂２－２９－１,ＳＨＩＢＵＹＡ１０９　地下２階,74518,13,13113,道玄坂２,2022/01/28,,,,,株式会社リクーム,  井上　拓海,090-6079-7217,東京都練馬区富士見台一丁目１８番１１号,東京都練馬区富士見台１丁目１８番１１号,アジュール富士見台１０２,75308,東京都,練馬区,富士見台１,3渋保生食届第2381号,,その他の食料品製造・加工業,(包装),,,192_東京都_渋谷区保健所_食品衛生(届出)_2021年12月まで全件_末日,E,9,99,,なまくり7451813113,44e6f203-f2cf-446b-91bd-441409df1786,株式会社リクーム75308,f887e1a3-8dee-4537-a529-a30748355be6,17b431b3-c43a-4ef4-a32b-81e95ca34243,2022/01/28,なまくり,なまくり,株式会社リクーム
131130,2100302377,東京都,渋谷区,ファミリーマート　代々木駅西,,コンビニエンスストア,,東京都渋谷区代々木1-30-3,メイプル代々木　１階,,,03-5320-2370,株式会社ファミリーマート,,3渋保生食届第2377号,,,,,,,,,2022/1/26,,代表取締役,細見　研介,東京都港区芝浦三丁目１番２１号,,03-6436-7600,,,192,ファミリーマート　代々木駅西,03,03-5320-2370,,,,東京都渋谷区代々木1-30-3,東京都渋谷区代々木１－３０－３,メイプル代々木　１階,74546,13,13113,代々木１,2022/01/26,,,,,株式会社ファミリーマート, 代表取締役 細見　研介,03-6436-7600,東京都港区芝浦三丁目１番２１号,東京都港区芝浦３丁目１番２１号,,73084,東京都,港区,芝浦３,3渋保生食届第2377号,,コンビニエンスストア,,,,192_東京都_渋谷区保健所_食品衛生(届出)_2021年12月まで全件_末日,I,58,589,5891,ファミリマト代木駅西03-5320-23707454613113,65b24faa-7dc0-4daa-9f71-50967cdc60c4,株式会社ファミリーマート73084,7773b241-e26c-4fd9-bcda-b7c77a580949,03f299ff-ab10-4210-bc87-e91f22f65832,2022/01/26,ファミリーマート　代々木駅西,ファミリマト代木駅西,株式会社ファミリーマート
131130,2100302375,東京都,渋谷区,つながりシェア保育園　代々木上原,,集団給食施設,,東京都渋谷区上原2-32-5,,,,03-6804-9552,学校法人正和学園,,3渋保生食届第2375号,,,,,,,,,2022/1/25,,,齋藤　祐善,東京都町田市山崎町２２６１番地の１,,042-791-2746,,,192,つながりシェア保育園　代々木上原,03,03-6804-9552,,,,東京都渋谷区上原2-32-5,東京都渋谷区上原２－３２－５,,74473,13,13113,上原２,2022/01/25,,,,,学校法人正和学園,  齋藤　祐善,042-791-2746,東京都町田市山崎町２２６１番地の１,東京都町田市山崎町２２６１番地ノ１,,76980,東京都,町田市,山崎町,3渋保生食届第2375号,,給食施設,,,,192_東京都_渋谷区保健所_食品衛生(届出)_2021年12月まで全件_末日,M,77,,,つながりシェア保育園代木上原03-6804-95527447313113,10610f83-79ec-4d3a-8463-1c439ffd7871,学校法人正和学園76980,e64e4ece-c089-482a-9046-d84a94c32c41,0098ec37-c23e-4229-8697-9140bebc4f10,2022/01/25,つながりシェア保育園　代々木上原,つながりシェア保育園代木上原,学校法人正和学園
131130,2100302376,東京都,渋谷区,神宮豆腐店渋谷支店,,その他の食料・飲料販売業,,東京都渋谷区本町4-41-15,,,,03-3376-2791,,,3渋保生食届第2376号,,,,,,,,,2022/1/25,山ノ井　博幸,,,,,,,,192,神宮豆腐店渋谷支店,03,03-3376-2791,,,,東京都渋谷区本町4-41-15,東京都渋谷区本町４－４１－１５,,74541,13,13113,本町４,2022/01/25,,,,,,山ノ井　博幸  ,,,,,,,,,3渋保生食届第2376号,,その他の食料品製造・加工業,(包装),,,192_東京都_渋谷区保健所_食品衛生(届出)_2021年12月まで全件_末日,E,9,99,,神宮豆腐店渋谷支店03-3376-27917454113113,b2c01bf5-7f3f-4b58-ab60-0b24953eacc8,,personal,5bf42b77-f80f-4644-aa11-8140eb87bd4b,2022/01/25,神宮豆腐店渋谷支店,神宮豆腐店渋谷支店,
131130,2100302378,東京都,渋谷区,スギドラッグ　新宿駅南店,,百貨店、総合スーパー,,東京都渋谷区代々木2-11-17,ラウンドクロス新宿　一階,,,,株式会社スギ薬局,,3渋保生食届第2378号,,,,,,,,,2022/1/25,,,榊原栄一,愛知県安城市三河安城町一丁目８番地４,,0562-45-2720,,,192,スギドラッグ　新宿駅南店,03,,,,,東京都渋谷区代々木2-11-17,東京都渋谷区代々木２－１１－１７,ラウンドクロス新宿　一階,74547,13,13113,代々木２,2022/01/25,,,,,株式会社スギ薬局,  榊原栄一,0562-45-2720,愛知県安城市三河安城町一丁目８番地４,愛知県安城市三河安城町１丁目８番地４,,124803,愛知県,安城市,三河安城町１,3渋保生食届第2378号,,百貨店、総合スーパー,,,,192_東京都_渋谷区保健所_食品衛生(届出)_2021年12月まで全件_末日,I,56,561,5611,スギドラッグ新宿駅南店7454713113,baed78dc-3bb9-42f6-aac1-28a6739f14e9,株式会社スギ薬局124803,fbe7ad4f-3a16-4add-bb6d-41fd98326a3f,b69c2fd5-396a-4db2-a921-629ae467bdac,2022/01/25,スギドラッグ　新宿駅南店,スギドラッグ新宿駅南店,株式会社スギ薬局
131130,2100302372,東京都,渋谷区,赤から渋谷宇田川町店,,食肉販売業,包装済みの食肉のみの販売,東京都渋谷区宇田川町31-9,ハナテイビル３Ｆ,,,03-5456-8090,株式会社甲羅,,3渋保生食届第2372号,,,,,,,,,2022/1/24,,,鈴木雅貴,愛知県豊橋市東脇３丁目１番地の７,,0532-32-8880,,,192,赤から渋谷宇田川町店,03,03-5456-8090,,,,東京都渋谷区宇田川町31-9,東京都渋谷区宇田川町３１－９,ハナテイビル３Ｆ,74476,13,13113,宇田川町,2022/01/24,,,,,株式会社甲羅,  鈴木雅貴,0532-32-8880,愛知県豊橋市東脇３丁目１番地の７,愛知県豊橋市東脇３丁目１番地ノ７,,117877,愛知県,豊橋市,東脇３,3渋保生食届第2372号,,食肉販売業, 包装済みの食肉のみの販売,,,192_東京都_渋谷区保健所_食品衛生(届出)_2021年12月まで全件_末日,I,58,583,,赤から渋谷宇田川町店03-5456-80907447613113,41065c68-2920-43f4-9717-2f6cacb972ed,株式会社甲羅117877,397411cf-2102-4eac-ba3f-575e4bb33b92,58ebe871-f04a-4a68-a788-13354643e4db,2022/01/24,赤から渋谷宇田川町店,赤から渋谷宇田川町店,株式会社甲羅
131130,2100302361,東京都,渋谷区,ＣＡＦＥ：ＭＯＮＯＣＨＲＯＭＥ,,その他の食料・飲料販売業,,東京都渋谷区宇田川町4-10,渡辺ビル２０１,,,03-6452-5735,株式会社ａｉｒ　ｖｉｓｉｏｎ　ｎｅｔｗｏｒｋｓ,,3渋保生食届第2361号,,,,,,,,,2022/1/21,,代表取締役,川村　誠,東京都新宿区新宿６－２７－２９,パークハビオ新宿イーストサイドタワー１６２４,080-6629-0363,,,192,ＣＡＦＥ：ＭＯＮＯＣＨＲＯＭＥ,03,03-6452-5735,,,,東京都渋谷区宇田川町4-10,東京都渋谷区宇田川町４－１０,渡辺ビル２０１,74476,13,13113,宇田川町,2022/01/21,,,,,株式会社ａｉｒ　ｖｉｓｉｏｎ　ｎｅｔｗｏｒｋｓ, 代表取締役 川村　誠,080-6629-0363,東京都新宿区新宿６－２７－２９,東京都新宿区新宿６－２７－２９,パークハビオ新宿イーストサイドタワー１６２４,73226,東京都,新宿区,新宿６,3渋保生食届第2361号,,その他の食料品製造・加工業,(包装),,,192_東京都_渋谷区保健所_食品衛生(届出)_2021年12月まで全件_末日,E,9,99,,ＣＡＦＥＭＯＮＯＣＨＲＯＭＥ03-6452-57357447613113,97973def-8253-438b-94f5-51a3a5ddfe26,株式会社ａｉｒ　ｖｉｓｉｏｎ　ｎｅｔｗｏｒｋｓ73226,030c23b3-4a83-4a7a-867c-274c23148c6c,35628410-070a-4dc4-b4d1-6f3214b1647e,2022/01/21,ＣＡＦＥ：ＭＯＮＯＣＨＲＯＭＥ,ＣＡＦＥＭＯＮＯＣＨＲＯＭＥ,株式会社ａｉｒ　ｖｉｓｉｏｎ　ｎｅｔｗｏｒｋｓ
