https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,n処理終了,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,施設名,,業種,業態,施設-住所1,施設-マンション名,,,施設-電話番号1,申請者1,,確認番号,開業年月日,許可年月日,許可期間開始日,許可期間終了日,,,その他,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都道府県名,市区町村名,施設名称,施設名称_カナ,営業の種類,業態,施設所在地,施設方書,緯度,経度,施設電話番号,法人名,法人番号,許可番号,初回許可年月日,許可年月日,許可開始日,許可満了日,廃業年月日,申請区分,許可条件,備考,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
愛知県,岡崎市,コカ・コーラボトラーズジャパン株式会社,コカ・コーラボトラーズジャパンカブシキガイシャ,調理の機能を有する自動販売機により食品を調理し、調理された食品を販売する営業,,愛知県岡崎市若松町字萱林1-1,岡崎市南公園内,,,(0564)62-1351,コカ・コーラボトラーズジャパン株式会社,,503-01-405-0007,2021/12/28,2021/12/28,2022/1/1,2026/12/31,,,,,,247,コカ・コーラボトラーズジャパン株式会社,0564,0564-62-1351,,,,愛知県岡崎市若松町字萱林1-1,愛知県岡崎市若松町字萱林１－１,岡崎市南公園内,118335,23,23202,若松町,,2021/12/28,2021/12/28,2022/01/01,2026/12/31,コカ・コーラボトラーズジャパン株式会社,,,,,,,,,,503-01-405-0007,,調理機能を有する自動販売機,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年12月_末日,I,61,612,,コカコラボトラズジャパン株式会社0564-62-135111833523202,00247_40970ef7-2c8e-4aa9-847d-a2042311b7f7,コカ・コーラボトラーズジャパン株式会社,5a22ba3a-c2f1-40a6-bdac-b27718f89f96,5a0221d5-b9f0-4ab1-98a9-94e9aa3dcbd7,2021/12/28,コカ・コーラボトラーズジャパン株式会社,コカコラボトラズジャパン株式会社,コカ・コーラボトラーズジャパン株式会社
愛知県,岡崎市,ベーカーハウス,ベーカーハウス,飲食店営業,,愛知県岡崎市大平町石亀99-98,,,,(0564)64-5660,株式会社　サンクレール,,503-01-402-0020,2021/12/28,2021/12/28,2022/1/1,2027/12/31,,,,,,247,ベーカーハウス,0564,0564-64-5660,,,,愛知県岡崎市大平町石亀99-98,愛知県岡崎市大平町石亀９９－９８,,118097,23,23202,大平町,,2021/12/28,2021/12/28,2022/01/01,2027/12/31,株式会社　サンクレール,,,,,,,,,,503-01-402-0020,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年12月_末日,M,76,,,ベカハウス0564-64-566011809723202,00247_c6e122fd-2062-4895-82f6-f97037d31f8c,株式会社サンクレール,c97da0cb-a317-41a1-80ac-987e7572529e,05ec7ee2-5d19-463f-b7c6-1bc0f007956c,2021/12/28,ベーカーハウス,ベカハウス,株式会社サンクレール
愛知県,岡崎市,ソウルカルビ,ソウルカルビ,飲食店営業,,愛知県岡崎市六名東町5-1,,,,(0564)54-2941,株式会社　Ｆａｒｍｅｒｓ　Ｋｉｔｃｈｅｎ　Ｊａｐａｎ,,503-01-401-0134,2021/12/28,2021/12/28,2022/1/1,2027/12/31,,,,,,247,ソウルカルビ,0564,0564-54-2941,,,,愛知県岡崎市六名東町5-1,愛知県岡崎市六名東町５－１,,118400,23,23202,六名東町,,2021/12/28,2021/12/28,2022/01/01,2027/12/31,株式会社　Ｆａｒｍｅｒｓ　Ｋｉｔｃｈｅｎ　Ｊａｐａｎ,,,,,,,,,,503-01-401-0134,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年12月_末日,M,76,,,ソウルカルビ0564-54-294111840023202,00247_f2e4886d-497f-4fb3-93ee-8452730e71c1,株式会社Ｆａｒｍｅｒｓ　Ｋｉｔｃｈｅｎ　Ｊａｐａｎ,9e272c26-5f31-437d-8429-19f5e8759ec4,7e8525a5-1207-494a-95d4-b41212bdea1a,2021/12/28,ソウルカルビ,ソウルカルビ,株式会社Ｆａｒｍｅｒｓ　Ｋｉｔｃｈｅｎ　Ｊａｐａｎ
愛知県,岡崎市,ベーカーハウス,ベーカーハウス,菓子製造業,,愛知県岡崎市大平町石亀99-98,,,,(0564)64-5660,株式会社　サンクレール,,503-01-414-0034,2021/12/28,2021/12/28,2022/1/1,2027/12/31,,,,,,247,ベーカーハウス,0564,0564-64-5660,,,,愛知県岡崎市大平町石亀99-98,愛知県岡崎市大平町石亀９９－９８,,118097,23,23202,大平町,,2021/12/28,2021/12/28,2022/01/01,2027/12/31,株式会社　サンクレール,,,,,,,,,,503-01-414-0034,,菓子製造業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年12月_末日,E,9,,,ベカハウス0564-64-566011809723202,00247_c6e122fd-2062-4895-82f6-f97037d31f8c,株式会社サンクレール,c97da0cb-a317-41a1-80ac-987e7572529e,275e24c6-0ed4-4707-880f-f004d97a094e,2021/12/28,ベーカーハウス,ベカハウス,株式会社サンクレール
愛知県,岡崎市,三九餃子,サンキュウギョウザ,飲食店営業,,愛知県岡崎市法性寺町字荒子54-1,,,,(0564)64-4839,三九食品合同会社,,503-01-404-0152,2021/12/23,2021/12/23,2022/1/1,2027/12/31,,,,,,247,三九餃子,0564,0564-64-4839,,,,愛知県岡崎市法性寺町字荒子54-1,愛知県岡崎市法性寺町字荒子５４－１,,118275,23,23202,法性寺町,,2021/12/23,2021/12/23,2022/01/01,2027/12/31,三九食品合同会社,,,,,,,,,,503-01-404-0152,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年12月_末日,M,76,,,三九餃子0564-64-483911827523202,00247_c86b059a-7323-4e9f-9279-caee2a9adac8,三九食品合同会社,aeb9be22-e1da-4371-9bd0-1d8288b1bb8b,d7c7c590-8aa8-46f9-a2ee-be4932fe61a8,2021/12/23,三九餃子,三九餃子,三九食品合同会社
愛知県,岡崎市,三九餃子,サンキュウギョウザ,そうざい製造業,,愛知県岡崎市法性寺町字荒子54-1,,,,(0564)64-4839,三九食品合同会社,,503-01-428-0011,2021/12/23,2021/12/23,2022/1/1,2027/12/31,,,,,,247,三九餃子,0564,0564-64-4839,,,,愛知県岡崎市法性寺町字荒子54-1,愛知県岡崎市法性寺町字荒子５４－１,,118275,23,23202,法性寺町,,2021/12/23,2021/12/23,2022/01/01,2027/12/31,三九食品合同会社,,,,,,,,,,503-01-428-0011,,そうざい製造業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年12月_末日,E,9,,,三九餃子0564-64-483911827523202,00247_c86b059a-7323-4e9f-9279-caee2a9adac8,三九食品合同会社,aeb9be22-e1da-4371-9bd0-1d8288b1bb8b,79f61140-ce19-40d4-af8f-83be806ff916,2021/12/23,三九餃子,三九餃子,三九食品合同会社
愛知県,岡崎市,韓国の家（居酒屋）,カンコクノイエ　イザカヤ,飲食店営業,,愛知県岡崎市南明大寺町4-27,,,,(0564)55-7698,,,503-01-404-0150,2021/12/23,2021/12/23,2022/1/1,2027/12/31,,,,,,247,韓国の家（居酒屋）,0564,0564-55-7698,,,,愛知県岡崎市南明大寺町4-27,愛知県岡崎市南明大寺町４－２７,,118401,23,23202,南明大寺町,,2021/12/23,2021/12/23,2022/01/01,2027/12/31,,,,,,,,,,,503-01-404-0150,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年12月_末日,M,76,,,韓国の家居酒屋0564-55-769811840123202,0bb24213-8a25-4942-8bd8-d3eb8971a30f,,personal,4af64a80-34c6-4bca-b43d-9ac0b2058c54,2021/12/23,韓国の家（居酒屋）,韓国の家居酒屋,
愛知県,岡崎市,Ｎ３０４４８,Ｎ３０４４８,飲食店営業,,愛知県岡崎市宮地町字馬場29,シーテック岡崎寮,,,(0564)52-3599,フジ産業株式会社,,503-01-402-0019,2021/12/22,2021/12/22,2022/1/1,2027/12/31,,,,,,247,Ｎ３０４４８,0564,0564-52-3599,,,,愛知県岡崎市宮地町字馬場29,愛知県岡崎市宮地町字馬場２９,シーテック岡崎寮,118290,23,23202,宮地町,,2021/12/22,2021/12/22,2022/01/01,2027/12/31,フジ産業株式会社,,,,,,,,,,503-01-402-0019,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年12月_末日,M,76,,,Ｎ３０４４８0564-52-359911829023202,00247_2fba2c85-8ff7-4212-949d-7c3ecc76d135,フジ産業株式会社,c1075549-a7b2-479e-a9da-43441962f141,58dc99f3-8e99-4ef5-ae71-a55f83e70c9d,2021/12/22,Ｎ３０４４８,Ｎ３０４４８,フジ産業株式会社
愛知県,岡崎市,杏ｃａｆｅ,アンカフェ,飲食店営業,,愛知県岡崎市下衣文町字貢貞24-1,,,,(0564)77-3664,,,503-01-401-0130,2021/12/22,2021/12/22,2022/1/1,2026/12/31,,,,,,247,杏ｃａｆｅ,0564,0564-77-3664,,,,愛知県岡崎市下衣文町字貢貞24-1,愛知県岡崎市下衣文町字貢貞２４－１,,118523,23,23202,下衣文町,,2021/12/22,2021/12/22,2022/01/01,2026/12/31,,,,,,,,,,,503-01-401-0130,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年12月_末日,M,76,,,杏ｃａｆｅ0564-77-366411852323202,8b003cb1-bce0-4643-9b27-4be9e98feecb,,personal,cd230652-3add-45ea-8819-e8735d455071,2021/12/22,杏ｃａｆｅ,杏ｃａｆｅ,
