https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,施設名,,業種,業態,施設-住所1,施設-マンション名,緯度,経度,施設-電話番号1,申請者1,法人番号,申請-住所1,申請-マンション名,確認番号,開業年月日,許可年月日,許可期間開始日,許可期間終了日,,,,その他,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自治体コード,行番号,都道府県名,市区町村名,営業施設名称、屋号又は商号,営業施設名称、屋号又は商号（フリガナ）,営業の種類,業態,営業施設所在地,営業施設方書,緯度,経度,営業施設電話番号,法人名,法人番号,法人住所,,許可番号,初回許可年月日,許可年月日,許可開始日,許可満了日,廃業年月日,申請区分,許可条件,,備考,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
27207,fBiz00000129180000000228,大阪府,高槻市,ダイソー　高槻センター街店,ダイソー　タカツキセンターガイテン,⑬ その他の食料・飲料販売業,小売業,大阪府高槻市紺屋町８－５,,34.849368,135.618437,,株式会社大創産業,7240001022681,広島県東広島市西条吉行東一丁目４番１４号,,,,,,,,届出,,届出 ,,一致の場合削除ダイソー　松坂屋高槻店/ダイソー　高槻センター街店,288,ダイソー　高槻センター街店,072,,,,,大阪府高槻市紺屋町８－５,大阪府高槻市紺屋町８－５,,158094,27,27207,紺屋町,,,,,,株式会社大創産業,,,広島県東広島市西条吉行東一丁目４番１４号,広島県東広島市西条吉行東１丁目４番１４号,,186030,広島県,東広島市,西条吉行東１,,,食料品販売業, 小売業,届出 ,7240001022681,288_大阪府_高槻市保健所_食品衛生()_2021年12月まで全件_末日,A,58,581,5811,ダイソ高槻センタ街店15809427207,b31b16c6-1789-492d-b0a3-6e437c30277b,株式会社大創産業186030,631772d7-699a-4132-9e80-f0353ff9eb31,c8134ac3-1d9f-460a-b5d9-ec5acf23cef0,2021/12/01,ダイソー　高槻センター街店,ダイソ高槻センタ街店,株式会社大創産業
27207,fBiz00000208600000000153,大阪府,高槻市,,,② 調理機能を有する自動販売機（要許可）,,,,,,,,,,,6837,2021/11/29,2021/11/29,2021/11/29,2026/11/30,,許可,,許可 ,,,288,,,,,,,,大阪府,,,27,,,,2021/11/29,2021/11/29,2021/11/29,2026/11/30,,,,,,,,,,,6837,,調理機能を有する自動販売機,,許可 ,,288_大阪府_高槻市保健所_食品衛生()_2021年12月まで全件_末日,I,61,612,,,b5e39cb8-38d9-48aa-934f-dc7e23050119,,personal,9c33e963-b7fd-4d32-accf-d18c68b25fe7,2021/11/29,,,
27207,fBiz00001442920000000001,大阪府,高槻市,,,① 飲食店営業,和食店,,,,,,,,,,6809,2021/11/12,2021/11/12,2021/11/12,2027/11/30,,許可,生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,許可、生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,,,288,,,,,,,,大阪府,,,27,,,,2021/11/12,2021/11/12,2021/11/12,2027/11/30,,,,,,,,,,,6809,,飲食店営業, 和食店,許可、生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,,288_大阪府_高槻市保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,,b5e39cb8-38d9-48aa-934f-dc7e23050119,,personal,71f20ed6-c44e-4c48-90ed-7b1931d2ff0c,2021/11/12,,,
27207,fBiz00000301920000002876,大阪府,高槻市,ガスト高槻東店,ガストタカツキヒガシテン,① 飲食店営業,洋食店,大阪府高槻市宮野町２－１５,,34.85417,135.637122,072-670-2046,株式会社すかいらーくレストランツ,2012401030556,東京都武蔵野市西久保1丁目25番8号,,6856,2021/12/17,2021/12/17,2021/12/17,2027/12/28,,許可,生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,許可、生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,,,288,ガスト高槻東店,072,072-670-2046,,,,大阪府高槻市宮野町２－１５,大阪府高槻市宮野町２－１５,,158339,27,27207,宮野町,,2021/12/17,2021/12/17,2021/12/17,2027/12/28,株式会社すかいらーくレストランツ,,,東京都武蔵野市西久保1丁目25番8号,東京都武蔵野市西久保１丁目２５番８号,,76312,東京都,武蔵野市,西久保１,6856,,飲食店営業, 洋食店,許可、生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,2012401030556,288_大阪府_高槻市保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,ガスト高槻東店072-670-204615833927207,c5bda5ba-88a7-4a56-8821-362236690f24,株式会社すかいらーくレストランツ76312,cb8b55b9-ccb2-495c-bc49-877794b5f752,d467c9c4-8d37-45d5-acb1-4c845741fe66,2021/12/17,ガスト高槻東店,ガスト高槻東店,株式会社すかいらーくレストランツ
27207,fBiz00000324830000000001,大阪府,高槻市,ステーキリバーベ高槻店,ステーキリバーベタカツキテン,① 飲食店営業,洋食店,大阪府高槻市北園町１９－１７,サンコービル２０１号,34.849394,135.621582,072-683-3481,株式会社かわべフードサービス,3120001077122,大阪府大阪市中央区内本町1-1-8,,6844,2021/12/8,2021/12/8,2021/12/8,2027/12/28,,許可,生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,許可、生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,,,288,ステーキリバーベ高槻店,072,072-683-3481,,,,大阪府高槻市北園町１９－１７,大阪府高槻市北園町１９－１７,サンコービル２０１号,158076,27,27207,北園町,,2021/12/08,2021/12/08,2021/12/08,2027/12/28,株式会社かわべフードサービス,,,大阪府大阪市中央区内本町1-1-8,大阪府大阪市中央区内本町１－１－８,,155984,大阪府,大阪市中央区,内本町１,6844,,飲食店営業, 洋食店,許可、生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,3120001077122,288_大阪府_高槻市保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,ステキリバベ高槻店072-683-348115807627207,dc0204cd-84e7-4eed-9a84-06212f9efe71,株式会社かわべフードサービス155984,3316760c-7915-4fcc-a68f-c0a6efcf0ddc,c1adf381-9635-43d1-8458-e39c303b5ddb,2021/12/08,ステーキリバーベ高槻店,ステキリバベ高槻店,株式会社かわべフードサービス
27207,fBiz00000328060000000001,大阪府,高槻市,ＰＡＺＬＬＥ,パズール,① 飲食店営業,自動車（Ⅲ型）,大阪府高槻市内一円,,34.850275,135.61978,,,,,,6699,2021/6/10,2021/6/10,2021/6/10,2026/6/30,,許可,営業者は（大阪３０２む８０２６）に限る。／生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,許可、営業者は（大阪３０２む８０２６）に限る。／生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,,,288,ＰＡＺＬＬＥ,,,,,,大阪府高槻市内一円,大阪府高槻市内一円,,,27,,,,2021/06/10,2021/06/10,2021/06/10,2026/06/30,,,,,,,,,,,6699,,飲食店営業, 自動車（Ⅲ型）,許可、営業者は（大阪３０２む８０２６）に限る。／生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,,288_大阪府_高槻市保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,ＰＡＺＬＬＥ,2901ca01-c8c1-470f-be19-b1ae526b29e8,,personal,d9ce7731-d464-4a6c-ba39-6b5fb85fa4fd,2021/06/10,ＰＡＺＬＬＥ,ＰＡＺＬＬＥ,
27207,fBiz00000345620000000003,大阪府,高槻市,フェルマータ,フェルマータ,① 飲食店営業,露店営業,大阪府高槻市内一円,,34.844038,135.623089,,特定非営利活動法人フェルマータ,2120905001987,大阪府高槻市東五百住町１－３８－１３,,6226,2021/11/26,2021/11/26,2021/11/26,2026/11/30,,許可,露店による営業に限る。,許可、露店による営業に限る。,,,288,フェルマータ,,,,,,大阪府高槻市内一円,大阪府高槻市内一円,,,27,,,,2021/11/26,2021/11/26,2021/11/26,2026/11/30,特定非営利活動法人フェルマータ,,,大阪府高槻市東五百住町１－３８－１３,大阪府高槻市東五百住町１－３８－１３,,158270,大阪府,高槻市,東五百住町１,6226,,飲食店営業, 露店営業,許可、露店による営業に限る。,2120905001987,288_大阪府_高槻市保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,フェルマタ,14dd4870-6672-4624-841b-edb73443484d,特定非営利活動法人フェルマータ158270,098045b1-5585-4830-9390-12bfba995a84,5dd885c4-8cf8-4fc3-b485-cb33cbb2bcd4,2021/11/26,フェルマータ,フェルマタ,特定非営利活動法人フェルマータ
27207,fBiz00000399430000000002,大阪府,高槻市,株式会社　明治　大阪工場,カブシキガイシャ　メイジ　オオサカコウジョウ,⑪ 菓子製造業,,大阪府高槻市朝日町１－１０,,34.843364,135.599455,072-685-5011,株式会社明治,4010601028138,東京都中央区京橋２丁目２番１号,,6813,2021/11/17,2021/11/17,2021/11/17,2027/11/30,,許可,条件なし,許可、条件なし,,,288,株式会社　明治　大阪工場,072,072-685-5011,,,,大阪府高槻市朝日町１－１０,大阪府高槻市朝日町１－１０,,157988,27,27207,朝日町,,2021/11/17,2021/11/17,2021/11/17,2027/11/30,株式会社明治,,,東京都中央区京橋２丁目２番１号,東京都中央区京橋２丁目２番１号,,72951,東京都,中央区,京橋２,6813,,菓子製造業,,許可、条件なし,4010601028138,288_大阪府_高槻市保健所_食品衛生()_2021年12月まで全件_末日,E,9,,,株式会社明治大阪工場072-685-501115798827207,360319ad-ba58-4d99-8a2f-ba214fc413e9,株式会社明治72951,663ef98b-e9a0-4609-96b0-e6b07a2a53ac,e8101d05-72c7-4183-9141-4b876782e718,2021/11/17,株式会社明治　大阪工場,株式会社明治大阪工場,株式会社明治
27207,fBiz00000403580000000005,大阪府,高槻市,(株)ビッグボーイレストラン高槻店,ビッグボーイレストランタカツキテン,① 飲食店営業,ファミリーレストラン,大阪府高槻市城東町３０８－２,,34.843085,135.628763,072-672-0555,株式会社ビッグボーイジャパン,9010401061920,東京都港区港南２丁目１８番１号,,6807,2021/11/8,2021/11/8,2021/11/8,2027/11/30,,許可,生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,許可、生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,,,288,(株)ビッグボーイレストラン高槻店,072,072-672-0555,,,,大阪府高槻市城東町３０８－２,大阪府高槻市城東町３０８－２,,158127,27,27207,城東町,,2021/11/08,2021/11/08,2021/11/08,2027/11/30,株式会社ビッグボーイジャパン,,,東京都港区港南２丁目１８番１号,東京都港区港南２丁目１８番１号,,73073,東京都,港区,港南２,6807,,飲食店営業, ファミリーレストラン,許可、生食用食肉の加工及び調理を禁ずる。／ふぐの処理を禁ずる。,9010401061920,288_大阪府_高槻市保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,株式会社ビッグボイレストラン高槻店072-672-055515812727207,e7bb2d36-0526-4d02-8260-1c5862310376,株式会社ビッグボーイジャパン73073,c5cc55f0-f81a-4525-8252-4683aa316739,b704f4e6-bb55-46cd-bd86-29117f5d694a,2021/11/08,株式会社ビッグボーイレストラン高槻店,株式会社ビッグボイレストラン高槻店,株式会社ビッグボーイジャパン
