https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,申請者1,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,申請年月日,確認番号,確認番号2,業種,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名称,,施設所在地,,,施設電話番号,申請者名,申請者住所,,,申請者電話番号,届出日,許可番号,,業種,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
喫茶　さくら  ,兵庫県,尼崎市潮江４－４－１,尼崎市潮江４－４－１,,,,,,,,R03.11.01,尼崎市指令(尼保生）,第1-01625号,飲食店営業,,305,喫茶　さくら  ,06,,,,,兵庫県　尼崎市潮江４－４－１,兵庫県尼崎市潮江４－４－１,,166805,28,28202,潮江４,2021/11/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-01625号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,喫茶さくら16680528202,1a511105-ff19-4e53-8408-0fbfdc54e7e9,,personal,6daa815a-5fea-40d7-b886-08f8197f2808,2021/11/01,喫茶　さくら　,喫茶さくら,
カラオケ　フリージア  ,兵庫県,尼崎市立花町１－１９－３９－１０１,尼崎市立花町１－１９－３９,１０１,,,,,,,R03.11.01,尼崎市指令(生）,第1-02647号,飲食店営業,,305,カラオケ　フリージア  ,06,,,,,兵庫県　尼崎市立花町１－１９－３９,兵庫県尼崎市立花町１－１９－３９,１０１,166847,28,28202,立花町１,2021/11/01,,,,,,,,,,,,,,,尼崎市指令(生）第1-02647号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,カラオケフリジア16684728202,de9e262f-c20f-4b4d-aee9-90ff80ac1c90,,personal,3d9120f8-b82e-4351-9a45-3cec38c2540a,2021/11/01,カラオケ　フリージア　,カラオケフリジア,
魚国総本社　尼崎　２７４１３  ,兵庫県,尼崎市長洲西通２－８－３,尼崎市長洲西通２－８－３,,06-6489-2112  ,株式会社魚国総本社,大阪市中央区道修町１－６－１９,大阪市中央区道修町１－６－１９,,06-6478-5700  ,R03.11.01,尼崎市指令(尼保生）,第1-01906号,飲食店営業,,305,魚国総本社　尼崎　２７４１３  ,06,06-6489-2112,,,,兵庫県　尼崎市長洲西通２－８－３,兵庫県尼崎市長洲西通２－８－３,,166919,28,28202,長洲西通２,2021/11/01,,,,,株式会社魚国総本社,,06-6478-5700  ,大阪市中央区道修町１－６－１９,大阪府大阪市中央区道修町１－６－１９,,156065,大阪府,大阪市中央区,道修町１,尼崎市指令(尼保生）第1-01906号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,魚国総本社尼崎２７４１３06-6489-211216691928202,4000a012-35a0-4a92-8f2f-1c56a1baeaf8,株式会社魚国総本社156065,4fe66401-05c2-4d03-8eeb-42df665f37f5,ea0836aa-6d3c-4fa6-88a6-e6a644e6696e,2021/11/01,魚国総本社　尼崎　２７４１３　,魚国総本社尼崎２７４１３,株式会社魚国総本社
魚国総本社　尼崎　２７４１４  ,兵庫県,尼崎市金楽寺町２－７－７,尼崎市金楽寺町２－７－７,,06-6489-5160  ,株式会社魚国総本社,大阪市中央区道修町１－６－１９,大阪市中央区道修町１－６－１９,,06-6478-5700  ,R03.11.01,尼崎市指令(尼保生）,第1-01905号,飲食店営業,,305,魚国総本社　尼崎　２７４１４  ,06,06-6489-5160,,,,兵庫県　尼崎市金楽寺町２－７－７,兵庫県尼崎市金楽寺町２－７－７,,167132,28,28202,金楽寺町２,2021/11/01,,,,,株式会社魚国総本社,,06-6478-5700  ,大阪市中央区道修町１－６－１９,大阪府大阪市中央区道修町１－６－１９,,156065,大阪府,大阪市中央区,道修町１,尼崎市指令(尼保生）第1-01905号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,魚国総本社尼崎２７４１４06-6489-516016713228202,ababff40-25a3-4bde-a0c9-7b6f2b1dc96a,株式会社魚国総本社156065,4fe66401-05c2-4d03-8eeb-42df665f37f5,769c89f5-4dd9-4f40-ad7b-b91914fc70c8,2021/11/01,魚国総本社　尼崎　２７４１４　,魚国総本社尼崎２７４１４,株式会社魚国総本社
ぱんどら  ,兵庫県,尼崎市次屋２－１２－２,尼崎市次屋２－１２－２,,06-6498-2589  ,,,,,,R03.11.02,尼崎市指令(尼保生）,第1-02168号,飲食店営業,,305,ぱんどら  ,06,06-6498-2589,,,,兵庫県　尼崎市次屋２－１２－２,兵庫県尼崎市次屋２－１２－２,,166889,28,28202,次屋２,2021/11/02,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02168号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,ぱんどら06-6498-258916688928202,75e3146f-5dce-4595-b822-55872628aa78,,personal,d87d4cea-6600-43a4-86b5-32ad70eb8b8d,2021/11/02,ぱんどら　,ぱんどら,
喫茶　二番館  ,兵庫県,尼崎市南塚口町２－１－２塚口サンサンタウン,尼崎市南塚口町２－１－２,塚口サンサンタウン,06-6427-3748  ,,,,,,R03.11.02,尼崎市指令(尼保生）,第1-01657号,飲食店営業,,305,喫茶　二番館  ,06,06-6427-3748,,,,兵庫県　尼崎市南塚口町２－１－２,兵庫県尼崎市南塚口町２－１－２,塚口サンサンタウン,167025,28,28202,南塚口町２,2021/11/02,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-01657号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,喫茶二番館06-6427-374816702528202,86a54eff-a234-4c02-8a0f-1868757faa41,,personal,ec6c32e8-6666-4017-bda1-fca5678af528,2021/11/02,喫茶　二番館　,喫茶二番館,
株式会社サンゲツ　関西支社  ,兵庫県,尼崎市西向島町１１１－４,尼崎市西向島町１１１－４,,              ,株式会社ＬＥＯＣ,千代田区大手町１－１－３,千代田区大手町１－１－３,,03-5220-8550  ,R03.11.05,尼崎市指令(尼保生）,第1-02354号,飲食店営業,,305,株式会社サンゲツ　関西支社  ,06,,,,,兵庫県　尼崎市西向島町１１１－４,兵庫県尼崎市西向島町１１１－４,,166964,28,28202,西向島町,2021/11/05,,,,,株式会社ＬＥＯＣ,,03-5220-8550  ,千代田区大手町１－１－３,東京都千代田区大手町１－１－３,,72838,東京都,千代田区,大手町１,尼崎市指令(尼保生）第1-02354号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,株式会社サンゲツ関西支社16696428202,ae8d834c-85cd-447f-845a-9b60af36537b,株式会社ＬＥＯＣ72838,a7339bae-2659-41f9-83f0-a245fd485645,969e57bd-34fb-40ae-85c0-ddc33d471ff2,2021/11/05,株式会社サンゲツ　関西支社　,株式会社サンゲツ関西支社,株式会社ＬＥＯＣ
栄  ,兵庫県,尼崎市神田南通３－９０,尼崎市神田南通３－９０,,,,,,,,R03.11.08,尼崎市指令(尼保生）,第1-02032号,飲食店営業,,305,栄  ,06,,,,,兵庫県　尼崎市神田南通３－９０,兵庫県尼崎市神田南通３－９０,,166762,28,28202,神田南通３,2021/11/08,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02032号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,栄16676228202,837a0e06-a013-4ae7-ad38-cf2aa60c2132,,personal,d8c1a380-d8ae-4d67-b7e6-e461d2a4d3d0,2021/11/08,栄　,栄,
ＮＯＮ  ,兵庫県,尼崎市神田南通３－９０,尼崎市神田南通３－９０,,,,,,,,R03.11.08,尼崎市指令(生）,第1-02566号,飲食店営業,,305,ＮＯＮ  ,06,,,,,兵庫県　尼崎市神田南通３－９０,兵庫県尼崎市神田南通３－９０,,166762,28,28202,神田南通３,2021/11/08,,,,,,,,,,,,,,,尼崎市指令(生）第1-02566号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,ＮＯＮ16676228202,c1dce638-ee4f-411d-9c15-5cea3c6bd8a2,,personal,0f46e0a4-69fd-4762-8069-2d2ece4a617b,2021/11/08,ＮＯＮ　,ＮＯＮ,
和食さと　立花店  ,兵庫県,尼崎市上ノ島町３－２－１０,尼崎市上ノ島町３－２－１０,,06-6421-6090  ,サトフードサービス株式会社,大阪市中央区安土町２－３－１３大阪国際ビルディング３０階,大阪市中央区安土町２－３－１３,大阪国際ビルディング３０階,06-7222-3104  ,R03.11.08,尼崎市指令(尼保生）,第1-01271号,飲食店営業,,305,和食さと　立花店  ,06,06-6421-6090,,,,兵庫県　尼崎市上ノ島町３－２－１０,兵庫県尼崎市上ノ島町３－２－１０,,167130,28,28202,上ノ島町３,2021/11/08,,,,,サトフードサービス株式会社,,06-7222-3104  ,大阪市中央区安土町２－３－１３,大阪府大阪市中央区安土町２－３－１３,大阪国際ビルディング３０階,155949,大阪府,大阪市中央区,安土町２,尼崎市指令(尼保生）第1-01271号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,和食さと立花店06-6421-609016713028202,f7bf21dc-439d-428c-b879-c036aa924d2f,サトフードサービス株式会社155949,6cee6a6e-1c56-4637-931f-eadf6acc70f8,57f579de-0b2f-4cb9-91f7-31f403880db9,2021/11/08,和食さと　立花店　,和食さと立花店,サトフードサービス株式会社
アスカ  ,兵庫県,尼崎市神田南通３－９０,尼崎市神田南通３－９０,,,,,,,,R03.11.09,尼崎市指令(尼保生）,第1-02513号,飲食店営業,,305,アスカ  ,06,,,,,兵庫県　尼崎市神田南通３－９０,兵庫県尼崎市神田南通３－９０,,166762,28,28202,神田南通３,2021/11/09,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02513号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,アスカ16676228202,0e4eb45e-b309-4727-99d8-fd9c208ce09b,,personal,bad706c6-6d69-400b-9d0c-4ccce7ccd294,2021/11/09,アスカ　,アスカ,
立ち飲み　ばん  ,兵庫県,尼崎市立花町１－８－５,尼崎市立花町１－８－５,,06-6423-8123  ,,,,,,R03.11.09,尼崎市指令(尼保生）,第1-02193号,飲食店営業,,305,立ち飲み　ばん  ,06,06-6423-8123,,,,兵庫県　尼崎市立花町１－８－５,兵庫県尼崎市立花町１－８－５,,166847,28,28202,立花町１,2021/11/09,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02193号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,立ち飲みばん06-6423-812316684728202,4aa47fb3-aec1-40cc-a24c-6ae7f9b6e31f,,personal,e2c6cd98-6d98-417f-8f8f-c76f3887a9e9,2021/11/09,立ち飲み　ばん　,立ち飲みばん,
タマキ  ,兵庫県,尼崎市神田南通３－９０（１５）,尼崎市神田南通３－９０,（１５）,              ,,,,,,R03.11.09,尼崎市指令(生）,第1-01504号,飲食店営業,,305,タマキ  ,06,,,,,兵庫県　尼崎市神田南通３－９０,兵庫県尼崎市神田南通３－９０,（１５）,166762,28,28202,神田南通３,2021/11/09,,,,,,,,,,,,,,,尼崎市指令(生）第1-01504号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,タマキ16676228202,237170ac-47a5-4a99-8bb3-87e5d2925dec,,personal,874dc724-1e2f-43cd-a8ac-2529d163dca6,2021/11/09,タマキ　,タマキ,
