https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,申請者1,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,許可年月日,開業年月日,確認番号,確認番号2,業種,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名称,,施設所在地,,,施設電話番号,申請者名,申請者住所,,,申請者電話番号,許可年月日,初回許可年月日,許可番号,,業種,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
カラオケＢａｎＢａｎ尼崎大庄店  ,兵庫県,尼崎市大庄西町２－２０－４１,尼崎市大庄西町２－２０－４１,,,株式会社シン・コーポレーション,新宿区山吹町３４６－６日新ビル４Ｆ,新宿区山吹町３４６－６,日新ビル４Ｆ,03-5225-1410  ,R03.11.02,R03.11.02,尼崎市指令(生）,第1-01837号,飲食店営業,,305,カラオケＢａｎＢａｎ尼崎大庄店  ,06,,,,,兵庫県　尼崎市大庄西町２－２０－４１,兵庫県尼崎市大庄西町２－２０－４１,,167118,28,28202,大庄西町２,,2021/11/02,2021/11/02,,,株式会社シン・コーポレーション,,03-5225-1410  ,新宿区山吹町３４６－６,東京都新宿区山吹町３４６－６,日新ビル４Ｆ,73288,東京都,新宿区,山吹町,尼崎市指令(生）第1-01837号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止(1),M,76,,,カラオケＢａｎＢａｎ尼崎大庄店16711828202,64cd2743-2c64-41f1-b785-0b87714fb8cf,株式会社シン・コーポレーション73288,4dc22570-f5ad-4e57-ba1d-d0fed8992cbb,2c127c5f-fd06-4b1d-96e4-a7eeef56707c,2021/11/02,カラオケＢａｎＢａｎ尼崎大庄店　,カラオケＢａｎＢａｎ尼崎大庄店,株式会社シン・コーポレーション
メフォス　１０４５３店  ,兵庫県,尼崎市西川１－２－１,尼崎市西川１－２－１,,              ,株式会社メフォス,港区赤坂２－２３－１,港区赤坂２－２３－１,,03-6234-7600  ,R03.11.26,R03.11.26,尼崎市指令(生）,第1-01959号,飲食店営業,,305,メフォス　１０４５３店  ,06,,,,,兵庫県　尼崎市西川１－２－１,兵庫県尼崎市西川１－２－１,,166935,28,28202,西川１,,2021/11/26,2021/11/26,,,株式会社メフォス,,03-6234-7600  ,港区赤坂２－２３－１,東京都港区赤坂２－２３－１,,73047,東京都,港区,赤坂２,尼崎市指令(生）第1-01959号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止(1),M,76,,,メフォス１０４５３店16693528202,a47bbd7e-2037-44af-a367-51bdf95fdd52,株式会社メフォス73047,5dbb8043-8f73-4c52-8d69-e3876474f195,d2e89e85-8f28-4ec3-86a2-656c6d49693f,2021/11/26,メフォス　１０４５３店　,メフォス１０４５３店,株式会社メフォス
バビル物流センター  ,兵庫県,尼崎市田能４－１３－２３ＡＺＴＯ園田Ｂ号,尼崎市田能４－１３－２３,ＡＺＴＯ園田Ｂ号,              ,株式会社ブランジットインターナショナル,大阪市北区東天満１－２－１４ラ・リブロ東天満８Ｆ,大阪市北区東天満１－２－１４,ラ・リブロ東天満８Ｆ,06-4801-9160  ,R03.12.20,R03.12.20,尼崎市指令(生）,第1-02063号,食肉販売業,,305,バビル物流センター  ,06,,,,,兵庫県　尼崎市田能４－１３－２３,兵庫県尼崎市田能４－１３－２３,ＡＺＴＯ園田Ｂ号,166856,28,28202,田能４,,2021/12/20,2021/12/20,,,株式会社ブランジットインターナショナル,,06-4801-9160  ,大阪市北区東天満１－２－１４,大阪府大阪市北区東天満１－２－１４,ラ・リブロ東天満８Ｆ,155904,大阪府,大阪市北区,東天満１,尼崎市指令(生）第1-02063号,,食肉販売業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止(1),I,58,583,,バビル物流センタ16685628202,727ceb3f-c0e0-4c90-a564-46413a9afd0b,株式会社ブランジットインターナショナル155904,6024edd5-0383-4ac5-bd8d-4e733c36117e,abbf8c32-9d3f-4ade-85f5-a9fda4b9007d,2021/12/20,バビル物流センター　,バビル物流センタ,株式会社ブランジットインターナショナル
ルモーブ  ,兵庫県,尼崎市西長洲町２－３２－３,尼崎市西長洲町２－３２－３,,06-4950-7120  ,株式会社シリゼ,尼崎市西長洲町２－３２－３,尼崎市西長洲町２－３２－３,,06-4950-7120  ,R03.11.17,R03.11.17,尼崎市指令(生）,第1-01922号,菓子製造業,,305,ルモーブ  ,06,06-4950-7120,,,,兵庫県　尼崎市西長洲町２－３２－３,兵庫県尼崎市西長洲町２－３２－３,,167141,28,28202,西長洲町２,,2021/11/17,2021/11/17,,,株式会社シリゼ,,06-4950-7120  ,尼崎市西長洲町２－３２－３,兵庫県尼崎市西長洲町２－３２－３,,167141,兵庫県,尼崎市,西長洲町２,尼崎市指令(生）第1-01922号,,菓子製造業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止(1),E,9,,,ルモブ06-4950-712016714128202,55c1055b-0483-4565-8cca-44c311d3591e,株式会社シリゼ167141,5e8518e8-c955-42cf-85fb-3849109d0055,0449982e-8c27-4a80-923f-f34584dfb058,2021/11/17,ルモーブ　,ルモブ,株式会社シリゼ
福島上等カレー  あまがさきキューズモール店,兵庫県,尼崎市潮江１－３－１,尼崎市潮江１－３－１,,06-6492-8855  ,得正株式会社,大阪市港区池島２－３－１２,大阪市港区池島２－３－１２,,06-6268-0260  ,R03.11.02,R03.11.02,尼崎市指令(生）,第1-01846号,飲食店営業,,305,福島上等カレー  あまがさきキューズモール店,06,06-6492-8855,,,,兵庫県　尼崎市潮江１－３－１,兵庫県尼崎市潮江１－３－１,,166802,28,28202,潮江１,,2021/11/02,2021/11/02,,,得正株式会社,,06-6268-0260  ,大阪市港区池島２－３－１２,大阪府大阪市港区池島２－３－１２,,154426,大阪府,大阪市港区,池島２,尼崎市指令(生）第1-01846号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止(1),M,76,,,福島上等カレあまがさきキュズモル店06-6492-885516680228202,16ae7cf6-720e-4fc1-8046-d144a600087d,得正株式会社154426,b37b8ec6-8ce6-40bb-a0b9-237f62ab56df,31baf8c7-f9e4-4dc8-934f-7ccbac971b01,2021/11/02,福島上等カレー　あまがさきキューズモール店,福島上等カレあまがさきキュズモル店,得正株式会社
スシロー尼崎昭和通店  ,兵庫県,尼崎市昭和通１－９－５３,尼崎市昭和通１－９－５３,,06-6488-0076  ,株式会社あきんどスシロー,吹田市江坂町１－２２－２,吹田市江坂町１－２２－２,,06-6368-1001  ,R03.11.30,R03.11.30,尼崎市指令(生）,第1-01990号,飲食店営業,,305,スシロー尼崎昭和通店  ,06,06-6488-0076,,,,兵庫県　尼崎市昭和通１－９－５３,兵庫県尼崎市昭和通１－９－５３,,166816,28,28202,昭和通１,,2021/11/30,2021/11/30,,,株式会社あきんどスシロー,,06-6368-1001  ,吹田市江坂町１－２２－２,大阪府吹田市江坂町１－２２－２,,157696,大阪府,吹田市,江坂町１,尼崎市指令(生）第1-01990号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止(1),M,76,,,スシロ尼崎昭和通店06-6488-007616681628202,bf7cb781-282e-4393-abdb-2953a1691414,株式会社あきんどスシロー157696,05bfdb94-0204-4ee7-b0e6-850844c68c92,f538197c-873d-4d77-90c2-82d53864a08c,2021/11/30,スシロー尼崎昭和通店　,スシロ尼崎昭和通店,株式会社あきんどスシロー
関西工流㈱道意社宅　関西営繕㈱  ,兵庫県,尼崎市道意町６－７,尼崎市道意町６－７,,06-6419-5551  ,関西営繕株式会社,尼崎市北初島町１６－３,尼崎市北初島町１６－３,,06-6401-1234  ,R03.11.12,R03.11.12,尼崎市指令(生）,第1-01891号,飲食店営業,,305,関西工流㈱道意社宅　関西営繕㈱  ,06,06-6419-5551,,,,兵庫県　尼崎市道意町６－７,兵庫県尼崎市道意町６－７,,166907,28,28202,道意町６,,2021/11/12,2021/11/12,,,関西営繕株式会社,,06-6401-1234  ,尼崎市北初島町１６－３,兵庫県尼崎市北初島町１６－３,,166771,兵庫県,尼崎市,北初島町,尼崎市指令(生）第1-01891号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止(1),M,76,,,関西工流株式会社道意社宅関西営繕㈱06-6419-555116690728202,fa118c73-aee0-4b74-8c67-87d4c4b2c147,関西営繕株式会社166771,ffe5cb57-4f65-4a8a-9b69-a4501e07e6bd,d7b74cf5-f434-4705-bfaa-c1044af05568,2021/11/12,関西工流株式会社道意社宅　関西営繕㈱　,関西工流株式会社道意社宅関西営繕㈱,関西営繕株式会社
牛乳屋の食パン　メルクパン  ,兵庫県,尼崎市神田北通６－１６８－３,尼崎市神田北通６－１６８－３,,06-6412-0037  ,株式会社おうちコンシェルジュ,明石市藤江１９２８－７,明石市藤江１９２８－７,,06-6412-0037  ,R03.11.05,R03.11.05,尼崎市指令(生）,第1-01859号,菓子製造業,,305,牛乳屋の食パン　メルクパン  ,06,06-6412-0037,,,,兵庫県　尼崎市神田北通６－１６８－３,兵庫県尼崎市神田北通６－１６８－３,,166747,28,28202,神田北通６,,2021/11/05,2021/11/05,,,株式会社おうちコンシェルジュ,,06-6412-0037  ,明石市藤江１９２８－７,兵庫県明石市藤江１９２８－７,,167276,兵庫県,明石市,藤江,尼崎市指令(生）第1-01859号,,菓子製造業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止(1),E,9,,,牛乳屋の食パンメルクパン06-6412-003716674728202,142c4597-67ed-4058-adb9-d38fe53e6031,株式会社おうちコンシェルジュ167276,fa4b873b-d741-4a73-b321-b5d449121bc9,ef45cb66-952e-4c4c-a160-286d7438eff0,2021/11/05,牛乳屋の食パン　メルクパン　,牛乳屋の食パンメルクパン,株式会社おうちコンシェルジュ
牛乳屋の食パン　メルクパン  ,兵庫県,尼崎市神田北通６－１６８－３,尼崎市神田北通６－１６８－３,,06-6412-0037  ,株式会社おうちコンシェルジュ,明石市藤江１９２８－７,明石市藤江１９２８－７,,06-6412-0037  ,R03.11.05,R03.11.05,尼崎市指令(生）,第1-01860号,飲食店営業,,305,牛乳屋の食パン　メルクパン  ,06,06-6412-0037,,,,兵庫県　尼崎市神田北通６－１６８－３,兵庫県尼崎市神田北通６－１６８－３,,166747,28,28202,神田北通６,,2021/11/05,2021/11/05,,,株式会社おうちコンシェルジュ,,06-6412-0037  ,明石市藤江１９２８－７,兵庫県明石市藤江１９２８－７,,167276,兵庫県,明石市,藤江,尼崎市指令(生）第1-01860号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止(1),M,76,,,牛乳屋の食パンメルクパン06-6412-003716674728202,142c4597-67ed-4058-adb9-d38fe53e6031,株式会社おうちコンシェルジュ167276,fa4b873b-d741-4a73-b321-b5d449121bc9,db2c9d1e-b6f9-495f-8bd9-390e9b4f4551,2021/11/05,牛乳屋の食パン　メルクパン　,牛乳屋の食パンメルクパン,株式会社おうちコンシェルジュ
