https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,郵便番号,施設-住所1,施設-住所2,施設-住所3,施設-住所4,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,許可期間開始日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,屋号,施設郵便番号,,"施設所在地
（市区町村）","施設所在地
（町域）","施設所在地
（番地等）","施設所在地
（マンション名等）",施設電話番号,業種,営業者氏名（個人又は法人名）,"営業者電話番号
（法人のみ）",初回許可年月日,許可年月日,許可開始日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
1,ラーメン　ピース,,福岡県,福岡市城南区,七隈,7-5-34,,,① 飲食店営業,出口亮祐,,2021/11/9,2021/11/9,2021/11/9,福城保衛第2021010016号,,397,ラーメン　ピース,092,,,,,福岡県　福岡市城南区　七隈　7-5-34,福岡県福岡市城南区七隈７－５－３４,,200753,40,40136,七隈７,,2021/11/09,2021/11/09,2021/11/09,,,出口亮祐,,,,,,,,,福城保衛第2021010016号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ラメンピス20075340136,31efad7b-f9a3-4046-bb24-ece802f5770c,,personal,fcb5a5f4-211d-407b-9a78-79add43e03a2,2021/11/09,ラーメン　ピース,ラメンピス,
2,ＯＬＬＹ,8140104,福岡県,福岡市城南区,別府2丁目,10-13,ブルーバードビル103号,,① 飲食店営業,増田篤,,2021/11/24,2021/11/24,2021/11/24,福城保衛第2021010022号,,397,ＯＬＬＹ,092,,,,,福岡県　福岡市城南区　別府2丁目　Thu Oct 13 2022 00:00:00 GMT+0900 (日本標準時),福岡県福岡市城南区別府２丁目ThuOct１３２０２２００:００:００GMT+０９００(日本標準時),ブルーバードビル103号,200771,40,40136,別府２,,2021/11/24,2021/11/24,2021/11/24,,,増田篤,,,,,,,,,福城保衛第2021010022号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ＯＬＬＹ20077140136,d435ae53-66b9-4976-a44d-dac8b4b77500,,personal,97725230-db58-40f3-95a8-103b31039c52,2021/11/24,ＯＬＬＹ,ＯＬＬＹ,
3,御厨　神の,8140103,福岡県,福岡市城南区,鳥飼,５丁目２０－１８,エステートモア鳥飼ノーバ１F,092-285-0870,⑪ 菓子製造業,神野富広,,2021/11/17,2021/11/17,2021/11/17,福城保衛第2021210009号,,397,御厨　神の,092,092-285-0870,,,,福岡県　福岡市城南区　鳥飼　５丁目２０－１８,福岡県福岡市城南区鳥飼５丁目２０－１８,エステートモア鳥飼ノーバ１F,200738,40,40136,鳥飼５,,2021/11/17,2021/11/17,2021/11/17,,,神野富広,,,,,,,,,福城保衛第2021210009号,,菓子製造業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,E,9,,,御厨神の092-285-087020073840136,f47a24cb-c843-405c-a943-64e0c82a8c54,,personal,082fada3-3017-484a-98f3-2352cf9c13fa,2021/11/17,御厨　神の,御厨神の,
4,御厨　神の,8140103,福岡県,福岡市城南区,鳥飼,５丁目２０－１８,エステートモア鳥飼ノーバ１F,092-285-0870,㉕ そうざい製造業,神野富広,,2021/11/17,2021/11/17,2021/11/17,福城保衛第2021490004号,,397,御厨　神の,092,092-285-0870,,,,福岡県　福岡市城南区　鳥飼　５丁目２０－１８,福岡県福岡市城南区鳥飼５丁目２０－１８,エステートモア鳥飼ノーバ１F,200738,40,40136,鳥飼５,,2021/11/17,2021/11/17,2021/11/17,,,神野富広,,,,,,,,,福城保衛第2021490004号,,そうざい製造業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,E,9,,,御厨神の092-285-087020073840136,f47a24cb-c843-405c-a943-64e0c82a8c54,,personal,b70ffac0-92cb-47fa-b5ed-ac7dee3c3683,2021/11/17,御厨　神の,御厨神の,
5,まつやまパン,8140131,福岡県,福岡市城南区,松山,2丁目16-3,,,① 飲食店営業,原新,,2021/11/22,2021/11/22,2021/11/22,福城保衛第2021010039号,,397,まつやまパン,092,,,,,福岡県　福岡市城南区　松山　2丁目16-3,福岡県福岡市城南区松山２丁目１６－３,,200791,40,40136,松山２,,2021/11/22,2021/11/22,2021/11/22,,,原新,,,,,,,,,福城保衛第2021010039号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,まつやまパン20079140136,37581818-c55d-4bf4-8534-281f51a2a7e2,,personal,65d7cf28-be41-48ce-8993-d52d872730c6,2021/11/22,まつやまパン,まつやまパン,
6,まつやまパン,8140131,福岡県,福岡市城南区,松山,2丁目16-3,,,⑪ 菓子製造業,原新,,2021/11/22,2021/11/22,2021/11/22,福城保衛第2021210010号,,397,まつやまパン,092,,,,,福岡県　福岡市城南区　松山　2丁目16-3,福岡県福岡市城南区松山２丁目１６－３,,200791,40,40136,松山２,,2021/11/22,2021/11/22,2021/11/22,,,原新,,,,,,,,,福城保衛第2021210010号,,菓子製造業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,E,9,,,まつやまパン20079140136,37581818-c55d-4bf4-8534-281f51a2a7e2,,personal,24d02929-6054-4326-8c1f-a2b66b501ddc,2021/11/22,まつやまパン,まつやまパン,
7,もりもりホルモン福大前店,8140133,福岡県,福岡市城南区,七隈,四丁目7-19,2F,092-980-4943,① 飲食店営業,切江貴宣,,2021/11/15,2021/11/15,2021/11/15,福城保衛第2021010040号,,397,もりもりホルモン福大前店,092,092-980-4943,,,,福岡県　福岡市城南区　七隈　四丁目7-19,福岡県福岡市城南区七隈４丁目７－１９,2F,200750,40,40136,七隈４,,2021/11/15,2021/11/15,2021/11/15,,,切江貴宣,,,,,,,,,福城保衛第2021010040号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,もりもりホルモン福大前店092-980-494320075040136,0e913fbe-ef92-4ee5-ba7b-816ae6e028aa,,personal,25a9b2ad-7025-4c90-9309-34791cb06bbd,2021/11/15,もりもりホルモン福大前店,もりもりホルモン福大前店,
8,Ｂａｒ　ＮＡＬＵ,8140151,福岡県,福岡市城南区,堤１丁目,１０－２４,,,① 飲食店営業,松永侑,,2021/11/18,2021/11/18,2021/11/18,福城保衛第2021010041号,,397,Ｂａｒ　ＮＡＬＵ,092,,,,,福岡県　福岡市城南区　堤１丁目　１０－２４,福岡県福岡市城南区堤１丁目１０－２４,,200728,40,40136,堤１,,2021/11/18,2021/11/18,2021/11/18,,,松永侑,,,,,,,,,福城保衛第2021010041号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ＢａｒＮＡＬＵ20072840136,f94c5792-b712-4a4b-91ac-ab33c0e3856f,,personal,fb261e99-bf60-48df-afa6-9f842639ebae,2021/11/18,Ｂａｒ　ＮＡＬＵ,ＢａｒＮＡＬＵ,
9,よりみち珈琲,8140142,福岡県,福岡市城南区,片江,1-4-6,,,① 飲食店営業,川内丸量,,2021/11/16,2021/11/16,2022/1/1,福城保衛第2021015034号,,397,よりみち珈琲,092,,,,,福岡県　福岡市城南区　片江　1-4-6,福岡県福岡市城南区片江１－４－６,,200704,40,40136,片江１,,2021/11/16,2021/11/16,2022/01/01,,,川内丸量,,,,,,,,,福城保衛第2021015034号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,よりみち珈琲20070440136,4f977728-a0ce-4fc2-b7d4-5f476d688100,,personal,368db039-193c-4a14-bf27-3bdb5bb83947,2021/11/16,よりみち珈琲,よりみち珈琲,
