https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,郵便番号,施設-住所1,施設-住所2,施設-住所3,施設-住所4,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,許可期間開始日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,屋号,施設郵便番号,,"施設所在地
（市区町村）","施設所在地
（町域）","施設所在地
（番地等）","施設所在地
（マンション名等）",施設電話番号,業種,営業者氏名（個人又は法人名）,"営業者電話番号
（法人のみ）",初回許可年月日,許可年月日,許可開始日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
1,ピッツェリア　レガーレ,8140104,福岡県,福岡市城南区,別府,2-10-22-101,,,㉕ そうざい製造業,鬼木真琴,,2021/12/9,2021/12/9,2021/12/9,福城保衛第2021490006号,,397,ピッツェリア　レガーレ,092,,,,,福岡県　福岡市城南区　別府　2-10-22-101,福岡県福岡市城南区別府２－１０－２２－１０１,,200771,40,40136,別府２,,2021/12/09,2021/12/09,2021/12/09,,,鬼木真琴,,,,,,,,,福城保衛第2021490006号,,そうざい製造業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),E,9,,,ピッツェリアレガレ20077140136,327b4e7f-b6eb-4384-a103-388d73f39190,,personal,75cdc7d0-6a1b-4526-b952-337062ed3fa9,2021/12/09,ピッツェリア　レガーレ,ピッツェリアレガレ,
2,ながお麹ｃａｆｅ　レッドクローバー,8140123,福岡県,福岡市城南区,長尾,5丁目9-11,,092-985-3846,㉕ そうざい製造業,荒巻良美,,2021/12/9,2021/12/9,2021/12/9,福城保衛第2021490005号,,397,ながお麹ｃａｆｅ　レッドクローバー,092,092-985-3846,,,,福岡県　福岡市城南区　長尾　5丁目9-11,福岡県福岡市城南区長尾５丁目９－１１,,200745,40,40136,長尾５,,2021/12/09,2021/12/09,2021/12/09,,,荒巻良美,,,,,,,,,福城保衛第2021490005号,,そうざい製造業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),E,9,,,ながお麹ｃａｆｅレッドクロバ092-985-384620074540136,b8df9fe6-edcf-4063-9be6-255caff86d46,,personal,f4b250e0-85d8-4d82-b68c-be07ee5aa3c2,2021/12/09,ながお麹ｃａｆｅ　レッドクローバー,ながお麹ｃａｆｅレッドクロバ,
3,デリカテッセン古賀,8140153,福岡県,福岡市城南区,樋井川６丁目,２７－６０,,,㉕ そうざい製造業,古賀一幸,,2021/12/2,2021/12/2,2022/1/1,福城保衛第2021495003号,,397,デリカテッセン古賀,092,,,,,福岡県　福岡市城南区　樋井川６丁目　２７－６０,福岡県福岡市城南区樋井川６丁目２７－６０,,200761,40,40136,樋井川６,,2021/12/02,2021/12/02,2022/01/01,,,古賀一幸,,,,,,,,,福城保衛第2021495003号,,そうざい製造業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),E,9,,,デリカテッセン古賀20076140136,eed7f95d-ce8b-4ca8-b519-cac6f1d8fcdb,,personal,c3784d3f-94e3-4b8c-acdc-8ee801dbcdeb,2021/12/02,デリカテッセン古賀,デリカテッセン古賀,
4,串揚げ　かつはん,8140104,福岡県,福岡市城南区,別府１－８－３３,,２０５号,,① 飲食店営業,佐伯次郎,,2021/12/7,2021/12/7,2022/1/1,福城保衛第2021015046号,,397,串揚げ　かつはん,092,,,,,福岡県　福岡市城南区　別府１－８－３３　,福岡県福岡市城南区別府１－８－３３,２０５号,200770,40,40136,別府１,,2021/12/07,2021/12/07,2022/01/01,,,佐伯次郎,,,,,,,,,福城保衛第2021015046号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,串揚げかつはん20077040136,d920ac30-3a91-417d-a99c-6b2836524118,,personal,b14c16c0-4a49-4fcd-bfca-d2cd3d2717ca,2021/12/07,串揚げ　かつはん,串揚げかつはん,
5,麻雀　ぺーちゃん,8140151,福岡県,福岡市城南区,堤,１丁目３１－４,,092-982-7570,① 飲食店営業,内村幸樹,,2021/12/16,2021/12/16,2021/12/16,福城保衛第2021010044号,,397,麻雀　ぺーちゃん,092,092-982-7570,,,,福岡県　福岡市城南区　堤　１丁目３１－４,福岡県福岡市城南区堤１丁目３１－４,,200728,40,40136,堤１,,2021/12/16,2021/12/16,2021/12/16,,,内村幸樹,,,,,,,,,福城保衛第2021010044号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,麻雀ぺちゃん092-982-757020072840136,ee0a549a-6edd-407b-bb7e-9cc1b7fc74e6,,personal,f60a5958-faca-43c6-b46d-fbf1c34660ae,2021/12/16,麻雀　ぺーちゃん,麻雀ぺちゃん,
6,タカサキハンバーグ,8140133,福岡県,福岡市城南区,七隈,5-7-13,,092-863-7717,① 飲食店営業,髙﨑聡,,2021/12/8,2021/12/8,2022/1/1,福城保衛第2021015047号,,397,タカサキハンバーグ,092,092-863-7717,,,,福岡県　福岡市城南区　七隈　5-7-13,福岡県福岡市城南区七隈５－７－１３,,200751,40,40136,七隈５,,2021/12/08,2021/12/08,2022/01/01,,,髙﨑聡,,,,,,,,,福城保衛第2021015047号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,タカサキハンバグ092-863-771720075140136,1868f6f3-56b6-4ce0-b08b-4a79e3c4a7e4,,personal,0f880cfb-08f8-4bcc-b815-3a6069ce7c1f,2021/12/08,タカサキハンバーグ,タカサキハンバグ,
7,やきとり忠臣蔵,8140132,福岡県,福岡市城南区,干隈,２－５５－１５,,092-862-0628,① 飲食店営業,山田貢,,2021/12/9,2021/12/9,2022/1/1,福城保衛第2021015049号,,397,やきとり忠臣蔵,092,092-862-0628,,,,福岡県　福岡市城南区　干隈　２－５５－１５,福岡県福岡市城南区干隈２－５５－１５,,200780,40,40136,干隈２,,2021/12/09,2021/12/09,2022/01/01,,,山田貢,,,,,,,,,福城保衛第2021015049号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,やきとり忠臣蔵092-862-062820078040136,2099ba2a-336a-4a9b-9e30-8ea2eb33c6e4,,personal,a195cc89-413f-4b65-be07-370b830057e5,2021/12/09,やきとり忠臣蔵,やきとり忠臣蔵,
8,長寿,8140151,福岡県,福岡市城南区,堤,２－２０－５,,,① 飲食店営業,上瀧美穂,,2021/12/10,2021/12/10,2022/1/1,福城保衛第2021015050号,,397,長寿,092,,,,,福岡県　福岡市城南区　堤　２－２０－５,福岡県福岡市城南区堤２－２０－５,,200729,40,40136,堤２,,2021/12/10,2021/12/10,2022/01/01,,,上瀧美穂,,,,,,,,,福城保衛第2021015050号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,長寿20072940136,f3d54539-4063-4c20-ab56-842eed6ad326,,personal,78651667-8b2c-4e4e-8ea0-ba87cffb9644,2021/12/10,長寿,長寿,
9,炭火焼吉兆,8140121,福岡県,福岡市城南区,神松寺,1-21-11,,092-214-1129,① 飲食店営業,吉川武志,,2021/12/14,2021/12/14,2022/1/1,福城保衛第2021015053号,,397,炭火焼吉兆,092,092-214-1129,,,,福岡県　福岡市城南区　神松寺　1-21-11,福岡県福岡市城南区神松寺１－２１－１１,,200710,40,40136,神松寺１,,2021/12/14,2021/12/14,2022/01/01,,,吉川武志,,,,,,,,,福城保衛第2021015053号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,炭火焼吉兆092-214-112920071040136,76780b55-1fe0-4f91-b09d-5bcf51de28d1,,personal,f095b21d-1f84-4323-954b-c8b7ba842375,2021/12/14,炭火焼吉兆,炭火焼吉兆,
10,きふね,8140104,福岡県,福岡市城南区,別府２丁目,１０－２２,別府ビル１０８,092-831-6703,① 飲食店営業,原雄一,,2021/12/21,2021/12/21,2021/12/21,福城保衛第2021010045号,,397,きふね,092,092-831-6703,,,,福岡県　福岡市城南区　別府２丁目　１０－２２,福岡県福岡市城南区別府２丁目１０－２２,別府ビル１０８,200771,40,40136,別府２,,2021/12/21,2021/12/21,2021/12/21,,,原雄一,,,,,,,,,福城保衛第2021010045号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,きふね092-831-670320077140136,84044361-60a7-4fc7-aa49-76b54b451175,,personal,8bfc55d3-3e37-4de9-a34f-7ef76a4e4b2c,2021/12/21,きふね,きふね,
11,和風スナック秋桜,8140104,福岡県,福岡市城南区,別府4丁目,5-5,,092-844-3314,① 飲食店営業,山田美知子,,2021/12/22,2021/12/22,2022/1/1,福城保衛第2021015055号,,397,和風スナック秋桜,092,092-844-3314,,,,福岡県　福岡市城南区　別府4丁目　5-5,福岡県福岡市城南区別府４丁目５－５,,200773,40,40136,別府４,,2021/12/22,2021/12/22,2022/01/01,,,山田美知子,,,,,,,,,福城保衛第2021015055号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,和風スナック秋桜092-844-331420077340136,c31f96e0-0d54-4bbe-90e2-7cc1004d4f7b,,personal,96b57657-3d46-4934-89f9-76ef0add87fa,2021/12/22,和風スナック秋桜,和風スナック秋桜,
12,自家製酵母おひさまパン,8140113,福岡県,福岡市城南区,田島,４丁目２４－２５,,092-776-3883,⑪ 菓子製造業,吉野和久,,2021/12/22,2021/12/22,2022/1/1,福城保衛第2021215005号,,397,自家製酵母おひさまパン,092,092-776-3883,,,,福岡県　福岡市城南区　田島　４丁目２４－２５,福岡県福岡市城南区田島４丁目２４－２５,,200718,40,40136,田島４,,2021/12/22,2021/12/22,2022/01/01,,,吉野和久,,,,,,,,,福城保衛第2021215005号,,菓子製造業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),E,9,,,自家製酵母おひさまパン092-776-388320071840136,a32d08ae-bafd-4f95-8d3a-34b689cfcec5,,personal,960a0dd6-bebe-490f-b499-dc2196fb7948,2021/12/22,自家製酵母おひさまパン,自家製酵母おひさまパン,
13,どんとこい,,福岡県,福岡市城南区,鳥飼,５丁目２－１８,,092-821-6988,① 飲食店営業,藤村正人,,2021/12/24,2021/12/24,2022/1/1,福城保衛第2021015056号,,397,どんとこい,092,092-821-6988,,,,福岡県　福岡市城南区　鳥飼　５丁目２－１８,福岡県福岡市城南区鳥飼５丁目２－１８,,200738,40,40136,鳥飼５,,2021/12/24,2021/12/24,2022/01/01,,,藤村正人,,,,,,,,,福城保衛第2021015056号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,どんとこい092-821-698820073840136,3f56e310-912d-4902-bd29-31982bfbfea8,,personal,4232ae45-63de-4b69-a280-74ea88518146,2021/12/24,どんとこい,どんとこい,
14,お持ち帰りの焼鳥屋　上長尾店,8140153,福岡県,福岡市城南区,樋井川,３－５－６,,092-557-8244,① 飲食店営業,株式会社チェーンフードサービス,092-735-2225,2021/12/16,2021/12/16,2022/1/1,福城保衛第2021015054号,,397,お持ち帰りの焼鳥屋　上長尾店,092,092-557-8244,,,,福岡県　福岡市城南区　樋井川　３－５－６,福岡県福岡市城南区樋井川３－５－６,,200758,40,40136,樋井川３,,2021/12/16,2021/12/16,2022/01/01,,株式会社チェーンフードサービス,,092-735-2225,,,,,,,,福城保衛第2021015054号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,お持ち帰りの焼鳥屋上長尾店092-557-824420075840136,1fe14c70-6aed-4713-9d6a-ace59d31a910,株式会社チェーンフードサービス,f9099c18-b496-4f51-aa6d-94008f380026,0dcde2c7-25b0-4bd3-8f76-11e81348da46,2021/12/16,お持ち帰りの焼鳥屋　上長尾店,お持ち帰りの焼鳥屋上長尾店,株式会社チェーンフードサービス
15,長浜ラーメン・餃子　長浜御殿　本店,8140123,福岡県,福岡市城南区,長尾,1丁目10-11,102,092-862-1400,① 飲食店営業,有限会社ウエキフーズ,092-863-1911,2021/12/13,2021/12/13,2022/1/1,福城保衛第2021015051号,,397,長浜ラーメン・餃子　長浜御殿　本店,092,092-862-1400,,,,福岡県　福岡市城南区　長尾　1丁目10-11,福岡県福岡市城南区長尾１丁目１０－１１,102,200741,40,40136,長尾１,,2021/12/13,2021/12/13,2022/01/01,,有限会社ウエキフーズ,,092-863-1911,,,,,,,,福城保衛第2021015051号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,長浜ラメン餃子長浜御殿本店092-862-140020074140136,78c9be97-bb39-4e84-9642-b728dc1fc6a4,有限会社ウエキフーズ,4b807dbb-a659-46ee-b8b8-a90083f7dda0,da33a5f8-187f-4fb9-8c92-0ffa77415836,2021/12/13,長浜ラーメン・餃子　長浜御殿　本店,長浜ラメン餃子長浜御殿本店,有限会社ウエキフーズ
