https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,n処理終了,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,施設-住所1,施設-住所2,施設-マンション名,施設-電話番号1,申請者1,申請-電話番号1,許可年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,店舗名（屋号）,,施設の住所（所在地）,,施設の電話番号,申請者名,連絡先,許可年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
20,えびすやうどん,福岡県,宮若市宮田３６８３－１,,0949-32-5022  ,前田　将博,,R03.12.01,,407,えびすやうどん,0949,0949-32-5022,,,,福岡県　宮若市宮田３６８３－１,福岡県宮若市宮田３６８３－１,,203239,40,40226,宮田,,,2021/12/01,,,,前田　将博,,,,,,,,,,,,,,,407_福岡県_嘉穂・鞍手保健福祉環境事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),,,,,えびすやうどん0949-32-502220323940226,5cbd91a9-0c3c-45eb-8257-ae15c705f99e,,personal,eaf3ad38-12f8-4adf-8cbf-86cae84f9b36,2021/12/01,えびすやうどん,えびすやうどん,
21,配食のふれ愛　嘉麻店,福岡県,嘉麻市上山田９７１－４,,0948-43-8415  ,山田　二美,,R03.12.01,,407,配食のふれ愛　嘉麻店,0948,0948-43-8415,,,,福岡県　嘉麻市上山田９７１－４,福岡県嘉麻市上山田９７１－４,,203262,40,40227,上山田,,,2021/12/01,,,,山田　二美,,,,,,,,,,,,,,,407_福岡県_嘉穂・鞍手保健福祉環境事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),,,,,配食のふれ愛嘉麻店0948-43-841520326240227,973d27e9-de15-4d6e-9e5e-b4020ee89e74,,personal,f62962b7-1c76-4741-9399-6444da27a523,2021/12/01,配食のふれ愛　嘉麻店,配食のふれ愛嘉麻店,
22,ピノキオ　飯塚川津店,福岡県,飯塚市川津４０８－２,,0948-23-0606  ,株式会社フジオフードシステム,,R03.12.07,,407,ピノキオ　飯塚川津店,0948,0948-23-0606,,,,福岡県　飯塚市川津４０８－２,福岡県飯塚市川津４０８－２,,201491,40,40205,川津,,,2021/12/07,,,株式会社フジオフードシステム,,,,,,,,,,,,,,,,407_福岡県_嘉穂・鞍手保健福祉環境事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),,,,,ピノキオ飯塚川津店0948-23-060620149140205,73aa5f84-8612-408c-97ed-f69728bb3129,株式会社フジオフードシステム,4464677d-4614-4440-85a8-73da0151163a,bd234b41-be24-4d19-9d1d-98f97369dca1,2021/12/07,ピノキオ　飯塚川津店,ピノキオ飯塚川津店,株式会社フジオフードシステム
23,NOGAMI　FARM　UPHILL　STORE,福岡県,嘉穂郡桂川町大字土師４６５３,,　,野上　伸太郎,,R03.12.09,,407,NOGAMI　FARM　UPHILL　STORE,0948,,,,,福岡県　嘉穂郡桂川町大字土師４６５３,福岡県嘉穂郡桂川町土師４６５３,,204346,40,40421,土師,,,2021/12/09,,,,野上　伸太郎,,,,,,,,,,,,,,,407_福岡県_嘉穂・鞍手保健福祉環境事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),,,,,ＮＯＧＡＭＩＦＡＲＭＵＰＨＩＬＬＳＴＯＲＥ20434640421,7ee64174-dc62-40f4-9ee3-41f532e6a3a2,,personal,4de66a6b-0943-45d4-a863-056cbb92cc2b,2021/12/09,ＮＯＧＡＭＩ　ＦＡＲＭ　ＵＰＨＩＬＬ　ＳＴＯＲＥ,ＮＯＧＡＭＩＦＡＲＭＵＰＨＩＬＬＳＴＯＲＥ,
24,春田ぶどう園,福岡県,宮若市四郎丸１２７６,,0949-32-8421  ,春田　ゆり子,,R03.12.09,,407,春田ぶどう園,0949,0949-32-8421,,,,福岡県　宮若市四郎丸１２７６,福岡県宮若市四郎丸１２７６,,203226,40,40226,四郎丸,,,2021/12/09,,,,春田　ゆり子,,,,,,,,,,,,,,,407_福岡県_嘉穂・鞍手保健福祉環境事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),,,,,春田ぶどう園0949-32-842120322640226,d6cf6384-45b1-41c1-9983-208f65cb96b9,,personal,ddd3972d-811d-44ae-9d1b-3eda0e4686b6,2021/12/09,春田ぶどう園,春田ぶどう園,
25,直方典礼会館,福岡県,直方市日吉町１２,,0949-52-6355  ,株式会社日本セレモニー,,R03.12.10,,407,直方典礼会館,0949,0949-52-6355,,,,福岡県　直方市日吉町１２,福岡県直方市日吉町１２,,201470,40,40204,日吉町,,,2021/12/10,,,株式会社日本セレモニー,,,,,,,,,,,,,,,,407_福岡県_嘉穂・鞍手保健福祉環境事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),,,,,直方典礼会館0949-52-635520147040204,744beb84-b701-4a2e-9801-887373474a1b,株式会社日本セレモニー,b1df87d2-3b39-4d1e-9fb2-161c3f59543d,1a5b44d0-e652-44be-b5ae-713a6e471fe3,2021/12/10,直方典礼会館,直方典礼会館,株式会社日本セレモニー
26,カフェ　ビューティーアップ,福岡県,飯塚市本町８－３０,２F,,軸屋　良太,,R03.12.13,,407,カフェ　ビューティーアップ,0948,,,,,福岡県　飯塚市本町８－３０,福岡県飯塚市本町８－３０,２F,201516,40,40205,本町,,,2021/12/13,,,,軸屋　良太,,,,,,,,,,,,,,,407_福岡県_嘉穂・鞍手保健福祉環境事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),,,,,カフェビュティアップ20151640205,3f9a7e2a-c649-49f9-841b-9bcc1c72b172,,personal,3428cab0-a9b8-43d7-b945-15565f016d73,2021/12/13,カフェ　ビューティーアップ,カフェビュティアップ,
27,BANMAI　NOUGATA,福岡県,直方市古町１番８号,２ー６F,              ,ハイダン株式会社,,R03.12.13,,407,BANMAI　NOUGATA,0949,,,,,福岡県　直方市古町１番８号,福岡県直方市古町１番８号,２ー６F,201471,40,40204,古町,,,2021/12/13,,,ハイダン株式会社,,,,,,,,,,,,,,,,407_福岡県_嘉穂・鞍手保健福祉環境事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),,,,,ＢＡＮＭＡＩＮＯＵＧＡＴＡ20147140204,c96e56b4-de92-4b46-9360-a4215c110198,ハイダン株式会社,b6b3b6de-382f-452a-99af-bfc31a6b65e1,d0a58039-9ddd-418d-bd38-aab89a5eb816,2021/12/13,ＢＡＮＭＡＩ　ＮＯＵＧＡＴＡ,ＢＡＮＭＡＩＮＯＵＧＡＴＡ,ハイダン株式会社
