https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,n処理終了,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,施設名2,郵便番号,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,申請者1,申請者2,申請-住所1,申請-マンション名,申請-電話番号1,業種,確認番号,許可年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,施設_名称,,施設_郵便番号,,施設_所在地,,,施設_電話番号,申請者_氏名,代表者_氏名,申請者_住所,申請者_気付,申請者_電話番号,業種,許可番号,許可年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
30,ファミリーマート新潟医学町通店,,9518124,新潟県,新潟市中央区医学町通１番町３９番地１,新潟市中央区医学町通１番町３９番地１,,025-226-7218,株式会社ファミリーマート,細見　研介,東京都港区芝浦三丁目１番２１号,,03-6436-7600,飲食店営業,2522,R 4. 1.14,,151,ファミリーマート新潟医学町通店,025,025-226-7218,,,,新潟県　新潟市中央区医学町通１番町３９番地１,新潟県新潟市中央区医学町通一番町３９番地１,,83587,15,15103,医学町通一番町,,,2022/01/14,,,株式会社ファミリーマート,細見　研介,03-6436-7600,東京都港区芝浦三丁目１番２１号,東京都港区芝浦３丁目１番２１号,,73084,東京都,港区,芝浦３,2522,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,ファミリマト新潟医学町通店025-226-72188358715103,9e87b208-3739-4d88-90de-142d0fb278da,株式会社ファミリーマート73084,7773b241-e26c-4fd9-bcda-b7c77a580949,a0750bad-6877-4f8e-9033-d4bf265164bb,2022/01/14,ファミリーマート新潟医学町通店,ファミリマト新潟医学町通店,株式会社ファミリーマート
57,九天,,9518068,新潟県,新潟市中央区上大川前通４番町４４番地９ハイツ横堀　１階,新潟市中央区上大川前通４番町４４番地,９ハイツ横堀 １階,,株式会社ＣＯ,新木　健太郎,新潟県新潟市中央区東堀通１３番町３０２０番地,,,飲食店営業,2601,R 4. 1.28,,151,九天,025,,,,,新潟県　新潟市中央区上大川前通４番町４４番地,新潟県新潟市中央区上大川前通四番町４４番地,９ハイツ横堀 １階,83645,15,15103,上大川前通四番町,,,2022/01/28,,,株式会社ＣＯ,新木　健太郎,,新潟県新潟市中央区東堀通１３番町３０２０番地,新潟県新潟市中央区東堀通十三番町３０２０番地,,83904,新潟県,新潟市中央区,東堀通十三番町,2601,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,九天8364515103,0c825530-abab-419a-b532-cbf75b97e9a8,株式会社ＣＯ83904,a133b085-de0d-4ed5-944e-2b1329febfb8,98756b0d-8ce8-4f2b-9e80-e4d590476b14,2022/01/28,九天,九天,株式会社ＣＯ
35,複合施設ＳＡＮ,,9518063,新潟県,新潟市中央区古町通３番町６５３番地,新潟市中央区古町通３番町６５３番地,,025-228-5739,合同会社アレコレ,迫　一成,新潟県新潟市中央区古町通三番町５５６番地,,025-228-5739,飲食店営業,2282,R 3.12. 1,,151,複合施設ＳＡＮ,025,025-228-5739,,,,新潟県　新潟市中央区古町通３番町６５３番地,新潟県新潟市中央区古町通三番町６５３番地,,83940,15,15103,古町通三番町,,,2021/12/01,,,合同会社アレコレ,迫　一成,025-228-5739,新潟県新潟市中央区古町通三番町５５６番地,新潟県新潟市中央区古町通三番町５５６番地,,83940,新潟県,新潟市中央区,古町通三番町,2282,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,複合施設ＳＡＮ025-228-57398394015103,e5575d38-f870-40dc-91c8-d316ba9f875c,合同会社アレコレ83940,5949cd10-11ca-4dab-8f5b-b6e64a7b82ef,59683d45-e007-4a8f-a8a7-4c804f451b2a,2021/12/01,複合施設ＳＡＮ,複合施設ＳＡＮ,合同会社アレコレ
36,ＳＩＤＥ　ＢＹ　ＳＩＤＥ　Ｓｐｉｃｅ ｓｔａｎｄ,,9518063,新潟県,新潟市中央区古町通５番町５９１番地１階,新潟市中央区古町通５番町５９１番地,１階,025-374-6210,ＳＩＤＥ　ＢＹ　ＳＩＤＥ株式会社,川端　幸男,新潟県新潟市中央区古町通五番町６３０番地３,,025-374-6210,飲食店営業,2447,R 3.12.17,,151,ＳＩＤＥ　ＢＹ　ＳＩＤＥ　Ｓｐｉｃｅ ｓｔａｎｄ,025,025-374-6210,,,,新潟県　新潟市中央区古町通５番町５９１番地,新潟県新潟市中央区古町通五番町５９１番地,１階,83939,15,15103,古町通五番町,,,2021/12/17,,,ＳＩＤＥ　ＢＹ　ＳＩＤＥ株式会社,川端　幸男,025-374-6210,新潟県新潟市中央区古町通五番町６３０番地３,新潟県新潟市中央区古町通五番町６３０番地３,,83939,新潟県,新潟市中央区,古町通五番町,2447,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,ＳＩＤＥＢＹＳＩＤＥＳｐｉｃｅｓｔａｎｄ025-374-62108393915103,26a222e9-16c4-4c6d-8606-1f0dc8f7b7eb,ＳＩＤＥ　ＢＹ　ＳＩＤＥ株式会社83939,d961be9d-2fed-4de9-bfb3-89982683f3fd,e9b290ec-4082-496b-adc8-51fb0633073f,2021/12/17,ＳＩＤＥ　ＢＹ　ＳＩＤＥ　Ｓｐｉｃｅ　ｓｔａｎｄ,ＳＩＤＥＢＹＳＩＤＥＳｐｉｃｅｓｔａｎｄ,ＳＩＤＥ　ＢＹ　ＳＩＤＥ株式会社
7,縁和家　,新潟４８３ い ８２０８,,新潟県,県内一円　,県内一円 ,,,株式会社ＳＴＳ,内藤　豊大,新潟県新潟市中央区湊町通４ノ町３３４２番地３,,025-250-0948,飲食店営業,2550,R 4. 1.14,,151,縁和家　,,,,,,新潟県　県内一円 ,新潟県県内一円,新潟４８３ い ８２０８,,15,,,,,2022/01/14,,,株式会社ＳＴＳ,内藤　豊大,025-250-0948,新潟県新潟市中央区湊町通４ノ町３３４２番地３,新潟県新潟市中央区湊町通四ノ町３３４２番地３,,83991,新潟県,新潟市中央区,湊町通四ノ町,2550,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,縁和家,f15633ac-e53a-493b-9f64-0fd14ddff4b6,株式会社ＳＴＳ83991,595fe2fd-5f96-4b76-b1f4-de8131ab13bc,5198605b-8eb5-4214-9170-8b67a1fd1b0b,2022/01/14,縁和家　,縁和家,株式会社ＳＴＳ
44,Ｄｅｅｐ　Ｓｅａ,,9518063,新潟県,新潟市中央区古町通９番町１４８３番地１エクセル古町ビル　２０３号室,新潟市中央区古町通９番町１４８３番地１,エクセル古町ビル ２０３号室,,株式会社ＶｉｖａＬａＶｉｄａ,原　直樹,新潟県新潟市南区鯵潟３６８番地４,鯵潟第一アパート１－１,,飲食店営業,2370,R 3.12.14,,151,Ｄｅｅｐ　Ｓｅａ,025,,,,,新潟県　新潟市中央区古町通９番町１４８３番地１,新潟県新潟市中央区古町通九番町１４８３番地１,エクセル古町ビル ２０３号室,83938,15,15103,古町通九番町,,,2021/12/14,,,株式会社ＶｉｖａＬａＶｉｄａ,原　直樹,,新潟県新潟市南区鯵潟３６８番地４,新潟県新潟市南区鰺潟３６８番地４,鯵潟第一アパート１－１,84510,新潟県,新潟市南区,鰺潟,2370,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,ＤｅｅｐＳｅａ8393815103,0cc1a395-febd-4df3-8bc6-8d0cddd28cfc,株式会社ＶｉｖａＬａＶｉｄａ84510,3752ade1-951d-4c16-a233-a926f11c1602,fb38d971-273a-4117-977f-6ee8c476ee24,2021/12/14,Ｄｅｅｐ　Ｓｅａ,ＤｅｅｐＳｅａ,株式会社ＶｉｖａＬａＶｉｄａ
31,Ｈｅａｖｅｎｌｙ　ｃａｔ　,,9518114,新潟県,新潟市中央区営所通１番町３２８番地,新潟市中央区営所通１番町３２８番地,,,白倉　敬介,,,,,菓子製造業,2507,R 4. 1.12,,151,Ｈｅａｖｅｎｌｙ　ｃａｔ　,025,,,,,新潟県　新潟市中央区営所通１番町３２８番地,新潟県新潟市中央区営所通一番町３２８番地,,83618,15,15103,営所通一番町,,,2022/01/12,,,,白倉　敬介 ,,,,,,,,,2507,,菓子製造業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,E,9,,,Ｈｅａｖｅｎｌｙｃａｔ8361815103,49e8ebbd-2463-4336-a81b-c95fdfc332d2,,personal,31f4c5e3-b27b-47f2-91c3-3c6e20614b12,2022/01/12,Ｈｅａｖｅｎｌｙ　ｃａｔ　,Ｈｅａｖｅｎｌｙｃａｔ,
37,博多からあげ　響　新潟古町店,,9518063,新潟県,新潟市中央区古町通７番町１０１０番地古町ルフル　１階,新潟市中央区古町通７番町１０１０番地,古町ルフル１階,025-211-8435,清水　敏,,,,,飲食店営業,2367,R 3.12.14,,151,博多からあげ　響　新潟古町店,025,025-211-8435,,,,新潟県　新潟市中央区古町通７番町１０１０番地,新潟県新潟市中央区古町通七番町１０１０番地,古町ルフル１階,83941,15,15103,古町通七番町,,,2021/12/14,,,,清水　敏 ,,,,,,,,,2367,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,博多からあげ響新潟古町店025-211-84358394115103,6dd10c85-25db-4a4e-b576-3db66dbec532,,personal,490ce623-e194-4e89-abc8-bc4f8533db3a,2021/12/14,博多からあげ　響　新潟古町店,博多からあげ響新潟古町店,
9,セブン‐イレブン新潟曽川店,,9501136,新潟県,新潟市江南区曽川甲３７５番地,新潟市江南区曽川甲３７５番地,,025-280-3453,有限会社市屋,伊藤　あきら,新潟県新潟市江南区曽川甲３７５番地,,025-280-3453,飲食店営業,2448,R 3.12.22,,151,セブン‐イレブン新潟曽川店,025,025-280-3453,,,,新潟県　新潟市江南区曽川甲３７５番地,新潟県新潟市江南区曽川甲３７５番地,,84242,15,15104,曽川,,,2021/12/22,,,有限会社市屋,伊藤　あきら,025-280-3453,新潟県新潟市江南区曽川甲３７５番地,新潟県新潟市江南区曽川甲３７５番地,,84242,新潟県,新潟市江南区,曽川,2448,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,セブンイレブン新潟曽川店025-280-34538424215104,e93cbfe9-c175-4dd8-86b0-8c7292ca3dd5,有限会社市屋84242,2eb9d95c-3ee3-4d4f-90aa-65a5b665c17f,cf7d378b-2d20-4508-b175-916287f02619,2021/12/22,セブンイレブン新潟曽川店,セブンイレブン新潟曽川店,有限会社市屋
