https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,n処理終了,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
確認番号,施設名,施設-住所1,施設-マンション名,,申請者1,許可年月日,申請-電話番号1,施設-電話番号1,許可期間開始日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許可番号,屋号または商号,営業所所在地,ビル名,階数,営業者氏名,許可年月日 ,営業許可台帳.申請者電話番号,営業許可台帳.電話番号 ,復命情報.許可開始年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
R03-101-432 ,SHOT    BAR    JULEP,枚方市伊加賀北町2番 22号,,,松川裕次,2021/12/20,,072-843 -0703 ,2021/12/28,,289,SHOT    BAR    JULEP,072,072-843-0703,,,,枚方市伊加賀北町2番 22号,大阪府枚方市伊加賀北町２番２２号,,158614,27,27210,伊加賀北町,,,2021/12/20,2021/12/28,,,松川裕次,,,,,,,,,R03-101-432 ,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,ＳＨＯＴＢＡＲＪＵＬＥＰ072-843-070315861427210,9678ebfa-338d-4e96-a5b6-c313469004c7,,personal,6f1a73d7-0bf2-4c02-a5cb-0d58feffddea,2021/12/20,ＳＨＯＴ　ＢＡＲ　ＪＵＬＥＰ,ＳＨＯＴＢＡＲＪＵＬＥＰ,
R03-101-427,カワトミフーズ株式会社,枚方市菊丘町1097番地,,,カワトミフーズ株式会社,2021/12/9,  072-846-1129,  072-846-1129,2021/12/28,,289,カワトミフーズ株式会社,072,072-846-1129,,,,枚方市菊丘町1097番地,大阪府枚方市菊丘町１０９７番地,,158654,27,27210,菊丘町,,,2021/12/09,2021/12/28,,カワトミフーズ株式会社,,072-846-1129,,,,,,,,R03-101-427,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,カワトミフズ株式会社072-846-112915865427210,a448abc7-7c0a-40e8-8014-bd6aefcf95d3,カワトミフーズ株式会社,bef0eb3a-9296-4d63-a803-411fcee85018,4b433f87-af59-41a4-a39f-ee7629f99d7d,2021/12/09,カワトミフーズ株式会社,カワトミフズ株式会社,カワトミフーズ株式会社
R03-101-404,さくらベーカリー,枚方市宮之阪 3 丁目6番 3号101,,,社会福祉法人   宝桜会,2021/12/3, 072-847-5029,072-847-5029,2021/12/28,,289,さくらベーカリー,072,072-847-5029,,,,枚方市宮之阪 3 丁目6番 3号101,大阪府枚方市宮ノ阪３丁目６番３号１０１,,158899,27,27210,宮ノ阪３,,,2021/12/03,2021/12/28,,社会福祉法人   宝桜会,,072-847-5029,,,,,,,,R03-101-404,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,さくらベカリ072-847-502915889927210,ad5825eb-fb17-4138-b9da-50cfef9d8130,社会福祉法人　宝桜会,19c62d9f-951b-4517-b9cb-770f39139d5c,c3dff3c6-9b31-4683-ac7a-53a6607fd836,2021/12/03,さくらベーカリー,さくらベカリ,社会福祉法人　宝桜会
R03-101-417,サンマルクカフェ　枚方市役所前店,枚方市岡東町8番6号,,,株式会社サンマルクカフェ,2021/12/8,086-237-5309,072-861-5309,2021/12/28,,289,サンマルクカフェ　枚方市役所前店,072,072-861-5309,,,,枚方市岡東町8番6号,大阪府枚方市岡東町８番６号,,158639,27,27210,岡東町,,,2021/12/08,2021/12/28,,株式会社サンマルクカフェ,,086-237-5309,,,,,,,,R03-101-417,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,サンマルクカフェ枚方市役所前店072-861-530915863927210,b192a65c-fad7-4753-a63d-2bf6238d4df3,株式会社サンマルクカフェ,f3dd4d0c-73c9-4566-9c2b-aa85f6d6b9e8,00c56047-ef61-4042-a1b5-aa1d17739dcc,2021/12/08,サンマルクカフェ　枚方市役所前店,サンマルクカフェ枚方市役所前店,株式会社サンマルクカフェ
R03-101-418,サンマルクカフェ　枚方市役所前店,枚方市岡東町8番6号,,,株式会社サンマルクカフェ,2021/12/8,086-237-5309,072-861-5309,2021/12/28,,289,サンマルクカフェ　枚方市役所前店,072,072-861-5309,,,,枚方市岡東町8番6号,大阪府枚方市岡東町８番６号,,158639,27,27210,岡東町,,,2021/12/08,2021/12/28,,株式会社サンマルクカフェ,,086-237-5309,,,,,,,,R03-101-418,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,サンマルクカフェ枚方市役所前店072-861-530915863927210,b192a65c-fad7-4753-a63d-2bf6238d4df3,株式会社サンマルクカフェ,f3dd4d0c-73c9-4566-9c2b-aa85f6d6b9e8,9924e896-e2d5-48ed-9618-6d9259be2a3e,2021/12/08,サンマルクカフェ　枚方市役所前店,サンマルクカフェ枚方市役所前店,株式会社サンマルクカフェ
R03-101-407,スーパーストアナカガワ　光善寺店,枚方市北中振3 丁目20番 10号,,,株式会社スーパーストアナカガワ,2021/12/22,072-867-0012,072-834- 7778,2021/12/28,,289,スーパーストアナカガワ　光善寺店,072,072-834-7778,,,,枚方市北中振3 丁目20番 10号,大阪府枚方市北中振３丁目２０番１０号,,158659,27,27210,北中振３,,,2021/12/22,2021/12/28,,株式会社スーパーストアナカガワ,,072-867-0012,,,,,,,,R03-101-407,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,スパストアナカガワ光善寺店072-834-777815865927210,42319ca7-fc7a-4abf-8843-5e8df588d533,株式会社スーパーストアナカガワ,3a0d47f4-6e7c-4f41-9723-88574314ba9b,1c308b47-4677-4124-8b73-b1b53cc309cc,2021/12/22,スーパーストアナカガワ　光善寺店,スパストアナカガワ光善寺店,株式会社スーパーストアナカガワ
R03-101-408 ,スーパーストアナカガワ　光善寺店,枚方市北中振3 丁目20番 10号,,,株式会社スーパーストアナカガワ,"2021/12/22  
2021/12/28 06-6368-1001",072-867-0012,"072-834- 7778
072-809-6101",2021/12/28,,289,スーパーストアナカガワ　光善寺店,072,072-834-7778,,,,枚方市北中振3 丁目20番 10号,大阪府枚方市北中振３丁目２０番１０号,,158659,27,27210,北中振３,,,2021/12/22,2021/12/28,,株式会社スーパーストアナカガワ,,072-867-0012,,,,,,,,R03-101-408 ,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,スパストアナカガワ光善寺店072-834-777815865927210,42319ca7-fc7a-4abf-8843-5e8df588d533,株式会社スーパーストアナカガワ,3a0d47f4-6e7c-4f41-9723-88574314ba9b,05be652d-b390-40c5-993b-7d7421cbdeaf,2021/12/22,スーパーストアナカガワ　光善寺店,スパストアナカガワ光善寺店,株式会社スーパーストアナカガワ
R03-101-446,スシロー枚方高野道店,枚方市高野道 1丁目20番 10号,フォレオ ひらかた    1F,1F,株式会社あきんどスシロー,2021/12/28,06-6368-1001,072-809-6101,2021/12/28,,289,スシロー枚方高野道店,072,072-809-6101,,,,枚方市高野道 1丁目20番 10号,大阪府枚方市高野道１丁目２０番１０号,フォレオ ひらかた    1F,158691,27,27210,高野道１,,,2021/12/28,2021/12/28,,株式会社あきんどスシロー,,06-6368-1001,,,,,,,,R03-101-446,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,スシロ枚方高野道店072-809-610115869127210,f2cd7ed3-5297-4236-b743-46c4d6cdb7aa,株式会社あきんどスシロー,ecf09d40-fb84-41b6-ba5b-f0385f837a18,3e3c2b8a-8465-4763-a46a-a5979fb0a5a1,2021/12/28,スシロー枚方高野道店,スシロ枚方高野道店,株式会社あきんどスシロー
R03-101-420,たぬきばやし,枚方市北中振 3 丁目21番 2号,,,山田耕滋,2021/12/10,,072-833-8802,2021/12/28,,289,たぬきばやし,072,072-833-8802,,,,枚方市北中振 3 丁目21番 2号,大阪府枚方市北中振３丁目２１番２号,,158659,27,27210,北中振３,,,2021/12/10,2021/12/28,,,山田耕滋,,,,,,,,,R03-101-420,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,たぬきばやし072-833-880215865927210,bec3d69f-dd32-4a35-920c-614c5851898f,,personal,9cdd9f01-906a-4cb8-bb9c-8fb837cea82f,2021/12/10,たぬきばやし,たぬきばやし,
R03-101-419,リベロ　コータロー,枚方市船橋本町2 丁目10番 2号,大門ガーデンビル    2F, 2F,岡村耕太郎,2021/12/07,,072-855-9578,2021/12/28,,289,リベロ　コータロー,072,072-855-9578,,,,枚方市船橋本町2 丁目10番 2号,大阪府枚方市船橋本町２丁目１０番２号,大門ガーデンビル    2F,158868,27,27210,船橋本町２,,,2021/12/07,2021/12/28,,,岡村耕太郎,,,,,,,,,R03-101-419,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,リベロコタロ072-855-957815886827210,beb63db5-aed4-44e8-bac3-52403c93d6ec,,personal,d68cf526-1ecc-495e-963f-555c020da7e8,2021/12/07,リベロ　コータロー,リベロコタロ,
