https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
業種,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,確認番号,許可年月日,許可期間終了日,申請-電話番号1,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業の種類,施設名称,施設所在地,,,施設電話番号,営業者名,許可番号,許可年月日,許可満了日,営業者電話番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
① 飲食店営業,とりいし,大阪府八尾市中田５丁目５９,大阪府八尾市中田５丁目５９,,072-922-2751,耶雲勇,0002-0282,令和3年12月16日,令和9年12月27日,,,290,とりいし,072,072-922-2751,,,,大阪府八尾市中田５丁目５９,大阪府八尾市中田５丁目５９,,159632,27,27212,中田５,,,2021/12/16,,2027/12/27,,耶雲勇,,,,,,,,,0002-0282,,飲食店営業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,M,76,,,とりいし072-922-275115963227212,00290_8502ca3a-4714-4024-888a-29d64c43bf28,,personal,f5b992dd-9e5e-41b6-aebd-553d2f09e543,2021/12/16,とりいし,とりいし,
① 飲食店営業,０Ｈ４５９２大阪,大阪府八尾市神武町２－３５,大阪府八尾市神武町２－３５,,,グリーンホスピタリティフードマネジメント株式会社,0001-0188,令和4年1月13日,令和10年1月31日,06-6444-5723,,290,０Ｈ４５９２大阪,072,,,,,大阪府八尾市神武町２－３５,大阪府八尾市神武町２－３５,,159565,27,27212,神武町,,,2022/01/13,,2028/01/31,グリーンホスピタリティフードマネジメント株式会社,,06-6444-5723,,,,,,,,0001-0188,,飲食店営業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,M,76,,,０Ｈ４５９２大阪15956527212,bb66db99-b1bf-4c5c-80d2-3fc85dbb314d,グリーンホスピタリティフードマネジメント株式会社,2b68a5d3-d116-40bb-8bef-66f54cc8da6a,b91e1e48-134c-4688-b0ee-9898211d160b,2022/01/13,０Ｈ４５９２大阪,０Ｈ４５９２大阪,グリーンホスピタリティフードマネジメント株式会社
① 飲食店営業,セブン－イレブン 八尾萱振町３丁目店,大阪府八尾市萱振町３丁目８７－１,大阪府八尾市萱振町３丁目８７－１,,072-922-7711,辻岡訓,0002-0303,令和4年1月14日,令和10年1月31日,,,290,セブン－イレブン 八尾萱振町３丁目店,072,072-922-7711,,,,大阪府八尾市萱振町３丁目８７－１,大阪府八尾市萱振町３丁目８７－１,,159437,27,27212,萱振町３,,,2022/01/14,,2028/01/31,,辻岡訓,,,,,,,,,0002-0303,,飲食店営業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,M,76,,,セブンイレブン八尾萱振町３丁目店072-922-771115943727212,00290_2c2166bf-4b06-4398-b147-58d366f7c00b,,personal,97dd462f-8168-4a80-bf36-3e1e2b721368,2022/01/14,セブンイレブン　八尾萱振町３丁目店,セブンイレブン八尾萱振町３丁目店,
① 飲食店営業,ＯＮＥ ｂｙ ＯＮＥ,大阪府八尾市北本町２丁目９－１２－１０２ アムールみのりＶ,大阪府八尾市北本町２丁目９－１２－１０２,アムールみのりＶ,072-968-9539,瀬川洋理,0001-0189,令和4年1月4日,令和10年1月31日,,,290,ＯＮＥ ｂｙ ＯＮＥ,072,072-968-9539,,,,大阪府八尾市北本町２丁目９－１２－１０２,大阪府八尾市北本町２丁目９－１２－１０２,アムールみのりＶ,159462,27,27212,北本町２,,,2022/01/04,,2028/01/31,,瀬川洋理,,,,,,,,,0001-0189,,飲食店営業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,M,76,,,ＯＮＥｂｙＯＮＥ072-968-953915946227212,eb52b8f2-9d70-4fb0-9212-ad1de857eb23,,personal,9edbce72-bcc0-40f9-a780-a37326ee3185,2022/01/04,ＯＮＥ　ｂｙ　ＯＮＥ,ＯＮＥｂｙＯＮＥ,
① 飲食店営業,モモコイ畑,大阪府八尾市内一円,大阪府八尾市内一円,,,池内有紀,0001-0192,令和4年1月4日,令和9年1月31日,,,290,モモコイ畑,,,,,,大阪府八尾市内一円,大阪府八尾市内一円,,159317,27,27212,,,,2022/01/04,,2027/01/31,,池内有紀,,,,,,,,,0001-0192,,飲食店営業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,M,76,,,モモコイ畑15931727212,54787b4a-377c-459a-85e3-d127d37f9586,,personal,4e8ec91b-9b32-4001-a67d-2dd6da96d38f,2022/01/04,モモコイ畑,モモコイ畑,
① 飲食店営業,ＥＣＲＵ＋,大阪府八尾市内一円,大阪府八尾市内一円,,,吉川祥子,0032-0008,令和4年1月5日,令和9年1月31日,,,290,ＥＣＲＵ＋,,,,,,大阪府八尾市内一円,大阪府八尾市内一円,,159317,27,27212,,,,2022/01/05,,2027/01/31,,吉川祥子,,,,,,,,,0032-0008,,飲食店営業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,M,76,,,ＥＣＲＵ15931727212,b3b65488-5886-47b3-9b68-834b22275218,,personal,16cce010-1d15-4443-b14c-85c4853719e9,2022/01/05,ＥＣＲＵ＋,ＥＣＲＵ,
① 飲食店営業,立ち呑み川,大阪府八尾市天王寺屋６丁目１０,大阪府八尾市天王寺屋６丁目１０,,,二村孝文,0001-0194,令和4年1月12日,令和10年1月31日,,,290,立ち呑み川,072,,,,,大阪府八尾市天王寺屋６丁目１０,大阪府八尾市天王寺屋６丁目１０,,159626,27,27212,天王寺屋６,,,2022/01/12,,2028/01/31,,二村孝文,,,,,,,,,0001-0194,,飲食店営業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,M,76,,,立ち呑み川15962627212,45e11fd2-d045-4f69-8350-4a7b280d80b1,,personal,e7f3fefd-25d8-415e-9592-35e4825611cb,2022/01/12,立ち呑み川,立ち呑み川,
① 飲食店営業,Ｎｏ．３９ＢＡＳＥ,大阪府八尾市栄町１丁目１－３ プラス・ドラ・コメディ栄町Ｃ２,大阪府八尾市栄町１丁目１－３,プラス・ドラ・コメディ栄町Ｃ２,072-968-0039,太田陽介,0001-0193,令和4年1月11日,令和10年1月31日,,,290,Ｎｏ．３９ＢＡＳＥ,072,072-968-0039,,,,大阪府八尾市栄町１丁目１－３,大阪府八尾市栄町１丁目１－３,プラス・ドラ・コメディ栄町Ｃ２,159524,27,27212,栄町１,,,2022/01/11,,2028/01/31,,太田陽介,,,,,,,,,0001-0193,,飲食店営業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,M,76,,,Ｎｏ３９ＢＡＳＥ072-968-003915952427212,0bc3bc84-85c1-411e-afa2-a2551eeaf16c,,personal,58962665-d49e-43b6-961b-a0d0b01f6fb4,2022/01/11,Ｎｏ．３９ＢＡＳＥ,Ｎｏ３９ＢＡＳＥ,
① 飲食店営業,スナック こわか,大阪府八尾市本町５丁目７－１８ 八尾本町レジャービル２Ｆ,大阪府八尾市本町５丁目７－１８,八尾本町レジャービル２Ｆ,,大久保和代,0001-0195,令和4年1月14日,令和10年1月31日,,,290,スナック こわか,072,,,,,大阪府八尾市本町５丁目７－１８,大阪府八尾市本町５丁目７－１８,八尾本町レジャービル２Ｆ,159746,27,27212,本町５,,,2022/01/14,,2028/01/31,,大久保和代,,,,,,,,,0001-0195,,飲食店営業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,M,76,,,スナックこわか15974627212,69a84973-d07d-4d63-8b86-a72a3ed5be43,,personal,5df9891e-c874-41b2-a3b5-d31d37dceca1,2022/01/14,スナック　こわか,スナックこわか,
① 飲食店営業,やすらぎ,大阪府八尾市柏村町３丁目１３９－１,大阪府八尾市柏村町３丁目１３９－１,,072-993-6486,山本康裕,0002-0297,令和4年1月7日,令和10年1月31日,,,290,やすらぎ,072,072-993-6486,,,,大阪府八尾市柏村町３丁目１３９－１,大阪府八尾市柏村町３丁目１３９－１,,159917,27,27212,柏村町３,,,2022/01/07,,2028/01/31,,山本康裕,,,,,,,,,0002-0297,,飲食店営業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,M,76,,,やすらぎ072-993-648615991727212,00290_2a8ecb0f-c505-48bf-a50c-e42059d9193c,,personal,03ed2215-8a86-4136-9669-3fa9ec9603d6,2022/01/07,やすらぎ,やすらぎ,
