https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,郵便番号,施設-住所1,施設-住所2,施設-マンション名,施設-電話番号1,許可年月日,申請者1,業種,業態,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,屋号,営業所郵便番号,,営業所所在地,営業所所在地ビル名,営業所電話番号,許可年月日,申請者氏名,業種,業態,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
44,広川いちご園,834-0123,福岡県,八女郡広川町大字藤田５７４－１,,              ,2022.1.4,野田　裕文,飲食店営業,軽食喫茶,,405,広川いちご園,0942,,,,,福岡県　八女郡広川町大字藤田５７４－１,福岡県八女郡広川町藤田５７４－１,,204441,40,40544,藤田,,,2022/01/04,,,,野田　裕文,,,,,,,,,,,飲食店営業, 軽食喫茶,,,405_福岡県_南筑後保健福祉環境事務所_食品衛生(許可)_2021年12月-2022年01月_末日_新規,M,76,,,広川いちご園20444140544,dd9030cf-fe59-4de1-816e-398db1464415,,personal,1ffb1f17-519e-43f9-9cf9-d60e249e7bac,2022/01/04,広川いちご園,広川いちご園,
46,和膳　まるみつ,834-0042,福岡県,八女市酒井田６５６－３,,0943-24-3337  ,2022.1.11,諸冨　耕平,飲食店営業,料理店,,405,和膳　まるみつ,0943,0943-24-3337,,,,福岡県　八女市酒井田６５６－３,福岡県八女市酒井田６５６－３,,201724,40,40210,酒井田,,,2022/01/11,,,,諸冨　耕平,,,,,,,,,,,飲食店営業, 料理店,,,405_福岡県_南筑後保健福祉環境事務所_食品衛生(許可)_2021年12月-2022年01月_末日_新規,M,76,,,和膳まるみつ0943-24-333720172440210,98ddb309-f654-4fa3-b1fa-6b59fec17965,,personal,3dc82e68-41c4-498f-8ea3-ae423603711d,2022/01/11,和膳　まるみつ,和膳まるみつ,
50,Ｂａｒ　ａｎｔｈｅｍ,833-0031,福岡県,筑後市大字山ノ井８６６－８,ジョイントビル４Ｆ－Ｃ,              ,2022.1.13,東　拓美,飲食店営業,バー,,405,Ｂａｒ　ａｎｔｈｅｍ,0942,,,,,福岡県　筑後市大字山ノ井８６６－８,福岡県筑後市山ノ井８６６－８,ジョイントビル４Ｆ－Ｃ,201821,40,40211,山ノ井,,,2022/01/13,,,,東　拓美,,,,,,,,,,,飲食店営業, バー,,,405_福岡県_南筑後保健福祉環境事務所_食品衛生(許可)_2021年12月-2022年01月_末日_新規,M,76,,,Ｂａｒａｎｔｈｅｍ20182140211,ad65f61d-8d61-410f-bcd7-ee800e6f4b1d,,personal,7e9e5a16-b2bd-43cc-b77e-d0a46e55bad6,2022/01/13,Ｂａｒ　ａｎｔｈｅｍ,Ｂａｒａｎｔｈｅｍ,
51,ライフデリ大牟田店,836-0805,福岡県,大牟田市通町２丁目１９－５,眞﨑貸店舗（中）,0944-85-7073  ,2022.1.13,大坪　正洋,飲食店営業,仕出し,,405,ライフデリ大牟田店,0944,0944-85-7073,,,,福岡県　大牟田市通町２丁目１９－５,福岡県大牟田市通町２丁目１９－５,眞﨑貸店舗（中）,201108,40,40202,通町２,,,2022/01/13,,,,大坪　正洋,,,,,,,,,,,飲食店営業, 仕出し,,,405_福岡県_南筑後保健福祉環境事務所_食品衛生(許可)_2021年12月-2022年01月_末日_新規,M,76,,,ライフデリ大牟田店0944-85-707320110840202,75401522-5942-4b9a-8585-09e550509d0f,,personal,318119a5-a295-452f-8f1a-9a259b978188,2022/01/13,ライフデリ大牟田店,ライフデリ大牟田店,
52,文月日和。,837-0924,福岡県,大牟田市大字歴木１８０７－１８０,,              ,2022.1.14,山下　さおり,飲食店営業,弁当,,405,文月日和。,0944,,,,,福岡県　大牟田市大字歴木１８０７－１８０,福岡県大牟田市歴木１８０７－１８０,,201016,40,40202,歴木,,,2022/01/14,,,,山下　さおり,,,,,,,,,,,飲食店営業, 弁当,,,405_福岡県_南筑後保健福祉環境事務所_食品衛生(許可)_2021年12月-2022年01月_末日_新規,M,76,,,文月日和20101640202,2bce2ec1-e006-4a7c-a7f2-09e84f44bfaa,,personal,3fafdd65-f65b-419f-9ebe-403e488faa17,2022/01/14,文月日和。,文月日和,
53,まちの保健室ｌｕｌｕｔｅｒａｓ,833-0007,福岡県,筑後市大字鶴田４０１－１,,              ,2022.1.18,服部　倫子,飲食店営業,軽食喫茶,,405,まちの保健室ｌｕｌｕｔｅｒａｓ,0942,,,,,福岡県　筑後市大字鶴田４０１－１,福岡県筑後市鶴田４０１－１,,201804,40,40211,鶴田,,,2022/01/18,,,,服部　倫子,,,,,,,,,,,飲食店営業, 軽食喫茶,,,405_福岡県_南筑後保健福祉環境事務所_食品衛生(許可)_2021年12月-2022年01月_末日_新規,M,76,,,まちの保健室ｌｕｌｕｔｅｒａｓ20180440211,4ebf4fba-40c8-4781-8a45-2b6b3668280e,,personal,fa1e262d-4de9-4f3d-9eb5-b6832fbe2b27,2022/01/18,まちの保健室ｌｕｌｕｔｅｒａｓ,まちの保健室ｌｕｌｕｔｅｒａｓ,
54,ＬＩＧＨＴＳ　ｖｅｇａｎ　ｔｅａｍ,834-1201,福岡県,八女市黒木町北大淵７１９１,,              ,2022.1.18,ブランドベリ　リキャ,飲食店営業,その他,,405,ＬＩＧＨＴＳ　ｖｅｇａｎ　ｔｅａｍ,0943,,,,,福岡県　八女市黒木町北大淵７１９１,福岡県八女市黒木町北大淵７１９１,,201758,40,40210,黒木町北大淵,,,2022/01/18,,,,ブランドベリ　リキャ,,,,,,,,,,,飲食店営業, その他,,,405_福岡県_南筑後保健福祉環境事務所_食品衛生(許可)_2021年12月-2022年01月_末日_新規,M,76,,,ＬＩＧＨＴＳｖｅｇａｎｔｅａｍ20175840210,714d8b87-7e7b-4203-8628-8811bd55f60c,,personal,afe94e17-30ba-4623-acfc-1ebb86d2f466,2022/01/18,ＬＩＧＨＴＳ　ｖｅｇａｎ　ｔｅａｍ,ＬＩＧＨＴＳｖｅｇａｎｔｅａｍ,
57,文房具ｃａｆｅはなのみち,834-1102,福岡県,八女市上陽町北川内３１４－１,,0943-54-2136  ,2022.1.25,永松　恵子,飲食店営業,軽食喫茶,,405,文房具ｃａｆｅはなのみち,0943,0943-54-2136,,,,福岡県　八女市上陽町北川内３１４－１,福岡県八女市上陽町北川内３１４－１,,201751,40,40210,上陽町北川内,,,2022/01/25,,,,永松　恵子,,,,,,,,,,,飲食店営業, 軽食喫茶,,,405_福岡県_南筑後保健福祉環境事務所_食品衛生(許可)_2021年12月-2022年01月_末日_新規,M,76,,,文房具ｃａｆｅはなのみち0943-54-213620175140210,d7350d89-4544-41bf-ae62-f8a483a89c1f,,personal,5e6ac5c3-050b-46aa-99a1-14aa2dd04023,2022/01/25,文房具ｃａｆｅはなのみち,文房具ｃａｆｅはなのみち,
59,六ノ家　八女店,834-0005,福岡県,八女市大島１１２－１,,0943-25-6068  ,2022.1.18,株式会社樹,飲食店営業,ラーメン,,405,六ノ家　八女店,0943,0943-25-6068,,,,福岡県　八女市大島１１２－１,福岡県八女市大島１１２－１,,201715,40,40210,大島,,,2022/01/18,,,株式会社樹,,,,,,,,,,,,飲食店営業, ラーメン,,,405_福岡県_南筑後保健福祉環境事務所_食品衛生(許可)_2021年12月-2022年01月_末日_新規,M,76,,,六ノ家八女店0943-25-606820171540210,ac6577b7-1c4b-4b1c-98b0-b8abfe8b3a74,株式会社樹,e76a7347-84a9-40e1-bee4-ec9cdd022379,86966724-41d9-4fa1-a1f9-a090624e30a0,2022/01/18,六ノ家　八女店,六ノ家八女店,株式会社樹
