https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請年月日,申請者1,申請者2,申請者3,申請-住所1,申請-住所2,申請-住所3,申請-住所0,申請-住所4,申請-マンション名,申請-電話番号1,施設名,施設名2,施設-住所1,施設-住所2,施設-住所3,施設-住所0,施設-住所4,施設-マンション名,施設-電話番号1,業種,確認番号,開業年月日,許可年月日,許可期間開始日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請・届出年月日,"氏名
（法人の場合は法人名）
（申請・届出者）",,"法人の
代表者の氏名
（申請・届出者）","都道府県
（申請・届出者）","市区町村
（申請・届出者）","町域
（申請・届出者）","番地等
（申請・届出者）",,"マンション名等
（申請・届出者）","電話番号
（申請・届出者）",営業施設名称、屋号又は商号,,"都道府県
（営業施
設）","市区町村
（営業施設）","町域
（営業施設）","番地等
（営業施設）",,"マンション名等
（営業施設）","電話番号
（営業施設）",営業の種類,許可番号,初回許可年月日,許可年月日,許可開始日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
2021/10/1,株式会社大創産業,,矢野靖二,広島県,東広島市,西条吉行東,一丁目４番１４号,１丁目４番１４号,,082-420-0100,ダイソー    アクロス山梨甲西店,,山梨県,南アルプス市,東南湖,７７６－１,７７６－１,,,⑬ その他の食料・飲料販売業,,,,,,165,ダイソー    アクロス山梨甲西店,055,,,,,山梨県　南アルプス市　東南湖　７７６－１,山梨県南アルプス市東南湖７７６－１,,100416,19,19208,東南湖,2021/10/01,,,,,株式会社大創産業, 矢野靖二,082-420-0100,広島県　東広島市　西条吉行東　１丁目４番１４号,広島県東広島市西条吉行東１丁目４番１４号,,186030,広島県,東広島市,西条吉行東１,,,食料品販売業,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,A,58,581,5811,ダイソアクロス山梨甲西店10041619208,63eeec4c-76e0-4aa8-980b-e2d8ada26cd6,株式会社大創産業186030,4b7478b9-e92a-48e2-998f-aaaee569b5a2,80b3b54f-58ea-4eb7-ab32-c271ede892ca,2021/10/01,ダイソー　アクロス山梨甲西店,ダイソアクロス山梨甲西店,株式会社大創産業
2021/10/1,株式会社大創産業,,矢野靖二,広島県,東広島市,西条吉行東,一丁目４番 １４号,１丁目４番１４号,,082-420-0100,ダイソー    イオンタウン山梨中央ＳＣ店,,山梨県,中央市,下河東,３０５３－ １,３０５３－１,イオンタウン山梨中央店内,,⑬ その他の食料・飲料販売業,,,,,,165,ダイソー    イオンタウン山梨中央ＳＣ店,055,,,,,山梨県　中央市　下河東　３０５３－１,山梨県中央市下河東３０５３－１,イオンタウン山梨中央店内,100721,19,19214,下河東,2021/10/01,,,,,株式会社大創産業, 矢野靖二,082-420-0100,広島県　東広島市　西条吉行東　１丁目４番１４号,広島県東広島市西条吉行東１丁目４番１４号,,186030,広島県,東広島市,西条吉行東１,,,食料品販売業,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,A,58,581,5811,ダイソイオンタウン山梨中央ＳＣ店10072119214,0084f095-c5d2-43fe-a7d9-a5e9d0587c49,株式会社大創産業186030,4b7478b9-e92a-48e2-998f-aaaee569b5a2,f0b17852-33e7-44d8-9476-6142576be072,2021/10/01,ダイソー　イオンタウン山梨中央ＳＣ店,ダイソイオンタウン山梨中央ＳＣ店,株式会社大創産業
2021/10/1,株式会社大創産業,,矢野靖二,広島県,東広島市,西条吉行東,一丁目４番１４号,１丁目４番１４号,,082-420-0100,ダイソー    バロー甲府昭和店,,山梨県,中巨摩郡昭和町,清水新居,２５５－１,２５５－１,,,⑬ その他の食料・飲料販売業,,,,,,165,ダイソー    バロー甲府昭和店,055,,,,,山梨県　中巨摩郡昭和町　清水新居　２５５－１,山梨県中巨摩郡昭和町清水新居２５５－１,,100914,19,19384,清水新居,2021/10/01,,,,,株式会社大創産業, 矢野靖二,082-420-0100,広島県　東広島市　西条吉行東　１丁目４番１４号,広島県東広島市西条吉行東１丁目４番１４号,,186030,広島県,東広島市,西条吉行東１,,,食料品販売業,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,A,58,581,5811,ダイソバロ甲府昭和店10091419384,d17d1cf9-a713-487e-9c93-434f2dc22543,株式会社大創産業186030,4b7478b9-e92a-48e2-998f-aaaee569b5a2,5e45cfa4-8b10-4b09-adf3-54b3a6503f7d,2021/10/01,ダイソー　バロー甲府昭和店,ダイソバロ甲府昭和店,株式会社大創産業
2021/10/1,株式会社大創産業,,矢野靖二,広島県,東広島市,西条吉行東,一丁目４番１４号,１丁目４番１４号,,082-420-0100,ダイソー    フォレストモール甲斐竜王店,,山梨県,甲斐市,富竹新田字大明神河原,１７１４番地他３７筆,１７１４番地他３７筆,,,⑬ その他の食料・飲料販売業,,,,,,165,ダイソー    フォレストモール甲斐竜王店,055,,,,,山梨県　甲斐市　富竹新田字大明神河原　１７１４番地他３７筆,山梨県甲斐市富竹新田字大明神河原１７１４番地他３７筆,,100530,19,19210,富竹新田,2021/10/01,,,,,株式会社大創産業, 矢野靖二,082-420-0100,広島県　東広島市　西条吉行東　１丁目４番１４号,広島県東広島市西条吉行東１丁目４番１４号,,186030,広島県,東広島市,西条吉行東１,,,食料品販売業,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,A,58,581,5811,ダイソフォレストモル甲斐竜王店10053019210,578c6407-431a-4102-bddb-c9738c2f345b,株式会社大創産業186030,4b7478b9-e92a-48e2-998f-aaaee569b5a2,20c4bd54-416b-4ee6-b87d-5aacfda52f2f,2021/10/01,ダイソー　フォレストモール甲斐竜王店,ダイソフォレストモル甲斐竜王店,株式会社大創産業
2021/10/1,株式会社大創産業,,矢野靖二,広島県,東広島市,西条吉行東,一丁目４番１４号,１丁目４番１４号,,082-420-0100,ダイソー    オギノ須玉店,,山梨県,北杜市,須玉町大豆生田字二ツ木,１０７２番,１０７２番,,,⑬ その他の食料・飲料販売業,,,,,,165,ダイソー    オギノ須玉店,0551,,,,,山梨県　北杜市　須玉町大豆生田字二ツ木　１０７２番,山梨県北杜市須玉町大豆生田字二ツ木１０７２番,,100448,19,19209,須玉町大豆生田,2021/10/01,,,,,株式会社大創産業, 矢野靖二,082-420-0100,広島県　東広島市　西条吉行東　１丁目４番１４号,広島県東広島市西条吉行東１丁目４番１４号,,186030,広島県,東広島市,西条吉行東１,,,食料品販売業,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,A,58,581,5811,ダイソオギノ須玉店10044819209,a2f511b3-569c-403e-8bce-c6ef1cf53f39,株式会社大創産業186030,4b7478b9-e92a-48e2-998f-aaaee569b5a2,c1b14c39-c891-4b49-81e2-8c1ea839dbe1,2021/10/01,ダイソー　オギノ須玉店,ダイソオギノ須玉店,株式会社大創産業
2021/10/1,株式会社    かわすみ,,河澄俊彦,山梨県,南アルプス市,古市場,563,５６３,,055-282-1452,株式会社    かわすみAコープ甲西店,,山梨県,南アルプス市,戸田,55-1,５５－１,,055-282-1452,① 飲食店営業,山梨県指令中北福第155号-450,2021/10/7,2021/10/7,2021/10/7,,165,株式会社    かわすみAコープ甲西店,055,055-282-1452,,,,山梨県　南アルプス市　戸田　５５－１,山梨県南アルプス市戸田５５－１,,100410,19,19208,戸田,2021/10/01,2021/10/07,2021/10/07,2021/10/07,,株式会社    かわすみ, 河澄俊彦,055-282-1452,山梨県　南アルプス市　古市場　５６３,山梨県南アルプス市古市場５６３,,100418,山梨県,南アルプス市,古市場,山梨県指令中北福第155号-450,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,M,76,,,株式会社かわすみＡコプ甲西店055-282-145210041019208,4ed32790-2276-4dda-a6e1-80c8f06fb1e0,株式会社　かわすみ100418,3e49c73e-b007-4bf5-a100-86e3a2e757f3,6ae8d17c-3ef0-4c6f-bdf4-ef63df2245f0,2021/10/07,株式会社　かわすみＡコープ甲西店,株式会社かわすみＡコプ甲西店,株式会社　かわすみ
2021/10/1,株式会社大創産業,,矢野靖二,広島県,東広島市,西条吉行東,一丁目４番 １４号,１丁目４番１４号,,082-420-0100,ダイソー    アクロスプラザオギノ山梨ＳＣ店,,山梨県,山梨市,下石森宮ノ前,２４,２４,アクロスプラザオギノ山梨ＳＣ,,⑬ その他の食料・飲料販売業,,,,,,166,ダイソー    アクロスプラザオギノ山梨ＳＣ店,0553,,,,,山梨県　山梨市　下石森宮ノ前　２４,山梨県山梨市下石森宮ノ前２４,アクロスプラザオギノ山梨ＳＣ,100217,19,19205,下石森,2021/10/01,,,,,株式会社大創産業, 矢野靖二,082-420-0100,広島県　東広島市　西条吉行東　１丁目４番１４号,広島県東広島市西条吉行東１丁目４番１４号,,186030,広島県,東広島市,西条吉行東１,,,食料品販売業,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,A,58,581,5811,ダイソアクロスプラザオギノ山梨ＳＣ店10021719205,37a7de80-9e7b-4f9b-93b9-4acf4beb8b29,株式会社大創産業186030,4b7478b9-e92a-48e2-998f-aaaee569b5a2,47f5e004-3d8e-45b4-80dc-0f99774457c1,2021/10/01,ダイソー　アクロスプラザオギノ山梨ＳＣ店,ダイソアクロスプラザオギノ山梨ＳＣ店,株式会社大創産業
2021/10/1,株式会社大創産業,,矢野靖二,広島県,東広島市,西条吉行東,一丁目４番１４号,１丁目４番１４号,,082-420-0100,ダイソー    甲州塩山店,,山梨県,甲州市,塩山熊野,３１,３１,,,⑬ その他の食料・飲料販売業,,,,,,166,ダイソー    甲州塩山店,0553,,,,,山梨県　甲州市　塩山熊野　３１,山梨県甲州市塩山熊野３１,,100676,19,19213,塩山熊野,2021/10/01,,,,,株式会社大創産業, 矢野靖二,082-420-0100,広島県　東広島市　西条吉行東　１丁目４番１４号,広島県東広島市西条吉行東１丁目４番１４号,,186030,広島県,東広島市,西条吉行東１,,,食料品販売業,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,A,58,581,5811,ダイソ甲州塩山店10067619213,757024c8-d4cd-4cc8-822e-b78bebdd721c,株式会社大創産業186030,4b7478b9-e92a-48e2-998f-aaaee569b5a2,66826cd3-dd56-4f5f-aaf7-8d040711342d,2021/10/01,ダイソー　甲州塩山店,ダイソ甲州塩山店,株式会社大創産業
2021/10/1,株式会社大創産業,,矢野靖二,広島県,東広島市,西条吉行東,一丁目４番 １４号,１丁目４番１４号,,082-420-0100,ダイソー    フォレストモール富士川店,,山梨県,南巨摩郡富士川町,青柳町,９７３－１,９７３－１,フォレストモール富士川内,,⑬ その他の食料・飲料販売業,,,,,,167,ダイソー    フォレストモール富士川店,0556,,,,,山梨県　南巨摩郡富士川町　青柳町　９７３－１,山梨県南巨摩郡富士川町青柳町９７３－１,フォレストモール富士川内,100884,19,19368,青柳町,2021/10/01,,,,,株式会社大創産業, 矢野靖二,082-420-0100,広島県　東広島市　西条吉行東　１丁目４番１４号,広島県東広島市西条吉行東１丁目４番１４号,,186030,広島県,東広島市,西条吉行東１,,,食料品販売業,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,A,58,581,5811,ダイソフォレストモル富士川店10088419368,7cfb8c2d-6737-4401-b5f8-1a9676215413,株式会社大創産業186030,4b7478b9-e92a-48e2-998f-aaaee569b5a2,795234bc-9f83-4717-a4cb-e80a9c755328,2021/10/01,ダイソー　フォレストモール富士川店,ダイソフォレストモル富士川店,株式会社大創産業
