https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
法人番号,申請者1,申請者2,,申請-住所1,申請-住所2,申請-住所3,申請-住所4,申請-マンション名,申請-電話番号1,,施設名,郵便番号,施設-住所1,施設-住所2,施設-住所3,施設-住所4,施設-マンション名,施設-電話番号1,業種,,許可年月日,許可期間開始日,許可期間終了日,その他,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
法人番号（申請・届出者）,氏名（法人の場合は法人名）（申請・届出者）,法人の代表者の氏名（申請・届出者）,郵便番号（申請・届出者）,都道府県（申請・届出者）,市区町村（申請・届出者）,町域（申請・届出者）,番地等（申請・届出者）,マンション名等（申請・届出者）,電話番号（申請・届出者）,ファクシミリ番号（申請・届出者）,営業施設名称、屋号又は商号,郵便番号（営業施設）,都道府県（営業施設）,市区町村（営業施設）,町域（営業施設）,番地等（営業施設）,マンション名等（営業施設）,電話番号（営業施設）,営業の種類,廃業年月日,許可年月日,許可開始日,許可満了日,許可条件,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
7290001024896,アトモスダイニング株式会社,山口洋,8100044,福岡県,福岡市中央区,六本松２丁目,６番６号　,HILLTOP BUILDING 5F,092-714-7710,092-714-7750,うなぎ牛めし　さん助,8410056,佐賀県,鳥栖市,蔵上,4-120,,,① 飲食店営業,,2021/9/2,2021/9/2,2027/11/30,　,,409,うなぎ牛めし　さん助,0942,,,,,佐賀県　鳥栖市　蔵上　4-120,佐賀県鳥栖市蔵上４－１２０,,205269,41,41203,蔵上４,,,2021/09/02,2021/09/02,2027/11/30,アトモスダイニング株式会社,山口洋,092-714-7710,福岡県　福岡市中央区　六本松２丁目　６番６号　,福岡県福岡市中央区六本松２丁目６番６号,HILLTOP BUILDING 5F,200351,福岡県,福岡市中央区,六本松２,,,飲食店営業,,　,7290001024896,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,うなぎ牛めしさん助20526941203,be255e82-ec70-47a6-abf4-2e1548126723,アトモスダイニング株式会社200351,7e44b700-756b-4669-aa35-e5d17d93fea2,97420893-3201-42a2-9410-ba8e8c08813b,2021/09/02,うなぎ牛めし　さん助,うなぎ牛めしさん助,アトモスダイニング株式会社
7300001011488,株式会社ＢＵＢＵコーポレーション,永渕賢治,8400841,佐賀県,佐賀市,緑小路,３－５,,095-241-2004,,手作りお弁当とお惣菜のお店　ぶた八,8400841,佐賀県,佐賀市,緑小路,３－５,,,㉕ そうざい製造業,,2021/11/19,2021/11/19,2027/11/30,　,,408,手作りお弁当とお惣菜のお店　ぶた八,0952,,,,,佐賀県　佐賀市　緑小路　３－５,佐賀県佐賀市緑小路３－５,,204796,41,41201,緑小路,,,2021/11/19,2021/11/19,2027/11/30,株式会社ＢＵＢＵコーポレーション,永渕賢治,095-241-2004,佐賀県　佐賀市　緑小路　３－５,佐賀県佐賀市緑小路３－５,,204796,佐賀県,佐賀市,緑小路,,,そうざい製造業,,　,7300001011488,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,E,9,,,手作りお弁当とお惣菜のお店ぶた八20479641201,8ae1b857-5058-4d5d-9fbc-93f184ff6857,株式会社ＢＵＢＵコーポレーション204796,79047f3e-54db-4be2-854b-fb479101254e,ca1b3242-c007-4622-8248-4a75bc0f1f47,2021/11/19,手作りお弁当とお惣菜のお店　ぶた八,手作りお弁当とお惣菜のお店ぶた八,株式会社ＢＵＢＵコーポレーション
1330001028155,株式会社アテインズ,角田亜理沙,8620969,熊本県,熊本市南区,良町３丁目１４番３７号,,,050-5532-2699,,マチキチ,8400801,佐賀県,佐賀市,駅前中央,1-4-17,コムボックス佐賀駅2階,050-5532-2699,① 飲食店営業,,2022/1/4,2022/1/4,2028/11/30,　,,408,マチキチ,0952,050-5532-2699,,,,佐賀県　佐賀市　駅前中央　1-4-17,佐賀県佐賀市駅前中央１－４－１７,コムボックス佐賀駅2階,204812,41,41201,駅前中央１,,,2022/01/04,2022/01/04,2028/11/30,株式会社アテインズ,角田亜理沙,050-5532-2699,熊本県　熊本市南区　良町３丁目１４番３７号　,熊本県熊本市南区良町３丁目１４番３７号,,208528,熊本県,熊本市南区,良町３,,,飲食店営業,,　,1330001028155,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,マチキチ050-5532-269920481241201,69aa66c8-d6a6-4d49-b6f8-7b852d74009c,株式会社アテインズ208528,6fe39131-4504-43a4-a6e4-b93e4e71e1a7,cfba5c57-dffd-4889-a0ff-debc59416b1b,2022/01/04,マチキチ,マチキチ,株式会社アテインズ
5300002008527,有限会社ヒロ,松尾尚子,8494153,佐賀県,西松浦郡有田町,立部,乙２２７５,,0955-46-3119,0955-46-3119,魔女のフライパン,8494153,佐賀県,西松浦郡有田町,立部,乙２２７５,,0955-46-3119,① 飲食店営業,,2021/11/30,2021/12/1,2027/11/30,　,,411,魔女のフライパン,0955,0955-46-3119,,,,佐賀県　西松浦郡有田町　立部　乙２２７５,佐賀県西松浦郡有田町立部乙２２７５,,205643,41,41401,立部乙,,,2021/11/30,2021/12/01,2027/11/30,有限会社ヒロ,松尾尚子,0955-46-3119,佐賀県　西松浦郡有田町　立部　乙２２７５,佐賀県西松浦郡有田町立部乙２２７５,,205643,佐賀県,西松浦郡有田町,立部乙,,,飲食店営業,,　,5300002008527,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,魔女のフライパン0955-46-311920564341401,9fbd4c5c-6498-44e0-b7dc-2ae887a432a7,有限会社ヒロ205643,92673ab7-6a0e-41de-b952-69f387f13a5c,02fe7efa-f126-4273-a42e-ddaf63532ace,2021/11/30,魔女のフライパン,魔女のフライパン,有限会社ヒロ
5300002009640,有限会社いしばし,石橋隆秀,8410075,佐賀県,鳥栖市,立石町,1496-4,,0942-81-5587,0942-81-5597,山香料理処　竹取物語,8410075,佐賀県,鳥栖市,立石町,1496-4,,0942-81-5587,① 飲食店営業,,2021/11/30,2021/12/1,2027/11/30,　,一致の場合削除ショップ伊東/山香料理処　竹取物語,409,山香料理処　竹取物語,0942,0942-81-5587,,,,佐賀県　鳥栖市　立石町　1496-4,佐賀県鳥栖市立石町１４９６－４,,205225,41,41203,立石町,,,2021/11/30,2021/12/01,2027/11/30,有限会社いしばし,石橋隆秀,0942-81-5587,佐賀県　鳥栖市　立石町　1496-4,佐賀県鳥栖市立石町１４９６－４,,205225,佐賀県,鳥栖市,立石町,,,飲食店営業,,　,5300002009640,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,山香料理処竹取物語0942-81-558720522541203,6e9516b7-fced-48ab-9483-8370b9caf6fb,有限会社いしばし205225,740ba003-bc4d-490e-8446-2c294e6134a5,3b06d1f7-0500-4ee1-919c-0962ede74eed,2021/11/30,山香料理処　竹取物語,山香料理処竹取物語,有限会社いしばし
8300005004074,伊万里市農業協同組合,田代直樹,8480027,佐賀県,伊万里市,立花町,１２９０－１,,095-523-5555,,手作りの店　マザーズハート,8494154,佐賀県,西松浦郡有田町,大木宿,９５２－１,,0955-46-5402,⑪ 菓子製造業,,2021/11/30,2021/12/1,2027/11/30,　,,411,手作りの店　マザーズハート,0955,0955-46-5402,,,,佐賀県　西松浦郡有田町　大木宿　９５２－１,佐賀県西松浦郡有田町大木宿乙９５２－１,,205617,41,41401,大木宿乙,,,2021/11/30,2021/12/01,2027/11/30,伊万里市農業協同組合,田代直樹,095-523-5555,佐賀県　伊万里市　立花町　１２９０－１,佐賀県伊万里市立花町１２９０－１,,205326,佐賀県,伊万里市,立花町,,,菓子製造業,,　,8300005004074,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,E,9,,,手作りの店マザズハト0955-46-540220561741401,e23d74f9-0059-414e-b7aa-8618527ce708,伊万里市農業協同組合205326,90b83027-2533-47ae-8cf8-51278e9b8d76,0a2c9e2d-f0f8-4a5d-b0b1-81da7dfb272e,2021/11/30,手作りの店　マザーズハート,手作りの店マザズハト,伊万里市農業協同組合
9300001011049,株式会社小嶋や,小島久美子,8480027,佐賀県,伊万里市,立花町２７７９番地６,,,095-522-6711,,株式会社小嶋や,8494251,佐賀県,伊万里市,山代町楠久,549-2,,0955-22-6711,㉚ 密封包装食品製造業,,2021/9/8,2021/9/8,2028/8/31,　,,411,株式会社小嶋や,0955,0955-22-6711,,,,佐賀県　伊万里市　山代町楠久　549-2,佐賀県伊万里市山代町楠久５４９－２,,205376,41,41205,山代町楠久,,,2021/09/08,2021/09/08,2028/08/31,株式会社小嶋や,小島久美子,095-522-6711,佐賀県　伊万里市　立花町２７７９番地６　,佐賀県伊万里市立花町２７７９番地６,,205326,佐賀県,伊万里市,立花町,,,密封包装食品製造業,,　,9300001011049,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,E,9,,,株式会社小嶋や0955-22-671120537641205,fa6275e8-a172-495b-b8bb-34ddaabbae2f,株式会社小嶋や205326,6c66be9c-30e8-4a07-9de8-04790c6a6b73,34d7c570-063c-4340-ad63-2c4ef0e920c0,2021/09/08,株式会社小嶋や,株式会社小嶋や,株式会社小嶋や
9300001011049,株式会社小嶋や,小島久美子,8480027,佐賀県,伊万里市,立花町２７７９番地６,,,095-522-6711,,株式会社小嶋や,8494251,佐賀県,伊万里市,山代町楠久,549-2,,0955-22-6711,㉛ 食品の小分け業,,2021/9/8,2021/9/8,2028/8/31,　,,411,株式会社小嶋や,0955,0955-22-6711,,,,佐賀県　伊万里市　山代町楠久　549-2,佐賀県伊万里市山代町楠久５４９－２,,205376,41,41205,山代町楠久,,,2021/09/08,2021/09/08,2028/08/31,株式会社小嶋や,小島久美子,095-522-6711,佐賀県　伊万里市　立花町２７７９番地６　,佐賀県伊万里市立花町２７７９番地６,,205326,佐賀県,伊万里市,立花町,,,食品の小分け業,,　,9300001011049,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,I,58,522,5229,株式会社小嶋や0955-22-671120537641205,fa6275e8-a172-495b-b8bb-34ddaabbae2f,株式会社小嶋や205326,6c66be9c-30e8-4a07-9de8-04790c6a6b73,9e56fe17-9ce9-4385-b79b-db8a7b8ff2f9,2021/09/08,株式会社小嶋や,株式会社小嶋や,株式会社小嶋や
8300005004074,伊万里市農業協同組合,田代直樹,8480027,佐賀県,伊万里市,立花町,１２９０－１,,095-523-5555,,助け合い組織　ほほえみの会,8494164,佐賀県,西松浦郡有田町,仏ノ原丙,７５６,,0955-46-2215,① 飲食店営業,,2021/11/30,2021/12/1,2027/11/30,　,,411,助け合い組織　ほほえみの会,0955,0955-46-2215,,,,佐賀県　西松浦郡有田町　仏ノ原丙　７５６,佐賀県西松浦郡有田町仏ノ原丙７５６,,205662,41,41401,仏ノ原丙,,,2021/11/30,2021/12/01,2027/11/30,伊万里市農業協同組合,田代直樹,095-523-5555,佐賀県　伊万里市　立花町　１２９０－１,佐賀県伊万里市立花町１２９０－１,,205326,佐賀県,伊万里市,立花町,,,飲食店営業,,　,8300005004074,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,助け合い組織ほほえみの会0955-46-221520566241401,61e16121-ec01-4da8-8949-18d6a70ee524,伊万里市農業協同組合205326,90b83027-2533-47ae-8cf8-51278e9b8d76,56ed3b44-a8d2-4ce3-bb50-50c755a52227,2021/11/30,助け合い組織　ほほえみの会,助け合い組織ほほえみの会,伊万里市農業協同組合
