https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,n処理終了,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,業種,,申請者1,申請者2,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋　　号,,営業所所在地,,,"営業所
電話番号",業　　種,,"営業者名
(申請者氏名)","営業者名
(法人の代表者氏名)","営業者
住所(所在地)",,,"営業者
電話番号","初回の
許可年月日","最新の
許可年月日","新規か
継続か",許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
むすんでひらいて作見店,石川県,加賀市作見町ニ83番地1,加賀市作見町ニ８３番地１,,092-410-2610,そうざい製造業,,株式会社むすんでひらいて,原田将太,福岡県糟屋郡新宮町下府2丁目12番地24,福岡県糟屋郡新宮町下府２丁目１２番地２４,,092-410-2605,2021.10.8,2021.10.8,新規,第62215093号,,217,むすんでひらいて作見店,0761,092-410-2610,,,,石川県　加賀市作見町ニ８３番地１,石川県加賀市作見町ニ８３番地１,,95829,17,17206,作見町,,2021/10/08,2021/10/08,,,株式会社むすんでひらいて,原田将太,092-410-2605,福岡県糟屋郡新宮町下府２丁目１２番地２４,福岡県糟屋郡新宮町下府２丁目１２番地２４,,204065,福岡県,糟屋郡新宮町,下府２,第62215093号,新規,そうざい製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗南加賀,E,9,,,むすんでひらいて作見店092-410-26109582917206,5a36bbd5-8268-4b5d-be89-55d624371c37,株式会社むすんでひらいて204065,4c9735f7-c1b2-400a-a9cb-67a4623ca646,352e67d2-5099-4799-9b94-c7055b000444,2021/10/08,むすんでひらいて作見店,むすんでひらいて作見店,株式会社むすんでひらいて
クスリのアオキ作見店,石川県,加賀市作見町ニ83番地1,加賀市作見町ニ８３番地１,,,菓子製造業,,株式会社クスリのアオキ,青木宏憲,白山市松本町２５１２番地,白山市松本町２５１２番地,,076-274-1111,2021.10.8,2021.10.8,新規,第62215094号,,217,クスリのアオキ作見店,0761,,,,,石川県　加賀市作見町ニ８３番地１,石川県加賀市作見町ニ８３番地１,,95829,17,17206,作見町,,2021/10/08,2021/10/08,,,株式会社クスリのアオキ,青木宏憲,076-274-1111,白山市松本町２５１２番地,石川県白山市松本町２５１２番地,,96433,石川県,白山市,松本町,第62215094号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗南加賀,E,9,,,クスリのアオキ作見店9582917206,e23c6f03-472f-4797-82e7-5623111d4371,株式会社クスリのアオキ96433,8764bfa8-be68-40d0-b9ee-f8291726c181,eb55f2c2-b18e-4445-99ba-4112150b4218,2021/10/08,クスリのアオキ作見店,クスリのアオキ作見店,株式会社クスリのアオキ
日本海とれたて市場  作見店,石川県,加賀市作見町ニ83番地1,加賀市作見町ニ８３番地１,,,飲食店営業,,株式会社ナルックス,野口剛,白山市松本町２５１２番地,白山市松本町２５１２番地,,076-252-1557,2021.10.8,2021.10.8,新規,第62215095号,,217,日本海とれたて市場  作見店,0761,,,,,石川県　加賀市作見町ニ８３番地１,石川県加賀市作見町ニ８３番地１,,95829,17,17206,作見町,,2021/10/08,2021/10/08,,,株式会社ナルックス,野口剛,076-252-1557,白山市松本町２５１２番地,石川県白山市松本町２５１２番地,,96433,石川県,白山市,松本町,第62215095号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗南加賀,M,76,,,日本海とれたて市場作見店9582917206,a4751491-419c-4b7f-93ba-6746bb0c342c,株式会社ナルックス96433,cd00a629-db44-4890-a38c-65d1f333dec0,e49147b1-372e-4219-a733-be3b8efb39f8,2021/10/08,日本海とれたて市場　作見店,日本海とれたて市場作見店,株式会社ナルックス
日本海とれたて市場  作見店,石川県,加賀市作見町ニ83番地1,加賀市作見町ニ８３番地１,,,魚介類販売業,,株式会社ナルックス,野口剛,白山市松本町２５１２番地,白山市松本町２５１２番地,,076-252-1557,2021.10.8,2021.10.8,新規,第62215096号,,217,日本海とれたて市場  作見店,0761,,,,,石川県　加賀市作見町ニ８３番地１,石川県加賀市作見町ニ８３番地１,,95829,17,17206,作見町,,2021/10/08,2021/10/08,,,株式会社ナルックス,野口剛,076-252-1557,白山市松本町２５１２番地,石川県白山市松本町２５１２番地,,96433,石川県,白山市,松本町,第62215096号,新規,魚介類販売業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗南加賀,I,58,,,日本海とれたて市場作見店9582917206,a4751491-419c-4b7f-93ba-6746bb0c342c,株式会社ナルックス96433,cd00a629-db44-4890-a38c-65d1f333dec0,b23f7479-adb9-4074-85d2-85ddec25faf8,2021/10/08,日本海とれたて市場　作見店,日本海とれたて市場作見店,株式会社ナルックス
南の牧場　作見店,石川県,加賀市作見町ニ82,加賀市作見町ニ８２,,,食肉販売業,,大三フーズ株式会社,大家龍三,福岡県田川市伊加利1824-28,福岡県田川市伊加利１８２４－２８,,0947-46-4129,2021.10.8,2021.10.8,新規,第62215097号,,217,南の牧場　作見店,0761,,,,,石川県　加賀市作見町ニ８２,石川県加賀市作見町ニ８２,,95829,17,17206,作見町,,2021/10/08,2021/10/08,,,大三フーズ株式会社,大家龍三,0947-46-4129,福岡県田川市伊加利１８２４－２８,福岡県田川市伊加利１８２４－２８,,201574,福岡県,田川市,伊加利,第62215097号,新規,食肉販売業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗南加賀,I,58,583,,南の牧場作見店9582917206,cc899767-d495-4786-a379-c20a2f3af96b,大三フーズ株式会社201574,06700e29-0197-4b32-9703-8f50909f1e4e,f10ea61a-3437-483c-bacf-b2f16a51a3e4,2021/10/08,南の牧場　作見店,南の牧場作見店,大三フーズ株式会社
居酒屋　貴坊,石川県,加賀市河南町カ160,加賀市河南町カ１６０,,,飲食店営業,,雪冨貴義,,,,,,2021.11.1,2021.11.1,新規,第62215103号,,217,居酒屋　貴坊,0761,,,,,石川県　加賀市河南町カ１６０,石川県加賀市河南町カ１６０,,95817,17,17206,河南町,,2021/11/01,2021/11/01,,,,雪冨貴義 ,,,,,,,,,第62215103号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗南加賀,M,76,,,居酒屋貴坊9581717206,facfdf6b-2c43-4e7c-9949-d576bc703c0a,,personal,61474b3f-05ca-49ec-aff2-b1844a0e7668,2021/11/01,居酒屋　貴坊,居酒屋貴坊,
りゅうじょ,石川県,加賀市橋立町ラ87-1,加賀市橋立町ラ８７－１,,0761-72-6819,飲食店営業,,木村茂樹,,,,,,2021.11.1,2021.11.1,新規,第62215104号,,217,りゅうじょ,0761,0761-72-6819,,,,石川県　加賀市橋立町ラ８７－１,石川県加賀市橋立町ラ８７－１,,95924,17,17206,橋立町,,2021/11/01,2021/11/01,,,,木村茂樹 ,,,,,,,,,第62215104号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗南加賀,M,76,,,りゅうじょ0761-72-68199592417206,cf4e1439-12d0-43e2-8b10-3026bdf0aeb0,,personal,cb10b4c6-3c5d-4428-9a2c-5706ca965a8f,2021/11/01,りゅうじょ,りゅうじょ,
可非工房,石川県,加賀市作見町ソ21番地の1号,加賀市作見町ソ２１番地の１号,,0761-74-7010,菓子製造業,,飯島秀夫,,,,,,2021.11.1,2021.11.1,新規,第62215105号,,217,可非工房,0761,0761-74-7010,,,,石川県　加賀市作見町ソ２１番地の１号,石川県加賀市作見町ソ２１番地ノ１号,,95829,17,17206,作見町,,2021/11/01,2021/11/01,,,,飯島秀夫 ,,,,,,,,,第62215105号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗南加賀,E,9,,,可非工房0761-74-70109582917206,6482b0ed-d7a7-45ab-b82d-72ff379cb39a,,personal,eeff5c67-dca3-46c9-b7bc-5d4935ffc650,2021/11/01,可非工房,可非工房,
ばらずし作見店,石川県,加賀市作見町ワ9-2,加賀市作見町ワ９－２,,0761-74-4114,飲食店営業,,西田泰治,,,,,,2021.11.1,2021.11.1,新規,第62215106号,,217,ばらずし作見店,0761,0761-74-4114,,,,石川県　加賀市作見町ワ９－２,石川県加賀市作見町ワ９－２,,95829,17,17206,作見町,,2021/11/01,2021/11/01,,,,西田泰治 ,,,,,,,,,第62215106号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗南加賀,M,76,,,ばらずし作見店0761-74-41149582917206,5c230325-428d-410f-8d3b-2f08c5e39085,,personal,6618cf81-5483-4600-acd4-dd86687eee1d,2021/11/01,ばらずし作見店,ばらずし作見店,
御菓子司　横谷／久保昆布,石川県,加賀市山代温泉16の5の4,加賀市山代温泉１６ー５ー４,,0761-77-1218,菓子製造業,,有限会社山代物産店,横谷勇治,加賀市山代温泉16の5の4,加賀市山代温泉１６ー５ー４,,0761-77-1218,2021.11.1,2021.11.1,新規,第62215107号,,217,御菓子司　横谷／久保昆布,0761,0761-77-1218,,,,石川県　加賀市山代温泉１６ー５ー４,石川県加賀市山代温泉１６－５－４,,95949,17,17206,山代温泉,,2021/11/01,2021/11/01,,,有限会社山代物産店,横谷勇治,0761-77-1218,加賀市山代温泉１６ー５ー４,石川県加賀市山代温泉１６－５－４,,95949,石川県,加賀市,山代温泉,第62215107号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗南加賀,E,9,,,御菓子司横谷久保昆布0761-77-12189594917206,5b154989-1b20-4cbb-a3fa-c74938782f15,有限会社山代物産店95949,ea7a924c-8bff-482b-9dbd-f7a4d8dc125d,6c500d18-5ce0-4381-9a5e-0740fc490757,2021/11/01,御菓子司　横谷／久保昆布,御菓子司横谷久保昆布,有限会社山代物産店
御菓子司　横谷／久保昆布,石川県,加賀市山代温泉16の5の4,加賀市山代温泉１６ー５ー４,,0761-77-1218,食品の小分け業,,有限会社山代物産店,横谷勇治,加賀市山代温泉16の5の4,加賀市山代温泉１６ー５ー４,,0761-77-1218,2021.11.1,2021.11.1,新規,第62215108号,,217,御菓子司　横谷／久保昆布,0761,0761-77-1218,,,,石川県　加賀市山代温泉１６ー５ー４,石川県加賀市山代温泉１６－５－４,,95949,17,17206,山代温泉,,2021/11/01,2021/11/01,,,有限会社山代物産店,横谷勇治,0761-77-1218,加賀市山代温泉１６ー５ー４,石川県加賀市山代温泉１６－５－４,,95949,石川県,加賀市,山代温泉,第62215108号,新規,食品の小分け業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗南加賀,I,58,522,5229,御菓子司横谷久保昆布0761-77-12189594917206,5b154989-1b20-4cbb-a3fa-c74938782f15,有限会社山代物産店95949,ea7a924c-8bff-482b-9dbd-f7a4d8dc125d,99caf90f-6c95-483d-bb30-33f046503ca0,2021/11/01,御菓子司　横谷／久保昆布,御菓子司横谷久保昆布,有限会社山代物産店
総合食品　ふじやま,石川県,加賀市山代温泉19の96番地1,加賀市山代温泉１９ー９６番地１,,0761-76-0664,飲食店営業,,有限会社ふじやま,藤山昇,加賀市山代温泉19の96番地1,加賀市山代温泉１９ー９６番地１,,0761-76-0664,2021.11.1,2021.11.1,新規,第62215109号,,217,総合食品　ふじやま,0761,0761-76-0664,,,,石川県　加賀市山代温泉１９ー９６番地１,石川県加賀市山代温泉１９－９６番地１,,95949,17,17206,山代温泉,,2021/11/01,2021/11/01,,,有限会社ふじやま,藤山昇,0761-76-0664,加賀市山代温泉１９ー９６番地１,石川県加賀市山代温泉１９－９６番地１,,95949,石川県,加賀市,山代温泉,第62215109号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗南加賀,M,76,,,総合食品ふじやま0761-76-06649594917206,f2a8b0aa-abc9-4c37-a6d3-b3966aa5fdbe,有限会社ふじやま95949,49791ec8-872f-4ffa-8951-0992e6c7d85e,9b2aa794-eac5-4b31-9c7b-c47b7400e5af,2021/11/01,総合食品　ふじやま,総合食品ふじやま,有限会社ふじやま
大長菓子舗,石川県,加賀市山代温泉桔梗丘4-80,加賀市山代温泉桔梗丘４－８０,,0761-76-0451,菓子製造業,,大工昭男,,,,,,2021.11.1,2021.11.1,新規,第62215110号,,217,大長菓子舗,0761,0761-76-0451,,,,石川県　加賀市山代温泉桔梗丘４－８０,石川県加賀市山代温泉桔梗丘４－８０,,95976,17,17206,山代温泉桔梗丘４,,2021/11/01,2021/11/01,,,,大工昭男 ,,,,,,,,,第62215110号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗南加賀,E,9,,,大長菓子舗0761-76-04519597617206,6982c90e-a991-41e5-9d0d-07667d73f006,,personal,8ae0f06e-0aa9-4d75-8ad4-b1c546398cb5,2021/11/01,大長菓子舗,大長菓子舗,
南京,石川県,加賀市山中温泉栄町ニの73,加賀市山中温泉栄町ニの７３,,0761-78-2861,飲食店営業,,南部忠晴,,,,,,2021.11.1,2021.11.1,新規,第62215111号,,217,南京,0761,0761-78-2861,,,,石川県　加賀市山中温泉栄町ニの７３,石川県加賀市山中温泉栄町ニノ７３,,96005,17,17206,山中温泉栄町,,2021/11/01,2021/11/01,,,,南部忠晴 ,,,,,,,,,第62215111号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗南加賀,M,76,,,南京0761-78-28619600517206,c6f9034d-94b8-4395-ba68-62efff227dd9,,personal,cb185597-9546-407f-b7c4-c0b4dc794378,2021/11/01,南京,南京,
焼肉輝美　上原店,石川県,加賀市山中温泉上原町ワ488-1,加賀市山中温泉上原町ワ４８８－１,,0761-78-5537,飲食店営業,,松村英次,,,,,,2021.11.1,2021.11.1,新規,第62215112号,,217,焼肉輝美　上原店,0761,0761-78-5537,,,,石川県　加賀市山中温泉上原町ワ４８８－１,石川県加賀市山中温泉上原町ワ４８８－１,,95989,17,17206,山中温泉上原町,,2021/11/01,2021/11/01,,,,松村英次 ,,,,,,,,,第62215112号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗南加賀,M,76,,,焼肉輝美上原店0761-78-55379598917206,ceb96d8f-01e5-408b-ab5c-262f4569626e,,personal,598c3229-86ec-4a99-bbd9-671270dc2f3e,2021/11/01,焼肉輝美　上原店,焼肉輝美上原店,
そのずし　山中店,石川県,加賀市山中温泉本町1-ト29-1マルエー山中店内,加賀市山中温泉本町１－ト２９－１,マルエー山中店内,,飲食店営業,,有限会社その,山村直樹,小松市粟津町ハ63番地,小松市粟津町ハ６３番地,,0761-65-2115,2021.11.1,2021.11.1,新規,第62215113号,,217,そのずし　山中店,0761,,,,,石川県　加賀市山中温泉本町１－ト２９－１,石川県加賀市山中温泉本町１－ト２９－１,マルエー山中店内,96029,17,17206,山中温泉本町１,,2021/11/01,2021/11/01,,,有限会社その,山村直樹,0761-65-2115,小松市粟津町ハ６３番地,石川県小松市粟津町ハ６３番地,,95207,石川県,小松市,粟津町,第62215113号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗南加賀,M,76,,,そのずし山中店9602917206,f318b105-d18a-473a-936e-a47bcb0333ed,有限会社その95207,7de133fb-c209-4f34-8723-6a0caed3e7fe,5ca641f4-ae2e-4be1-bc4b-ee960580e265,2021/11/01,そのずし　山中店,そのずし山中店,有限会社その
マルエー山中店　そうざい部門,石川県,加賀市山中温泉本町1丁目ト29-1,加賀市山中温泉本町１丁目ト２９－１,,076-272-0152,飲食店営業,,株式会社マルエー,山本一郎,白山市鶴来本町１丁目ワ１１１番地,白山市鶴来本町１丁目ワ１１１番地,,076-272-0152,2021.11.1,2021.11.1,新規,第62215114号,,217,マルエー山中店　そうざい部門,0761,076-272-0152,,,,石川県　加賀市山中温泉本町１丁目ト２９－１,石川県加賀市山中温泉本町１丁目ト２９－１,,96029,17,17206,山中温泉本町１,,2021/11/01,2021/11/01,,,株式会社マルエー,山本一郎,076-272-0152,白山市鶴来本町１丁目ワ１１１番地,石川県白山市鶴来本町１丁目ワ１１１番地,,96344,石川県,白山市,鶴来本町１,第62215114号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗南加賀,M,76,,,マルエ山中店そうざい部門076-272-01529602917206,9fe7a934-9f44-49b5-b23e-5acc1e931a55,株式会社マルエー96344,bddfe9d8-62b5-4249-8f71-51f5dd294dae,cfcaa68a-395b-4419-bc72-6899f73c9479,2021/11/01,マルエー山中店　そうざい部門,マルエ山中店そうざい部門,株式会社マルエー
