https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,申請区分,,,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,申請者2,申請者3,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,,,業種,その他,,確認番号,,,開業年月日,申請年月日,,許可年月日,許可期間終了日,,,,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
法人個人,申請区分,施設番号,営業所種類,名称（屋号）,営業所所在地,,,営業所電話番号,申請者氏名,申請者法人名,申請者代表者名,申請者住所（法人）,,,申請者電話番号（法人）,申請者住所（個人）,申請者電話番号（個人）,業種名,許可条件,シール番号,許可番号,移動販売,自販機,初回許可年月日,申請年月日,判定年月日,許可年月日,満了年月日,廃業年月日,休業開始年月日,休業終了年月日,H30法改正,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
法人,継続,1762,,株式会社　ブルボン村上工場,村上市仲間町３００,村上市仲間町３００,,52-7334,,株式会社　ブルボン,代表取締役　吉田　康,柏崎市駅前１丁目３番１号,柏崎市駅前１丁目３番１号,,23-2333,,,菓子製造業,,,1 - 77,0,0,1991年09月24日,2019年08月23日,2019年09月20日,2019年09月24日,2024年10月31日,,,,,,村上保健所,株式会社　ブルボン村上工場,0254,0254-52-7334,,,,村上市仲間町３００,新潟県村上市仲間町３００,,87454,新潟県,村上市,仲間町,2019/08/23,1991/09/24,2019/09/24,,2024/10/31,株式会社　ブルボン, 代表取締役　吉田　康,0257-23-2333,柏崎市駅前１丁目３番１号,新潟県柏崎市駅前１丁目３番１号,,86279,新潟県,柏崎市,駅前１,1 - 77,継続,菓子製造業,,,,161_新潟県_村上保健所_食品衛生()_2022年01月まで全件_末日,製造業,食料品製造業,,,,,,,,,株式会社ブルボン村上工場,株式会社ブルボン村上工場,株式会社ブルボン
法人,新規,10945,,イヨボヤ会館（鮭塩引き道場）,村上市塩町１３－３４,村上市塩町１３－３４,,52-7117,,公益財団法人　イヨボヤの里開発公社,理事長　髙橋　邦芳,村上市岩船３２７０番地,村上市岩船３２７０番地,,52-0201,,,⑯ 水産製品製造業,,,1 - 138,0,0,2021年10月01日,2021年09月14日,2021年09月30日,2021年10月01日,2029年10月31日,,,,,,村上保健所,イヨボヤ会館（鮭塩引き道場）,0254,0254-52-7117,,,,村上市塩町１３－３４,新潟県村上市塩町１３－３４,,87510,新潟県,村上市,塩町,2021/09/14,2021/10/01,2021/10/01,,2029/10/31,公益財団法人　イヨボヤの里開発公社, 理事長　髙橋　邦芳,0254-52-0201,村上市岩船３２７０番地,新潟県村上市岩船３２７０番地,,87539,新潟県,村上市,岩船,1 - 138,新規,水産製品製造業,,,,161_新潟県_村上保健所_食品衛生()_2022年01月まで全件_末日,製造業,食料品製造業,水産食料品製造業,,,,,,,,イヨボヤ会館（鮭塩引き道場）,イヨボヤ会館鮭塩引き道場,公益財団法人イヨボヤの里開発公社
法人,継続,10945,,イヨボヤ会館（鮭塩引き道場）,村上市塩町１３－３４,村上市塩町１３－３４,,52-7117,,公益財団法人　イヨボヤの里開発公社,理事長　髙橋　邦芳,村上市岩船３２７０番地,村上市岩船３２７０番地,,52-0201,,,魚介類加工業,,,2 - 50,0,0,2006年10月20日,2016年09月16日,2016年09月30日,2016年10月03日,2021年10月31日,,,,2021年09月30日,,村上保健所,イヨボヤ会館（鮭塩引き道場）,0254,0254-52-7117,,,,村上市塩町１３－３４,新潟県村上市塩町１３－３４,,87510,新潟県,村上市,塩町,2016/09/16,2006/10/20,2016/10/03,,2021/10/31,公益財団法人　イヨボヤの里開発公社, 理事長　髙橋　邦芳,0254-52-0201,村上市岩船３２７０番地,新潟県村上市岩船３２７０番地,,87539,新潟県,村上市,岩船,2 - 50,継続,魚介類加工業,,,,161_新潟県_村上保健所_食品衛生()_2022年01月まで全件_末日,製造業,食料品製造業,水産食料品製造業,,,,,,,,イヨボヤ会館（鮭塩引き道場）,イヨボヤ会館鮭塩引き道場,公益財団法人イヨボヤの里開発公社
法人,新規,11577,,JAふれあい市　よれっしゃ・こいっちゃ,村上市田端町８番２８号,村上市田端町８番２８号,,75-5550,,にいがた岩船農業協同組合,代表理事組合長　髙橋　豊明,村上市田端町８番５号,村上市田端町８番５号,,52-0511,,,⑬ その他の食料・飲料販売業,,,,0,0,,2021年11月11日,,,,,,,,,村上保健所,JAふれあい市　よれっしゃ・こいっちゃ,0254,0254-75-5550,,,,村上市田端町８番２８号,新潟県村上市田端町８番２８号,,87512,新潟県,村上市,田端町,2021/11/11,,,,,にいがた岩船農業協同組合, 代表理事組合長　髙橋　豊明,0254-52-0511,村上市田端町８番５号,新潟県村上市田端町８番５号,,87512,新潟県,村上市,田端町,,新規,食料品販売業,,,,161_新潟県_村上保健所_食品衛生()_2022年01月まで全件_末日,農業，林業,飲食料品小売業,各種食料品小売業,各種食料品小売業,,,,,,,ＪＡふれあい市　よれっしゃ・こいっちゃ,ＪＡふれあい市よれっしゃこいっちゃ,にいがた岩船農業協同組合
法人,継続,11577,,JAふれあい市　よれっしゃ・こいっちゃ,村上市田端町８番２８号,村上市田端町８番２８号,,75-5550,,にいがた岩船農業協同組合,代表理事組合長　髙橋　豊明,村上市田端町８番５号,村上市田端町８番５号,,52-0511,,,飲食店営業（食品調理）,使い捨て容器の使用に限る,,1 - 147,0,0,2014年05月09日,2019年09月18日,2019年10月04日,2019年10月07日,2024年10月31日,,,,,,村上保健所,JAふれあい市　よれっしゃ・こいっちゃ,0254,0254-75-5550,,,,村上市田端町８番２８号,新潟県村上市田端町８番２８号,,87512,新潟県,村上市,田端町,2019/09/18,2014/05/09,2019/10/07,,2024/10/31,にいがた岩船農業協同組合, 代表理事組合長　髙橋　豊明,0254-52-0511,村上市田端町８番５号,新潟県村上市田端町８番５号,,87512,新潟県,村上市,田端町,1 - 147,継続,飲食店営業,（食品調理）,使い捨て容器の使用に限る,,161_新潟県_村上保健所_食品衛生()_2022年01月まで全件_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＪＡふれあい市　よれっしゃ・こいっちゃ,ＪＡふれあい市よれっしゃこいっちゃ,にいがた岩船農業協同組合
法人,継続,11577,,JAふれあい市　よれっしゃ・こいっちゃ,村上市田端町８番２８号,村上市田端町８番２８号,,75-5550,,にいがた岩船農業協同組合,代表理事組合長　髙橋　豊明,村上市田端町８番５号,村上市田端町８番５号,,52-0511,,,魚介類販売業,包装魚介類の販売に限る,,1 - 147,0,0,2014年05月09日,2019年09月18日,2019年10月04日,2019年10月07日,2024年10月31日,,,,,,村上保健所,JAふれあい市　よれっしゃ・こいっちゃ,0254,0254-75-5550,,,,村上市田端町８番２８号,新潟県村上市田端町８番２８号,,87512,新潟県,村上市,田端町,2019/09/18,2014/05/09,2019/10/07,,2024/10/31,にいがた岩船農業協同組合, 代表理事組合長　髙橋　豊明,0254-52-0511,村上市田端町８番５号,新潟県村上市田端町８番５号,,87512,新潟県,村上市,田端町,1 - 147,継続,魚介類販売業,,包装魚介類の販売に限る,,161_新潟県_村上保健所_食品衛生()_2022年01月まで全件_末日,卸売業，小売業,飲食料品小売業,,,,,,,,,ＪＡふれあい市　よれっしゃ・こいっちゃ,ＪＡふれあい市よれっしゃこいっちゃ,にいがた岩船農業協同組合
法人,継続,11577,,JAふれあい市　よれっしゃ・こいっちゃ,村上市田端町８番２８号,村上市田端町８番２８号,,75-5550,,にいがた岩船農業協同組合,代表理事組合長　髙橋　豊明,村上市田端町８番５号,村上市田端町８番５号,,52-0511,,,食肉販売業,包装食肉の販売に限る,,1 - 147,0,0,2014年05月09日,2019年09月18日,2019年10月04日,2019年10月07日,2024年10月31日,,,,,,村上保健所,JAふれあい市　よれっしゃ・こいっちゃ,0254,0254-75-5550,,,,村上市田端町８番２８号,新潟県村上市田端町８番２８号,,87512,新潟県,村上市,田端町,2019/09/18,2014/05/09,2019/10/07,,2024/10/31,にいがた岩船農業協同組合, 代表理事組合長　髙橋　豊明,0254-52-0511,村上市田端町８番５号,新潟県村上市田端町８番５号,,87512,新潟県,村上市,田端町,1 - 147,継続,食肉販売業,,包装食肉の販売に限る,,161_新潟県_村上保健所_食品衛生()_2022年01月まで全件_末日,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,ＪＡふれあい市　よれっしゃ・こいっちゃ,ＪＡふれあい市よれっしゃこいっちゃ,にいがた岩船農業協同組合
法人,継続,11577,,JAふれあい市　よれっしゃ・こいっちゃ,村上市田端町８番２８号,村上市田端町８番２８号,,75-5550,,にいがた岩船農業協同組合,代表理事組合長　髙橋　豊明,村上市田端町８番５号,村上市田端町８番５号,,52-0511,,,豆腐販売業,,,2 - 36,0,0,2014年05月09日,2019年09月18日,2019年10月04日,2019年10月07日,2024年10月31日,,,,,,村上保健所,JAふれあい市　よれっしゃ・こいっちゃ,0254,0254-75-5550,,,,村上市田端町８番２８号,新潟県村上市田端町８番２８号,,87512,新潟県,村上市,田端町,2019/09/18,2014/05/09,2019/10/07,,2024/10/31,にいがた岩船農業協同組合, 代表理事組合長　髙橋　豊明,0254-52-0511,村上市田端町８番５号,新潟県村上市田端町８番５号,,87512,新潟県,村上市,田端町,2 - 36,継続,豆腐製造業,,,,161_新潟県_村上保健所_食品衛生()_2022年01月まで全件_末日,製造業,食料品製造業,,,,,,,,,ＪＡふれあい市　よれっしゃ・こいっちゃ,ＪＡふれあい市よれっしゃこいっちゃ,にいがた岩船農業協同組合
法人,継続,11577,,JAふれあい市　よれっしゃ・こいっちゃ,村上市田端町８番２８号,村上市田端町８番２８号,,75-5550,,にいがた岩船農業協同組合,代表理事組合長　髙橋　豊明,村上市田端町８番５号,村上市田端町８番５号,,52-0511,,,乳類販売業,,,1 - 147,0,0,2014年05月09日,2019年09月18日,2019年10月04日,2019年10月07日,2024年10月31日,,,,,,村上保健所,JAふれあい市　よれっしゃ・こいっちゃ,0254,0254-75-5550,,,,村上市田端町８番２８号,新潟県村上市田端町８番２８号,,87512,新潟県,村上市,田端町,2019/09/18,2014/05/09,2019/10/07,,2024/10/31,にいがた岩船農業協同組合, 代表理事組合長　髙橋　豊明,0254-52-0511,村上市田端町８番５号,新潟県村上市田端町８番５号,,87512,新潟県,村上市,田端町,1 - 147,継続,乳類販売業,,,,161_新潟県_村上保健所_食品衛生()_2022年01月まで全件_末日,卸売業，小売業,飲食料品小売業,,,,,,,,,ＪＡふれあい市　よれっしゃ・こいっちゃ,ＪＡふれあい市よれっしゃこいっちゃ,にいがた岩船農業協同組合
