https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,申請区分,,,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,申請者2,,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,,,業種,その他,,確認番号,,,開業年月日,申請年月日,,許可年月日,許可期間終了日,,,,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
法人個人,申請区分,施設番号,営業所種類,名称（屋号）,営業所所在地,,,営業所電話番号,申請者氏名,申請者法人名,申請者代表者名,申請者住所（法人）,,,申請者電話番号（法人）,申請者住所（個人）,申請者電話番号（個人）,業種名,許可条件,シール番号,許可番号,移動販売,自販機,初回許可年月日,申請年月日,判定年月日,許可年月日,満了年月日,廃業年月日,休業開始年月日,休業終了年月日,H30法改正,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
個人,新規,11365,,おおかやば山菜園,糸魚川市大字溝尾おおかやば,糸魚川市大字溝尾おおかやば,,090-2668-7068,おおかやば山菜園　組合長　室橋　美代子,,,,,,,,,㉔ その他の食料品製造・加工業,,,3     ‐192 ,0,0,,令和 3年 12月 21日,,,,,,,,,160,おおかやば山菜園,025,090-2668-7068,,,,糸魚川市大字溝尾おおかやば,新潟県糸魚川市溝尾おおかやば,,88105,15,15216,溝尾,2021/12/21,,,,,おおかやば山菜園,室橋　美代子 ,,糸魚川市大字溝尾おおかやば,新潟県糸魚川市溝尾おおかやば,,88105,新潟県,糸魚川市,溝尾,3     ‐192 ,新規,その他の食料品製造・加工業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,E,9,99,,おおかやば山菜園090-2668-70688810515216,4157648b-545a-43e5-a0bb-9af717e8dadd,おおかやば山菜園88105,ee3dd103-c718-4ba2-8298-15fc3031cb80,a98c0feb-404a-4e94-ac97-73da7ac16744,2021/12/21,おおかやば山菜園,おおかやば山菜園,おおかやば山菜園
個人,新規,11367,,漁師の寿司屋　楽々,糸魚川市大町１丁目１番２５号,糸魚川市大町１丁目１番２５号,,025-553-2737,伊井　良太,,,,,,,,,① 飲食店営業,,,1 - 115,0,0,2021年12月24日,2021年12月21日,2021年12月23日,2021年12月24日,2027年07月31日,,,,,,160,漁師の寿司屋　楽々,025,025-553-2737,,,,糸魚川市大町１丁目１番２５号,新潟県糸魚川市大町１丁目１番２５号,,87946,15,15216,大町１,2021/12/21,2021/12/24,2021/12/24,,2027/07/31,,伊井　良太 ,,,,,,,,,1 - 115,新規,飲食店営業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,M,76,,,漁師の寿司屋楽025-553-27378794615216,2219d6f7-ec04-46f1-bad6-507883898c92,,personal,49cc7ad8-1d60-453f-89e9-13914d03fc32,2021/12/24,漁師の寿司屋　楽々,漁師の寿司屋楽,
個人,新規,11366,,漁場　傳兵,糸魚川市南押上２丁目１番２２号,糸魚川市南押上２丁目１番２２号,,025-553-2661,伊井　良太,,,,,,,,,① 飲食店営業,,,1 - 114,0,0,2021年12月24日,2021年12月21日,2021年12月23日,2021年12月24日,2027年03月31日,,,,,,160,漁場　傳兵,025,025-553-2661,,,,糸魚川市南押上２丁目１番２２号,新潟県糸魚川市南押上２丁目１番２２号,,88039,15,15216,南押上２,2021/12/21,2021/12/24,2021/12/24,,2027/03/31,,伊井　良太 ,,,,,,,,,1 - 114,新規,飲食店営業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,M,76,,,漁場傳兵025-553-26618803915216,91e842af-6c4b-40a3-a822-ec9889a26bdf,,personal,fb8448cd-71eb-44e9-9582-536359d84c3e,2021/12/24,漁場　傳兵,漁場傳兵,
個人,新規,11100,,漁師の寿司屋　楽々,糸魚川市大町１丁目１－２５,糸魚川市大町１丁目１－２５,,025-553-2737,伊井　傳次,,,,,,,,,飲食店営業（一般食堂）,,,1 - 80,0,0,2017年10月27日,2017年10月23日,2017年10月26日,2017年10月27日,2023年07月31日,,,,2021年12月22日,,160,漁師の寿司屋　楽々,025,025-553-2737,,,,糸魚川市大町１丁目１－２５,新潟県糸魚川市大町１丁目１－２５,,87946,15,15216,大町１,2017/10/23,2017/10/27,2017/10/27,,2023/07/31,,伊井　傳次 ,,,,,,,,,1 - 80,新規,飲食店営業,（一般食堂）,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,M,76,,,漁師の寿司屋楽025-553-27378794615216,2219d6f7-ec04-46f1-bad6-507883898c92,,personal,3cfcfdf6-28fa-481a-9575-0178d9b61771,2017/10/27,漁師の寿司屋　楽々,漁師の寿司屋楽,
個人,新規,11075,,ねちＫＯＹＡ,糸魚川市大字上野字柵沢５２６,糸魚川市大字上野字柵沢５２６,,090-4065-9540,伊井妙子,,,,,,,,,⑥ 弁当販売業,,笹ずし、おこわ,3     ‐57  ,0,0,,令和 3年 9月 22日,,,,,令和 3年 12月 1日,令和 4年 4月 10日,,,160,ねちＫＯＹＡ,025,090-4065-9540,,,,糸魚川市大字上野字柵沢５２６,新潟県糸魚川市上野字柵沢５２６,,87941,15,15216,上野,2021/09/22,,,,,,伊井妙子 ,,,,,,,,,3     ‐57  ,新規,弁当販売業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,I,58,581,5811,ねちＫＯＹＡ090-4065-95408794115216,6f551042-6f7a-4c36-a947-bdaa1da38064,,personal,7396585d-4f45-406c-b368-f3a2bd4613cb,2021/09/22,ねちＫＯＹＡ,ねちＫＯＹＡ,
個人,新規,11090,,来音,糸魚川市大字東中５１２１番地１,糸魚川市大字東中５１２１番地１,,090-40659540,伊井妙子,,,,,,,,,飲食店営業（弁当屋）,,,1 - 61,0,0,2017年08月04日,2017年07月27日,2017年08月03日,2017年08月04日,2022年11月30日,,,,,,160,来音,025,090-4065-9540,,,,糸魚川市大字東中５１２１番地１,新潟県糸魚川市東中５１２１番地１,,88012,15,15216,東中,2017/07/27,2017/08/04,2017/08/04,,2022/11/30,,伊井妙子 ,,,,,,,,,1 - 61,新規,飲食店営業,弁当屋,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,M,76,,,来音090-4065-95408801215216,38cc5075-53da-405c-8b60-eede20cd47a3,,personal,7d3326cb-859a-47da-a351-11fe72704e41,2017/08/04,来音,来音,
個人,新規,11090,,来音,糸魚川市大字東中５１２１番地１,糸魚川市大字東中５１２１番地１,,090-40659540,伊井妙子,,,,,,,,,惣菜製造業,,,1 - 61,0,0,2017年08月04日,2017年07月27日,2017年08月03日,2017年08月04日,2022年11月30日,,,,,,160,来音,025,090-4065-9540,,,,糸魚川市大字東中５１２１番地１,新潟県糸魚川市東中５１２１番地１,,88012,15,15216,東中,2017/07/27,2017/08/04,2017/08/04,,2022/11/30,,伊井妙子 ,,,,,,,,,1 - 61,新規,そうざい製造業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,E,9,,,来音090-4065-95408801215216,38cc5075-53da-405c-8b60-eede20cd47a3,,personal,77f33220-0880-4284-be9f-dd6c37f99756,2017/08/04,来音,来音,
個人,新規,11075,,ねちＫＯＹＡ,糸魚川市大字上野字柵沢５２６,糸魚川市大字上野字柵沢５２６,,090-4065-9540,伊井妙子,,,,,,,,,弁当類又は惣菜類販売業,,,2 - 2,0,0,2017年04月28日,2017年04月25日,2017年04月27日,2017年04月28日,2022年11月30日,,,,2021年09月21日,,160,ねちＫＯＹＡ,025,090-4065-9540,,,,糸魚川市大字上野字柵沢５２６,新潟県糸魚川市上野字柵沢５２６,,87941,15,15216,上野,2017/04/25,2017/04/28,2017/04/28,,2022/11/30,,伊井妙子 ,,,,,,,,,2 - 2,新規,その他,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,T,,,,ねちＫＯＹＡ090-4065-95408794115216,6f551042-6f7a-4c36-a947-bdaa1da38064,,personal,96194d34-7e6c-4b88-82ae-dabe6311570b,2017/04/28,ねちＫＯＹＡ,ねちＫＯＹＡ,
個人,継続,10449,スナック,Toshi（トシ）,糸魚川市本町２－６,糸魚川市本町２－６,,025-553-2825,伊井澤　トシ子,,,,,,,,,飲食店営業（その他）,,,1 - 43,0,0,2005年05月26日,2020年06月18日,2020年07月14日,2020年07月15日,2025年07月31日,,,,,,160,Toshi（トシ）,025,025-553-2825,,,,糸魚川市本町２－６,新潟県糸魚川市本町２－６,,88052,15,15216,本町,2020/06/18,2005/05/26,2020/07/15,,2025/07/31,,伊井澤　トシ子 ,,,,,,,,,1 - 43,継続,飲食店営業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,M,76,,,Ｔｏｓｈｉトシ025-553-28258805215216,a1e4f021-e381-41bc-9ec8-06fc770e25b0,,personal,d4d7301f-5433-410b-bcd4-64d0a5817916,2020/07/15,Ｔｏｓｈｉ（トシ）,Ｔｏｓｈｉトシ,
