https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,申請年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業所名称,,営業所所在地,,,営業所電話番号,業種,営業者氏名（法人にあっては法人名）,営業者電話番号（法人のみ）,初回許可日,届出年月日,許可年月日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
一軒め酒場　京急川崎店,神奈川県川崎市,川崎区砂子１丁目１番地１２ ,川崎区砂子１丁目１番地１２,,211-2010,①飲食店（大衆酒場）,株式会社おくう,045-382-9137,2022/1/19,,2022/1/19,2110681,,142,一軒め酒場　京急川崎店,044,044-211-2010,,,,神奈川県川崎市　川崎区砂子１丁目１番地１２,神奈川県川崎市川崎区砂子１丁目１番地１２,,79910,14,14131,砂子１,,2022/01/19,2022/01/19,,,株式会社おくう,,045-382-9137,,,,,,,,2110681,,飲食店営業,（大衆酒場）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,一軒め酒場京急川崎店044-211-20107991014131,1d65d110-d82f-4619-960b-cd80c3f2a673,株式会社おくう,07770d7e-ac05-49e8-b58b-617a3e7d86ea,d09d7bcd-1a22-4d27-9112-3c5b43a02008,2022/01/19,一軒め酒場　京急川崎店,一軒め酒場京急川崎店,株式会社おくう
川崎おさやん　京急本店,神奈川県川崎市,川崎区砂子１丁目８－８万年ビル１Ｆ ,川崎区砂子１丁目８－８,万年ビル１Ｆ ,246-5058,①飲食店（焼肉店）,湾岸フーズ株式会社,200-7683,2022/1/24,,2022/1/24,2110668,,142,川崎おさやん　京急本店,044,044-246-5058,,,,神奈川県川崎市　川崎区砂子１丁目８－８,神奈川県川崎市川崎区砂子１丁目８－８,万年ビル１Ｆ ,79910,14,14131,砂子１,,2022/01/24,2022/01/24,,,湾岸フーズ株式会社,,044-200-7683,,,,,,,,2110668,,飲食店営業,（焼肉店）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,川崎おさやん京急本店044-246-50587991014131,cd39c267-9f71-42ba-ac17-58d2d8ea5c15,湾岸フーズ株式会社,6b8e5f38-b239-42ca-9f7d-1ff6bfe8851e,5fc73bc4-f4c2-4922-81be-1ce34c469fa0,2022/01/24,川崎おさやん　京急本店,川崎おさやん京急本店,湾岸フーズ株式会社
Ｃｌａｉｒｅ,神奈川県川崎市,川崎区砂子２丁目１番５号クレール川崎地下　１階 ,川崎区砂子２丁目１番５号,クレール川崎地下１階 ,223-6115,①飲食店（バー）,株式会社ジュピター,03-5225-3358,2022/1/27,,2022/1/27,2110716,,142,Ｃｌａｉｒｅ,044,044-223-6115,,,,神奈川県川崎市　川崎区砂子２丁目１番５号,神奈川県川崎市川崎区砂子２丁目１番５号,クレール川崎地下１階 ,79911,14,14131,砂子２,,2022/01/27,2022/01/27,,,株式会社ジュピター,,03-5225-3358,,,,,,,,2110716,,飲食店営業,（バー）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,Ｃｌａｉｒｅ044-223-61157991114131,48b60a07-433c-4189-be53-2bbab1f1be71,株式会社ジュピター,afd4eebf-974b-41c7-8e73-9d3c30996601,762936e1-a40d-4eff-ad66-ef9e5d591320,2022/01/27,Ｃｌａｉｒｅ,Ｃｌａｉｒｅ,株式会社ジュピター
ＣＬＵＢ　ＭＵＧＥＮ,神奈川県川崎市,川崎区砂子２丁目５番地２１ 第３９東京ビル４階,川崎区砂子２丁目５番地２１,第３９東京ビル４階,,①飲食店（バー）,屋我　俊太,,2022/1/14,,2022/1/14,2110632,,142,ＣＬＵＢ　ＭＵＧＥＮ,044,,,,,神奈川県川崎市　川崎区砂子２丁目５番地２１,神奈川県川崎市川崎区砂子２丁目５番地２１,第３９東京ビル４階,79911,14,14131,砂子２,,2022/01/14,2022/01/14,,,,屋我　俊太,,,,,,,,,2110632,,飲食店営業,（バー）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,ＣＬＵＢＭＵＧＥＮ7991114131,f0b54015-2658-44fb-a236-20e6ef8978b4,,personal,59493619-4754-4b63-8508-da6a42c8dc8b,2022/01/14,ＣＬＵＢ　ＭＵＧＥＮ,ＣＬＵＢＭＵＧＥＮ,
３Ｄ　熊猫　ＫＴＶ,神奈川県川崎市,川崎区砂子２丁目７番地５ 新和ビル１Ｆ、３Ｆ、４Ｆ,川崎区砂子２丁目７番地５,新和ビル１Ｆ、３Ｆ、４Ｆ,221-1887,①飲食店（簡易な飲食店）,株式会社誠信創業,,2022/1/17,,2022/1/17,2110661,,142,３Ｄ　熊猫　ＫＴＶ,044,044-221-1887,,,,神奈川県川崎市　川崎区砂子２丁目７番地５,神奈川県川崎市川崎区砂子２丁目７番地５,新和ビル１Ｆ、３Ｆ、４Ｆ,79911,14,14131,砂子２,,2022/01/17,2022/01/17,,,株式会社誠信創業,,,,,,,,,,2110661,,飲食店営業,（簡易な飲食店）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,３Ｄ熊猫ＫＴＶ044-221-18877991114131,a4716226-97e3-4db0-83ba-fe0a1a9d0b40,株式会社誠信創業,6a995793-0eb7-4936-b78a-4dbb81fd4c12,a0a84c1e-abc7-4979-8ad6-146555fe2331,2022/01/17,３Ｄ　熊猫　ＫＴＶ,３Ｄ熊猫ＫＴＶ,株式会社誠信創業
南方酒場,神奈川県川崎市,川崎区砂子２丁目７番地５ 新和ビル７Ｆ,川崎区砂子２丁目７番地５,新和ビル７Ｆ,,①飲食店（中華料理店）,株式会社誠信創業,387-8255,2022/1/25,,2022/1/25,2110690,,142,南方酒場,044,,,,,神奈川県川崎市　川崎区砂子２丁目７番地５,神奈川県川崎市川崎区砂子２丁目７番地５,新和ビル７Ｆ,79911,14,14131,砂子２,,2022/01/25,2022/01/25,,,株式会社誠信創業,,044-387-8255,,,,,,,,2110690,,飲食店営業,（中華料理店）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,南方酒場7991114131,78e22c4e-fef7-4301-8978-1e5ef236243c,株式会社誠信創業,6a995793-0eb7-4936-b78a-4dbb81fd4c12,1bba99d4-9fe9-4f82-bf09-eb35f89c6643,2022/01/25,南方酒場,南方酒場,株式会社誠信創業
焼肉　山水苑　川崎駅前店,神奈川県川崎市,川崎区駅前本町８番地 川崎ダイス６階　６０９区画,川崎区駅前本町８番地,川崎ダイス６階 ６０９区画,,①飲食店（焼肉店）,有限会社サンエイ,355-2929,2022/1/27,,2022/1/27,2110601,,142,焼肉　山水苑　川崎駅前店,044,,,,,神奈川県川崎市　川崎区駅前本町８番地,神奈川県川崎市川崎区駅前本町８番地,川崎ダイス６階 ６０９区画,79916,14,14131,駅前本町,,2022/01/27,2022/01/27,,,有限会社サンエイ,,044-355-2929,,,,,,,,2110601,,飲食店営業,（焼肉店）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,焼肉山水苑川崎駅前店7991614131,ca9cab4e-8696-4f6b-a746-47febfa683cb,有限会社サンエイ,77fa8b9d-8c8a-44cb-bc4e-8c1b120254f2,9e19a52c-c447-4dd3-82b1-cd7afee9d0cb,2022/01/27,焼肉　山水苑　川崎駅前店,焼肉山水苑川崎駅前店,有限会社サンエイ
ＢＬＵＥ　ＭＩＳＴ,神奈川県川崎市,川崎区駅前本町１４－１ ,川崎区駅前本町１４－１ ,,245-0465,①飲食店（バー）,有限会社ｂｌｕｅ　ｍｉｓｔ,245-0465,2022/1/28,,2022/1/28,2110667,,142,ＢＬＵＥ　ＭＩＳＴ,044,044-245-0465,,,,神奈川県川崎市　川崎区駅前本町１４－１ ,神奈川県川崎市川崎区駅前本町１４－１,,79916,14,14131,駅前本町,,2022/01/28,2022/01/28,,,有限会社ｂｌｕｅ　ｍｉｓｔ,,044-245-0465,,,,,,,,2110667,,飲食店営業,（バー）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,ＢＬＵＥＭＩＳＴ044-245-04657991614131,e0c91e34-9287-4fe8-bbb5-3d003248fe04,有限会社ｂｌｕｅ　ｍｉｓｔ,ba38f5c0-f980-4c91-a446-797fdf418ded,5d4b3172-c100-48d5-a577-100c1e691408,2022/01/28,ＢＬＵＥ　ＭＩＳＴ,ＢＬＵＥＭＩＳＴ,有限会社ｂｌｕｅ　ｍｉｓｔ
太陽ホエール　川崎駅前店,神奈川県川崎市,川崎区駅前本町１５番地５ 十五番館ビル１Ｆ,川崎区駅前本町１５番地,５ 十五番館ビル１Ｆ,230-5030,①飲食店（大衆酒場）,株式会社心,045-440-1800,2022/1/20,,2022/1/20,2110683,,142,太陽ホエール　川崎駅前店,044,044-230-5030,,,,神奈川県川崎市　川崎区駅前本町１５番地,神奈川県川崎市川崎区駅前本町１５番地,５ 十五番館ビル１Ｆ,79916,14,14131,駅前本町,,2022/01/20,2022/01/20,,,株式会社心,,045-440-1800,,,,,,,,2110683,,飲食店営業,（大衆酒場）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,太陽ホエル川崎駅前店044-230-50307991614131,84077a14-472f-4c19-a61c-baab308475d4,株式会社心,6a8aec70-cb1b-45cb-a295-eb826579fbf7,5c224d9b-763a-49e2-9e73-3816aae3708a,2022/01/20,太陽ホエール　川崎駅前店,太陽ホエル川崎駅前店,株式会社心
とんかつ　ロク,神奈川県川崎市,川崎区駅前本町２０番地１ 本町共同ビルＢ　１Ｆ,川崎区駅前本町２０番地１,本町共同ビルＢ １Ｆ,201-6758,①飲食店（一般食堂）,小出　順一,,2022/1/27,,2022/1/27,2110649,,142,とんかつ　ロク,044,044-201-6758,,,,神奈川県川崎市　川崎区駅前本町２０番地１,神奈川県川崎市川崎区駅前本町２０番地１,本町共同ビルＢ １Ｆ,79916,14,14131,駅前本町,,2022/01/27,2022/01/27,,,,小出　順一,,,,,,,,,2110649,,飲食店営業,（一般食堂）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,とんかつロク044-201-67587991614131,8f1450e0-9d2d-4ff3-8f7e-9a7cdb62b016,,personal,93b912c0-1828-4e0d-9858-8ba40173466c,2022/01/27,とんかつ　ロク,とんかつロク,
