https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,業種,申請者1,,申請者2,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
店舗名（屋号）,,施設所在地,,,施設電話番号,業種,氏名又は法人名,肩書,代表者氏名,連絡先,初回許可年月日,最新許可年月日,申請の別,施設番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
Shisha  Caffe  &  Bar  Panakeia ,神奈川県,鎌倉市雪ノ下１－７－６グリーンビルⅡ　２Ｆ,鎌倉市雪ノ下１－７－６,グリーンビルⅡ ２Ｆ,              ,飲食店営業,小川　龍祥,,,              ,R03.12.09,R03.12.09,新規施設,第2021-001-0467号,,148,Shisha  Caffe  &  Bar  Panakeia ,0467,,,,,神奈川県　鎌倉市雪ノ下１－７－６,神奈川県鎌倉市雪ノ下１－７－６,グリーンビルⅡ ２Ｆ,81599,14,14204,雪ノ下１,,2021/12/09,2021/12/09,,,,小川　龍祥 ,,,,,,,,,第2021-001-0467号,,飲食店営業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,ＳｈｉｓｈａＣａｆｆｅＢａｒＰａｎａｋｅｉａ8159914204,c022a83a-fb9f-4109-aca3-aef05ce61b85,,personal,c50767b9-959b-480a-b516-3f64e3a4246c,2021/12/09,Ｓｈｉｓｈａ　Ｃａｆｆｅ　＆　Ｂａｒ　Ｐａｎａｋｅｉａ　,ＳｈｉｓｈａＣａｆｆｅＢａｒＰａｎａｋｅｉａ,
ケンズカフェ東京　鎌倉店 ,神奈川県,鎌倉市小町２－１２－２７鶴ヶ岡会館本館１Ｆ,鎌倉市小町２－１２－２７,鶴ヶ岡会館本館１Ｆ,              ,飲食店営業,株式会社ＯＬＤ　ＭＡＲＫＥＴ,代表取締役,市古　嗣斗,0564-77-7170  ,R03.12.13,R03.12.13,新規施設,第2021-001-0440号,,148,ケンズカフェ東京　鎌倉店 ,0467,,,,,神奈川県　鎌倉市小町２－１２－２７,神奈川県鎌倉市小町２－１２－２７,鶴ヶ岡会館本館１Ｆ,81515,14,14204,小町２,,2021/12/13,2021/12/13,,,株式会社ＯＬＤ　ＭＡＲＫＥＴ,市古　嗣斗,0564-77-7170  ,,,,,,,,第2021-001-0440号,,飲食店営業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,ケンズカフェ東京鎌倉店8151514204,2b2e8406-2fef-44a1-95dd-a77640fd724c,株式会社ＯＬＤ　ＭＡＲＫＥＴ,eb55f437-2e10-4a78-9299-775b50fd6d25,d245dcf7-9224-4194-a3a1-5649fadc3e0a,2021/12/13,ケンズカフェ東京　鎌倉店　,ケンズカフェ東京鎌倉店,株式会社ＯＬＤ　ＭＡＲＫＥＴ
鎌倉倶楽部　茶寮 ,神奈川県,鎌倉市津１０４０－５０,鎌倉市津１０４０－５０,,0467-32-1000  ,菓子製造業,有限会社鎌倉倶楽部,取締役,齊藤　亜紀,0467-22-7700  ,R03.12.20,R03.12.20,新規施設,第2021-003-0089号,,148,鎌倉倶楽部　茶寮 ,0467,0467-32-1000,,,,神奈川県　鎌倉市津１０４０－５０,神奈川県鎌倉市津１０４０－５０,,81558,14,14204,津,,2021/12/20,2021/12/20,,,有限会社鎌倉倶楽部,齊藤　亜紀,0467-22-7700  ,,,,,,,,第2021-003-0089号,,菓子製造業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,E,9,,,鎌倉倶楽部茶寮0467-32-10008155814204,0e6c92a8-04d4-452b-b07a-374a993f48eb,有限会社鎌倉倶楽部,9b5f954b-2aa7-4f9a-a17c-5d69689d740c,9c438f8f-649b-43a7-9fc2-6676e9a9c74c,2021/12/20,鎌倉倶楽部　茶寮　,鎌倉倶楽部茶寮,有限会社鎌倉倶楽部
ゲンキョウワン ,神奈川県,鎌倉市大船１－１７－４秀和第７ビル２階,鎌倉市大船１－１７－４,秀和第７ビル２階,              ,飲食店営業,株式会社アット・アルン,代表取締役,アルンナリッサラー,              ,R03.12.28,R03.12.28,新規施設,第2021-001-0360号,,148,ゲンキョウワン ,0467,,,,,神奈川県　鎌倉市大船１－１７－４,神奈川県鎌倉市大船１－１７－４,秀和第７ビル２階,81481,14,14204,大船１,,2021/12/28,2021/12/28,,,株式会社アット・アルン,アルンナリッサラー,,,,,,,,,第2021-001-0360号,,飲食店営業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,ゲンキョウワン8148114204,34b53a1b-81df-4158-b27f-9ff89d3946da,株式会社アット・アルン,76e3272d-b256-494a-a45a-f2be1bc2e422,dc261e71-240e-40c3-8a11-b7afb13075f8,2021/12/28,ゲンキョウワン　,ゲンキョウワン,株式会社アット・アルン
Kita-Kamakura　Space　５５６,神奈川県,鎌倉市山ノ内５５６－１,鎌倉市山ノ内５５６－１,,              ,飲食店営業,山田　琢二,,,,R04.01.07,R04.01.07,新規施設,第2021-001-0505号,,148,Kita-Kamakura　Space　５５６,0467,,,,,神奈川県　鎌倉市山ノ内５５６－１,神奈川県鎌倉市山ノ内５５６－１,,81593,14,14204,山ノ内,,2022/01/07,2022/01/07,,,,山田　琢二 ,,,,,,,,,第2021-001-0505号,,飲食店営業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,ＫｉｔａＫａｍａｋｕｒａＳｐａｃｅ５５６8159314204,89518639-1cb7-41eb-9b0a-ceace9f54381,,personal,4a88e58b-d8c1-4ec7-9d2e-c743b18d4231,2022/01/07,Ｋｉｔａ－Ｋａｍａｋｕｒａ　Ｓｐａｃｅ　５５６,ＫｉｔａＫａｍａｋｕｒａＳｐａｃｅ５５６,
２３,神奈川県,鎌倉市御成町１４－６ウランブル鎌倉　店舗Ｉ,鎌倉市御成町１４－６,ウランブル鎌倉 店舗Ｉ,0467-38-7078  ,飲食店営業,深野　文彦,,,,R04.01.11,R04.01.11,新規施設,第2021-001-0506号,,148,２３,0467,0467-38-7078,,,,神奈川県　鎌倉市御成町１４－６,神奈川県鎌倉市御成町１４－６,ウランブル鎌倉 店舗Ｉ,81497,14,14204,御成町,,2022/01/11,2022/01/11,,,,深野　文彦 ,,,,,,,,,第2021-001-0506号,,飲食店営業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,２３0467-38-70788149714204,b8012f45-796f-4fd6-8386-3d2fc6782054,,personal,e5c2c16d-9219-4895-867f-5fb2c8919e3a,2022/01/11,２３,２３,
チポリーノ,神奈川県,鎌倉市山ノ内１３４３,鎌倉市山ノ内１３４３,,0467-25-1155  ,飲食店営業,小泉　秀平,,,,R04.01.12,R04.01.12,新規施設,第2021-001-0485号,,148,チポリーノ,0467,0467-25-1155,,,,神奈川県　鎌倉市山ノ内１３４３,神奈川県鎌倉市山ノ内１３４３,,81593,14,14204,山ノ内,,2022/01/12,2022/01/12,,,,小泉　秀平 ,,,,,,,,,第2021-001-0485号,,飲食店営業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,チポリノ0467-25-11558159314204,1cba0e26-99e7-47b5-b2a7-4ff2f97cca1d,,personal,416756fe-0d8d-40ad-9add-c4d2da00f740,2022/01/12,チポリーノ,チポリノ,
THE  ENTRANCE  YUIGAHAMA,神奈川県,鎌倉市由比ガ浜２－２－３７,鎌倉市由比ガ浜２－２－３７,,              ,飲食店営業,株式会社テラ,代表取締役,佐藤　渉,0467-22-6600  ,R04.01.12,R04.01.12,新規施設,第2021-001-0490号,,148,THE  ENTRANCE  YUIGAHAMA,0467,,,,,神奈川県　鎌倉市由比ガ浜２－２－３７,神奈川県鎌倉市由比ガ浜２－２－３７,,81595,14,14204,由比ガ浜２,,2022/01/12,2022/01/12,,,株式会社テラ,佐藤　渉,0467-22-6600  ,,,,,,,,第2021-001-0490号,,飲食店営業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,ＴＨＥＥＮＴＲＡＮＣＥＹＵＩＧＡＨＡＭＡ8159514204,9a9b8022-bcd2-4897-8c49-f47c5d5e90be,株式会社テラ,3f08ee76-7426-4e34-be3b-860d486d529f,07628d32-ed43-40f5-a0c0-88877bfddf92,2022/01/12,ＴＨＥ　ＥＮＴＲＡＮＣＥ　ＹＵＩＧＡＨＡＭＡ,ＴＨＥＥＮＴＲＡＮＣＥＹＵＩＧＡＨＡＭＡ,株式会社テラ
Ｂｏｕｎｄａｒｙ,神奈川県,鎌倉市材木座１－９－１４,鎌倉市材木座１－９－１４,,              ,菓子製造業,株式会社ＢＯＵＮＤＡＲＹ,代表取締役,齊藤　千重,              ,R04.01.14,R04.01.14,新規施設,第2021-003-0094号,,148,Ｂｏｕｎｄａｒｙ,0467,,,,,神奈川県　鎌倉市材木座１－９－１４,神奈川県鎌倉市材木座１－９－１４,,81525,14,14204,材木座１,,2022/01/14,2022/01/14,,,株式会社ＢＯＵＮＤＡＲＹ,齊藤　千重,,,,,,,,,第2021-003-0094号,,菓子製造業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,E,9,,,Ｂｏｕｎｄａｒｙ8152514204,2c6d7a75-40c3-4e6c-96c5-8a65c45b384e,株式会社ＢＯＵＮＤＡＲＹ,cb9d39f2-0851-402e-aea8-2101ef7a4d15,1855cf66-8b13-45e3-b27e-7723a2a0894d,2022/01/14,Ｂｏｕｎｄａｒｙ,Ｂｏｕｎｄａｒｙ,株式会社ＢＯＵＮＤＡＲＹ
リコルヌ　鎌倉店,神奈川県,鎌倉市小町２－１２－３５大路ビル２Ｆ,鎌倉市小町２－１２－３５,大路ビル２Ｆ,0467-53-9184  ,飲食店営業,Ｓｍｉｌ株式会社,代表取締役,出来　彰,,R04.01.14,R04.01.14,新規施設,第2021-001-0525号,,148,リコルヌ　鎌倉店,0467,0467-53-9184,,,,神奈川県　鎌倉市小町２－１２－３５,神奈川県鎌倉市小町２－１２－３５,大路ビル２Ｆ,81515,14,14204,小町２,,2022/01/14,2022/01/14,,,Ｓｍｉｌ株式会社,出来　彰,,,,,,,,,第2021-001-0525号,,飲食店営業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,リコルヌ鎌倉店0467-53-91848151514204,df802599-7c10-4645-8304-ef4bf3879f61,Ｓｍｉｌ株式会社,e672df85-925e-4e01-b7c3-9986967d80f9,6b3c5994-890a-4550-a9fe-9cd5212a4f5d,2022/01/14,リコルヌ　鎌倉店,リコルヌ鎌倉店,Ｓｍｉｌ株式会社
