https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,業種,,申請者1,申請者2,申請-住所1,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋　　号,,営業所所在地,,,"営業所
電話番号",業　　種,,"営業者名
(申請者氏名)","営業者名
(法人の代表者氏名)","営業者
住所(所在地)","営業者
電話番号","初回の
許可年月日","最新の
許可年月日","新規か
継続か",許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
クスリのアオキ松任布市店,石川県,白山市布市一丁目177番地1,白山市布市１丁目１７７番地１,,,飲食店営業,　,株式会社ナルックス,野口剛,白山市松本町２５１２番地,076-252-1557,2021.11.1,2021.11.1,新規,第63210289号,,218,クスリのアオキ松任布市店,076,,,,,石川県　白山市布市１丁目１７７番地１,石川県白山市布市１丁目１７７番地１,,96379,17,17210,布市１,,2021/11/01,2021/11/01,,,株式会社ナルックス,野口剛,076-252-1557,白山市松本町２５１２番地,石川県白山市松本町２５１２番地,,96433,石川県,白山市,松本町,第63210289号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(8)‗石川中央,M,76,,,クスリのアオキ松任布市店9637917210,72eaba76-4dad-4e45-8af2-a7f0c40c3247,株式会社ナルックス96433,cd00a629-db44-4890-a38c-65d1f333dec0,0ca21968-04b5-48dc-98f4-6e23f0489cf3,2021/11/01,クスリのアオキ松任布市店,クスリのアオキ松任布市店,株式会社ナルックス
クスリのアオキ松任布市店,石川県,白山市布市一丁目177番地1,白山市布市１丁目１７７番地１,,,菓子製造業,　,株式会社ナルックス,野口剛,白山市松本町２５１２番地,076-252-1557,2021.11.1,2021.11.1,新規,第63210290号,,218,クスリのアオキ松任布市店,076,,,,,石川県　白山市布市１丁目１７７番地１,石川県白山市布市１丁目１７７番地１,,96379,17,17210,布市１,,2021/11/01,2021/11/01,,,株式会社ナルックス,野口剛,076-252-1557,白山市松本町２５１２番地,石川県白山市松本町２５１２番地,,96433,石川県,白山市,松本町,第63210290号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(8)‗石川中央,E,9,,,クスリのアオキ松任布市店9637917210,72eaba76-4dad-4e45-8af2-a7f0c40c3247,株式会社ナルックス96433,cd00a629-db44-4890-a38c-65d1f333dec0,d0745530-0e8d-4606-9571-6169288c4d24,2021/11/01,クスリのアオキ松任布市店,クスリのアオキ松任布市店,株式会社ナルックス
クスリのアオキ松任布市店,石川県,白山市布市一丁目177番地1,白山市布市１丁目１７７番地１,,,そうざい製造業,　,株式会社ナルックス,野口剛,白山市松本町２５１２番地,076-252-1557,2021.11.1,2021.11.1,新規,第63210291号,,218,クスリのアオキ松任布市店,076,,,,,石川県　白山市布市１丁目１７７番地１,石川県白山市布市１丁目１７７番地１,,96379,17,17210,布市１,,2021/11/01,2021/11/01,,,株式会社ナルックス,野口剛,076-252-1557,白山市松本町２５１２番地,石川県白山市松本町２５１２番地,,96433,石川県,白山市,松本町,第63210291号,新規,そうざい製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(8)‗石川中央,E,9,,,クスリのアオキ松任布市店9637917210,72eaba76-4dad-4e45-8af2-a7f0c40c3247,株式会社ナルックス96433,cd00a629-db44-4890-a38c-65d1f333dec0,20c3c211-9bee-4eac-8b3d-598fd0420841,2021/11/01,クスリのアオキ松任布市店,クスリのアオキ松任布市店,株式会社ナルックス
クスリのアオキ松任布市店,石川県,白山市布市一丁目177番地1,白山市布市１丁目１７７番地１,,,飲食店営業,　,株式会社ナルックス,野口剛,白山市松本町２５１２番地,076-252-1557,2021.11.1,2021.11.1,新規,第63210292号,,218,クスリのアオキ松任布市店,076,,,,,石川県　白山市布市１丁目１７７番地１,石川県白山市布市１丁目１７７番地１,,96379,17,17210,布市１,,2021/11/01,2021/11/01,,,株式会社ナルックス,野口剛,076-252-1557,白山市松本町２５１２番地,石川県白山市松本町２５１２番地,,96433,石川県,白山市,松本町,第63210292号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(8)‗石川中央,M,76,,,クスリのアオキ松任布市店9637917210,72eaba76-4dad-4e45-8af2-a7f0c40c3247,株式会社ナルックス96433,cd00a629-db44-4890-a38c-65d1f333dec0,c0f89a50-ee26-485b-82ea-c826188da00a,2021/11/01,クスリのアオキ松任布市店,クスリのアオキ松任布市店,株式会社ナルックス
クスリのアオキ松任布市店,石川県,白山市布市一丁目177番地1,白山市布市１丁目１７７番地１,,,魚介類販売業,　,株式会社ナルックス,野口剛,白山市松本町２５１２番地,076-252-1557,2021.11.1,2021.11.1,新規,第63210293号,,218,クスリのアオキ松任布市店,076,,,,,石川県　白山市布市１丁目１７７番地１,石川県白山市布市１丁目１７７番地１,,96379,17,17210,布市１,,2021/11/01,2021/11/01,,,株式会社ナルックス,野口剛,076-252-1557,白山市松本町２５１２番地,石川県白山市松本町２５１２番地,,96433,石川県,白山市,松本町,第63210293号,新規,魚介類販売業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(8)‗石川中央,I,58,,,クスリのアオキ松任布市店9637917210,72eaba76-4dad-4e45-8af2-a7f0c40c3247,株式会社ナルックス96433,cd00a629-db44-4890-a38c-65d1f333dec0,027dfe6e-bc3c-4ce6-9979-decb3d0e38c7,2021/11/01,クスリのアオキ松任布市店,クスリのアオキ松任布市店,株式会社ナルックス
クスリのアオキ松任布市店,石川県,白山市布市一丁目177番地1,白山市布市１丁目１７７番地１,,,菓子製造業,　,株式会社ナルックス,野口剛,白山市松本町２５１２番地,076-252-1557,2021.11.1,2021.11.1,新規,第63210294号,,218,クスリのアオキ松任布市店,076,,,,,石川県　白山市布市１丁目１７７番地１,石川県白山市布市１丁目１７７番地１,,96379,17,17210,布市１,,2021/11/01,2021/11/01,,,株式会社ナルックス,野口剛,076-252-1557,白山市松本町２５１２番地,石川県白山市松本町２５１２番地,,96433,石川県,白山市,松本町,第63210294号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(8)‗石川中央,E,9,,,クスリのアオキ松任布市店9637917210,72eaba76-4dad-4e45-8af2-a7f0c40c3247,株式会社ナルックス96433,cd00a629-db44-4890-a38c-65d1f333dec0,7ed4a2a2-5b33-4286-920a-38c700b9d1cb,2021/11/01,クスリのアオキ松任布市店,クスリのアオキ松任布市店,株式会社ナルックス
南の牧場　松任布市店,石川県,白山市布市一丁目177-1,白山市布市１丁目１７７－１,,0947-46-4129,食肉販売業,　,大三フーズ株式会社,大家龍三,福岡県田川市伊加利1824-28,0974-46-4129,2021.11.1,2021.11.1,新規,第63210295号,,218,南の牧場　松任布市店,076,0947-46-4129,,,,石川県　白山市布市１丁目１７７－１,石川県白山市布市１丁目１７７－１,,96379,17,17210,布市１,,2021/11/01,2021/11/01,,,大三フーズ株式会社,大家龍三,0974-46-4129,福岡県田川市伊加利1824-28,福岡県田川市伊加利１８２４－２８,,201574,福岡県,田川市,伊加利,第63210295号,新規,食肉販売業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(8)‗石川中央,I,58,583,,南の牧場松任布市店0947-46-41299637917210,3abdab5c-8dfd-4d05-8b30-4b17f713bc80,大三フーズ株式会社201574,60f2c5a5-0bb6-4218-94bc-96ebf9ff8392,5eb7e798-05d7-49a1-b3d7-5925e30b3fbd,2021/11/01,南の牧場　松任布市店,南の牧場松任布市店,大三フーズ株式会社
ブルーダイヤモンド,石川県,野々市市高橋町6-30,野々市市高橋町６－３０,,076-208-3380,飲食店営業,　,GHARTILAL BAHADUR,,,,2021.11.4,2021.11.4,新規,第63210297号,,218,ブルーダイヤモンド,076,076-208-3380,,,,石川県　野々市市高橋町６－３０,石川県野々市市高橋町６－３０,,96683,17,17212,高橋町,,2021/11/04,2021/11/04,,,,GHARTILAL BAHADUR ,,,,,,,,,第63210297号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(8)‗石川中央,M,76,,,ブルダイヤモンド076-208-33809668317212,e17f60f8-ffc6-413e-8d54-117185048108,,personal,0217b4ba-7238-499c-a814-d87638045c4b,2021/11/04,ブルーダイヤモンド,ブルダイヤモンド,
カフェT’ｓ,石川県,白山市柴木２丁目104番,白山市柴木２丁目１０４番,,,飲食店営業,　,瀧本明弘,,,,2021.11.4,2021.11.4,新規,第63210298号,,218,カフェT’ｓ,076,,,,,石川県　白山市柴木２丁目１０４番,石川県白山市柴木２丁目１０４番,,96283,17,17210,柴木２,,2021/11/04,2021/11/04,,,,瀧本明弘 ,,,,,,,,,第63210298号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(8)‗石川中央,M,76,,,カフェＴｓ9628317210,955bb7eb-1dcc-4946-a004-e5ed682a6f40,,personal,8b8bf2a8-16a1-42b1-b48b-c6f8adf24790,2021/11/04,カフェＴ＇ｓ,カフェＴｓ,
はくいちカフェ　タント店,石川県,白山市徳光町2398白山タント,白山市徳光町２３９８,白山タント,076-240-0891,飲食店営業,　,㈱箔一,浅野達也,金沢市森戸2-1-1,076-240-0891,2021.11.4,2021.11.4,新規,第63210299号,,218,はくいちカフェ　タント店,076,076-240-0891,,,,石川県　白山市徳光町２３９８,石川県白山市徳光町２３９８,白山タント,96357,17,17210,徳光町,,2021/11/04,2021/11/04,,,㈱箔一,浅野達也,076-240-0891,金沢市森戸2-1-1,石川県金沢市森戸２－１－１,,94720,石川県,金沢市,森戸２,第63210299号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(8)‗石川中央,M,76,,,はくいちカフェタント店076-240-08919635717210,d69c9b4e-0a15-43f7-af85-7875b8b1d7d6,株式会社箔一94720,ff7693f7-d1ce-4e3d-a492-8d94a59bc66b,92315453-0dd7-4e1c-84c6-1ff2436e0dd7,2021/11/04,はくいちカフェ　タント店,はくいちカフェタント店,株式会社箔一
