https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,n処理終了,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設-住所1,施設-住所2,施設-マンション名,施設名,施設-電話番号1,申請-住所1,申請-住所2,申請-マンション名,申請-電話番号1,申請者1,,申請者2,許可年月日,許可期間開始日,許可期間終了日,確認番号,業種,業態,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,営業所所在地,営業所所在地方書,営業所名称,営業所電話番号,営業者住所,,,営業者電話番号,営業者名,代表者名,,許可年月日,許可開始日,許可終了日,許可指令番号,業種,種目,食品衛生責任者,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
神奈川県相模原市,緑区与瀬本町１５,,株式会社桝屋商店,042-684-3112  ,神奈川県,相模原市緑区与瀬本町１５,,042-684-3112  ,（株）桝屋商店,（代）,板倉　淳一,R04.01.27,R04.01.27,R11.03.30,03-001-0795,飲食店営業,飲食店（客席を設けない営業）,板倉　好惠,,143,株式会社桝屋商店,042,042-684-3112,,,,神奈川県相模原市　緑区与瀬本町１５,神奈川県相模原市緑区与瀬本町１５,,80664,14,14151,与瀬本町,,,2022/01/27,2022/01/27,2029/03/30,（株）桝屋商店,板倉　淳一,042-684-3112  ,神奈川県　相模原市緑区与瀬本町１５,神奈川県相模原市緑区与瀬本町１５,,80664,神奈川県,相模原市緑区,与瀬本町,03-001-0795,,飲食店営業, 飲食店（客席を設けない営業）,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,株式会社桝屋商店042-684-31128066414151,00143_30577607-ceec-4361-8ebd-ebb858381a67,株式会社桝屋商店80664,791cb2b4-9927-4174-9b3b-2c9c3581d0fc,6d23e09c-d992-432b-9127-362d4d922747,2022/01/27,株式会社桝屋商店,株式会社桝屋商店,株式会社桝屋商店
神奈川県相模原市,緑区与瀬３９２,,迷夢,042-684-2750  ,神奈川県,相模原市緑区与瀬３９２,,042-684-2750  ,（有）田中屋,（代）,田中　均,R04.01.27,R04.01.27,R10.03.16,03-001-0794,飲食店営業,軽飲食店,田中　均,,143,迷夢,042,042-684-2750,,,,神奈川県相模原市　緑区与瀬３９２,神奈川県相模原市緑区与瀬３９２,,80663,14,14151,与瀬,,,2022/01/27,2022/01/27,2028/03/16,（有）田中屋,田中　均,042-684-2750  ,神奈川県　相模原市緑区与瀬３９２,神奈川県相模原市緑区与瀬３９２,,80663,神奈川県,相模原市緑区,与瀬,03-001-0794,,飲食店営業, 軽飲食店,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,迷夢042-684-27508066314151,847fa15d-0655-4c66-a123-8bf4aeb13cf3,有限会社田中屋80663,1c3fa542-d2a3-4057-bdcb-5bed31d3302f,b5680eea-f313-4fc5-940f-cc40963f72bf,2022/01/27,迷夢,迷夢,有限会社田中屋
神奈川県相模原市,緑区長竹３００８－１,,音Ｃａｆｅ,              ,,,,,森﨑　幸子,,,R04.01.26,R04.01.26,R10.01.25,03-001-0789,飲食店営業,飲食店（客席を設ける営業）,森﨑　幸子,,143,音Ｃａｆｅ,042,,,,,神奈川県相模原市　緑区長竹３００８－１,神奈川県相模原市緑区長竹３００８－１,,80610,14,14151,長竹,,,2022/01/26,2022/01/26,2028/01/25,,森﨑　幸子 ,,　,,,,,,,03-001-0789,,飲食店営業, 飲食店（客席を設ける営業）,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,音Ｃａｆｅ8061014151,56de97a3-35be-4be8-ba33-eb0fc9a5c4a8,,personal,691f9c94-7abb-4f7b-a0c2-f3ce4bb7e35a,2022/01/26,音Ｃａｆｅ,音Ｃａｆｅ,
神奈川県相模原市,緑区谷ヶ原１－１６－６,,居酒屋実沙希,042-785-3133  ,,,,,豊島　久子,,,R04.01.31,R04.01.31,R10.01.30,03-001-0804,飲食店営業,大衆酒場,豊島　久子,,143,居酒屋実沙希,042,042-785-3133,,,,神奈川県相模原市　緑区谷ヶ原１－１６－６,神奈川県相模原市緑区谷が原１－１６－６,,80604,14,14151,谷が原１,,,2022/01/31,2022/01/31,2028/01/30,,豊島　久子 ,,　,,,,,,,03-001-0804,,飲食店営業, 大衆酒場,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,居酒屋実沙希042-785-31338060414151,5dc648e8-e4b0-4440-9ce4-a1100b90a285,,personal,e88dbd49-6493-4f1e-9f1b-abb12de5b68f,2022/01/31,居酒屋実沙希,居酒屋実沙希,
神奈川県相模原市,緑区大島２７６６,,とんぼ,042-761-8604  ,神奈川県,相模原市緑区大島２７６６,,042-761-8604  ,（株）齋藤建材建設,（代）,齋藤　和巳,R04.01.27,R04.01.27,R10.02.02,03-001-0796,飲食店営業,飲食店（客席を設ける営業）,齋藤　夏生,,143,とんぼ,042,042-761-8604,,,,神奈川県相模原市　緑区大島２７６６,神奈川県相模原市緑区大島２７６６,,80585,14,14151,大島,,,2022/01/27,2022/01/27,2028/02/02,（株）齋藤建材建設,齋藤　和巳,042-761-8604  ,神奈川県　相模原市緑区大島２７６６,神奈川県相模原市緑区大島２７６６,,80585,神奈川県,相模原市緑区,大島,03-001-0796,,飲食店営業, 飲食店（客席を設ける営業）,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,とんぼ042-761-86048058514151,284be1d4-8e36-47a0-8bbf-bbebca2dc69c,株式会社齋藤建材建設80585,0f3bf796-90f0-45b3-b688-4a1abeda532e,1908df46-9295-4844-94ef-a3ea8efe0786,2022/01/27,とんぼ,とんぼ,株式会社齋藤建材建設
神奈川県相模原市,緑区大山町１－２２,,イトーヨーカドー橋本店　食品催事場,042-779-8111  ,東京都,千代田区二番町８－８,,03-6238-2111  ,（株）イトーヨーカ堂,（代）,三枝　富博,R04.01.05,R04.01.05,R04.02.28,03-001-0751,飲食店営業,飲食店（客席を設けない営業）,秦　大輔,,143,イトーヨーカドー橋本店　食品催事場,042,042-779-8111,,,,神奈川県相模原市　緑区大山町１－２２,神奈川県相模原市緑区大山町１－２２,,80586,14,14151,大山町,,,2022/01/05,2022/01/05,2022/02/28,（株）イトーヨーカ堂,三枝　富博,03-6238-2111  ,東京都　千代田区二番町８－８,東京都千代田区二番町８－８,,72918,東京都,千代田区,二番町,03-001-0751,,飲食店営業, 飲食店（客席を設けない営業）,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,イトヨカド橋本店食品催事場042-779-81118058614151,50bedd37-6f5a-4b21-9046-b9dd135c897b,株式会社イトーヨーカ堂72918,ecf220fb-3348-45bc-8bef-5089c12b2021,b5aff768-97f9-4b33-944e-bb1d5ca9479e,2022/01/05,イトーヨーカドー橋本店　食品催事場,イトヨカド橋本店食品催事場,株式会社イトーヨーカ堂
神奈川県相模原市,緑区太井６２１－１,,セブン－イレブン相模原津久井太井東店,042-780-0170  ,,,,,曽根　明,,,R04.01.12,R04.01.12,R11.03.03,03-001-0780,飲食店営業,コンビニエンスストア,曽根　明,,143,セブン－イレブン相模原津久井太井東店,042,042-780-0170,,,,神奈川県相模原市　緑区太井６２１－１,神奈川県相模原市緑区太井６２１－１,,80584,14,14151,太井,,,2022/01/12,2022/01/12,2029/03/03,,曽根　明 ,,　,,,,,,,03-001-0780,,飲食店営業, コンビニエンスストア,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,セブンイレブン相模原津久井太井東店042-780-01708058414151,00143_c5b3a64e-1253-4279-a788-904c92c16ea1,,personal,ccb21a38-fa75-4b93-9ae0-49f07f540cd4,2022/01/12,セブンイレブン相模原津久井太井東店,セブンイレブン相模原津久井太井東店,
神奈川県相模原市,緑区相原６－２３－６,,台湾料理　龍福園,042-779-2566  ,,,,,王　亜軍,,,R04.01.28,R04.01.28,R10.03.03,03-001-0801,飲食店営業,飲食店（客席を設ける営業）,王　亜軍,,143,台湾料理　龍福園,042,042-779-2566,,,,神奈川県相模原市　緑区相原６－２３－６,神奈川県相模原市緑区相原６－２３－６,,80580,14,14151,相原６,,,2022/01/28,2022/01/28,2028/03/03,,王　亜軍 ,,　,,,,,,,03-001-0801,,飲食店営業, 飲食店（客席を設ける営業）,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,台湾料理龍福園042-779-25668058014151,8354e182-3656-4a39-bba6-d32c1a053ba6,,personal,a5587079-3e92-4594-b7d4-f8022fb4a5e9,2022/01/28,台湾料理　龍福園,台湾料理龍福園,
神奈川県相模原市,緑区青山３７７９－１,,アビオファーム,,神奈川県,相模原市緑区三ケ木５９２－８,,,（株）アグレア,（代）,遠藤　篤法,R04.01.11,R04.01.11,R09.01.10,03-032-0019,そうざい製造業,そうざい,遠藤　篤法,,143,アビオファーム,042,,,,,神奈川県相模原市　緑区青山３７７９－１,神奈川県相模原市緑区青山３７７９－１,,80583,14,14151,青山,,,2022/01/11,2022/01/11,2027/01/10,（株）アグレア,遠藤　篤法,,神奈川県　相模原市緑区三ケ木５９２－８,神奈川県相模原市緑区三が木５９２－８,,80656,神奈川県,相模原市緑区,三が木,03-032-0019,,そうざい製造業, そうざい,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,E,9,,,アビオファム8058314151,0eaf3660-60c7-480b-8804-c377bcd63419,株式会社アグレア80656,aae0d1db-a80e-427d-bb89-4d6db9f5a9ab,5a9e875c-e189-467b-b58e-9cc7e6b5cb6f,2022/01/11,アビオファーム,アビオファム,株式会社アグレア
