https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,確認番号,申請者1,申請者2,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設名,施設-電話番号1,業種,業態,許可年月日,許可期間終了日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台帳番号,許可番号,申請者法人名称,申請者氏名,,営業施設所在地,,,営業施設名称,営業施設電話番号,営業の種類,業態,許可年月日,許可満了日,初回許可年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
41-036070,港南生指令第459,,朴 明子,神奈川県,横浜市港南区港南台4-3-1,横浜市港南区港南台４－３－１,,コリアキッチンＪ ,835-1181,飲食店営業,,2022年1月31日,2028年1月30日,2022年1月31日,,141,コリアキッチンＪ ,045,045-835-1181,,,,神奈川県　横浜市港南区港南台４－３－１,神奈川県横浜市港南区港南台４－３－１,,79371,14,14111,港南台４,,2022/01/31,2022/01/31,,2028/01/30,,朴 明子,,,,,,,,,港南生指令第459,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗13,M,76,,,コリアキッチンＪ045-835-11817937114111,144cbb98-fa3d-44ba-ae6a-1017bfd333fa,,personal,f13e494c-ea69-4ec7-9634-67605d7f1488,2022/01/31,コリアキッチンＪ　,コリアキッチンＪ,
41-036072,港南生指令第439,,岡部 康裕,神奈川県,横浜市港南区上大岡西2-1-23,横浜市港南区上大岡西２－１－２３,,セブンイレブン横浜上大岡西２丁目店 ,842-6971,飲食店営業,,2022年1月17日,2028年1月16日,2022年1月17日,,141,セブンイレブン横浜上大岡西２丁目店 ,045,045-842-6971,,,,神奈川県　横浜市港南区上大岡西２－１－２３,神奈川県横浜市港南区上大岡西２－１－２３,,79327,14,14111,上大岡西２,,2022/01/17,2022/01/17,,2028/01/16,,岡部 康裕,,,,,,,,,港南生指令第439,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗13,M,76,,,セブンイレブン横浜上大岡西２丁目店045-842-69717932714111,00141_93200497-bdd0-47e4-a4d5-6630358baa25,,personal,b9572425-d3e7-49f3-b87b-e514b567cb82,2022/01/17,セブンイレブン横浜上大岡西２丁目店　,セブンイレブン横浜上大岡西２丁目店,
41-043865,港南生指令第438,富士シティオ株式会社,,神奈川県,横浜市港南区野庭町642-4,横浜市港南区野庭町６４２－４,,ＦＵＪＩ野庭店 ,841-8711,食肉販売業,,2022年1月17日,2029年1月16日,2022年1月17日,,141,ＦＵＪＩ野庭店 ,045,045-841-8711,,,,神奈川県　横浜市港南区野庭町６４２－４,神奈川県横浜市港南区野庭町６４２－４,,79354,14,14111,野庭町,,2022/01/17,2022/01/17,,2029/01/16,富士シティオ株式会社,,,,,,,,,,港南生指令第438,,食肉販売業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗13,I,58,583,,ＦＵＪＩ野庭店045-841-87117935414111,00141_1bcbe31c-1664-48cd-9670-105affa73334,富士シティオ株式会社,6834ba66-acc8-4fdc-ab2b-b1896ded3da7,c764a3fd-a435-49e3-9dea-01f0312838e8,2022/01/17,ＦＵＪＩ野庭店　,ＦＵＪＩ野庭店,富士シティオ株式会社
41-043901,港南生指令第447,,倉又 広海,神奈川県,横浜市港南区上大岡西2-10-25 アニーヒルズ101,横浜市港南区上大岡西２－１０－２５,アニーヒルズ１０１,中村屋 ,842-1858,飲食店営業,,2022年1月25日,2029年1月24日,2022年1月25日,,141,中村屋 ,045,045-842-1858,,,,神奈川県　横浜市港南区上大岡西２－１０－２５,神奈川県横浜市港南区上大岡西２－１０－２５,アニーヒルズ１０１,79327,14,14111,上大岡西２,,2022/01/25,2022/01/25,,2029/01/24,,倉又 広海,,,,,,,,,港南生指令第447,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗13,M,76,,,中村屋045-842-18587932714111,595164ff-fb67-4b7e-b217-628dce4f93d7,,personal,4a124e20-ef18-425e-9997-766f02b5529c,2022/01/25,中村屋　,中村屋,
41-043968,港南生指令第456,,山本 慶,神奈川県,横浜市港南区上大岡西1-4-16 さんるーとビル1階,横浜市港南区上大岡西１－４－１６,さんるーとビル１階,鉄板バルＨＡＮＡＮＯＫＩ ,846-2760,飲食店営業,,2022年1月27日,2029年1月26日,2022年1月27日,,141,鉄板バルＨＡＮＡＮＯＫＩ ,045,045-846-2760,,,,神奈川県　横浜市港南区上大岡西１－４－１６,神奈川県横浜市港南区上大岡西１－４－１６,さんるーとビル１階,79326,14,14111,上大岡西１,,2022/01/27,2022/01/27,,2029/01/26,,山本 慶,,,,,,,,,港南生指令第456,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗13,M,76,,,鉄板バルＨＡＮＡＮＯＫＩ045-846-27607932614111,2ffe1804-061d-423b-9d54-c618fddf9555,,personal,626dee05-519a-4721-882b-fe0f1312f48b,2022/01/27,鉄板バルＨＡＮＡＮＯＫＩ　,鉄板バルＨＡＮＡＮＯＫＩ,
41-045108,港南生指令第440,株式会社ＪＲ東日本クロスステーション,,神奈川県,横浜市港南区港南台3-1-3,横浜市港南区港南台３－１－３,,ＮＥＷＤＡＹＳ　港南台 ,830-5521,飲食店営業,,2022年1月19日,2028年1月18日,2022年1月19日,,141,ＮＥＷＤＡＹＳ　港南台 ,045,045-830-5521,,,,神奈川県　横浜市港南区港南台３－１－３,神奈川県横浜市港南区港南台３－１－３,,79370,14,14111,港南台３,,2022/01/19,2022/01/19,,2028/01/18,株式会社ＪＲ東日本クロスステーション,,,,,,,,,,港南生指令第440,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗13,M,76,,,ＮＥＷＤＡＹＳ港南台045-830-55217937014111,00141_5dc6fa6c-8fcd-44b7-b9b7-0ae43836add2,株式会社ＪＲ東日本クロスステーション,627b9af0-b449-45a4-8818-8af2146b3322,cb526e78-d5e1-4058-97b2-aa8343755dad,2022/01/19,ＮＥＷＤＡＹＳ　港南台　,ＮＥＷＤＡＹＳ港南台,株式会社ＪＲ東日本クロスステーション
41-053316,港南生第9244,株式会社京急百貨店,,神奈川県,横浜市港南区上大岡西1-6-1 株式会社京急百貨店5F,横浜市港南区上大岡西１－６－１,株式会社京急百貨店５F,無印良品　上大岡京急 ,840-0535,百貨店、総合スーパー,,2022年1月2日,2117年12月31日,2022年1月2日,,141,無印良品　上大岡京急 ,045,045-840-0535,,,,神奈川県　横浜市港南区上大岡西１－６－１,神奈川県横浜市港南区上大岡西１－６－１,株式会社京急百貨店５F,79326,14,14111,上大岡西１,,2022/01/02,2022/01/02,,2117/12/31,株式会社京急百貨店,,,,,,,,,,港南生第9244,,百貨店、総合スーパー,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗13,I,56,561,5611,無印良品上大岡京急045-840-05357932614111,57f96ae5-12d6-4cea-8ace-0011d0cd5a9b,株式会社京急百貨店,498aac3e-315e-446b-bb23-5f11bd4cb266,4425a675-50c3-47c2-b392-2b8a2e80490a,2022/01/02,無印良品　上大岡京急　,無印良品上大岡京急,株式会社京急百貨店
41-053320,港南生第9251,株式会社フレンド,,神奈川県,横浜市港南区丸山台4-8-19,横浜市港南区丸山台４－８－１９,,株式会社フレンド ,845-2850,野菜果物販売業,,2022年1月6日,2117年12月31日,2022年1月6日,,141,株式会社フレンド ,045,045-845-2850,,,,神奈川県　横浜市港南区丸山台４－８－１９,神奈川県横浜市港南区丸山台４－８－１９,,79367,14,14111,丸山台４,,2022/01/06,2022/01/06,,2117/12/31,株式会社フレンド,,,,,,,,,,港南生第9251,,野菜果物販売業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗13,I,58,582,,株式会社フレンド045-845-28507936714111,b966520f-b85f-451f-afab-30a688852b90,株式会社フレンド,8ac5c984-2460-4df7-aef5-a351961f624a,d03ad8ab-b3c0-4c1f-978a-bc32589d8125,2022/01/06,株式会社フレンド　,株式会社フレンド,株式会社フレンド
41-053322,港南生第9254,横浜少年鑑別所,,神奈川県,横浜市港南区港南4-2-1,横浜市港南区港南４－２－１,,横浜少年鑑別所 ,841-2525,集団給食施設,,2022年1月12日,2117年12月31日,2022年1月12日,,141,横浜少年鑑別所 ,045,045-841-2525,,,,神奈川県　横浜市港南区港南４－２－１,神奈川県横浜市港南区港南４－２－１,,79336,14,14111,港南４,,2022/01/12,2022/01/12,,2117/12/31,,横浜少年鑑別所 ,,,,,,,,,港南生第9254,,給食施設,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗13,M,77,,,横浜少年鑑別所045-841-25257933614111,4473d40b-9f50-45df-b9d7-99c2079b4ebf,,personal,e16a0405-406d-405b-afd6-a21a60f44338,2022/01/12,横浜少年鑑別所　,横浜少年鑑別所,
