https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4066,n処理終了,,,,,,,,,,,,,,,,,d08_import_license_datas,分割処理中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,業種,業態,申請者1,申請者2,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,営業所名称,,営業所所在地,,,営業所電話番号,業種,詳細業種,申請者名及び代表者氏名,,申請者住所,,,申請者電話番号,初回許可年月日,許可年月日,許可番号（号）,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
4323,Ｋｏｄａｃｈｉ,,福井市順化１丁目１４－３ＮＯＢＡ順化ビル２階,福井市順化１丁目１４－３,ＮＯＢＡ順化ビル２階,0776-28-5807,飲食店営業,,,吉岡 富子,,,,,2022年1月31日,2022年1月31日,福井市指令生衛第21-3-270,,221,Ｋｏｄａｃｈｉ,0776,0776-28-5807,,,,　福井市順化１丁目１４－３,福井県福井市順化１丁目１４－３,ＮＯＢＡ順化ビル２階,97261,18,18201,順化１,,2022/01/31,2022/01/31,,,,吉岡 富子,,,,,,,,,福井市指令生衛第21-3-270,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,Ｋｏｄａｃｈｉ0776-28-58079726118201,73b16636-c0f7-4c1f-8870-5f2e2d82c12f,,personal,26523ec0-818b-4d6b-917d-c216e2f14672,2022/01/31,Ｋｏｄａｃｈｉ,Ｋｏｄａｃｈｉ,
4324,アントワ,,福井市順化１丁目２１－５エレガンテ片町　２階　２０７号室,福井市順化１丁目２１－５,エレガンテ片町２階 ２０７号室,,飲食店営業,,,渡邉 満美枝,,,,,2022年1月31日,2022年1月31日,福井市指令生衛第21-3-276,,221,アントワ,0776,,,,,　福井市順化１丁目２１－５,福井県福井市順化１丁目２１－５,エレガンテ片町２階 ２０７号室,97261,18,18201,順化１,,2022/01/31,2022/01/31,,,,渡邉 満美枝,,,,,,,,,福井市指令生衛第21-3-276,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,アントワ9726118201,08098cb5-4607-49da-b866-07fc8eaed498,,personal,a4c1eccb-9024-4d74-8357-dd720126df7e,2022/01/31,アントワ,アントワ,
4321,Ｖｏｙａｇｅ　Ｂｌｕｅ,,福井市和田中１丁目３２７,福井市和田中１丁目３２７,,,菓子製造業,,,岩﨑 優子,,,,,2022年1月28日,2022年1月28日,福井市指令生衛第21-3-266,,221,Ｖｏｙａｇｅ　Ｂｌｕｅ,0776,,,,,　福井市和田中１丁目３２７,福井県福井市和田中１丁目３２７,,97609,18,18201,和田中１,,2022/01/28,2022/01/28,,,,岩﨑 優子,,,,,,,,,福井市指令生衛第21-3-266,,菓子製造業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,E,9,,,ＶｏｙａｇｅＢｌｕｅ9760918201,abe12921-d678-4757-9310-5c171593ea51,,personal,2e952c1a-1914-4340-a0ac-c251810c68f1,2022/01/28,Ｖｏｙａｇｅ　Ｂｌｕｅ,ＶｏｙａｇｅＢｌｕｅ,
4322,谷口や,,福井市順化１丁目１３－３,福井市順化１丁目１３－３,,0776-22-3015,飲食店営業,,,谷口 豊作,,,,,2022年1月28日,2022年1月28日,福井市指令生衛第21-3-280,,221,谷口や,0776,0776-22-3015,,,,　福井市順化１丁目１３－３,福井県福井市順化１丁目１３－３,,97261,18,18201,順化１,,2022/01/28,2022/01/28,,,,谷口 豊作,,,,,,,,,福井市指令生衛第21-3-280,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,谷口や0776-22-30159726118201,1cbb7cdc-4d4f-41bb-af7a-d17c17a972ff,,personal,07d04dda-3bf4-49d3-86de-34a556096528,2022/01/28,谷口や,谷口や,
4316,ＢＡＲ　しゅみじん,,福井市順化１丁目１８－７Ａｙｕビル３階　南側,福井市順化１丁目１８－７,Ａｙｕビル３階 南側,0776-65-6813,飲食店営業,,,髙見 之佳,,,,,2022年1月27日,2022年1月27日,福井市指令生衛第21-3-268,,221,ＢＡＲ　しゅみじん,0776,0776-65-6813,,,,　福井市順化１丁目１８－７,福井県福井市順化１丁目１８－７,Ａｙｕビル３階 南側,97261,18,18201,順化１,,2022/01/27,2022/01/27,,,,髙見 之佳,,,,,,,,,福井市指令生衛第21-3-268,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,ＢＡＲしゅみじん0776-65-68139726118201,44aa4dd9-0d30-4712-a702-2abf8498d7b7,,personal,02ab4fbe-ddf7-4ce2-9212-ea1d5147b28e,2022/01/27,ＢＡＲ　しゅみじん,ＢＡＲしゅみじん,
4317,ラブ,,福井市順化１丁目１８－８開明ビル１階１０５,福井市順化１丁目１８－８,開明ビル１階１０５,0776-25-7057,飲食店営業,,,児玉 ウイヌアン,,,,,2022年1月27日,2022年1月27日,福井市指令生衛第21-4-643,,221,ラブ,0776,0776-25-7057,,,,　福井市順化１丁目１８－８,福井県福井市順化１丁目１８－８,開明ビル１階１０５,97261,18,18201,順化１,,2022/01/27,2022/01/27,,,,児玉 ウイヌアン,,,,,,,,,福井市指令生衛第21-4-643,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,ラブ0776-25-70579726118201,48d0f5db-0cf5-4196-8633-87455c03d5fa,,personal,dd6499a6-8b21-4b19-9227-2a483a116180,2022/01/27,ラブ,ラブ,
4318,ゴードン,,福井市順化１丁目２３－３順化バレンシア３Ｆ,福井市順化１丁目２３－３,順化バレンシア３Ｆ,0776-21-8208,飲食店営業,,,竹越 典男,,,,,2022年1月27日,2022年1月27日,福井市指令生衛第21-4-648,,221,ゴードン,0776,0776-21-8208,,,,　福井市順化１丁目２３－３,福井県福井市順化１丁目２３－３,順化バレンシア３Ｆ,97261,18,18201,順化１,,2022/01/27,2022/01/27,,,,竹越 典男,,,,,,,,,福井市指令生衛第21-4-648,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,ゴドン0776-21-82089726118201,0332171a-228b-4931-9ca4-dbc3579ab2c2,,personal,c34683dc-64a2-4ad4-b409-86613ce0d178,2022/01/27,ゴードン,ゴドン,
4319,ＢＡＭＢＯＣＨＥ　ｄｅ　ＹＡＭＡ,,福井市順化１丁目３－１０,福井市順化１丁目３－１０,,0776-22-6858,飲食店営業,,,山内 和博,,,,,2022年1月27日,2022年1月27日,福井市指令生衛第21-4-661,,221,ＢＡＭＢＯＣＨＥ　ｄｅ　ＹＡＭＡ,0776,0776-22-6858,,,,　福井市順化１丁目３－１０,福井県福井市順化１丁目３－１０,,97261,18,18201,順化１,,2022/01/27,2022/01/27,,,,山内 和博,,,,,,,,,福井市指令生衛第21-4-661,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,ＢＡＭＢＯＣＨＥｄｅＹＡＭＡ0776-22-68589726118201,bc7a23f4-b03e-4596-a158-c27160a5cd97,,personal,1e2b1fc8-7c0a-4422-9a50-773d6d43adc5,2022/01/27,ＢＡＭＢＯＣＨＥ　ｄｅ　ＹＡＭＡ,ＢＡＭＢＯＣＨＥｄｅＹＡＭＡ,
4320,ナイトパブ　エックスジャパン,,福井市順化１丁目１７－１１日の丸ビル４Ｆ,福井市順化１丁目１７－１１,日の丸ビル４Ｆ,0776-25-2744,飲食店営業,,,吉田 三千雄,,,,,2022年1月27日,2022年1月27日,福井市指令生衛第21-4-662,,221,ナイトパブ　エックスジャパン,0776,0776-25-2744,,,,　福井市順化１丁目１７－１１,福井県福井市順化１丁目１７－１１,日の丸ビル４Ｆ,97261,18,18201,順化１,,2022/01/27,2022/01/27,,,,吉田 三千雄,,,,,,,,,福井市指令生衛第21-4-662,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,ナイトパブエックスジャパン0776-25-27449726118201,4b2444f5-0334-4ccf-991d-504675eedafb,,personal,7dfe55a7-5351-46ef-ba37-cc55f9cd9713,2022/01/27,ナイトパブ　エックスジャパン,ナイトパブエックスジャパン,
