https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
法人番号,申請者1,申請者2,,申請-住所1,申請-住所2,申請-住所3,申請-住所4,申請-マンション名,申請-電話番号1,,施設名,郵便番号,施設-住所1,施設-住所2,施設-住所3,施設-住所4,施設-マンション名,施設-電話番号1,業種,,許可年月日,許可期間開始日,許可期間終了日,その他,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
法人番号（申請・届出者）,氏名（法人の場合は法人名）（申請・届出者）,法人の代表者の氏名（申請・届出者）,郵便番号（申請・届出者）,都道府県（申請・届出者）,市区町村（申請・届出者）,町域（申請・届出者）,番地等（申請・届出者）,マンション名等（申請・届出者）,電話番号（申請・届出者）,ファクシミリ番号（申請・届出者）,営業施設名称、屋号又は商号,郵便番号（営業施設）,都道府県（営業施設）,市区町村（営業施設）,町域（営業施設）,番地等（営業施設）,マンション名等（営業施設）,電話番号（営業施設）,営業の種類,廃業年月日,許可年月日,許可開始日,許可満了日,許可条件,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
1290001092453,株式会社大恩産業,黄義恩,8491312,佐賀県,鹿島市,納富分,３９５１,,09084051237,,株式会社大恩産業,8491312,佐賀県,鹿島市,納富分,３９５１,,,⑯ 水産製品製造業,,2022/2/10,2022/2/10,2028/2/29,クラゲ加工品に限る,,412,株式会社大恩産業,0954,,,,,佐賀県　鹿島市　納富分　３９５１,佐賀県鹿島市納富分３９５１,,205425,41,41207,納富分,,,2022/02/10,2022/02/10,2028/02/29,株式会社大恩産業,黄義恩,090-8405-1237,佐賀県　鹿島市　納富分　３９５１,佐賀県鹿島市納富分３９５１,,205425,佐賀県,鹿島市,納富分,,,水産製品製造業,,クラゲ加工品に限る,1290001092453,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月-2022年02月_末日_新規,E,9,92,,株式会社大恩産業20542541207,6922663a-a4f9-4943-b4e8-7772d3014a0e,株式会社大恩産業205425,4faa1acc-6458-4574-85d9-4bacf5f9bfa8,c95cdca6-64ff-4522-a0ed-e444a6ad5f38,2022/02/10,株式会社大恩産業,株式会社大恩産業,株式会社大恩産業
,渡辺幸子,,,,,,,,,,ベトナム料理　シンチャオ,8470012,佐賀県,唐津市,大名小路,３－１　,県内一円,080-4285-1281,① 飲食店営業,,2022/2/14,2022/2/14,2027/8/31,供食前十分加熱調理したものに限る,,410,ベトナム料理　シンチャオ,0955,080-4285-1281,,,,佐賀県　唐津市　大名小路　３－１　,佐賀県唐津市大名小路３－１　県内一円,,204982,41,41202,大名小路,,,2022/02/14,2022/02/14,2027/08/31,,渡辺幸子 ,,　　　,,,,,,,,,飲食店営業,,供食前十分加熱調理したものに限る,,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月-2022年02月_末日_新規,M,76,,,ベトナム料理シンチャオ080-4285-128120498241202,69466949-3461-4c08-bf91-63a4851bee86,,personal,2506a175-ecd9-4f03-aa25-28461ed8e95b,2022/02/14,ベトナム料理　シンチャオ,ベトナム料理シンチャオ,
,松永幸三,,,,,,,,,,やきとり鳥王　１５号,8470012,佐賀県,唐津市,大名小路,３－１　　,県内一円,,① 飲食店営業,,2022/2/24,2022/2/24,2027/8/31,供食前十分加熱調理したものに限る,,410,やきとり鳥王　１５号,0955,,,,,佐賀県　唐津市　大名小路　３－１　　,佐賀県唐津市大名小路３－１　県内一円,,204982,41,41202,大名小路,,,2022/02/24,2022/02/24,2027/08/31,,松永幸三 ,,　　　,,,,,,,,,飲食店営業,,供食前十分加熱調理したものに限る,,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月-2022年02月_末日_新規,M,76,,,やきとり鳥王１５号20498241202,f5cd05e0-c599-46d8-8853-8bb7c3da4c10,,personal,94e49ab7-7bd6-4776-858a-d09b6a952d35,2022/02/24,やきとり鳥王　１５号,やきとり鳥王１５号,
7290001001697,株式会社力の源ホールディングス,河原成美,8100041,福岡県,福岡市中央区,大名,1-13-14 ,4F,092-762-4445,092-762-5556,博多　一風堂,8410051,佐賀県,鳥栖市,元町,,県内一円,,① 飲食店営業,,2022/2/2,2022/2/2,2027/11/30,供食前十分加熱処理されたものに限る供食前,,409,博多　一風堂,0942,,,,,佐賀県　鳥栖市　元町　,佐賀県鳥栖市元町　県内一円,,205255,41,41203,元町,,,2022/02/02,2022/02/02,2027/11/30,株式会社力の源ホールディングス,河原成美,092-762-4445,福岡県　福岡市中央区　大名　1-13-14 ,福岡県福岡市中央区大名１－１３－１４,4F,200293,福岡県,福岡市中央区,大名１,,,飲食店営業,,供食前十分加熱処理されたものに限る供食前,7290001001697,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月-2022年02月_末日_新規,M,76,,,博多一風堂20525541203,0f062f9d-b458-4682-bfeb-4071c8fbafe6,株式会社力の源ホールディングス200293,59b17122-6676-4e8d-afac-2b4546a5e92c,a02eda67-f147-4019-b2b2-824b3b5b701a,2022/02/02,博多　一風堂,博多一風堂,株式会社力の源ホールディングス
4290001026482,株式会社すぱいす・１,古賀愛理,,福岡県,福岡市早良区,東入部１丁目３７番１号,,,0928-36-6533,,すぱいす・１,8410051,佐賀県,鳥栖市,元町,,県内一円,,① 飲食店営業,,2022/2/18,2022/2/18,2027/11/30,既製品及び供食前十分加熱処理されたものに限る,,409,すぱいす・１,0942,,,,,佐賀県　鳥栖市　元町　,佐賀県鳥栖市元町　県内一円,,205255,41,41203,元町,,,2022/02/18,2022/02/18,2027/11/30,株式会社すぱいす・１,古賀愛理,092-836-6533,福岡県　福岡市早良区　東入部１丁目３７番１号　,福岡県福岡市早良区東入部１丁目３７番１号,,200906,福岡県,福岡市早良区,東入部１,,,飲食店営業,,既製品及び供食前十分加熱処理されたものに限る,4290001026482,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月-2022年02月_末日_新規,M,76,,,すぱいす１20525541203,2eb08330-9faa-4ba7-b26c-94b47b02e772,株式会社すぱいす・１200906,73822b06-f8b6-467a-9f58-bc38f1a55d45,13a1ba50-9b1c-45f7-a60f-acfca2297938,2022/02/18,すぱいす・１,すぱいす１,株式会社すぱいす・１
1300001011163,株式会社PRESS,菊池裕太,8400824,佐賀県,佐賀市,呉服元町,2番18号,,0952-37-5599,,LOCAL DOUGHNUTS,8400824,佐賀県,佐賀市,呉服元町,7-13,,,① 飲食店営業,,2022/2/25,2022/2/25,2028/2/29,　,,408,LOCAL DOUGHNUTS,0952,,,,,佐賀県　佐賀市　呉服元町　7-13,佐賀県佐賀市呉服元町７－１３,,204717,41,41201,呉服元町,,,2022/02/25,2022/02/25,2028/02/29,株式会社PRESS,菊池裕太,0952-37-5599,佐賀県　佐賀市　呉服元町　2番18号,佐賀県佐賀市呉服元町２番１８号,,204717,佐賀県,佐賀市,呉服元町,,,飲食店営業,,　,1300001011163,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月-2022年02月_末日_新規,M,76,,,ＬＯＣＡＬＤＯＵＧＨＮＵＴＳ20471741201,27a8a48a-72e8-42ce-8428-c55a66f83510,株式会社ＰＲＥＳＳ204717,97e5e35a-b982-4732-810a-bc1be38d8e0c,ee6611b9-6fe1-4fab-8e7d-e8d22e71993f,2022/02/25,ＬＯＣＡＬ　ＤＯＵＧＨＮＵＴＳ,ＬＯＣＡＬＤＯＵＧＨＮＵＴＳ,株式会社ＰＲＥＳＳ
1300001011163,株式会社PRESS,菊池裕太,8400824,佐賀県,佐賀市,呉服元町,2番18号,,0952-37-5599,,LOCAL DOUGHNUTS,8400824,佐賀県,佐賀市,呉服元町,7-13,,,⑪ 菓子製造業,,2022/2/25,2022/2/25,2028/2/29,　,,408,LOCAL DOUGHNUTS,0952,,,,,佐賀県　佐賀市　呉服元町　7-13,佐賀県佐賀市呉服元町７－１３,,204717,41,41201,呉服元町,,,2022/02/25,2022/02/25,2028/02/29,株式会社PRESS,菊池裕太,0952-37-5599,佐賀県　佐賀市　呉服元町　2番18号,佐賀県佐賀市呉服元町２番１８号,,204717,佐賀県,佐賀市,呉服元町,,,菓子製造業,,　,1300001011163,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月-2022年02月_末日_新規,E,9,,,ＬＯＣＡＬＤＯＵＧＨＮＵＴＳ20471741201,27a8a48a-72e8-42ce-8428-c55a66f83510,株式会社ＰＲＥＳＳ204717,97e5e35a-b982-4732-810a-bc1be38d8e0c,1c3a0cc8-c238-4ac4-8ac7-3542f6ea00bf,2022/02/25,ＬＯＣＡＬ　ＤＯＵＧＨＮＵＴＳ,ＬＯＣＡＬＤＯＵＧＨＮＵＴＳ,株式会社ＰＲＥＳＳ
,福島大輝,,,,,,,,,,EAT BEAT,8410051,佐賀県,鳥栖市,元町,,県内一円,,① 飲食店営業,,2022/2/8,2022/2/8,2027/11/30,供食前十分加熱処理されたものに限る,,409,EAT BEAT,0942,,,,,佐賀県　鳥栖市　元町　,佐賀県鳥栖市元町　県内一円,,205255,41,41203,元町,,,2022/02/08,2022/02/08,2027/11/30,,福島大輝 ,,　　　,,,,,,,,,飲食店営業,,供食前十分加熱処理されたものに限る,,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月-2022年02月_末日_新規,M,76,,,ＥＡＴＢＥＡＴ20525541203,28020321-0ecb-498e-a081-ed5eec1838d1,,personal,af1d1634-b7b9-465d-9629-6c9ca74f7815,2022/02/08,ＥＡＴ　ＢＥＡＴ,ＥＡＴＢＥＡＴ,
4300001009279,株式会社 Uni International Corporation,牛島勇太,8400825,佐賀県,佐賀市,中央本町3番１号,,,0952-28-3245,,イエロースパイス,8450023,佐賀県,小城市,三日月町織島,１４９３,,,① 飲食店営業,,2022/2/8,2022/2/8,2028/5/31,　,,408,イエロースパイス,0952,,,,,佐賀県　小城市　三日月町織島　１４９３,佐賀県小城市三日月町織島１４９３,,205453,41,41208,三日月町織島,,,2022/02/08,2022/02/08,2028/05/31,株式会社 Uni International Corporation,牛島勇太,0952-28-3245,佐賀県　佐賀市　中央本町3番１号　,佐賀県佐賀市中央本町３番１号,,204741,佐賀県,佐賀市,中央本町,,,飲食店営業,,　,4300001009279,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月-2022年02月_末日_新規,M,76,,,イエロスパイス20545341208,ec9283cb-d1f2-4839-b4f2-751d4a81275c,株式会社Ｕｎｉ　Ｉｎｔｅｒｎａｔｉｏｎａｌ　Ｃｏｒｐｏｒａｔｉｏｎ204741,adfb3ae1-1670-459f-93df-e7a2f46ac147,4336fde4-a4dc-4e10-87ce-5a62ca239aac,2022/02/08,イエロースパイス,イエロスパイス,株式会社Ｕｎｉ　Ｉｎｔｅｒｎａｔｉｏｎａｌ　Ｃｏｒｐｏｒａｔｉｏｎ
