https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,n処理終了,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
業種,施設名,施設-住所1,施設-住所2,施設-住所3,施設-マンション名,確認番号,許可年月日,許可期間終了日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業の種類,施設名,所在地,,,マンション名等（営業施設）,許可番号,許可年月日,有効年月日,開設年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
① 飲食店営業,デイサービス　花いちご,富山市,上冨居ニ丁目,9-38,,22AA0024,2022/5/1,2028/4/30,2016/4/28,,211,デイサービス　花いちご,076,,,,,富山市　上冨居ニ丁目　9-38,富山県富山市上冨居２丁目９－３８,,90788,16,16201,上冨居２,,2016/04/28,2022/05/01,,2028/04/30,,,,,,,,,,,22AA0024,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,デイサビス花いちご9078816201,bac7e0ce-eef4-4afd-af7c-3f707bd27a2a,,personal,4e0d48c0-500d-4aeb-b5e3-f1985b3fc6fa,2022/05/01,デイサービス　花いちご,デイサビス花いちご,
① 飲食店営業,のと屋,富山市,清水町九丁目,9-9,,22AA0033,2022/5/1,2027/4/30,2007/5/1,,211,のと屋,076,,,,,富山市　清水町九丁目　9-9,富山県富山市清水町９丁目９－９,,90860,16,16201,清水町９,,2007/05/01,2022/05/01,,2027/04/30,,,,,,,,,,,22AA0033,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,のと屋9086016201,a11ace26-b86d-4976-a6cb-479cd220b8c2,,personal,e1334326-3c60-40ee-946d-d012e981c136,2022/05/01,のと屋,のと屋,
① 飲食店営業,万さく新庄経堂店,富山市,長江東町,３－２０３,,22AA0037,2022/5/1,2028/4/30,2010/4/1,,211,万さく新庄経堂店,076,,,,,富山市　長江東町　３－２０３,富山県富山市長江東町３－２０３,,91357,16,16201,長江東町３,,2010/04/01,2022/05/01,,2028/04/30,,,,,,,,,,,22AA0037,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,万さく新庄経堂店9135716201,562870a1-59ba-404e-a32f-0987b68d05b6,,personal,c65e52ed-08d2-44f5-b589-9ef82074e79f,2022/05/01,万さく新庄経堂店,万さく新庄経堂店,
① 飲食店営業,食事処　山家,富山市,西長江三丁目,211-10,,22AA0043,2022/5/1,2027/4/30,1996/12/19,,211,食事処　山家,076,,,,,富山市　西長江三丁目　211-10,富山県富山市西長江３丁目２１１－１０,,91050,16,16201,西長江３,,1996/12/19,2022/05/01,,2027/04/30,,,,,,,,,,,22AA0043,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,食事処山家9105016201,914c2f78-26e6-4115-8eae-29133a5162d8,,personal,690d5a34-0390-4b5e-aae0-afd46ba41f3c,2022/05/01,食事処　山家,食事処山家,
① 飲食店営業,天金,富山市,北新町一丁目,１－９,,22AA0044,2022/5/1,2027/4/30,1989/9/11,,211,天金,076,,,,,富山市　北新町一丁目　１－９,富山県富山市北新町１丁目１－９,,90794,16,16201,北新町１,,1989/09/11,2022/05/01,,2027/04/30,,,,,,,,,,,22AA0044,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,天金9079416201,95833f32-ea3c-48f4-b2e0-bfc866ec2ae5,,personal,fff727f6-8edd-4b77-a135-023d4e90adc5,2022/05/01,天金,天金,
① 飲食店営業,焼肉あらい,富山市,石金一丁目,１３－２１,,22AA0046,2022/5/1,2028/4/30,1995/9/16,,211,焼肉あらい,076,,,,,富山市　石金一丁目　１３－２１,富山県富山市石金１丁目１３－２１,,90654,16,16201,石金１,,1995/09/16,2022/05/01,,2028/04/30,,,,,,,,,,,22AA0046,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,焼肉あらい9065416201,2e19ba39-d5da-4eaa-a607-1a876b010ca0,,personal,a07a4c0a-e93e-4c5f-ba6d-efe0ade379b4,2022/05/01,焼肉あらい,焼肉あらい,
① 飲食店営業,多喜屋,富山市,荒川新町,４－１１,,22AB0005,2022/5/1,2028/4/30,2015/12/23,,211,多喜屋,076,,,,,富山市　荒川新町　４－１１,富山県富山市荒川新町４－１１,,91475,16,16201,荒川新町,,2015/12/23,2022/05/01,,2028/04/30,,,,,,,,,,,22AB0005,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,多喜屋9147516201,af1eb36f-e69a-4b56-8249-78825eae656b,,personal,a3890527-8f08-436c-a52a-65af9f2ec24c,2022/05/01,多喜屋,多喜屋,
① 飲食店営業,ばらずしアピタ富山東店,富山市,上冨居三丁目,8-38,,22AE0010,2022/5/1,2023/4/30,1998/10/15,,211,ばらずしアピタ富山東店,076,,,,,富山市　上冨居三丁目　8-38,富山県富山市上冨居３丁目８－３８,,90789,16,16201,上冨居３,,1998/10/15,2022/05/01,,2023/04/30,,,,,,,,,,,22AE0010,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,ばらずしアピタ富山東店9078916201,9cfd9af2-0604-418d-a351-29776e8126ba,,personal,3ae4ec24-0809-4793-84e2-1fd71410b73e,2022/05/01,ばらずしアピタ富山東店,ばらずしアピタ富山東店,
① 飲食店営業,有限会社　加賀家,富山市,東町2-1-26,,,22AG0007,2022/5/1,2027/4/30,2006/7/28,,211,有限会社　加賀家,076,,,,,富山市　東町2-1-26　,富山県富山市東町２－１－２６,,91108,16,16201,東町２,,2006/07/28,2022/05/01,,2027/04/30,,,,,,,,,,,22AG0007,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,有限会社加賀家9110816201,39d7c2ab-01d3-411b-a707-09f917b4323d,,personal,a6641ae3-3646-4585-8502-3824787ace25,2022/05/01,有限会社加賀家,有限会社加賀家,
① 飲食店営業,太平橋,富山市,向川原町,1-6,ビジネスホテル富山アーバンホテル1F,22AI0027,2022/5/1,2027/4/30,2017/4/6,,211,太平橋,076,,,,,富山市　向川原町　1-6,富山県富山市向川原町１－６,ビジネスホテル富山アーバンホテル1F,91233,16,16201,向川原町,,2017/04/06,2022/05/01,,2027/04/30,,,,,,,,,,,22AI0027,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,太平橋9123316201,f77690ca-4f2c-4a71-8551-ce5fb30050f2,,personal,af906666-64fb-49d4-8aba-0fdddea1dc21,2022/05/01,太平橋,太平橋,
