https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1306,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,申請年月日,申請者1,申請者2,申請-電話番号1,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,その他,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
№,申請日,申請者氏名,代表者氏名,申請者電話番号,屋号,営業所所在地,,,営業所電話番号,業種,備考,届出番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
1184,令4年01月18日,菓子遊煎㈱,播磨亮一,011-669-8200,どるちぇ ど さんちょ(移動販売・九州),熊本市中央区南熊本1丁目7-33クイール南熊本1002,熊本市中央区南熊本１丁目７－３３,クイール南熊本１００２,,その他の食料・飲料販売業,,指令（食保）第51239号,,423,どるちぇ ど さんちょ(移動販売・九州),096,,,,,熊本市中央区南熊本１丁目７－３３,熊本県熊本市中央区南熊本１丁目７－３３,クイール南熊本１００２,207977,43,43101,南熊本１,2022/01/18,,,,,菓子遊煎㈱,播磨亮一,011-669-8200,,,,,,,,指令（食保）第51239号,,その他の食料品製造・加工業,(包装),,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,E,9,99,,どるちぇどさんちょ移動販売九州20797743101,8b6c39a4-9197-4b5a-90db-c507a5c36ae2,菓子遊煎株式会社,5f5cec80-4220-448f-b016-2737ee0c3cec,549fae25-a5a1-4c05-9d70-df3effef0cf2,2022/01/18,どるちぇ　ど　さんちょ（移動販売・九州）,どるちぇどさんちょ移動販売九州,菓子遊煎株式会社
1082,令3年12月09日,㈱アレフ,庄司大,011-823-8301,びっくりドンキー熊本インター店,熊本市東区石原１丁目１番地１１０ミスターマックスショッピングセンター内,熊本市東区石原１丁目１番地１１０,ミスターマックスショッピングセンター内,349-7380,米穀類販売業,,指令（食保）第51147号,,423,びっくりドンキー熊本インター店,096,096-349-7380,,,,熊本市東区石原１丁目１番地１１０,熊本県熊本市東区石原１丁目１番地１１０,ミスターマックスショッピングセンター内,208012,43,43102,石原１,2021/12/09,,,,,㈱アレフ,庄司大,011-823-8301,,,,,,,,指令（食保）第51147号,,米穀類販売業,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,58,589,5896,びっくりドンキ熊本インタ店096-349-738020801243102,08cc2143-7479-4609-a136-384b1e6b636a,株式会社アレフ,8e8810a2-d499-48b1-8b4f-8d6bb27e88c8,645cba65-9e3f-44c9-9649-95227959cf69,2021/12/09,びっくりドンキー熊本インター店,びっくりドンキ熊本インタ店,株式会社アレフ
1083,令3年12月09日,㈱アレフ,庄司大,011-823-8301,びっくりドンキー熊本インター店,熊本市東区石原１丁目１番地１１０ミスターマックスショッピングセンター内,熊本市東区石原１丁目１番地１１０,ミスターマックスショッピングセンター内,349-7380,その他の食料・飲料販売業,,指令（食保）第51148号,,423,びっくりドンキー熊本インター店,096,096-349-7380,,,,熊本市東区石原１丁目１番地１１０,熊本県熊本市東区石原１丁目１番地１１０,ミスターマックスショッピングセンター内,208012,43,43102,石原１,2021/12/09,,,,,㈱アレフ,庄司大,011-823-8301,,,,,,,,指令（食保）第51148号,,その他の食料品製造・加工業,(包装),,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,E,9,99,,びっくりドンキ熊本インタ店096-349-738020801243102,08cc2143-7479-4609-a136-384b1e6b636a,株式会社アレフ,8e8810a2-d499-48b1-8b4f-8d6bb27e88c8,780ae8ec-88f9-4ed2-98b2-686af0830e59,2021/12/09,びっくりドンキー熊本インター店,びっくりドンキ熊本インタ店,株式会社アレフ
1087,令3年12月09日,㈱アレフ,庄司大,011-823-8301,びっくりドンキー南熊本店,熊本市中央区九品寺６丁目９番４２号ワンダーシティ南熊本内,熊本市中央区九品寺６丁目９番４２号,ワンダーシティ南熊本内,375-1312,米穀類販売業,,指令（食保）第51145号,,423,びっくりドンキー南熊本店,096,096-375-1312,,,,熊本市中央区九品寺６丁目９番４２号,熊本県熊本市中央区九品寺６丁目９番４２号,ワンダーシティ南熊本内,207851,43,43101,九品寺６,2021/12/09,,,,,㈱アレフ,庄司大,011-823-8301,,,,,,,,指令（食保）第51145号,,米穀類販売業,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,58,589,5896,びっくりドンキ南熊本店096-375-131220785143101,47aa7bde-e7ab-494b-a51e-7f221cd8af3a,株式会社アレフ,8e8810a2-d499-48b1-8b4f-8d6bb27e88c8,300912ed-47a7-4bd5-9bed-31bb9d74a361,2021/12/09,びっくりドンキー南熊本店,びっくりドンキ南熊本店,株式会社アレフ
1088,令3年12月09日,㈱アレフ,庄司大,011-823-8301,びっくりドンキー南熊本店,熊本市中央区九品寺６丁目９番４２号ワンダーシティ南熊本内,熊本市中央区九品寺６丁目９番４２号,ワンダーシティ南熊本内,375-1312,その他の食料・飲料販売業,,指令（食保）第51146号,,423,びっくりドンキー南熊本店,096,096-375-1312,,,,熊本市中央区九品寺６丁目９番４２号,熊本県熊本市中央区九品寺６丁目９番４２号,ワンダーシティ南熊本内,207851,43,43101,九品寺６,2021/12/09,,,,,㈱アレフ,庄司大,011-823-8301,,,,,,,,指令（食保）第51146号,,その他の食料品製造・加工業,(包装),,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,E,9,99,,びっくりドンキ南熊本店096-375-131220785143101,47aa7bde-e7ab-494b-a51e-7f221cd8af3a,株式会社アレフ,8e8810a2-d499-48b1-8b4f-8d6bb27e88c8,5fa30e99-d0c5-4047-a99f-71d5def4ae94,2021/12/09,びっくりドンキー南熊本店,びっくりドンキ南熊本店,株式会社アレフ
593,令3年11月09日,国家公務員共済組合連合会,松元  崇,03-3222-1841,国家公務員共済組合連合会熊本共済会館  従業員食堂,熊本市中央区千葉城町3-31,熊本市中央区千葉城町３－３１,,355-0121,集団給食施設,,指令（食保）第6172号,,423,国家公務員共済組合連合会熊本共済会館  従業員食堂,096,096-355-0121,,,,熊本市中央区千葉城町３－３１,熊本県熊本市中央区千葉城町３－３１,,207927,43,43101,千葉城町,2021/11/09,,,,,国家公務員共済組合連合会,松元  崇,03-3222-1841,,,,,,,,指令（食保）第6172号,,給食施設,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,M,77,,,国家公務員共済組合連合会熊本共済会館従業員食堂096-355-012120792743101,c263acf1-082e-4362-bb8f-066f045577d7,国家公務員共済組合連合会,f6edf9dd-15b1-4a04-802e-3de465b97f29,d0a17183-d463-45d1-a9ed-a23da502efb8,2021/11/09,国家公務員共済組合連合会熊本共済会館　従業員食堂,国家公務員共済組合連合会熊本共済会館従業員食堂,国家公務員共済組合連合会
1245,令4年01月31日,㈱ＪＳＨ,野口和輝,03-3272-0606,コルディアーレ熊本農園,熊本市北区植木町植木43-1,熊本市北区植木町植木４３－１,,275-5006,野菜果物販売業,,指令（食保）第51263号,,423,コルディアーレ熊本農園,096,096-275-5006,,,,熊本市北区植木町植木４３－１,熊本県熊本市北区植木町植木４３－１,,208550,43,43105,植木町植木,2022/01/31,,,,,㈱ＪＳＨ,野口和輝,03-3272-0606,,,,,,,,指令（食保）第51263号,,野菜果物販売業,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,58,582,,コルディアレ熊本農園096-275-500620855043105,bee8f763-cc4b-4a37-84ff-29096775575f,株式会社ＪＳＨ,0b5f0fc4-7376-4939-ab1d-61cf9739f0e8,aef350ed-a2a9-4250-a386-528130c22ce5,2022/01/31,コルディアーレ熊本農園,コルディアレ熊本農園,株式会社ＪＳＨ
1158,令3年12月27日,㈱フォーシーズ,浅野秀則,03-3409-6000,ピザーラ熊本中央,熊本市中央区子飼本町1-5ﾘﾊﾞｰｻｲﾄﾞﾙﾐｶ 1Ｆ,熊本市中央区子飼本町１－５,ﾘﾊﾞｰｻｲﾄﾞﾙﾐｶ　１Ｆ,342-0100,その他の食料・飲料販売業,,指令（食保）第51217号,,423,ピザーラ熊本中央,096,096-342-0100,,,,熊本市中央区子飼本町１－５,熊本県熊本市中央区子飼本町１－５,ﾘﾊﾞｰｻｲﾄﾞﾙﾐｶ　１Ｆ,207869,43,43101,子飼本町,2021/12/27,,,,,㈱フォーシーズ,浅野秀則,03-3409-6000,,,,,,,,指令（食保）第51217号,,その他の食料品製造・加工業,(包装),,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,E,9,99,,ピザラ熊本中央096-342-010020786943101,a8fb6ae3-9205-4eb5-b97d-0348580f1f68,株式会社フォーシーズ,b5649cc1-095e-424d-b718-57fd93af9856,ef199a5f-3d0a-4387-92ce-e9e32ac9d112,2021/12/27,ピザーラ熊本中央,ピザラ熊本中央,株式会社フォーシーズ
1159,令3年12月27日,㈱フォーシーズ,浅野秀則,03-3409-6000,ピザーラ熊本南,熊本市南区江越2-9-3ｸﾞﾚｰｽ江越102,熊本市南区江越２－９－３,ｸﾞﾚｰｽ江越１０２,378-4800,その他の食料・飲料販売業,,指令（食保）第51219号,,423,ピザーラ熊本南,096,096-378-4800,,,,熊本市南区江越２－９－３,熊本県熊本市南区江越２－９－３,ｸﾞﾚｰｽ江越１０２,208354,43,43104,江越２,2021/12/27,,,,,㈱フォーシーズ,浅野秀則,03-3409-6000,,,,,,,,指令（食保）第51219号,,その他の食料品製造・加工業,(包装),,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,E,9,99,,ピザラ熊本南096-378-480020835443104,f8742f13-305a-4cbb-8acb-650812f6906a,株式会社フォーシーズ,b5649cc1-095e-424d-b718-57fd93af9856,f7868e7f-1502-4cdc-ae66-19eb147137b3,2021/12/27,ピザーラ熊本南,ピザラ熊本南,株式会社フォーシーズ
