https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,郵便番号,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,申請者1,申請者2,申請-住所1,申請-マンション名,申請-電話番号1,業種,確認番号,許可年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,施設_名称,施設_郵便番号,,施設_所在地,,,施設_電話番号,申請者_氏名,代表者_氏名,申請者_住所,申請者_気付,申請者_電話番号,業種,許可番号,許可年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
1,ｎｉｃｅ　ＣＡＲＲＹ　ＫＩＴＣＨＥＮ　新潟　８００　せ　２３５９,,新潟県,県内一円,県内一円,,,若松　信貴,,,,,飲食店営業,2800,R 4. 2.28,,151,ｎｉｃｅ　ＣＡＲＲＹ　ＫＩＴＣＨＥＮ　新潟　８００　せ　２３５９,,,,,,新潟県　県内一円,新潟県県内一円,,,15,,,,,2022/02/28,,,,若松　信貴 ,,,,,,,,,2800,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,ｎｉｃｅＣＡＲＲＹＫＩＴＣＨＥＮ新潟８００せ２３５９,3b969af2-c9de-4dd9-b1dc-e166a9dd0cf6,,personal,fe145a59-fb3a-4963-98bc-e0635d5d621d,2022/02/28,ｎｉｃｅ　ＣＡＲＲＹ　ＫＩＴＣＨＥＮ　新潟　８００　せ　２３５９,ｎｉｃｅＣＡＲＲＹＫＩＴＣＨＥＮ新潟８００せ２３５９,
2,キッチンカー　ＦＡＭ’Ｓ　新潟　８８０　あ　２０５６,,新潟県,県内一円,県内一円,,,中村　裕美,,,,,飲食店営業,2765,R 4. 2.18,,151,キッチンカー　ＦＡＭ’Ｓ　新潟　８８０　あ　２０５６,,,,,,新潟県　県内一円,新潟県県内一円,,,15,,,,,2022/02/18,,,,中村　裕美 ,,,,,,,,,2765,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,キッチンカＦＡＭＳ新潟８８０あ２０５６,b3e7498f-bd94-4d80-b6ce-60f41791a0f4,,personal,6ac1288e-e64a-4adf-875b-914ff343c05d,2022/02/18,キッチンカー　ＦＡＭ＇Ｓ　新潟　８８０　あ　２０５６,キッチンカＦＡＭＳ新潟８８０あ２０５６,
3,つたえ鵜ノ子,9500157,新潟県,新潟市江南区鵜ノ子４丁目１番３号,新潟市江南区鵜ノ子４丁目１番３号,,025-382-5063,有限会社八百傳商店,野口　正晴,新潟県新潟市江南区曙町１丁目６番３号,,025-384-8577,飲食店営業,2793,R 4. 2.28,,151,つたえ鵜ノ子,025,025-382-5063,,,,新潟県　新潟市江南区鵜ノ子４丁目１番３号,新潟県新潟市江南区鵜ノ子４丁目１番３号,,84117,15,15104,鵜ノ子４,,,2022/02/28,,,有限会社八百傳商店,野口　正晴,025-384-8577,新潟県新潟市江南区曙町１丁目６番３号,新潟県新潟市江南区曙町１丁目６番３号,,84087,新潟県,新潟市江南区,曙町１,2793,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,つたえ鵜ノ子025-382-50638411715104,4c85f534-f673-4831-9457-712ef7501b4b,有限会社八百傳商店84087,c115cdf8-ee11-49f5-9fa8-3077f5c3d9f7,0933336e-33b1-48ea-9481-07bb1a4a3a1f,2022/02/28,つたえ鵜ノ子,つたえ鵜ノ子,有限会社八百傳商店
4,プロントＭ,9500324,新潟県,新潟市江南区酒屋町２９２番地,新潟市江南区酒屋町２９２番地,,025-280-2612,ミキティーコーポレーション,,,,,飲食店営業,2792,R 4. 2.28,,151,プロントＭ,025,025-280-2612,,,,新潟県　新潟市江南区酒屋町２９２番地,新潟県新潟市江南区酒屋町２９２番地,,84205,15,15104,酒屋町,,,2022/02/28,,,,ミキティーコーポレーション ,,,,,,,,,2792,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,プロントＭ025-280-26128420515104,74567ec3-b8d1-42a0-8b47-0f06e082aa19,,personal,0499966e-8990-4464-a8fc-0ad6f3129b43,2022/02/28,プロントＭ,プロントＭ,
5,福楽,9500105,新潟県,新潟市江南区大渕１１９６番地,新潟市江南区大渕１１９６番地,,,媚山　潤,,,,,飲食店営業,2780,R 4. 2.22,,151,福楽,025,,,,,新潟県　新潟市江南区大渕１１９６番地,新潟県新潟市江南区大渕１１９６番地,,84121,15,15104,大渕,,,2022/02/22,,,,媚山　潤 ,,,,,,,,,2780,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,福楽8412115104,9e7977de-fa9b-462b-abd0-db0d7d31fb36,,personal,646ce5ce-bd37-487d-a87f-4e183559f256,2022/02/22,福楽,福楽,
6,ファミリーマート　新潟大渕,9500105,新潟県,新潟市江南区大渕６０３番地４,新潟市江南区大渕６０３番地４,,025-278-4501,株式会社ファミリーマート,細見　研介,東京都港区芝浦三丁目１番２１号,,03-3989-7600,飲食店営業,2788,R 4. 2.24,,151,ファミリーマート　新潟大渕,025,025-278-4501,,,,新潟県　新潟市江南区大渕６０３番地４,新潟県新潟市江南区大渕６０３番地４,,84121,15,15104,大渕,,,2022/02/24,,,株式会社ファミリーマート,細見　研介,03-3989-7600,東京都港区芝浦三丁目１番２１号,東京都港区芝浦３丁目１番２１号,,73084,東京都,港区,芝浦３,2788,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,ファミリマト新潟大渕025-278-45018412115104,ea6f5962-ad64-428c-9257-dfe6de5aea89,株式会社ファミリーマート73084,448a6e79-3b90-4e64-8c67-afa50dccf54a,4d0f2eb4-c10a-42b2-831d-34ef303693fc,2022/02/24,ファミリーマート　新潟大渕,ファミリマト新潟大渕,株式会社ファミリーマート
7,ラーメン・居酒屋　味庄,9500163,新潟県,新潟市江南区東船場１丁目２番３９号,新潟市江南区東船場１丁目２番３９号,,025-381-7008,髙橋　正博,,,,,飲食店営業,2794,R 4. 2.25,,151,ラーメン・居酒屋　味庄,025,025-381-7008,,,,新潟県　新潟市江南区東船場１丁目２番３９号,新潟県新潟市江南区東船場１丁目２番３９号,,84279,15,15104,東船場１,,,2022/02/25,,,,髙橋　正博 ,,,,,,,,,2794,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,ラメン居酒屋味庄025-381-70088427915104,1353cfed-0053-4242-a042-baea2e876546,,personal,8cd1f161-e07c-4194-a80c-56e77ed0d0b5,2022/02/25,ラーメン・居酒屋　味庄,ラメン居酒屋味庄,
8,ＪＲ新津寮,9560851,新潟県,新潟市秋葉区金沢町３丁目２番３８号,新潟市秋葉区金沢町３丁目２番３８号,,0250-24-5708,株式会社ジェイアール新潟ビジネス,今井　孝幸,新潟県新潟市中央区笹口一丁目９番１号,,025-241-2003,飲食店営業,2685,R 4. 2. 8,,151,ＪＲ新津寮,0250,0250-24-5708,,,,新潟県　新潟市秋葉区金沢町３丁目２番３８号,新潟県新潟市秋葉区金沢町３丁目２番３８号,,84380,15,15105,金沢町３,,,2022/02/08,,,株式会社ジェイアール新潟ビジネス,今井　孝幸,025-241-2003,新潟県新潟市中央区笹口一丁目９番１号,新潟県新潟市中央区笹口１丁目９番１号,,83715,新潟県,新潟市中央区,笹口１,2685,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,ＪＲ新津寮0250-24-57088438015105,6d8516e0-6e6f-445a-a623-c9993bc9c25f,株式会社ジェイアール新潟ビジネス83715,befbe270-aade-479d-a375-0bc4b412735a,6b587a7a-5222-406f-9918-9cec862300a6,2022/02/08,ＪＲ新津寮,ＪＲ新津寮,株式会社ジェイアール新潟ビジネス
9,ショットバー　４,9560864,新潟県,新潟市秋葉区新津本町２丁目２番６号,新潟市秋葉区新津本町２丁目２番６号,,,木戸　清仁,,,,,飲食店営業,2686,R 4. 2. 8,,151,ショットバー　４,0250,,,,,新潟県　新潟市秋葉区新津本町２丁目２番６号,新潟県新潟市秋葉区新津本町２丁目２番６号,,84466,15,15105,新津本町２,,,2022/02/08,,,,木戸　清仁 ,,,,,,,,,2686,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,ショットバ４8446615105,17fff9dd-2702-49b6-a58c-4c33062a73e0,,personal,178a62ea-e0d6-4afb-8c4f-2b875cf25fa2,2022/02/08,ショットバー　４,ショットバ４,
