https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,n処理終了,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請区分,申請者1,,,申請者2,,申請-電話番号1,施設-住所1,施設-マンション名,施設-電話番号1,,,施設名,業種,業態,確認番号,許可期間開始日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請等種別,申請者＿申請者名,申請者＿役職名,申請者＿その他役職名,申請者＿代表者,,申請者＿電話番号,所在地１,所在地２,施設＿所在地電話番号,施設＿名称（屋号・商号）１,施設＿名称（屋号・商号）２,,業種,種目（営業の種類）（給食の種類）,許可番号,許可開始日,初回許可年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
新規申請,株式会社ＧＲＥＥＮ,代表取締役,,鎌田　玲子,代表取締役　鎌田　玲子,              ,名護市世冨慶４３７－１,,              ,セブン－イレブン名護世冨慶店,,セブン－イレブン名護世冨慶店　,飲食店営業,そうざい,第01202100581号,R03.12.08,R03.12.08,,465,セブン－イレブン名護世冨慶店　,0980,,,,,名護市世冨慶４３７－１,沖縄県名護市世冨慶４３７－１,,215770,47,47209,世冨慶,,2021/12/08,,2021/12/08,,株式会社ＧＲＥＥＮ,代表取締役　鎌田　玲子,,,,,,,,,第01202100581号,新規,飲食店営業, そうざい,,,465_沖縄県_北部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,セブンイレブン名護世冨慶店21577047209,e3d462ac-6f23-44b1-a16e-2f1c48c90180,株式会社ＧＲＥＥＮ,84044dfb-e903-4f6d-8f7f-b7f40fa7ef8d,aac8f86f-c822-459c-9939-c40ef63d8858,2021/12/08,セブンイレブン名護世冨慶店　,セブンイレブン名護世冨慶店,株式会社ＧＲＥＥＮ
新規申請,特定非営利活動法人今帰仁ふるさとネットワーク,理事,,石川　清和,理事　石川　清和,              ,北部保健所管内,,              ,今帰仁村中央公民館,,今帰仁村中央公民館　,飲食店営業,臨時営業80L,第01202100588号,R03.12.09,R03.12.09,,465,今帰仁村中央公民館　,,,,,,北部保健所管内,沖縄県北部保健所管内,,,47,,,,2021/12/09,,2021/12/09,,特定非営利活動法人今帰仁ふるさとネットワーク,理事　石川　清和,,,,,,,,,第01202100588号,新規,飲食店営業, 臨時営業80L,,,465_沖縄県_北部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,今帰仁村中央公民館,3660b0ef-8989-4302-a67a-206b492673a5,特定非営利活動法人今帰仁ふるさとネットワーク,9742f741-c070-4657-a4d5-a2545de14dd3,d9ec4020-a2f3-4c0c-8f07-224555440e45,2021/12/09,今帰仁村中央公民館　,今帰仁村中央公民館,特定非営利活動法人今帰仁ふるさとネットワーク
新規申請,株式会社ＯＫＩＮＡＷＡ　ＡＲＣＲＡＩＺ,代表取締役,,砂邉　大州,代表取締役　砂邉　大州,              ,国頭郡本部町崎本部４６９６－１,,              ,花夢,,花夢　,飲食店営業,居酒屋,第01202100611号,R03.12.23,R03.12.23,,465,花夢　,0980,,,,,国頭郡本部町崎本部４６９６－１,沖縄県国頭郡本部町崎本部４６９６－１,,216235,47,47308,崎本部,,2021/12/23,,2021/12/23,,株式会社ＯＫＩＮＡＷＡ　ＡＲＣＲＡＩＺ,代表取締役　砂邉　大州,,,,,,,,,第01202100611号,新規,飲食店営業, 居酒屋,,,465_沖縄県_北部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,花夢21623547308,04376c93-fe3f-48aa-bbce-16c01eccfc71,株式会社ＯＫＩＮＡＷＡ　ＡＲＣＲＡＩＺ,7c8d30d2-023e-4bb0-b81c-2c541ec0ce3e,5b675042-08ce-4db1-ae03-c4a074d493f0,2021/12/23,花夢　,花夢,株式会社ＯＫＩＮＡＷＡ　ＡＲＣＲＡＩＺ
新規申請,社会福祉法人一心福祉会,理事長,,仲本　一夫,理事長　仲本　一夫,              ,北部保健所管内,,              ,就労センターえすの里,,就労センターえすの里　,飲食店営業,臨時営業80L,第01202100617号,R03.12.23,R03.12.23,,465,就労センターえすの里　,,,,,,北部保健所管内,沖縄県北部保健所管内,,,47,,,,2021/12/23,,2021/12/23,,社会福祉法人一心福祉会,理事長　仲本　一夫,,,,,,,,,第01202100617号,新規,飲食店営業, 臨時営業80L,,,465_沖縄県_北部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,就労センタえすの里,7253963f-30b5-4707-9891-75f67e7aa528,社会福祉法人一心福祉会,72225164-e03c-4fd3-94f2-1162b2c40ee4,5ad36a1c-ae1d-42b2-a02b-2e4f2c81dafd,2021/12/23,就労センターえすの里　,就労センタえすの里,社会福祉法人一心福祉会
新規申請,社会福祉法人一心福祉会,理事長,,仲本　一夫,理事長　仲本　一夫,              ,国頭郡大宜味村津波４１８,,              ,就労センターえすの里,,就労センターえすの里　,飲食店営業,弁当屋,第01202100616号,R03.12.23,R03.12.23,,465,就労センターえすの里　,0980,,,,,国頭郡大宜味村津波４１８,沖縄県国頭郡大宜味村津波４１８,,216149,47,47302,津波,,2021/12/23,,2021/12/23,,社会福祉法人一心福祉会,理事長　仲本　一夫,,,,,,,,,第01202100616号,新規,飲食店営業, 弁当屋,,,465_沖縄県_北部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,就労センタえすの里21614947302,386675b6-440d-4ad3-847c-03bd5caa15bd,社会福祉法人一心福祉会,72225164-e03c-4fd3-94f2-1162b2c40ee4,6ffb5eeb-462c-4fd5-8081-1cfc610d27b6,2021/12/23,就労センターえすの里　,就労センタえすの里,社会福祉法人一心福祉会
新規申請,株式会社ＤＩＧプライミング沖縄,代表取締役,,伊藤　大介,代表取締役　伊藤　大介,              ,名護市宮里３－２９－１２,フェニックスパークホテル　１Ｆ,0980-54-2388  ,鰓呼吸　名護店,,鰓呼吸　名護店　,飲食店営業,居酒屋,第01202100684号,R04.01.28,R04.01.28,,465,鰓呼吸　名護店　,0980,0980-54-2388,,,,名護市宮里３－２９－１２,沖縄県名護市宮里３－２９－１２,フェニックスパークホテル　１Ｆ,215761,47,47209,宮里３,,2022/01/28,,2022/01/28,,株式会社ＤＩＧプライミング沖縄,代表取締役　伊藤　大介,,,,,,,,,第01202100684号,新規,飲食店営業, 居酒屋,,,465_沖縄県_北部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,鰓呼吸名護店0980-54-238821576147209,d68b1f64-f9be-4825-894f-467365e42e25,株式会社ＤＩＧプライミング沖縄,2a615b40-42ad-4bce-9f83-60cb6bc69bdb,587b705b-e9d7-4d71-9773-3db9bc0f17be,2022/01/28,鰓呼吸　名護店　,鰓呼吸名護店,株式会社ＤＩＧプライミング沖縄
新規申請,オークツ株式会社,代表取締役,,大江　貴志,代表取締役　大江　貴志,              ,国頭郡国頭村安波１０８９－７,,0980-43-5115  ,やんばるパイナップルの丘　安波,,やんばるパイナップルの丘　安波　,飲食店営業,レストラン,第01202100740号,R04.02.22,R04.02.22,,465,やんばるパイナップルの丘　安波　,0980,0980-43-5115,,,,国頭郡国頭村安波１０８９－７,沖縄県国頭郡国頭村安波１０８９－７,,216177,47,47301,安波,,2022/02/22,,2022/02/22,,オークツ株式会社,代表取締役　大江　貴志,,,,,,,,,第01202100740号,新規,飲食店営業, レストラン,,,465_沖縄県_北部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,やんばるパイナップルの丘安波0980-43-511521617747301,bea1e1ad-aa60-4cd1-b591-18ab0bb5448e,オークツ株式会社,7d2aa96d-4fd2-46da-b45c-fa2ae2833c3a,b5e4c7d4-4a32-41c3-9cc6-594fcf04de48,2022/02/22,やんばるパイナップルの丘　安波　,やんばるパイナップルの丘安波,オークツ株式会社
新規申請,オークツ株式会社,代表取締役,,大江　貴志,代表取締役　大江　貴志,              ,国頭郡国頭村安波１０８９－７,,0980-43-5115  ,やんばるパイナップルの丘　安波,,やんばるパイナップルの丘　安波　,食肉販売業,食肉販売業,第01202100739号,R04.02.22,R04.02.22,,465,やんばるパイナップルの丘　安波　,0980,0980-43-5115,,,,国頭郡国頭村安波１０８９－７,沖縄県国頭郡国頭村安波１０８９－７,,216177,47,47301,安波,,2022/02/22,,2022/02/22,,オークツ株式会社,代表取締役　大江　貴志,,,,,,,,,第01202100739号,新規,食肉販売業, 食肉販売業,,,465_沖縄県_北部保健所_食品衛生()_2021年12月-2022年02月_末日,I,58,583,,やんばるパイナップルの丘安波0980-43-511521617747301,bea1e1ad-aa60-4cd1-b591-18ab0bb5448e,オークツ株式会社,7d2aa96d-4fd2-46da-b45c-fa2ae2833c3a,e41a208b-788d-439e-b132-d05c3a6f30f6,2022/02/22,やんばるパイナップルの丘　安波　,やんばるパイナップルの丘安波,オークツ株式会社
新規申請,オークツ株式会社,代表取締役,,大江　貴志,代表取締役　大江　貴志,              ,国頭郡国頭村安波１０８９－７,,0980-43-5115  ,やんばるパイナップルの丘　安波,,やんばるパイナップルの丘　安波　,菓子製造業,菓子製造業,第01202100738号,R04.02.22,R04.02.22,,465,やんばるパイナップルの丘　安波　,0980,0980-43-5115,,,,国頭郡国頭村安波１０８９－７,沖縄県国頭郡国頭村安波１０８９－７,,216177,47,47301,安波,,2022/02/22,,2022/02/22,,オークツ株式会社,代表取締役　大江　貴志,,,,,,,,,第01202100738号,新規,菓子製造業, 菓子製造業,,,465_沖縄県_北部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,やんばるパイナップルの丘安波0980-43-511521617747301,bea1e1ad-aa60-4cd1-b591-18ab0bb5448e,オークツ株式会社,7d2aa96d-4fd2-46da-b45c-fa2ae2833c3a,57d63165-8f04-498c-bac5-aeebf22bdc90,2022/02/22,やんばるパイナップルの丘　安波　,やんばるパイナップルの丘安波,オークツ株式会社
新規申請,オークツ株式会社,代表取締役,,大江　貴志,代表取締役　大江　貴志,              ,国頭郡国頭村安波１０８９－７,,0980-43-5115  ,やんばるパイナップルの丘　安波,,やんばるパイナップルの丘　安波　,そうざい製造業,そうざい製造業,第01202100737号,R04.02.22,R04.02.22,,465,やんばるパイナップルの丘　安波　,0980,0980-43-5115,,,,国頭郡国頭村安波１０８９－７,沖縄県国頭郡国頭村安波１０８９－７,,216177,47,47301,安波,,2022/02/22,,2022/02/22,,オークツ株式会社,代表取締役　大江　貴志,,,,,,,,,第01202100737号,新規,そうざい製造業, そうざい製造業,,,465_沖縄県_北部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,やんばるパイナップルの丘安波0980-43-511521617747301,bea1e1ad-aa60-4cd1-b591-18ab0bb5448e,オークツ株式会社,7d2aa96d-4fd2-46da-b45c-fa2ae2833c3a,8fe92470-2509-42ba-b859-d7086e6dfee6,2022/02/22,やんばるパイナップルの丘　安波　,やんばるパイナップルの丘安波,オークツ株式会社
