https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,施設名,施設-住所1,施設-マンション名,施設-電話番号1,業種,業態,申請者1,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設＿名称（屋号・商号）１,施設＿名称（屋号・商号）２,,所在地１,所在地２,施設＿所在地電話番号,業種,種目（営業の種類）（給食の種類）,申請者＿申請者名,申請者＿電話番号,初回許可年月日,許可年月日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
五平,,五平　,糸満市字糸満２０４２－１６,大城アパート１０１,              ,飲食店営業,食堂,有限会社モクトム,              ,R04.02.01,R04.02.01,第05202101202号,,466,五平　,098,,,,,糸満市字糸満２０４２－１６,沖縄県糸満市字糸満２０４２－１６,大城アパート１０１,215815,47,47210,糸満,,2022/02/01,2022/02/01,,,有限会社モクトム,,,,,,,,,,第05202101202号,,飲食店営業, 食堂,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,五平21581547210,ecb386a9-b32a-4011-9bb6-491a6526a1ea,有限会社モクトム,902192cd-f4ea-4762-af92-e28e988a9b73,c08fcac9-d05a-4df2-904a-c5cb4f27dd5a,2022/02/01,五平　,五平,有限会社モクトム
Ｐｈｉｌｌｙ　ｋｉｎｇｒｏｌｌｓ,,Ｐｈｉｌｌｙ　ｋｉｎｇｒｏｌｌｓ　,豊見城市瀬長１７４－６,ウミカジテラス内３１番,098-840-6009  ,飲食店営業,カフェー,ＯＺＥＮ株式会社,              ,R03.12.23,R03.12.23,第05202101088号,,466,Ｐｈｉｌｌｙ　ｋｉｎｇｒｏｌｌｓ　,098,098-840-6009,,,,豊見城市瀬長１７４－６,沖縄県豊見城市瀬長１７４－６,ウミカジテラス内３１番,216008,47,47212,瀬長,,2021/12/23,2021/12/23,,,ＯＺＥＮ株式会社,,,,,,,,,,第05202101088号,,飲食店営業, カフェー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,Ｐｈｉｌｌｙｋｉｎｇｒｏｌｌｓ098-840-600921600847212,714ef57d-96fe-4e84-9adb-c629a2734fa1,ＯＺＥＮ株式会社,eee88448-998b-4186-b886-0fceeda9df71,ea9ba47b-af0b-4786-a914-c6cd8978562a,2021/12/23,Ｐｈｉｌｌｙ　ｋｉｎｇｒｏｌｌｓ　,Ｐｈｉｌｌｙｋｉｎｇｒｏｌｌｓ,ＯＺＥＮ株式会社
パートナーフーズ沖縄　糸満加工場,,パートナーフーズ沖縄　糸満加工場　,糸満市字兼城４７３－２,常アパート101号,098-994-1144  ,そうざい製造業,そうざい製造業,株式会社パートナーフーズ沖縄,              ,R04.02.25,R04.02.25,第05202101274号,,466,パートナーフーズ沖縄　糸満加工場　,098,098-994-1144,,,,糸満市字兼城４７３－２,沖縄県糸満市字兼城４７３－２,常アパート101号,215821,47,47210,兼城,,2022/02/25,2022/02/25,,,株式会社パートナーフーズ沖縄,,,,,,,,,,第05202101274号,,そうざい製造業, そうざい製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,パトナフズ沖縄糸満加工場098-994-114421582147210,849568aa-c138-4896-94fb-80b86238c502,株式会社パートナーフーズ沖縄,4e1db9fa-8988-401f-8c60-2bc86180b7d6,5d7cb819-d22d-4008-8c39-8cda9d8fef54,2022/02/25,パートナーフーズ沖縄　糸満加工場　,パトナフズ沖縄糸満加工場,株式会社パートナーフーズ沖縄
そうめんとそうざいｓｏｕｓｏｕ,,そうめんとそうざいｓｏｕｓｏｕ　,豊見城市字与根４７０－２,,098-995-8305  ,飲食店営業,そうざい,株式会社リアライズプラス,              ,R03.12.23,R03.12.23,第05202101092号,,466,そうめんとそうざいｓｏｕｓｏｕ　,098,098-995-8305,,,,豊見城市字与根４７０－２,沖縄県豊見城市字与根４７０－２,,216023,47,47212,与根,,2021/12/23,2021/12/23,,,株式会社リアライズプラス,,,,,,,,,,第05202101092号,,飲食店営業, そうざい,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,そうめんとそうざいｓｏｕｓｏｕ098-995-830521602347212,63bfda7f-3e41-42d1-9a22-482a85152840,株式会社リアライズプラス,c0689cb3-5cc9-41ae-a222-25c7eb892907,086d182b-c9c5-472a-a414-5c41fdd7f0e2,2021/12/23,そうめんとそうざいｓｏｕｓｏｕ　,そうめんとそうざいｓｏｕｓｏｕ,株式会社リアライズプラス
ファミリーマート宮城５丁目店,,ファミリーマート宮城５丁目店　,浦添市宮城５－１１－５,,870-1312      ,飲食店営業,そうざい,有限会社勇貴,              ,R04.01.25,R04.01.25,第05202101158号,,466,ファミリーマート宮城５丁目店　,098,098-870-1312,,,,浦添市宮城５－１１－５,沖縄県浦添市宮城５－１１－５,,215707,47,47208,宮城５,,2022/01/25,2022/01/25,,,有限会社勇貴,,,,,,,,,,第05202101158号,,飲食店営業, そうざい,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ファミリマト宮城５丁目店098-870-131221570747208,1419f598-f7b1-4d00-a94c-0a77dc9ab471,有限会社勇貴,4807ee55-2e7e-4989-9f1e-e7c215ed3865,44160a4b-67f7-4f85-af50-cccbb4ed8cf2,2022/01/25,ファミリーマート宮城５丁目店　,ファミリマト宮城５丁目店,有限会社勇貴
ファミリーホーム　くくる,,ファミリーホーム　くくる　,南風原町字兼城２１４－２,,              ,飲食店営業,食堂,日清医療食品株式会社,03-3287-3611  ,R04.01.26,R04.01.26,第05202101165号,,466,ファミリーホーム　くくる　,098,,,,,南風原町字兼城２１４－２,沖縄県島尻郡南風原町字兼城２１４－２,,216399,47,47350,兼城,,2022/01/26,2022/01/26,,,日清医療食品株式会社,,03-3287-3611  ,,,,,,,,第05202101165号,,飲食店営業, 食堂,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ファミリホムくくる21639947350,670db0fc-62ff-4677-ba63-5a5b581651c5,日清医療食品株式会社,0bb20ffc-fed5-49dd-b174-d563c4573fa2,fb1fd648-2ba0-44ea-bfd2-0839ac3f07bc,2022/01/26,ファミリーホーム　くくる　,ファミリホムくくる,日清医療食品株式会社
社会福祉法人　球美福祉会　なでしこ保育園,,社会福祉法人　球美福祉会　なでしこ保育園　,久米島町字比嘉２８２７－３,,098-985-7070  ,飲食店営業,食堂,日清医療食品株式会社,03-3287-3611  ,R03.12.28,R03.12.28,第05202101096号,,466,社会福祉法人　球美福祉会　なでしこ保育園　,098,098-985-7070,,,,久米島町字比嘉２８２７－３,沖縄県島尻郡久米島町字比嘉２８２７－３,,216505,47,47361,比嘉,,2021/12/28,2021/12/28,,,日清医療食品株式会社,,03-3287-3611  ,,,,,,,,第05202101096号,,飲食店営業, 食堂,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,社会福祉法人球美福祉会なでしこ保育園098-985-707021650547361,6b7951ac-2a12-4968-9a20-f2f54b44c74a,日清医療食品株式会社,0bb20ffc-fed5-49dd-b174-d563c4573fa2,06eeb4fe-bec6-4431-8ff6-a58cd628ee0e,2021/12/28,社会福祉法人球美福祉会　なでしこ保育園　,社会福祉法人球美福祉会なでしこ保育園,日清医療食品株式会社
プロースト東京,,プロースト東京　,豊見城市瀬長１７４－６,瀬長島ウミカジテラス１７番,              ,飲食店営業,レストラン,エグザート株式会社,03-5244-4277  ,R04.02.04,R04.02.04,第05202101219号,,466,プロースト東京　,098,,,,,豊見城市瀬長１７４－６,沖縄県豊見城市瀬長１７４－６,瀬長島ウミカジテラス１７番,216008,47,47212,瀬長,,2022/02/04,2022/02/04,,,エグザート株式会社,,03-5244-4277  ,,,,,,,,第05202101219号,,飲食店営業, レストラン,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,プロスト東京21600847212,e6c73e70-104c-46c7-955f-5346696f82f3,エグザート株式会社,92e501d2-c1a7-40b1-b1f5-3a0be71cf3b1,611829b2-6e4b-4cfd-b661-5332681a8c48,2022/02/04,プロースト東京　,プロスト東京,エグザート株式会社
すき家　３３１号糸満店,,すき家　３３１号糸満店　,糸満市潮平６０３－１,,050-3771-6353 ,飲食店営業,食堂,株式会社すき家,03-5783-8850  ,R03.12.28,R03.12.28,第05202101100号,,466,すき家　３３１号糸満店　,098,050-3771-6353,,,,糸満市潮平６０３－１,沖縄県糸満市潮平６０３－１,,215828,47,47210,潮平,,2021/12/28,2021/12/28,,,株式会社すき家,,03-5783-8850  ,,,,,,,,第05202101100号,,飲食店営業, 食堂,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,すき家３３１号糸満店050-3771-635321582847210,1f8eba2f-6888-4e9e-827c-502a162fa7c8,株式会社すき家,387de95e-ef30-4fac-af82-924d0ebc471a,f360a645-bb34-492b-8d36-334e93cd5151,2021/12/28,すき家　３３１号糸満店　,すき家３３１号糸満店,株式会社すき家
