https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,n処理終了,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請年月日,申請者1,申請者2,申請-住所1,申請-住所2,申請-住所3,申請-住所4,申請-マンション名,申請-電話番号1,施設名,施設-住所1,施設-住所2,施設-住所3,施設-住所4,施設-マンション名,施設-電話番号1,業種,確認番号,開業年月日,許可年月日,許可期間開始日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請・届出年月日,氏名（法人の場合は法人名）（申請・届出者）,法人の代表者の氏名（申請・届出者）,都道府県（申請・届出者）,市区町村（申請・届出者）,町域（申請・届出者）,番地等（申請・届出者）,マンション名等（申請・届出者）,電話番号（申請・届出者）,営業施設名称、屋号又は商号,都道府県（営業施設）,市区町村（営業施設）,町域（営業施設）,番地等（営業施設）,マンション名等（営業施設）,電話番号（営業施設）,営業の種類,許可番号,初回許可年月日,許可年月日,許可開始日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
2022/2/21,江崎グリコ株式会社,江崎勝久,大阪府,大阪市西淀川区,歌島,4丁目6-5,,0664778352,富士すばるランドカード迷路前,山梨県,南都留郡富士河口湖町,船津,字剣丸尾 6663-1,,0555-72-2239,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,,,,,,168,富士すばるランドカード迷路前,0555,0555-72-2239,,,,山梨県　南都留郡富士河口湖町　船津　字剣丸尾 6663-1,山梨県南都留郡富士河口湖町船津字剣丸尾６６６３－１,,100935,19,19430,船津,2022/02/21,,,,,江崎グリコ株式会社,江崎勝久,06-6477-8352,大阪府　大阪市西淀川区　歌島　4丁目6-5,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,I,61,612,,富士すばるランドカド迷路前0555-72-223910093519430,7b259cbf-6fd2-4b15-8b81-76b5c759f120,江崎グリコ株式会社154669,44846e51-d7ef-4413-956f-6fd5baad1930,d23ed4e4-0503-4e8e-bd23-338a44855dd8,2022/02/21,富士すばるランドカード迷路前,富士すばるランドカド迷路前,江崎グリコ株式会社
2022/2/13,株式会社丸千代山岡家,一由聡,北海道,札幌市東区,東雁来七条,1丁目4-32,,011-781-7170,極煮干し本舗フォレストモール甲斐店,山梨県,甲斐市,富竹新田字大明神河原1714-1,,,055-244-3629,⑬ その他の食料・飲料販売業,,,,,,165,極煮干し本舗フォレストモール甲斐店,055,055-244-3629,,,,山梨県　甲斐市　富竹新田字大明神河原1714-1　,山梨県甲斐市富竹新田字大明神河原１７１４－１,,100530,19,19210,富竹新田,2022/02/13,,,,,株式会社丸千代山岡家,一由聡,011-781-7170,北海道　札幌市東区　東雁来七条　1丁目4-32,北海道札幌市東区東雁来七条１丁目４－３２,,3179,北海道,札幌市東区,東雁来七条１,,,食料品販売業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,I,58,581,5811,極煮干し本舗フォレストモル甲斐店055-244-362910053019210,3807e0a5-ef8d-48ac-a00c-9244823f7c3c,株式会社丸千代山岡家3179,e70b5102-f7d4-4449-8231-1cf04471e595,81140d87-0712-4374-92d6-2da4e3623cca,2022/02/13,極煮干し本舗フォレストモール甲斐店,極煮干し本舗フォレストモル甲斐店,株式会社丸千代山岡家
2022/1/28,有限会社八ヶ岳農産,宮坂直治,長野県,茅野市,金沢,549番地,,0266-72-9778,おいしい市場,山梨県,北杜市,須玉町若神子,2323,,0551-42-1177,㉕ そうざい製造業,山梨県指令中北福第155号-644,2022/2/8,2022/2/8,2022/2/8,,165,おいしい市場,0551,0551-42-1177,,,,山梨県　北杜市　須玉町若神子　2323,山梨県北杜市須玉町若神子２３２３,,100449,19,19209,須玉町若神子,2022/01/28,2022/02/08,2022/02/08,2022/02/08,,有限会社八ヶ岳農産,宮坂直治,0266-72-9778,長野県　茅野市　金沢　549番地,長野県茅野市金沢５４９番地,,102336,長野県,茅野市,金沢,山梨県指令中北福第155号-644,,そうざい製造業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,E,9,,,おいしい市場0551-42-117710044919209,6c6b8909-888c-4386-be1a-9058cd0a98d4,有限会社八ヶ岳農産102336,28db521d-2c02-4e2c-bfa1-ce27054d0eb5,47e184f5-331c-4b18-9008-caa9dd90c00e,2022/02/08,おいしい市場,おいしい市場,有限会社八ヶ岳農産
2022/1/13,株式会社ナンブフーズ,田中一幸,長野県,諏訪郡原村,15538番地１,,,0266-78-5010,サーティワンアイスクリーム    ラザウｵーク甲斐双葉店,山梨県,甲斐市,志田,字柿木645- 1,,0551-30-7031,① 飲食店営業,山梨県指令中北福第155号-609,2016/1/1,2022/1/26,2022/2/1,,165,サーティワンアイスクリーム    ラザウｵーク甲斐双葉店,0551,0551-30-7031,,,,山梨県　甲斐市　志田　字柿木645- 1,山梨県甲斐市志田字柿木６４５－１,,100518,19,19210,志田,2022/01/13,2016/01/01,2022/01/26,2022/02/01,,株式会社ナンブフーズ,田中一幸,0266-78-5010,長野県　諏訪郡原村　15538番地１　,長野県諏訪郡原村１５５３８番地１,,102638,長野県,諏訪郡原村,,山梨県指令中北福第155号-609,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,76,,,サティワンアイスクリムラザウオク甲斐双葉店0551-30-703110051819210,9e09b435-84e4-4418-be8b-8c05b002b66b,株式会社ナンブフーズ102638,09656aa8-384f-4faa-af51-acfafcae306f,84bff680-18e0-430e-94f8-1467fd1784ff,2022/01/26,サーティワンアイスクリーム　ラザウオーク甲斐双葉店,サティワンアイスクリムラザウオク甲斐双葉店,株式会社ナンブフーズ
2022/1/26,合同会社TAK,笠井喜幸,長野県,佐久市,中込,2957番地3　,中央ビル103号室,0267-77-7751,ふくろうの家,山梨県,甲斐市,龍地,6559番地1,,0551-35-9422,① 飲食店営業,山梨県指令中北福第155号-638,2022/2/7,2022/2/7,2022/2/7,,165,ふくろうの家,0551,0551-35-9422,,,,山梨県　甲斐市　龍地　6559番地1,山梨県甲斐市竜地６５５９番地１,,100538,19,19210,竜地,2022/01/26,2022/02/07,2022/02/07,2022/02/07,,合同会社TAK,笠井喜幸,0267-77-7751,長野県　佐久市　中込　2957番地3　,長野県佐久市中込２９５７番地３,中央ビル103号室,102420,長野県,佐久市,中込２,山梨県指令中北福第155号-638,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,76,,,ふくろうの家0551-35-942210053819210,093398a7-a52c-4e1d-bfeb-28bd9155cd3a,合同会社ＴＡＫ102420,1de46bb9-bcec-4fc6-8590-d946e234a582,802e38bc-5136-4dbb-a2de-ecfd74071cb4,2022/02/07,ふくろうの家,ふくろうの家,合同会社ＴＡＫ
2022/2/7,株式会社ロッテ,牛膓栄一,東京都,新宿区,西新宿,3丁目20番1号,,03-5388-5645,森の家久野屋,山梨県,南都留郡鳴沢村,鳴沢村絶頭,7216,,,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,,,,,一致の場合削除ガスト　富士鳴沢店/森の家久野屋,168,森の家久野屋,0555,,,,,山梨県　南都留郡鳴沢村　鳴沢村絶頭　7216,山梨県南都留郡鳴沢村絶頭７２１６,,100922,19,19429,,2022/02/07,,,,,株式会社ロッテ,牛膓栄一,03-5388-5645,東京都　新宿区　西新宿　3丁目20番1号,東京都新宿区西新宿３丁目２０番１号,,73259,東京都,新宿区,西新宿３,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,I,61,612,,森の家久野屋10092219429,c4bcd7da-82af-474a-92cd-e7fb16a2522b,株式会社ロッテ73259,7e30ce96-aca0-4906-927b-873b9324817d,ebbfdbc7-c141-4800-aa91-ab59d825b609,2022/02/07,森の家久野屋,森の家久野屋,株式会社ロッテ
2022/2/7,株式会社ロッテ,牛膓栄一,東京都,新宿区,西新宿,3丁目20番1号,,03-5388-5645,フジヤマスポーツクラブ,山梨県,富士吉田市,新西原,2-14-12,,,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,,,,,,168,フジヤマスポーツクラブ,0555,,,,,山梨県　富士吉田市　新西原　Tue Feb 14 2012 00:00:00 GMT+0900 (JST),山梨県富士吉田市上暮地２丁目４番地１６,,100063,19,19202,上暮地２,2022/02/07,,,,,株式会社ロッテ,牛膓栄一,03-5388-5645,東京都　新宿区　西新宿　3丁目20番1号,東京都新宿区西新宿３丁目２０番１号,,73259,東京都,新宿区,西新宿３,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,I,61,612,,フジヤマスポツクラブ10006319202,1a3d23f3-9213-43aa-b840-24b59825078b,株式会社ロッテ73259,7e30ce96-aca0-4906-927b-873b9324817d,06dc9770-3f8e-493a-9fa2-2e9f9a646721,2022/02/07,フジヤマスポーツクラブ,フジヤマスポツクラブ,株式会社ロッテ
2022/1/26,オリジン東秀株式会社,沢村弘也,東京都,調布市,調布ケ丘,1-18-1 ,KDX調布ビル5階,042-443-6801,オリジン東秀株式会社    上野原工場,山梨県,上野原市,上野原,8154-43,,0554-62-6211,㉗ 冷凍食品製造業,山梨県指令富東福第9689号,2022/2/8,2022/2/8,2022/2/8,,168,オリジン東秀株式会社    上野原工場,0554,0554-62-6211,,,,山梨県　上野原市　上野原　8154-43,山梨県上野原市上野原８１５４－４３,,100644,19,19212,上野原,2022/01/26,2022/02/08,2022/02/08,2022/02/08,,オリジン東秀株式会社,沢村弘也,042-443-6801,東京都　調布市　調布ケ丘　1-18-1 ,東京都調布市調布が丘１－１８－１,KDX調布ビル5階,76803,東京都,調布市,調布が丘１,山梨県指令富東福第9689号,,冷凍食品製造業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,E,9,,,オリジン東秀株式会社上野原工場0554-62-621110064419212,4c7f85fb-1653-46b6-b774-a44b669196c5,オリジン東秀株式会社76803,5ad55288-1293-4d54-a433-db818fc61369,05b3d9b6-6bc0-4267-b5f0-aaac93052c48,2022/02/08,オリジン東秀株式会社　上野原工場,オリジン東秀株式会社上野原工場,オリジン東秀株式会社
2022/1/27,フジパンストアー株式会社,川端賢二,愛知県,名古屋市瑞穂区,松園町,1丁目50番地,,052-834-3934,グラーノグラーノラザウｵーク甲斐双葉店,山梨県,甲斐市,志田,柿木645-1,ラザウォーク甲斐双葉１F,0551-28-8581,⑪ 菓子製造業,山梨県指令中北福第155号-640,2009/4/10,2022/1/31,2022/2/1,,165,グラーノグラーノラザウｵーク甲斐双葉店,0551,0551-28-8581,,,,山梨県　甲斐市　志田　柿木645-1,山梨県甲斐市志田柿木６４５－１,ラザウォーク甲斐双葉１F,100518,19,19210,志田,2022/01/27,2009/04/10,2022/01/31,2022/02/01,,フジパンストアー株式会社,川端賢二,052-834-3934,愛知県　名古屋市瑞穂区　松園町　1丁目50番地,愛知県名古屋市瑞穂区松園町１丁目５０番地,,115479,愛知県,名古屋市瑞穂区,松園町１,山梨県指令中北福第155号-640,,菓子製造業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,E,9,,,グラノグラノラザウオク甲斐双葉店0551-28-858110051819210,e0eadde1-4e76-44f7-8714-466a14d97fcc,フジパンストアー株式会社115479,b40caeb3-a91b-49e9-b173-422b22df2d93,0ab5190f-bdc1-4e33-8448-d0d66e618e1e,2022/01/31,グラーノグラーノラザウオーク甲斐双葉店,グラノグラノラザウオク甲斐双葉店,フジパンストアー株式会社
