https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,業態,申請者1,申請者2,申請-住所1,申請-電話番号1,許可期間開始日,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名称,施設所在地,,,施設電話番号,業種,種目,開設者氏名,法人の場合は代表者名,法人の場合のみ住所,法人電話番号,開始年月日,初回許可年月日,許可年月日,許可番号（非公表）,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
レストラン　みーるマーマ,長野市大字穂保７３１番地１,長野市大字穂保７３１番地１,,026-295-6693  ,飲食店営業,一般食堂等,（株）ミールケア,関　幸博,長野市大字穂保７３１番地１,026-295-8800  ,2022/2/4,2022/2/4,2022/2/4,,,169,レストラン　みーるマーマ,026,026-295-6693,,,,長野市大字穂保７３１番地１,長野県長野市穂保７３１番地１,,101173,20,20201,穂保,,2022/02/04,2022/02/04,2022/02/04,,（株）ミールケア,関　幸博,026-295-8800  ,長野市大字穂保７３１番地１,長野県長野市穂保７３１番地１,,101173,長野県,長野市,穂保,,,飲食店営業, 一般食堂等,,,169_長野県_長野市保健所_食品衛生(許可)_2022年01月-2022年02月_末日_新規,M,76,,,レストランみるママ026-295-669310117320201,474065df-e234-47e9-928d-5c2d81530eeb,株式会社ミールケア101173,91e9f804-c083-42f7-9152-e1076d340a2f,7ace8906-f8c4-43f6-806e-7bc5d76be79f,2022/02/04,レストラン　みーるマーマ,レストランみるママ,株式会社ミールケア
マイライフ,長野市大字長野大門町５５－２　ぱてぃお大門２Ｆ,長野市大字長野大門町５５－２,ぱてぃお大門２Ｆ,              ,飲食店営業,一般食堂等,依田　佳代,,,              ,2022/2/4,2022/2/4,2022/2/4,,,169,マイライフ,026,,,,,長野市大字長野大門町５５－２,長野県長野市長野大門町５５－２,ぱてぃお大門２Ｆ,101087,20,20201,長野大門町,,2022/02/04,2022/02/04,2022/02/04,,,依田　佳代 ,,,,,,,,,,,飲食店営業, 一般食堂等,,,169_長野県_長野市保健所_食品衛生(許可)_2022年01月-2022年02月_末日_新規,M,76,,,マイライフ10108720201,50f486ff-7d78-4f17-a787-3c5114387e0a,,personal,f93f5780-c461-4759-a488-cc245a78759d,2022/02/04,マイライフ,マイライフ,
Ｒ,長野市大字鶴賀上千歳町１３５３番地　ビックアップルビル４Ｆ,長野市大字鶴賀上千歳町１３５３番地, ビックアップルビル４Ｆ,              ,飲食店営業,一般食堂等,大久保　龍,,,              ,2022/2/4,2022/2/4,2022/2/4,,,169,Ｒ,026,,,,,長野市大字鶴賀上千歳町１３５３番地,長野県長野市鶴賀上千歳町１３５３番地,ビックアップルビル４Ｆ,101096,20,20201,鶴賀上千歳町,,2022/02/04,2022/02/04,2022/02/04,,,大久保　龍 ,,,,,,,,,,,飲食店営業, 一般食堂等,,,169_長野県_長野市保健所_食品衛生(許可)_2022年01月-2022年02月_末日_新規,M,76,,,Ｒ10109620201,d4e456a4-6e59-4974-81e3-2e407dd6b148,,personal,b9530e6a-0e3c-4867-a06f-4ef025e7041c,2022/02/04,Ｒ,Ｒ,
韓丼　長野高田店,長野市高田１７２０－１,長野市高田１７２０－１,,026-219-6715  ,飲食店営業,一般食堂等,（株）本久,加藤　章,長野市桐原一丁目３番５号,026-217-1515  ,2022/2/11,2022/2/11,2022/2/11,,,169,韓丼　長野高田店,026,026-219-6715,,,,長野市高田１７２０－１,長野県長野市高田１７２０－１,,101076,20,20201,高田,,2022/02/11,2022/02/11,2022/02/11,,（株）本久,加藤　章,026-217-1515  ,長野市桐原一丁目３番５号,長野県長野市桐原１丁目３番５号,,101296,長野県,長野市,桐原１,,,飲食店営業, 一般食堂等,,,169_長野県_長野市保健所_食品衛生(許可)_2022年01月-2022年02月_末日_新規,M,76,,,韓丼長野高田店026-219-671510107620201,96d353ea-438c-437b-af1b-fb19e36c8d6c,株式会社本久101296,1de1aca5-a10f-427f-8607-dc2a9bc29fe3,a5c31dfb-93af-451f-9290-40c4864103a0,2022/02/11,韓丼　長野高田店,韓丼長野高田店,株式会社本久
手打ちそば　沙羅樹庵,長野市松代町松代１４４３番地,長野市松代町松代１４４３番地,,026-278-1340  ,麺類製造業,生めん製造,小根山　治,,,              ,2022/2/15,2022/2/15,2022/2/15,,,169,手打ちそば　沙羅樹庵,026,026-278-1340,,,,長野市松代町松代１４４３番地,長野県長野市松代町松代１４４３番地,,101188,20,20201,松代町松代,,2022/02/15,2022/02/15,2022/02/15,,,小根山　治 ,,,,,,,,,,,麺類製造業, 生めん製造,,,169_長野県_長野市保健所_食品衛生(許可)_2022年01月-2022年02月_末日_新規,E,9,,,手打ちそば沙羅樹庵026-278-134010118820201,d84f9e49-bb89-430e-b237-404e2c199aa4,,personal,91f66989-ae66-4b73-9c13-5164276ac13e,2022/02/15,手打ちそば　沙羅樹庵,手打ちそば沙羅樹庵,
みくら製麺,長野市浅川二丁目１００－１３８,長野市浅川２丁目１００－１３８,,026-241-3366  ,麺類製造業,生めん製造,湯原　光雄,,,              ,2022/2/18,2022/2/18,2022/2/18,,,169,みくら製麺,026,026-241-3366,,,,長野市浅川２丁目１００－１３８,長野県長野市浅川２丁目１００－１３８,,100960,20,20201,浅川２,,2022/02/18,2022/02/18,2022/02/18,,,湯原　光雄 ,,,,,,,,,,,麺類製造業, 生めん製造,,,169_長野県_長野市保健所_食品衛生(許可)_2022年01月-2022年02月_末日_新規,E,9,,,みくら製麺026-241-336610096020201,9eba74ce-bd34-4fc5-9966-7fde8b2fbc5d,,personal,8063f27d-8135-4d9d-82ec-468fb42d59dc,2022/02/18,みくら製麺,みくら製麺,
手打蕎麦　久とら,長野市檀田二丁目３０－１４,長野市檀田２丁目３０－１４,,              ,飲食店営業,一般食堂等,（有）ヒサトラ,久田　尋史,長野市上松一丁目６番２３号,              ,2022/2/18,2022/2/18,2022/2/18,,,169,手打蕎麦　久とら,026,,,,,長野市檀田２丁目３０－１４,長野県長野市檀田２丁目３０－１４,,101194,20,20201,檀田２,,2022/02/18,2022/02/18,2022/02/18,,（有）ヒサトラ,久田　尋史,,長野市上松一丁目６番２３号,長野県長野市上松１丁目６番２３号,,100990,長野県,長野市,上松１,,,飲食店営業, 一般食堂等,,,169_長野県_長野市保健所_食品衛生(許可)_2022年01月-2022年02月_末日_新規,M,76,,,手打蕎麦久とら10119420201,394b9435-7e98-4eef-957b-6f434fe175e4,有限会社ヒサトラ100990,e1498bed-c56a-40a7-9af7-ab7d6fd4673e,67590a8f-d32a-4d74-8499-d2759edd05cc,2022/02/18,手打蕎麦　久とら,手打蕎麦久とら,有限会社ヒサトラ
株式会社平成農園　へいせいファーム,長野市小島６５１－１,長野市小島６５１－１,,026-236-9551  ,菓子製造業,菓子製造,（株）平成農園,中澤　基,長野市大字石渡１６－６,026-217-6868  ,2022/2/18,2022/2/18,2022/2/18,,,169,株式会社平成農園　へいせいファーム,026,026-236-9551,,,,長野市小島６５１－１,長野県長野市小島６５１－１,,101025,20,20201,小島,,2022/02/18,2022/02/18,2022/02/18,,（株）平成農園,中澤　基,026-217-6868  ,長野市大字石渡１６－６,長野県長野市石渡１６－６,,100974,長野県,長野市,石渡,,,菓子製造業, 菓子製造,,,169_長野県_長野市保健所_食品衛生(許可)_2022年01月-2022年02月_末日_新規,E,9,,,株式会社平成農園へいせいファム026-236-955110102520201,2118b9b6-5600-4d79-9e0a-95ad55fb1a6c,株式会社平成農園100974,e39514cd-feb0-44c6-b392-05443219f3ef,6bef2507-69cb-443a-8e26-f15f842f383b,2022/02/18,株式会社平成農園　へいせいファーム,株式会社平成農園へいせいファム,株式会社平成農園
株式会社平成農園　へいせいファーム,長野市小島６５１－１,長野市小島６５１－１,,026-236-9551  ,食品の小分け業,食品の小分け,（株）平成農園,中澤　基,長野市大字石渡１６－６,026-217-6868  ,2022/2/18,2022/2/18,2022/2/18,,,169,株式会社平成農園　へいせいファーム,026,026-236-9551,,,,長野市小島６５１－１,長野県長野市小島６５１－１,,101025,20,20201,小島,,2022/02/18,2022/02/18,2022/02/18,,（株）平成農園,中澤　基,026-217-6868  ,長野市大字石渡１６－６,長野県長野市石渡１６－６,,100974,長野県,長野市,石渡,,,食品の小分け業, 食品の小分け,,,169_長野県_長野市保健所_食品衛生(許可)_2022年01月-2022年02月_末日_新規,I,58,522,5229,株式会社平成農園へいせいファム026-236-955110102520201,2118b9b6-5600-4d79-9e0a-95ad55fb1a6c,株式会社平成農園100974,e39514cd-feb0-44c6-b392-05443219f3ef,330990da-8905-45bb-ae5f-11727ef86fb5,2022/02/18,株式会社平成農園　へいせいファーム,株式会社平成農園へいせいファム,株式会社平成農園
スナックりあん,長野市大字鶴賀権堂町２２３４　サンセットプラザ２０３,長野市大字鶴賀権堂町２２３４,サンセットプラザ２０３,              ,飲食店営業,一般食堂等,熊田　理恵,,,              ,2022/2/18,2022/2/18,2022/2/18,,,169,スナックりあん,026,,,,,長野市大字鶴賀権堂町２２３４,長野県長野市鶴賀権堂町２２３４,サンセットプラザ２０３,101091,20,20201,鶴賀権堂町,,2022/02/18,2022/02/18,2022/02/18,,,熊田　理恵 ,,,,,,,,,,,飲食店営業, 一般食堂等,,,169_長野県_長野市保健所_食品衛生(許可)_2022年01月-2022年02月_末日_新規,M,76,,,スナックりあん10109120201,47be1f41-7dbc-44dd-889d-9f97b19db693,,personal,e0081ae3-35c0-4ea6-9cce-e9bca4a9a5bb,2022/02/18,スナックりあん,スナックりあん,
