https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号,所在地1,,,施設TEL,業種2,営業者,法人住所TEL,初登録日,許可年月,新更,指令番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
旭ビヤスタンド,旭川市3条通7丁目トーエー第2ビル1F,旭川市３条通７丁目,トーエー第２ビル１F,22-5899,飲食店営業,株式会社ノースフロンティア,73-8274,R03.11.01,R03.11.01,新規,733,,3,旭ビヤスタンド,0166,0166-22-5899,,,,旭川市３条通７丁目　トーエー第２ビル１F,北海道旭川市三条通７丁目,トーエー第２ビル１F,8366,1,1204,三条通７,,2021/11/01,2021/11/01,,,株式会社ノースフロンティア,,0166-73-8274,,,,,,,,733,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,旭ビヤスタンド0166-22-589983661204,cffd2fea-5ba2-4968-84de-65c5fffb00ad,株式会社ノースフロンティア,f2ebeb12-6d38-431d-bcb1-80439c3dc6d1,27321823-2863-42b0-990b-dd32ccad3712,2021/11/01,旭ビヤスタンド,旭ビヤスタンド,株式会社ノースフロンティア
 chouchouのフルーツサンド 屋さん,旭川市2条通7丁目227-17ルカツデパートBF,旭川市２条通７丁目２２７－１７,ルカツデパートBF,,飲食店営業,守屋友香子,,2021.11.1,2021.11.1,新規,734,,3, chouchouのフルーツサンド 屋さん,0166,,,,,旭川市２条通７丁目２２７－１７　ルカツデパートBF,北海道旭川市二条通７丁目２２７－１７,ルカツデパートBF,8338,1,1204,二条通７,,2021/11/01,2021/11/01,,,,守屋友香子,,,,,,,,,734,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ｃｈｏｕｃｈｏｕのフルツサンド屋さん83381204,73c42182-1700-4559-bc4e-f715a488e067,,personal,133695e0-6a5a-419d-a93b-3a3e3bdecc79,2021/11/01,　ｃｈｏｕｃｈｏｕのフルーツサンド　屋さん,ｃｈｏｕｃｈｏｕのフルツサンド屋さん,
炭火焼肉大和(ヤマト),旭川市豊岡1条7丁目5-8,旭川市豊岡１条７丁目５－８,,33-4419,飲食店営業,黒田典彦,,R03.11.02,R03.11.02,新規,738,,3,炭火焼肉大和(ヤマト),0166,0166-33-4419,,,,旭川市豊岡１条７丁目５－８　,北海道旭川市豊岡一条７丁目５－８,,7454,1,1204,豊岡一条７,,2021/11/02,2021/11/02,,,,黒田典彦,,,,,,,,,738,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,炭火焼肉大和ヤマト0166-33-441974541204,c9209a4b-6b95-42f5-963b-178f187d7a10,,personal,1cb1f588-b95f-494c-ad6c-6f5603cf8a92,2021/11/02,炭火焼肉大和（ヤマト）,炭火焼肉大和ヤマト,
花みずき,旭川市2条通3丁目142-2,旭川市２条通３丁目１４２－２,,22-8731,飲食店営業,森田陽子,,R03.11.02,R03.11.02,新規,739,,3,花みずき,0166,0166-22-8731,,,,旭川市２条通３丁目１４２－２　,北海道旭川市二条通３丁目１４２－２,,8334,1,1204,二条通３,,2021/11/02,2021/11/02,,,,森田陽子,,,,,,,,,739,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,花みずき0166-22-873183341204,0ab42e4d-c58b-419d-a8bf-6be7b3efab8e,,personal,5505cf99-4aed-4ebb-88ed-6822b48d1655,2021/11/02,花みずき,花みずき,
独酌三四郎,旭川市2条通5丁目左7,旭川市２条通５丁目左７,,22-6751,そうざい製造業,有限会社 独酌三四郎,51-8856,R03.11.02,R03.11.02,新規,740,,3,独酌三四郎,0166,0166-22-6751,,,,旭川市２条通５丁目左７　,北海道旭川市二条通５丁目左７,,8336,1,1204,二条通５,,2021/11/02,2021/11/02,,,有限会社 独酌三四郎,,0166-51-8856,,,,,,,,740,新規,そうざい製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,E,9,,,独酌三四郎0166-22-675183361204,7eebfdea-4c84-4c0e-b068-38949362c406,有限会社独酌三四郎,292b0de7-8659-4fdd-b9bf-1142c55feadb,f3e850cc-af21-4602-9a99-9fa1f40e2972,2021/11/02,独酌三四郎,独酌三四郎,有限会社独酌三四郎
みづの,旭川市常盤通2丁目2500-2,旭川市常盤通２丁目２５００－２,,22-5637,飲食店営業,水野龍司,,R03.11.04,R03.11.04,新規,744,,3,みづの,0166,0166-22-5637,,,,旭川市常盤通２丁目２５００－２　,北海道旭川市常盤通２丁目２５００－２,,7446,1,1204,常盤通２,,2021/11/04,2021/11/04,,,,水野龍司,,,,,,,,,744,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,みづの0166-22-563774461204,67dd80ab-5930-43c7-be46-5db0160f40fb,,personal,c4a3b16c-2e43-45f5-89f8-b60df7721dae,2021/11/04,みづの,みづの,
おばんざい みずした,旭川市4条通5丁目1316-7,旭川市４条通５丁目１３１６－７,,22-1188,飲食店営業,菅野富士子,,R03.11.04,R03.11.04,新規,745,,3,おばんざい みずした,0166,0166-22-1188,,,,旭川市４条通５丁目１３１６－７　,北海道旭川市四条通５丁目１３１６－７,,8395,1,1204,四条通５,,2021/11/04,2021/11/04,,,,菅野富士子,,,,,,,,,745,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,おばんざいみずした0166-22-118883951204,aded2b68-b29c-4fe9-9a89-a91edc1120ca,,personal,ea197aef-3714-4054-8e69-4f67598a2c4e,2021/11/04,おばんざい　みずした,おばんざいみずした,
焼肉ホルモン おはこ忠和店,旭川市忠和5条8丁目1-1,旭川市忠和５条８丁目１－１,,76-4567,飲食店営業,株式会社トーテム旭川,29-7000,R03.11.04,R03.11.04,新規,746,,3,焼肉ホルモン おはこ忠和店,0166,0166-76-4567,,,,旭川市忠和５条８丁目１－１　,北海道旭川市忠和五条８丁目１－１,,7225,1,1204,忠和五条８,,2021/11/04,2021/11/04,,,株式会社トーテム旭川,,0166-29-7000,,,,,,,,746,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,焼肉ホルモンおはこ忠和店0166-76-456772251204,7f2f6605-25ca-4060-93bd-55c48e6a2e5d,株式会社トーテム旭川,7c3f7f2e-b44b-46c4-ae77-4bdf41634b38,21f86cdb-abe6-42e0-b01f-640c491d760d,2021/11/04,焼肉ホルモン　おはこ忠和店,焼肉ホルモンおはこ忠和店,株式会社トーテム旭川
焼肉ホルモンおはこ忠和店,旭川市忠和5条8丁目1-1,旭川市忠和５条８丁目１－１,,76-4567,飲食店営業,株式会社トーテム旭川,29-7000,R03.11.04,R03.11.04,新規,747,,3,焼肉ホルモンおはこ忠和店,0166,0166-76-4567,,,,旭川市忠和５条８丁目１－１　,北海道旭川市忠和五条８丁目１－１,,7225,1,1204,忠和五条８,,2021/11/04,2021/11/04,,,株式会社トーテム旭川,,0166-29-7000,,,,,,,,747,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,焼肉ホルモンおはこ忠和店0166-76-456772251204,7f2f6605-25ca-4060-93bd-55c48e6a2e5d,株式会社トーテム旭川,7c3f7f2e-b44b-46c4-ae77-4bdf41634b38,64b65614-de20-4c0d-98a5-a4c67452f841,2021/11/04,焼肉ホルモンおはこ忠和店,焼肉ホルモンおはこ忠和店,株式会社トーテム旭川
旭川あゆみ幼稚園,旭川市旭神町22-65,旭川市旭神町２２－６５,,65-0200,飲食店営業,株式会社LEOC,03-5220-8550,R03.11.05,R03.11.05,新規,753,,3,旭川あゆみ幼稚園,0166,0166-65-0200,,,,旭川市旭神町２２－６５　,北海道旭川市旭神町２２－６５,,6962,1,1204,旭神町,,2021/11/05,2021/11/05,,,株式会社LEOC,,03-5220-8550,,,,,,,,753,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,旭川あゆみ幼稚園0166-65-020069621204,a07beecd-ebd5-4669-a077-5f66ef316490,株式会社ＬＥＯＣ,e1da72c9-cd94-49b4-aafb-165fe3c3aeac,25f7d654-7eb3-4d12-a874-2d8d87e88420,2021/11/05,旭川あゆみ幼稚園,旭川あゆみ幼稚園,株式会社ＬＥＯＣ
