https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号,所在地1,,,施設TEL,業種2,営業者,法人住所TEL,初登録日,許可年月日,新更,指令番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
水産競場生鮪加工場,旭川市流通団地1条2丁目22,旭川市流通団地１条２丁目２２,,48-3141,魚介類販売業,株式会社キョクイチ,48-3141,2021.12.1,2021.12.1,新規,832,,3,水産競場生鮪加工場,0166,0166-48-3141,,,,旭川市流通団地１条２丁目２２,北海道旭川市流通団地一条２丁目２２,,8295,1,1204,流通団地一条２,,2021/12/01,2021/12/01,,,株式会社キョクイチ,,0166-48-3141,,,,,,,,832,新規,魚介類販売業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,I,58,,,水産競場生鮪加工場0166-48-314182951204,1bf3205f-001f-495b-8fa8-858891e09b1d,株式会社キョクイチ,03523b21-5a40-435a-aaee-22d12a170642,5f16443b-31bd-40eb-8ec3-4b4bc45169f9,2021/12/01,水産競場生鮪加工場,水産競場生鮪加工場,株式会社キョクイチ
夜猫(よるねこ),旭川車4条通8丁目すみれ堂ビル2F,旭川車４条通８丁目,すみれ堂ビル２F,,飲食店営業,木村亮,,2021.12.1,2021.12.1,新規,833,,3,夜猫(よるねこ),0166,,,,,旭川車４条通８丁目,北海道旭川市四条通８丁目,すみれ堂ビル２F,8398,1,1204,四条通８,,2021/12/01,2021/12/01,,,,木村亮,,,,,,,,,833,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,夜猫よるねこ83981204,6c7171fe-5c11-4fb1-b271-a69d884d6409,,personal,47d75044-d51c-456e-914b-1b0402cf37f7,2021/12/01,夜猫（よるねこ）,夜猫よるねこ,
Japacheese Asahikawa,旭川市7条通7丁目33-69,旭川市７条通７丁目３３－６９,,56-7481,飲食店営業,株式会社 ジャパチーズ,,2021.12.2,2021.12.1,新規,834,,3,Japacheese Asahikawa,0166,0166-56-7481,,,,旭川市７条通７丁目３３－６９,北海道旭川市七条通７丁目３３－６９,,8498,1,1204,七条通７,,2021/12/02,2021/12/01,,,株式会社 ジャパチーズ,,,,,,,,,,834,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,ＪａｐａｃｈｅｅｓｅＡｓａｈｉｋａｗａ0166-56-748184981204,4e1ccef9-fc10-4432-a753-c85d20c06a48,株式会社ジャパチーズ,06c09905-f11e-4330-855a-06edd6fdbbd4,7319bd72-11a9-43e1-9f48-ea1f956d4f92,2021/12/01,Ｊａｐａｃｈｅｅｓｅ　Ａｓａｈｉｋａｗａ,ＪａｐａｃｈｅｅｓｅＡｓａｈｉｋａｗａ,株式会社ジャパチーズ
Japacheese Asahikawa,旭川市7条通7丁目33-69,旭川市７条通７丁目３３－６９,,56-7481,乳製品製造業,株式会社 ジャパチーズ,,2021.12.2,2021.12.1,新規,835,,3,Japacheese Asahikawa,0166,0166-56-7481,,,,旭川市７条通７丁目３３－６９,北海道旭川市七条通７丁目３３－６９,,8498,1,1204,七条通７,,2021/12/02,2021/12/01,,,株式会社 ジャパチーズ,,,,,,,,,,835,新規,乳製品製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,E,9,,,ＪａｐａｃｈｅｅｓｅＡｓａｈｉｋａｗａ0166-56-748184981204,4e1ccef9-fc10-4432-a753-c85d20c06a48,株式会社ジャパチーズ,06c09905-f11e-4330-855a-06edd6fdbbd4,5e1e68ad-cdf8-4dbe-a430-6209eb25a42f,2021/12/01,Ｊａｐａｃｈｅｅｓｅ　Ａｓａｈｉｋａｗａ,ＪａｐａｃｈｅｅｓｅＡｓａｈｉｋａｗａ,株式会社ジャパチーズ
すなっく忍の館,旭川市3条通6丁目左2ヨシタケビル6号館2F,旭川市３条通６丁目左２,ヨシタケビル６号館２F,23-1318,飲食店営業,小林順子,,2021.12.2,2021.12.1,新規,836,,3,すなっく忍の館,0166,0166-23-1318,,,,旭川市３条通６丁目左２,北海道旭川市三条通６丁目左２,ヨシタケビル６号館２F,8365,1,1204,三条通６,,2021/12/02,2021/12/01,,,,小林順子,,,,,,,,,836,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,すなっく忍の館0166-23-131883651204,5b558f84-22c7-46e3-aa48-630c49eaea7f,,personal,2768b804-18c7-4c11-8e2c-ee95b1db3f8d,2021/12/01,すなっく忍の館,すなっく忍の館,
セブン-イレブン旭川豊岡1条店,旭川市豊岡1条2丁目4-19,旭川市豊岡１条２丁目４－１９,,31-3002,飲食店営業,株式会社Y's company,31-3002,2021.12.2,2021.12.1,新規,837,,3,セブン-イレブン旭川豊岡1条店,0166,0166-31-3002,,,,旭川市豊岡１条２丁目４－１９,北海道旭川市豊岡一条２丁目４－１９,,7449,1,1204,豊岡一条２,,2021/12/02,2021/12/01,,,株式会社Y's company,,0166-31-3002,,,,,,,,837,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,セブンイレブン旭川豊岡１条店0166-31-300274491204,edb47834-cb5e-45f5-8063-0657157505db,株式会社Ｙ＇ｓ　ｃｏｍｐａｎｙ,b37fc350-0ca1-4bbe-bcdc-1a121d0ef3e4,4335fa62-b8d2-4e4c-85c0-236325d43fe8,2021/12/01,セブンイレブン旭川豊岡１条店,セブンイレブン旭川豊岡１条店,株式会社Ｙ＇ｓ　ｃｏｍｐａｎｙ
西神楽ベース,旭川市西神楽1線17号,旭川市西神楽１線１７号,,,水産製品製造業,株式会社音威子府食品,0165-68-7565,2021.12.3,2021.12.3,新規,838,,3,西神楽ベース,0166,,,,,旭川市西神楽１線１７号,北海道旭川市西神楽１線１７号,,7864,1,1204,西神楽１線１７号,,2021/12/03,2021/12/03,,,株式会社音威子府食品,,0165-68-7565,,,,,,,,838,新規,水産製品製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,E,9,92,,西神楽ベス78641204,33f1e660-98b5-4744-9ccd-2712971b03c4,株式会社音威子府食品,7bae24aa-3b1e-480f-aa06-acc16a121518,0974fdc6-205e-48fe-a982-4e9b639f882f,2021/12/03,西神楽ベース,西神楽ベス,株式会社音威子府食品
セブンイレブン旭川5条7丁目店,旭川市5条通7丁目1615-2,旭川市５条通７丁目１６１５－２,,22-5350,飲食店営業,フレンドリーサービス有限会社,22-5350,2021.12.3,2021.12.3,新規,840,,3,セブンイレブン旭川5条7丁目店,0166,0166-22-5350,,,,旭川市５条通７丁目１６１５－２,北海道旭川市五条通７丁目１６１５－２,,8431,1,1204,五条通７,,2021/12/03,2021/12/03,,,フレンドリーサービス有限会社,,0166-22-5350,,,,,,,,840,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,セブンイレブン旭川５条７丁目店0166-22-535084311204,af289155-0184-44a7-9a62-524c58915fa7,フレンドリーサービス有限会社,5ec3676f-12ae-4147-bcd1-7a905fa555e8,c1bbb625-6025-4023-bdf2-7b72b3cab011,2021/12/03,セブンイレブン旭川５条７丁目店,セブンイレブン旭川５条７丁目店,フレンドリーサービス有限会社
 Cuore(クオレ),旭川市4条通6丁目404-3ヨシタケビル3号館5F,旭川市４条通６丁目４０４－３,ヨシタケビル３号館５F,23-1911,飲食店営業,株式会社a-nine,22-5733,2021.12.3,2021.12.3,新規,841,,3, Cuore(クオレ),0166,0166-23-1911,,,,旭川市４条通６丁目４０４－３,北海道旭川市四条通６丁目４０４－３,ヨシタケビル３号館５F,8396,1,1204,四条通６,,2021/12/03,2021/12/03,,,株式会社a-nine,,0166-22-5733,,,,,,,,841,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,Ｃｕｏｒｅクオレ0166-23-191183961204,7886a9d7-dd20-4974-900f-790fdef33d76,株式会社ａ－ｎｉｎｅ,b09bafc1-6fd4-4489-9390-e5ef07637844,d3fe34c6-a571-41db-b37a-30a3a976f287,2021/12/03,　Ｃｕｏｒｅ（クオレ）,Ｃｕｏｒｅクオレ,株式会社ａ－ｎｉｎｅ
れすとるーむ湯河原,旭川市宮下通16丁目3-1,旭川市宮下通１６丁目３－１,,25-3200,飲食店営業,株式会社ランドネットワークス,25-3200,2021.12.3,2021.12.3,新規,842,,3,れすとるーむ湯河原,0166,0166-25-3200,,,,旭川市宮下通１６丁目３－１,北海道旭川市宮下通１６丁目３－１,,8280,1,1204,宮下通１６,,2021/12/03,2021/12/03,,,株式会社ランドネットワークス,,0166-25-3200,,,,,,,,842,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,れすとるむ湯河原0166-25-320082801204,17728b0a-27f1-4f9e-a673-9e1a7fdee0e6,株式会社ランドネットワークス,6631b4fe-600e-4073-b118-348625fb8b8a,0b58e415-1719-4f3c-b8bb-4192cba1d2ff,2021/12/03,れすとるーむ湯河原,れすとるむ湯河原,株式会社ランドネットワークス
