https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,,,その他,,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号,施設所在地,施設電話番号,業種,申請者氏名,申請者電話番号,初回許可年月日,最新許可年月日,廃止年月日,廃止届出年月日,許可,廃止,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
すなっく  夢ん中,小樽市花園１丁目８番６号,,飲食店営業,中村  眞佐子,,R3/12/1,R3/12/1,,,新規,,229,,4,すなっく  夢ん中,0134,,,,,小樽市花園１丁目８番６号,北海道小樽市花園１丁目８番６号,,6407,1,1203,花園１,,2021/12/01,2021/12/01,,,,中村  眞佐子,,,,,,,,,229,新規,飲食店営業,,,,004_北海道_小樽市保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,すなっく夢ん中64071203,3f7c9ad5-a709-4d40-a8ac-41803b08f1c2,,personal,67c1a006-509a-422a-b6f2-9bdafceefcc2,2021/12/01,すなっく　夢ん中,すなっく夢ん中,
ＮＥＷ  ＫＡＺＵＫＯ,小樽市花園１丁目１番２号,,飲食店営業,遠藤  和子,,R3/12/15,R3/12/15,,,新規,,232,,4,ＮＥＷ  ＫＡＺＵＫＯ,0134,,,,,小樽市花園１丁目１番２号,北海道小樽市花園１丁目１番２号,,6407,1,1203,花園１,,2021/12/15,2021/12/15,,,,遠藤  和子,,,,,,,,,232,新規,飲食店営業,,,,004_北海道_小樽市保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ＮＥＷＫＡＺＵＫＯ64071203,7680c983-45ad-4889-9e3c-a2c64bd32679,,personal,5cefeae3-68bb-47d3-9528-f44795355a7b,2021/12/15,ＮＥＷ　ＫＡＺＵＫＯ,ＮＥＷＫＡＺＵＫＯ,
幸鳥  Ｔａｋｅ  Ｏｕｔ  Ｓｔｙｌｅ,小樽市花園１丁目９番１１号,61-6950,飲食店営業,株式会社  ＴＦＣ,,R3/12/17,R3/12/17,,,新規,,233,,4,幸鳥  Ｔａｋｅ  Ｏｕｔ  Ｓｔｙｌｅ,0134,0134-61-6950,,,,小樽市花園１丁目９番１１号,北海道小樽市花園１丁目９番１１号,,6407,1,1203,花園１,,2021/12/17,2021/12/17,,,株式会社  ＴＦＣ,,,,,,,,,,233,新規,飲食店営業,,,,004_北海道_小樽市保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,幸鳥ＴａｋｅＯｕｔＳｔｙｌｅ0134-61-695064071203,c7d4a770-571e-4e8a-baca-648952efbd3a,株式会社ＴＦＣ,e624b254-a2ce-4326-843b-ab6aa26a345f,aff1dc46-ca04-443a-86c5-df324fc6b533,2021/12/17,幸鳥　Ｔａｋｅ　Ｏｕｔ　Ｓｔｙｌｅ,幸鳥ＴａｋｅＯｕｔＳｔｙｌｅ,株式会社ＴＦＣ
小樽  ＦＯＯＤ  ＴＥＲＭＩＮＡＬ,小樽市花園１丁目９番１１号,0134-61-6950,魚介類販売業,株式会社  ＴＦＣ,,R3/12/17,R3/12/17,,,新規,,10,,4,小樽  ＦＯＯＤ  ＴＥＲＭＩＮＡＬ,0134,0134-61-6950,,,,小樽市花園１丁目９番１１号,北海道小樽市花園１丁目９番１１号,,6407,1,1203,花園１,,2021/12/17,2021/12/17,,,株式会社  ＴＦＣ,,,,,,,,,,10,新規,魚介類販売業,,,,004_北海道_小樽市保健所_食品衛生()_2021年11月-2021年12月_末日_新規,I,58,,,小樽ＦＯＯＤＴＥＲＭＩＮＡＬ0134-61-695064071203,aea1c211-6df0-4f84-8756-87892f705eb7,株式会社ＴＦＣ,e624b254-a2ce-4326-843b-ab6aa26a345f,d0b0619c-55e4-4412-818e-65c402e20550,2021/12/17,小樽　ＦＯＯＤ　ＴＥＲＭＩＮＡＬ,小樽ＦＯＯＤＴＥＲＭＩＮＡＬ,株式会社ＴＦＣ
OMO５小樽  by  星野リゾート,小樽市色内１丁目６番３１号,64-1872,飲食店営業,小樽ホテルマネジメント株式会社,050-3538-5113,R3/12/20,R3/12/20,,,新規,,234,,4,OMO５小樽  by  星野リゾート,0134,0134-64-1872,,,,小樽市色内１丁目６番３１号,北海道小樽市色内１丁目６番３１号,,6323,1,1203,色内１,,2021/12/20,2021/12/20,,,小樽ホテルマネジメント株式会社,,050-3538-5113,,,,,,,,234,新規,飲食店営業,,,,004_北海道_小樽市保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ＯＭＯ５小樽ｂｙ星野リゾト0134-64-187263231203,78759fba-87be-4bb5-aa91-27e31f1629bc,小樽ホテルマネジメント株式会社,71caebf3-8f9e-487a-9469-66681cc68d7f,7b93b600-b986-40fd-84d6-de4ee4388d0c,2021/12/20,ＯＭＯ５小樽　ｂｙ　星野リゾート,ＯＭＯ５小樽ｂｙ星野リゾト,小樽ホテルマネジメント株式会社
Ｃａｆｅ & Ｄｉｎｉｎｇｂａｒ Ｗｉｔｈ Ｃａｔ'ｓ Ｌａｍｐ,小樽市稲穂２丁目３番１０号,,飲食店営業,浅野  之薫,,R3/12/21,R3/12/21,,,新規,,235,,4,Ｃａｆｅ & Ｄｉｎｉｎｇｂａｒ Ｗｉｔｈ Ｃａｔ'ｓ Ｌａｍｐ,0134,,,,,小樽市稲穂２丁目３番１０号,北海道小樽市稲穂２丁目３番１０号,,6314,1,1203,稲穂２,,2021/12/21,2021/12/21,,,,浅野  之薫,,,,,,,,,235,新規,飲食店営業,,,,004_北海道_小樽市保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ＣａｆｅＤｉｎｉｎｇｂａｒＷｉｔｈＣａｔｓＬａｍｐ63141203,dac7695b-06a0-4748-a690-c9eff9a7cd34,,personal,93cc461c-e0bb-404e-a184-095d2a72c91a,2021/12/21,Ｃａｆｅ　＆　Ｄｉｎｉｎｇｂａｒ　Ｗｉｔｈ　Ｃａｔ＇ｓ　Ｌａｍｐ,ＣａｆｅＤｉｎｉｎｇｂａｒＷｉｔｈＣａｔｓＬａｍｐ,
トコトコ荘  サカノマチ喫茶室,小樽市富岡２丁目４番４号,,飲食店営業,橋本  つぐみ,,R3/12/24,R3/12/24,,,新規,,236,,4,トコトコ荘  サカノマチ喫茶室,0134,,,,,小樽市富岡２丁目４番４号,北海道小樽市富岡２丁目４番４号,,6398,1,1203,富岡２,,2021/12/24,2021/12/24,,,,橋本  つぐみ,,,,,,,,,236,新規,飲食店営業,,,,004_北海道_小樽市保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,トコトコ荘サカノマチ喫茶室63981203,06d183e8-41e6-4de2-a9a0-1e507994473b,,personal,30bead4c-b156-45c3-b8f1-b82078bb8a50,2021/12/24,トコトコ荘　サカノマチ喫茶室,トコトコ荘サカノマチ喫茶室,
トコトコ荘  サカノマチ喫茶室,小樽市富岡２丁目４番４号,,菓子製造業,橋本  つぐみ,,R3/12/24,R3/12/24,,,新規,,21,,4,トコトコ荘  サカノマチ喫茶室,0134,,,,,小樽市富岡２丁目４番４号,北海道小樽市富岡２丁目４番４号,,6398,1,1203,富岡２,,2021/12/24,2021/12/24,,,,橋本  つぐみ,,,,,,,,,21,新規,菓子製造業,,,,004_北海道_小樽市保健所_食品衛生()_2021年11月-2021年12月_末日_新規,E,9,,,トコトコ荘サカノマチ喫茶室63981203,06d183e8-41e6-4de2-a9a0-1e507994473b,,personal,7d9d7123-0802-4d85-9d83-4a7a0572d052,2021/12/24,トコトコ荘　サカノマチ喫茶室,トコトコ荘サカノマチ喫茶室,
ヤマイシ石川源蔵商店,小樽市稲穂４丁目４番１号,,飲食店営業,石川  敬規,,R3/12/27,R3/12/27,,,新規,,237,,4,ヤマイシ石川源蔵商店,0134,,,,,小樽市稲穂４丁目４番１号,北海道小樽市稲穂４丁目４番１号,,6316,1,1203,稲穂４,,2021/12/27,2021/12/27,,,,石川  敬規,,,,,,,,,237,新規,飲食店営業,,,,004_北海道_小樽市保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ヤマイシ石川源蔵商店63161203,36f5b440-b7a7-4e1d-adad-988eb74e4973,,personal,a9a987d6-a87f-4709-ac67-056d61cccf14,2021/12/27,ヤマイシ石川源蔵商店,ヤマイシ石川源蔵商店,
有限会社  杉本青果店,小樽市新富町１２番１号,22-9649,漬物製造業,有限会社  杉本青果店,22-9649,R3/12/7,R3/12/7,,,更新,,2,,4,有限会社  杉本青果店,0134,0134-22-9649,,,,小樽市新富町１２番１号,北海道小樽市新富町１２番１号,,6372,1,1203,新富町,,2021/12/07,2021/12/07,,,有限会社  杉本青果店,,0134-22-9649,,,,,,,,2,更新,漬物製造業,,,,004_北海道_小樽市保健所_食品衛生()_2021年11月-2021年12月_末日_新規,E,9,,,有限会社杉本青果店0134-22-964963721203,a0bbdf6c-a929-47d5-bc59-27e418a77556,有限会社杉本青果店,81bca080-42ac-413b-87fc-a561c70e73e4,185054f7-e081-4cec-8466-49e0900e596a,2021/12/07,有限会社杉本青果店,有限会社杉本青果店,有限会社杉本青果店
