https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
業種,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,申請者2,申請-住所1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
業種,施設名称,施設所在地,,,施設電話番号,営業者名,代表者名,営業者住所（法人のみ）,初回許可年月日,許可年月日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
飲食店,中華園　のなか,余市郡余市町大川町４丁目１３０番地１  ,余市郡余市町大川町４丁目１３０番地１,,0135-22-7119,有限会社のなか,代表取締役　野中　富達,余市郡余市町大川町４丁目１３０番地１ ,2021.12.28,,14-364,,13,中華園　のなか,0135,0135-22-7119,,,,余市郡余市町大川町４丁目１３０番地１,北海道余市郡余市町大川町４丁目１３０番地１,,17726,1,1408,大川町４,,2021/12/28,,,,有限会社のなか,代表取締役　野中　富達,,余市郡余市町大川町４丁目１３０番地１ ,北海道余市郡余市町大川町４丁目１３０番地１,,17726,北海道,余市郡余市町,大川町４,14-364,,飲食店営業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,M,76,,,中華園のなか0135-22-7119177261408,2c9c486a-e78a-4b90-98ab-d2c19b40e20b,有限会社のなか17726,f52ca617-5a86-46c1-b2ad-69c356a291eb,d33a40ce-bd37-4541-b8fc-d4b63cfbe03b,2021/12/01,中華園　のなか,中華園のなか,有限会社のなか
飲食店,ラーメン山岡家　余市店,余市郡余市町栄町１０－１  ,余市郡余市町栄町１０－１,,0135-48-5552,株式会社丸千代山岡家,代表取締役　一由　聡,札幌市東区東雁来七条一丁目４番32号 ,2021.12.27,,14-360,,13,ラーメン山岡家　余市店,0135,0135-48-5552,,,,余市郡余市町栄町１０－１,北海道余市郡余市町栄町１０－１,,17711,1,1408,栄町,,2021/12/27,,,,株式会社丸千代山岡家,代表取締役　一由　聡,,札幌市東区東雁来七条一丁目４番32号 ,北海道札幌市東区東雁来七条１丁目４番３２号,,3179,北海道,札幌市東区,東雁来七条１,14-360,,飲食店営業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,M,76,,,ラメン山岡家余市店0135-48-5552177111408,eb7b485d-4ab5-4977-b6c8-e03162008516,株式会社丸千代山岡家3179,1faa28a6-d310-4209-a8ee-2e03fae6976d,c7692481-f380-4e99-91f3-aa8008e1a191,2021/12/01,ラーメン山岡家　余市店,ラメン山岡家余市店,株式会社丸千代山岡家
飲食店,スナック　ゴールド,余市郡余市町黒川町2丁目81番地  ,余市郡余市町黒川町２丁目８１番地 ,,0135-23-8522,世戸　小百合,,  ,2021.12.27,,14-362,,13,スナック　ゴールド,0135,0135-23-8522,,,,余市郡余市町黒川町２丁目８１番地 ,北海道余市郡余市町黒川町２丁目８１番地,,17744,1,1408,黒川町２,,2021/12/27,,,,,世戸　小百合 ,,  ,,,,,,,14-362,,飲食店営業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,M,76,,,スナックゴルド0135-23-8522177441408,ff8608d6-ad09-4979-a9fa-4bb63e3a669b,,personal,c6384bed-bd78-4397-a883-00c7ee04da2d,2021/12/01,スナック　ゴールド,スナックゴルド,
水産製品製造業,株式会社三印菊地水産,余市郡余市町港町２６番地  ,余市郡余市町港町２６番地 ,,0135-22-2036,株式会社三印菊地水産,代表取締役 菊地 均,余市郡余市町港町２６番地 ,2021.12.27,,14-363,,13,株式会社三印菊地水産,0135,0135-22-2036,,,,余市郡余市町港町２６番地 ,北海道余市郡余市町港町２６番地,,17721,1,1408,港町,,2021/12/27,,,,株式会社三印菊地水産,代表取締役 菊地 均,,余市郡余市町港町２６番地 ,北海道余市郡余市町港町２６番地,,17721,北海道,余市郡余市町,港町,14-363,,水産製品製造業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,E,9,92,,株式会社三印菊地水産0135-22-2036177211408,2ecf2f3e-289c-4fa8-912a-daae40914a84,株式会社三印菊地水産17721,82833d6d-0bf1-495b-8f76-92a9224788db,c5984315-7b3f-40a4-b902-ff8ace52b229,2021/12/01,株式会社三印菊地水産,株式会社三印菊地水産,株式会社三印菊地水産
水産製品製造業,一鱗美宝丸漁業部水産加工所,余市郡余市町港町８番地  ,余市郡余市町港町８番地 ,,0135-22-2006,有限会社一鱗美宝丸漁業部,代表取締役　金田　常彦,余市郡余市町港町８番地 ,2021.12.27,,14-361,,13,一鱗美宝丸漁業部水産加工所,0135,0135-22-2006,,,,余市郡余市町港町８番地 ,北海道余市郡余市町港町８番地,,17721,1,1408,港町,,2021/12/27,,,,有限会社一鱗美宝丸漁業部,代表取締役　金田　常彦,,余市郡余市町港町８番地 ,北海道余市郡余市町港町８番地,,17721,北海道,余市郡余市町,港町,14-361,,水産製品製造業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,E,9,92,,一鱗美宝丸漁業部水産加工所0135-22-2006177211408,d7afa1f4-b374-49e8-83cb-ce85f901fa00,有限会社一鱗美宝丸漁業部17721,d32115bb-85e0-4168-af22-ea341fe519e3,988143d4-8381-4e7b-9eaf-eab6f35497d4,2021/12/01,一鱗美宝丸漁業部水産加工所,一鱗美宝丸漁業部水産加工所,有限会社一鱗美宝丸漁業部
菓子製造業,le mantaro,虻田郡京極町字更進４７０－３  ,虻田郡京極町字更進４７０－３,,0136-55-5322,一級建築士事務所クリストファーズ株式会社,代表取締役　キム　クリストファー,東京都渋谷区神宮前一丁目１番１２号７０２ ,2021.12.27,,14-359,,13,le mantaro,0136,0136-55-5322,,,,虻田郡京極町字更進４７０－３,北海道虻田郡京極町字更進４７０－３,,17873,1,1399,更進,,2021/12/27,,,,一級建築士事務所クリストファーズ株式会社,代表取締役　キム　クリストファー,,東京都渋谷区神宮前一丁目１番１２号７０２ ,東京都渋谷区神宮前１丁目１番１２号７０２,,74500,東京都,渋谷区,神宮前１,14-359,,菓子製造業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,E,9,,,ｌｅｍａｎｔａｒｏ0136-55-5322178731399,1e66953f-03d0-49d9-95e1-8a24886280f2,一級建築士事務所クリストファーズ株式会社74500,b03f50c3-10f0-4e9c-a84a-50656efe6d51,4fee70ac-410d-41db-aeea-a322c3db71fc,2021/12/01,ｌｅ　ｍａｎｔａｒｏ,ｌｅｍａｎｔａｒｏ,一級建築士事務所クリストファーズ株式会社
菓子製造業,農村公園フルーツパークにき　ピザ工房,余市郡仁木町東町１６丁目１２１番地  ,余市郡仁木町東町１６丁目１２１番地 ,,0135-32-3500,株式会社自然農園,代表取締役　上田　英貴,余市郡仁木町東町１５丁目４１番地 ,2021.12.24,,14-357,,13,農村公園フルーツパークにき　ピザ工房,0135,0135-32-3500,,,,余市郡仁木町東町１６丁目１２１番地 ,北海道余市郡仁木町東町１６丁目１２１番地,,17694,1,1407,東町１６,,2021/12/24,,,,株式会社自然農園,代表取締役　上田　英貴,,余市郡仁木町東町１５丁目４１番地 ,北海道余市郡仁木町東町１５丁目４１番地,,17693,北海道,余市郡仁木町,東町１５,14-357,,菓子製造業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,E,9,,,農村公園フルツパクにきピザ工房0135-32-3500176941407,4fd2b9b5-0f43-413a-9a8e-a111640b27d7,株式会社自然農園17693,7910ed91-bc3c-4847-961b-394d65c89989,f278ed67-5621-489f-9eb2-bb2a437b689f,2021/12/01,農村公園フルーツパークにき　ピザ工房,農村公園フルツパクにきピザ工房,株式会社自然農園
水産製品製造業,カネサ漁業,寿都郡寿都町字歌棄町美谷２３７－１１  ,寿都郡寿都町字歌棄町美谷２３７－１１,,0136-63-5377,有限会社カネサ漁業,代表取締役　佐藤　誠,寿都郡寿都町字歌棄町美谷２３７－１１ ,2021.12.23,,14-358,,13,カネサ漁業,0137,0136-63-5377,,,,寿都郡寿都町字歌棄町美谷２３７－１１,北海道寿都郡寿都町歌棄町美谷２３７－１１,,701203,1,1392,歌棄町美谷,,2021/12/23,,,,有限会社カネサ漁業,代表取締役　佐藤　誠,,寿都郡寿都町字歌棄町美谷２３７－１１ ,北海道寿都郡寿都町歌棄町美谷２３７－１１,,701203,北海道,寿都郡寿都町,歌棄町美谷,14-358,,水産製品製造業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,E,9,92,,カネサ漁業0136-63-53777012031392,801ed992-a69b-40dd-89c0-aab2817c21de,有限会社カネサ漁業701203,482b1f19-e4fd-413d-937e-a95bc943c045,8160377f-1578-4b16-8d9b-e187d04961a3,2021/12/01,カネサ漁業,カネサ漁業,有限会社カネサ漁業
飲食店,駅前ラーメンせいちゃん,余市郡余市町黒川町８丁目１４番地  ,余市郡余市町黒川町８丁目１４番地 ,,0135-23-2868,長瀬　誠慈,,  ,2021.12.21,,14-356,,13,駅前ラーメンせいちゃん,0135,0135-23-2868,,,,余市郡余市町黒川町８丁目１４番地 ,北海道余市郡余市町黒川町８丁目１４番地,,17750,1,1408,黒川町８,,2021/12/21,,,,,長瀬　誠慈 ,,  ,,,,,,,14-356,,飲食店営業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,M,76,,,駅前ラメンせいちゃん0135-23-2868177501408,d60901c6-3e07-4f3c-a562-28ef17cda38a,,personal,3e4ac1bd-ab62-4e34-8feb-4b16e1187456,2021/12/01,駅前ラーメンせいちゃん,駅前ラメンせいちゃん,
菓子製造業,北洋堂　鈴木菓子店,余市郡余市町富沢町６丁目８１番地  ,余市郡余市町富沢町６丁目８１番地 ,,  ,鈴木　良孝,,  ,2021.12.21,,14-355,,13,北洋堂　鈴木菓子店,0135,,,,,余市郡余市町富沢町６丁目８１番地 ,北海道余市郡余市町富沢町６丁目８１番地,,17767,1,1408,富沢町６,,2021/12/21,,,,,鈴木　良孝 ,,  ,,,,,,,14-355,,菓子製造業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,E,9,,,北洋堂鈴木菓子店177671408,d19e847f-5b36-4008-a5db-5b3a4f0b7e88,,personal,87e7447a-2af9-4181-9b5a-244154b833bc,2021/12/01,北洋堂　鈴木菓子店,北洋堂鈴木菓子店,
